Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1317.712798   2341.601702   --undefined--   --undefined--
0.034375   1589.727839   2249.359516   3150.673330   4867.192774
0.040625   1675.880241   2461.113060   3163.621097   4740.850373
0.046875   1658.574710   2599.269925   3413.899274   4793.062154
0.053125   1736.068402   2606.676353   3448.523563   4898.242912
0.059375   1760.543140   2611.050546   3410.771721   4883.255846
0.065625   1746.221019   2689.436484   3427.942685   4872.218198
0.071875   1896.711737   2661.263447   3476.628303   4867.194892
0.078125   1836.956434   2722.937477   3587.287401   4887.398779
0.084375   1820.223164   2739.391816   3402.753012   4968.588370
0.090625   1714.573511   2638.652277   3345.252683   4935.288407
0.096875   1618.187134   2650.396213   3513.489276   4870.254798
0.103125   1697.312799   2654.086572   3373.081847   4781.799580
0.109375   1733.191852   2723.290067   2925.934213   4837.143649
0.115625   1804.527441   2387.196162   3115.072002   4745.606453
0.121875   1423.995820   2227.976423   3316.659062   4772.288683
0.128125   1382.165398   2358.821337   3245.323908   4818.221728
0.134375   1416.576322   2084.553948   2901.938172   4678.248144
0.140625   1530.360404   2082.538452   3002.734181   4633.231180
0.146875   1881.106409   2897.052573   2965.183044   4526.394751
0.153125   1720.736128   2530.613477   3490.081228   4643.380269
0.159375   1576.100335   2485.174257   3452.381556   4955.312931
0.165625   1556.152274   2183.002902   3173.920037   4841.108689
0.171875   1453.752743   2375.130025   3164.944027   4954.727805
0.178125   1445.491728   2474.367906   3339.258639   4838.182948
0.184375   1510.794035   2572.831524   3070.271379   4865.148457
0.190625   1530.754388   2588.739068   3101.328740   4881.611754
0.196875   1461.773457   2466.669228   3198.422350   4865.765975
0.203125   1555.331182   2353.790081   3241.868276   4895.711178
0.209375   1460.916966   2224.132611   3231.227114   4837.701499
0.215625   1321.847728   2231.059984   3092.835437   4724.198361
0.221875   983.764175   1856.886391   2872.876560   4620.976116
0.228125   1599.430457   2739.733828   2740.786668   4692.399436
0.234375   1617.092198   2359.716390   3244.589848   4965.505946
0.240625   1572.835976   2157.653556   3092.818920   4825.408514
0.246875   1282.785738   2064.078736   3041.629584   4774.246258
0.253125   1156.342653   2325.164884   3076.206688   4761.715533
0.259375   1565.097305   2342.381677   3322.297177   4890.084706
0.265625   1878.932072   2399.226719   3349.560835   4775.915771
0.271875   1731.537619   2355.756274   3376.775695   4769.349960
0.278125   1646.043918   2396.297561   3362.016439   4838.253771
0.284375   1832.224733   2283.899677   3211.063773   4904.437568
0.290625   1497.697820   2238.957313   3230.222023   4844.065164
0.296875   1445.501035   2380.222155   3292.985441   4768.946383
0.303125   1485.863564   2412.538487   3193.785437   4752.421749
0.309375   1332.618913   2483.748104   3091.618690   4819.139156
0.315625   1255.822713   2356.118844   3189.685198   4870.232208
0.321875   1479.967536   2417.961351   3139.614387   4870.369768
0.328125   1495.635444   2529.431407   3188.419206   4932.754364
0.334375   1513.398063   2466.987632   3246.797907   4920.781923
0.340625   1528.050847   2358.595894   3159.576927   4744.577558
0.346875   1484.638809   2371.381686   3145.094335   4753.846217
0.353125   1494.232163   2177.905379   3227.214620   5167.166750
0.359375   1502.902227   2713.505030   --undefined--   --undefined--
0.365625   1153.167836   2291.764067   3268.060531   4791.139052
0.371875   1258.615156   2228.772627   3244.253745   4816.507201
0.378125   1373.062223   2251.708215   3266.803091   4863.502903
0.384375   1199.760429   2199.807220   2927.948287   4751.407152
0.390625   1360.033497   2448.033104   3192.361888   4776.875286
0.396875   1446.676731   2452.565115   3437.800611   4909.146655
0.403125   1553.529163   2475.536116   3412.310018   4989.028694
0.409375   1558.371756   2655.000971   3554.784243   5068.750270
0.415625   1552.552932   2671.223485   3201.143057   4854.420296
0.421875   1535.065357   2300.142665   3152.050898   4838.032194
0.428125   1485.332675   2433.300514   3270.102544   4854.308403
0.434375   1458.996868   2517.153000   3343.100905   4802.472660
0.440625   1443.634087   2524.808868   3221.543384   4768.846036
0.446875   1437.002586   2324.833787   3173.980277   4862.813640
0.453125   1389.030458   2270.073985   3070.643905   4881.589348
0.459375   1234.722292   2246.185526   3171.720395   4943.721311
0.465625   1124.362992   2257.254228   3184.604537   5011.477511
0.471875   1011.409907   2119.279850   3004.139432   4814.472693
0.478125   925.604563   2059.404229   2838.819459   4608.710686
0.484375   1030.707427   2159.760904   3108.567536   4921.584581
0.490625   1280.429001   2236.690527   3294.595283   4966.858840
0.496875   1389.379743   2296.881917   3381.843694   5010.800040
0.503125   1478.049044   2296.901344   3368.126276   4880.497922
0.509375   1275.441310   2280.369303   3330.354314   4922.011328
0.515625   1307.628075   2149.070004   3274.223245   5020.895565
0.521875   1455.523033   2317.166404   3226.655702   5162.597682
0.528125   1327.611721   2298.326637   3252.224509   5256.548198
0.534375   1610.243428   2210.167075   --undefined--   --undefined--
0.540625   1074.035861   1996.669466   3143.183721   4594.666227
0.546875   927.806363   1987.118949   3042.318088   3177.426907
0.553125   856.951030   2053.202673   2901.382126   3255.036900
0.559375   748.789175   2153.586576   2532.251752   3546.379689
0.565625   664.490164   1863.618142   2489.542717   3614.002856
0.571875   498.532272   1755.974978   2549.783975   3574.067348
0.578125   602.894555   1791.781104   2690.941245   3587.748698
0.584375   660.730077   1785.070618   2780.213960   3635.868713
0.590625   742.414961   1738.400759   2769.129867   3631.970019
0.596875   673.617067   1682.127853   2840.498792   3621.930844
0.603125   627.344037   1771.401834   2662.873474   3491.133181
0.609375   715.314713   1817.742187   2655.218244   3540.290102
0.615625   819.217236   1781.567383   2751.179827   3626.358242
0.621875   878.766376   1868.347487   2636.872208   3641.223823
0.628125   758.620942   1980.628907   2640.251013   3648.819726
0.634375   500.328607   1860.850987   2624.499714   3661.529028
0.640625   534.365598   1813.372168   2701.821920   3687.448186
0.646875   567.554470   1740.386453   2728.739650   3656.195955
0.653125   533.375044   1842.879122   2696.688298   3651.059580
0.659375   591.669701   1822.631837   2643.416332   3669.732175
0.665625   689.810214   1735.195105   2600.870071   3726.443089
0.671875   776.000873   2033.107844   2549.951764   3644.620923
0.678125   666.772313   1783.222202   2614.994611   3475.709890
0.684375   615.782094   1745.921696   2626.073198   3640.249827
0.690625   582.443008   1846.974488   2703.629129   3804.468188
0.696875   536.455543   1864.793364   2702.213704   3856.321715
0.703125   520.419862   1804.655055   2639.940074   3650.508147
0.709375   1293.382857   2105.477088   3327.751718   4814.391347
0.715625   690.808131   1806.025405   2207.693988   3422.725103
0.721875   647.716681   1991.928974   2846.147238   3663.052688
0.728125   749.117466   2043.418516   3268.549730   4548.633111
0.734375   699.627046   1875.405400   3192.662859   3316.126429
0.740625   626.629945   1723.819165   2797.259331   3866.610250
0.746875   634.803793   1629.662108   2585.786658   3433.820808
0.753125   330.984073   1362.087150   2363.236004   3130.306833
0.759375   838.419383   1129.673702   2024.154340   3232.093322
0.765625   1189.751955   1513.267806   1877.529287   3273.937723
0.771875   696.833842   1644.944456   2315.115404   3497.162147
0.778125   732.298169   1887.074187   2679.283061   3614.044625
0.784375   1197.802703   2286.546644   3174.356863   4082.848915
0.790625   1123.916734   1230.512462   2799.554888   3885.437914
0.796875   898.348785   1832.881509   2816.221059   3950.791140
0.803125   872.389029   1961.275710   2949.331420   4276.633492
0.809375   750.395158   1686.487493   2788.437313   3852.956984
0.815625   1003.163254   2281.169709   3103.746654   4120.229470
0.821875   880.529551   2205.954948   3013.222280   4035.686043
0.828125   819.257961   1763.099960   2712.466770   3788.478470
0.834375   1059.782361   2237.283886   2512.988855   3345.815280
0.840625   1255.616445   2377.351247   3207.104708   4539.636310
0.846875   1193.791967   2181.063971   3123.694400   4381.734446
0.853125   933.749983   1990.371732   2918.157305   4036.141987
0.859375   1053.455907   1575.543835   2605.434211   3466.855778
0.865625   1042.966640   1206.360640   2645.920858   3436.870835
0.871875   754.576620   1666.704105   2817.969520   3628.661442
0.878125   924.755366   1501.666402   2754.618225   4010.965649
0.884375   709.534860   1573.915551   2617.335616   3872.374979
0.890625   798.415104   1679.899447   2678.522488   3820.541414
0.896875   777.443350   1598.534788   2678.234494   3756.338018
0.903125   603.746113   1646.837753   2677.016168   3795.462769
0.909375   631.033981   1786.196859   2617.061864   3876.412015
0.915625   620.239247   1659.825342   2712.907362   3647.780742
0.921875   592.418852   1628.907535   2461.314129   3644.161220
0.928125   543.409482   1675.943321   2403.092017   3672.009257
0.934375   352.867522   1746.856387   2510.294128   3734.010713
0.940625   354.745261   1690.896268   2711.248422   3744.378967
0.946875   351.265646   1615.977374   2927.359067   3931.549198
0.953125   352.288988   1612.381116   2933.771257   3905.355687
0.959375   362.400029   1738.946238   2850.420136   3827.127702
0.965625   351.225814   1795.194233   2729.108359   3814.825839
0.971875   335.237287   1739.628713   2706.817840   3883.430109
0.978125   320.699484   2090.237602   2721.743406   3943.657003
0.984375   369.628636   1949.076648   2752.642851   3983.877478
0.990625   500.631528   2083.231437   2948.636507   4584.704170
0.996875   575.639359   2177.439752   3037.517826   4074.527169
1.003125   572.200850   2232.572689   3033.190190   4052.683601
1.009375   550.164271   2354.146676   3038.247633   4334.295660
1.015625   539.397620   2433.294238   3072.008344   4416.543322
1.021875   537.551036   2462.557132   3071.996698   4536.567243
1.028125   535.750301   2461.123468   3073.426376   4632.893231
1.034375   492.882217   1702.498834   2474.295817   3109.236571
1.040625   456.467895   2004.553194   2525.122430   3171.263425
1.046875   445.013649   1802.223638   2537.505784   3214.723242
1.053125   436.618161   1703.176229   2530.540711   3233.597738
1.059375   445.954176   1779.801220   2505.852869   3183.992845
1.065625   458.415174   1259.963807   2469.952075   3142.175482
1.071875   476.499715   2458.471836   3107.058581   4557.436503
1.078125   506.412685   2441.487776   3089.389633   4577.936366
1.084375   493.062079   2431.751807   3091.699537   4590.763686
1.090625   461.001306   1604.884920   2400.243987   3098.722808
1.096875   474.625140   975.295053   2266.155805   3053.273645
1.103125   481.464482   2202.982104   3025.945069   4686.253851
1.109375   514.808638   2157.077218   3126.018400   4715.960389
1.115625   499.392138   2098.462018   3098.469565   4826.000660
1.121875   419.688545   2054.252835   3077.992273   4733.627191
1.128125   464.027917   2123.378507   3093.956673   4691.568407
1.134375   520.678445   2114.634805   2997.634264   4781.174095
1.140625   533.625863   2119.510355   2861.025659   4849.135824
1.146875   505.335231   1970.705447   2997.043519   4922.446679
1.153125   563.021670   1976.694833   2975.163726   4499.579960
1.159375   522.752814   1942.354622   3161.258373   5091.355374
1.165625   393.052149   1948.339476   3016.853610   4940.893461
1.171875   387.157139   1916.723380   2820.587014   4207.328717
1.178125   297.663408   1832.839839   2797.085565   4009.462288
1.184375   1734.179006   3027.916733   3535.058801   5119.182302
1.190625   288.369842   1635.985199   2820.186607   3797.920838
1.196875   297.512754   1467.255682   2577.742069   3914.477592
1.203125   387.248602   1466.611497   2533.805901   3860.327262
1.209375   398.686462   1577.835338   2539.960616   3853.396674
1.215625   457.624675   2039.665359   2785.522373   4552.586996
1.221875   482.951762   1872.149120   2564.012754   3887.434518
1.228125   576.269913   1765.814588   2614.509780   3922.590472
1.234375   630.727330   1887.074713   2620.283549   4204.105878
1.240625   671.797847   2027.224626   2876.526131   4132.279936
1.246875   635.748165   2011.368474   3227.647027   4754.284013
1.253125   634.742489   1940.258592   2661.762827   4052.333818
1.259375   637.256667   1716.291907   2624.490515   4225.434024
1.265625   602.662952   1635.306098   2683.803920   3934.215174
1.271875   578.068488   1724.598084   2821.623627   3947.918095
1.278125   601.778497   1537.249770   2802.710966   3947.585084
1.284375   944.300203   1476.319731   2763.637436   3984.662321
1.290625   767.985703   1478.003185   2816.640087   4008.476876
1.296875   672.064318   1485.475197   2948.782679   4136.860755
1.303125   650.167010   1480.517883   3021.171365   4242.377436
1.309375   551.267668   1509.640771   3049.078223   3717.455519
1.315625   555.866561   1386.453967   2730.959826   3717.266502
1.321875   562.788972   1340.143603   2584.282317   3657.590460
1.328125   577.421694   1311.429887   2568.440079   3780.335450
1.334375   595.273005   1287.752977   2514.735767   3641.314404
1.340625   613.369715   1279.532501   2648.132601   3336.336534
1.346875   628.392289   1273.801987   2553.252309   3494.889713
1.353125   641.519128   1293.614579   2646.356887   3704.715030
1.359375   641.983782   1305.302886   2628.949764   3537.341840
1.365625   645.435428   1324.759484   2654.900733   3627.609076
1.371875   659.639655   1349.029377   2744.102250   3696.000529
1.378125   664.403366   1363.468064   2772.538473   3095.722917
1.384375   671.351709   1392.026643   2591.925600   3198.978827
1.390625   698.931287   1546.272693   2896.688318   3249.649168
1.396875   666.229622   1567.599115   2602.347790   2989.813816
1.403125   616.248379   1606.710005   2256.391098   2915.136870
1.409375   554.032973   1749.355076   1973.643036   2856.563869
1.415625   499.406306   1686.083777   2849.724461   4390.679680
1.421875   483.322473   1671.005017   2918.897567   3913.378236
1.428125   489.199278   1705.552506   2883.029608   3669.226088
1.434375   487.068102   1754.366383   2949.630232   4616.720257
1.440625   491.301355   1766.426989   3074.628593   4347.795898
1.446875   497.771901   1674.468261   3036.021752   4317.236508
1.453125   526.006567   1797.458499   3090.548899   4491.897744
1.459375   568.889357   1924.599824   3041.503399   4561.772807
1.465625   621.606223   2010.957283   2981.956142   4602.726523
1.471875   627.517669   2031.786343   2994.512676   4589.311322
1.478125   604.167273   2050.999054   3046.156321   4610.125210
1.484375   580.150707   2076.699768   3101.673010   4628.751644
1.490625   574.335502   2075.974269   3114.114651   4677.717489
1.496875   564.752351   2067.384614   3136.082065   4710.392055
1.503125   544.987196   2056.724970   3050.050111   4669.093758
1.509375   522.689085   2047.914558   3082.525943   4608.790949
1.515625   480.014497   2040.439847   3108.355607   4597.139512
1.521875   465.741774   2073.841802   3162.674312   4769.834630
1.528125   485.139714   1990.763644   3018.208587   4656.155119
1.534375   483.539726   1970.917277   3138.092608   4683.683726
1.540625   585.041009   2048.141211   3333.525126   4716.737191
1.546875   588.534507   2172.633756   2693.008733   3969.354640
1.553125   593.690559   2354.289559   3508.015338   5009.619243
1.559375   571.943633   2252.083419   3093.656786   4639.344361
1.565625   569.665726   2059.231787   2950.239880   4566.870159
1.571875   538.195376   1970.174911   3053.875841   4660.282630
1.578125   504.704760   1862.021900   3023.022927   4523.403787
1.584375   490.467817   1768.937478   2891.895423   4086.026095
1.590625   520.949828   1908.299788   2914.511430   4261.530914
1.596875   561.313616   1747.172436   2708.962160   4112.042461
1.603125   538.194581   1686.576011   2697.158348   3600.046556
1.609375   532.958707   1836.561787   3037.328451   3097.286632
1.615625   594.911641   1848.309387   3050.541685   4432.475269
1.621875   552.444929   1852.510497   3116.003344   4557.941034
1.628125   503.874346   1851.703255   2836.309284   3188.612601
1.634375   493.557335   1955.047552   1973.731932   3501.721131
1.640625   566.616176   2103.754330   3537.914065   4613.296200
1.646875   643.403011   2055.033298   3309.372857   4234.905002
1.653125   748.794737   2031.787012   3174.726208   4345.958171
1.659375   763.042485   2027.862697   3095.529608   4388.026276
1.665625   724.247482   1953.434307   2938.114147   4335.618385
1.671875   667.480296   1967.943782   3376.935160   3971.997614
1.678125   642.866597   2060.259749   3244.198193   4376.552824
1.684375   708.561224   2039.781842   3242.994893   4348.029437
1.690625   670.610609   2001.089007   2956.382339   3543.357376
1.696875   660.131814   1882.404284   2413.690847   3416.587724
1.703125   628.223393   1914.578718   2415.670090   3331.912216
1.709375   542.041280   1891.976041   2563.543560   3048.085816
1.715625   568.041258   1923.615792   2942.888695   4516.535119
1.721875   628.809919   1932.060705   2987.894638   4354.594013
1.728125   655.371430   1955.870398   3000.927253   4420.135605
1.734375   661.627623   2024.358098   2096.744599   3041.128415
1.740625   674.488348   1722.414471   2087.805285   3076.418967
1.746875   682.645552   2109.491492   3045.964818   4351.023819
1.753125   686.698413   2116.541080   3031.591293   4316.090547
1.759375   692.186123   2153.159899   3069.625237   4466.723471
1.765625   695.205363   2165.161121   3072.274147   4454.600896
1.771875   696.255209   2153.853688   3085.477535   4382.187829
1.778125   699.718687   2132.669312   3081.175871   4254.841850
1.784375   703.095722   2128.196924   3040.424350   4363.049563
1.790625   701.512082   2148.453451   3020.524494   4326.561723
1.796875   700.734241   1901.801996   2161.258805   3005.373767
1.803125   701.486097   1996.527415   2162.462723   3003.681385
1.809375   698.476245   2097.484907   2239.398049   2999.124831
1.815625   694.107473   2055.004944   2335.462012   3028.240360
1.821875   687.546350   2039.441762   2177.030796   3012.112379
1.828125   675.706384   1528.118823   2020.905816   2938.944636
1.834375   653.626961   1972.249958   3005.878070   4461.946144
1.840625   548.296741   1875.442680   2560.159937   3316.920615
1.846875   511.403691   1854.451017   2182.879452   3307.650980
1.853125   504.424614   1839.334233   3303.815737   4504.539317
1.859375   480.782007   1826.868936   2060.874822   3416.776876
1.865625   474.981523   1808.791936   2163.156683   3374.600640
1.871875   495.611221   1795.523475   3321.801887   4360.988399
1.878125   517.785139   1788.367988   3292.290409   4156.206572
1.884375   527.046823   1758.997746   3129.856125   4206.566044
1.890625   568.662878   1730.980882   3207.205314   4149.330882
1.896875   657.699920   1739.210523   3221.468046   4103.492094
1.903125   743.262694   1785.974361   3036.029983   4069.382346
1.909375   808.799581   1846.876650   2818.718451   4062.847760
1.915625   839.869441   1853.398218   2797.568721   3993.873369
1.921875   829.834641   1868.200316   2822.106853   4203.771027
1.928125   816.821190   1893.808177   2835.448283   4669.751014
1.934375   826.920563   1894.109260   2752.416326   4156.546743
1.940625   833.700841   1859.354482   2733.359614   4042.599420
1.946875   835.305054   1846.536092   2741.046924   4085.174556
1.953125   842.398644   1824.540702   2678.585142   3465.949583
1.959375   835.360739   1808.134247   2642.504960   3921.879303
1.965625   859.741111   1807.142471   2625.163725   3400.488456
1.971875   905.279893   1801.031619   2585.257167   4014.478609
1.978125   892.145575   1793.498291   2606.936516   3963.321604
1.984375   836.780190   1724.396050   2570.918392   3921.095439
1.990625   884.547451   1726.041048   2570.328781   3968.885765
1.996875   927.034782   1678.971200   2520.238828   3896.095790
2.003125   913.155624   1698.560552   2561.371223   3952.652913
2.009375   960.854734   1683.171608   2571.867194   3723.684589
2.015625   955.805051   1696.284900   2572.245156   3931.551636
2.021875   975.790028   1713.525657   2570.256728   3927.103593
2.028125   931.936127   1674.401771   2519.500531   3774.433307
2.034375   930.644636   1680.677635   2504.914649   3830.968673
2.040625   930.566011   1678.142515   2530.404235   3907.790236
2.046875   894.354520   1657.040318   2528.599011   3871.342547
2.053125   935.972830   1696.675418   2537.462144   3841.836009
2.059375   894.729232   1690.804632   2509.892345   3816.108233
2.065625   860.951615   1687.180655   2527.707532   3849.136324
2.071875   871.230060   1685.289368   2551.948836   3753.319181
2.078125   859.858155   1675.681231   2585.302425   3802.154036
2.084375   869.381265   1699.583553   2610.327595   3829.950748
2.090625   867.634881   1679.846109   2592.516132   3848.253584
2.096875   862.204310   1646.767246   2551.677459   3605.703953
2.103125   851.731604   1650.348769   2562.717075   3123.218746
2.109375   824.277656   1628.236809   2611.499692   2710.694986
2.115625   783.064516   1630.848982   2574.455820   2968.674733
2.121875   739.346787   1656.763034   2546.936703   3048.981131
2.128125   720.519662   1697.109805   2513.745283   3208.932447
2.134375   720.467199   1721.741714   2540.241450   3480.878391
2.140625   715.861115   1721.216396   2692.111551   3195.408427
2.146875   711.639409   1763.093087   2220.558363   2940.419266
2.153125   703.238459   1800.758165   2983.137422   4411.322504
2.159375   687.177258   1773.698041   2944.679768   4440.981759
2.165625   684.215372   1634.025716   2828.557221   4665.008540
2.171875   896.033932   1549.424660   2913.550640   4605.210431
2.178125   916.157251   1608.095750   2802.797573   4586.098037
2.184375   800.702977   1731.122911   2809.344314   4183.141101
2.190625   774.679416   1691.423170   2813.903975   3617.038325
2.196875   783.292097   1711.272949   2731.363023   3910.760696
2.203125   798.241944   1795.257482   2875.444703   3873.539192
2.209375   759.006604   1860.595062   3016.036778   3786.002195
2.215625   780.918183   1761.496833   3223.051607   3725.294570
2.221875   761.578439   1752.416001   2972.214951   3954.768533
2.228125   752.255161   1834.456504   2819.350143   4297.220436
2.234375   756.825783   1806.808339   2858.785799   4562.983519
2.240625   811.346142   1802.796792   2937.769424   4629.270768
2.246875   719.162097   1826.064354   2570.320364   4533.116235
2.253125   692.466124   1865.472783   2532.930073   4231.610937
2.259375   723.478158   1867.402004   2731.377711   3953.945555
