Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026166   504.937020   1680.378987   2466.586600   3811.135150
0.032416   498.352821   1710.525964   2747.367532   3920.026788
0.038666   1018.220851   1991.984623   2969.051969   4105.047488
0.044916   966.838664   1702.319164   2886.357792   4008.804406
0.051166   967.338468   1659.733407   2972.090124   4101.879162
0.057416   957.956818   1932.329506   3174.449694   4528.125551
0.063666   1202.100060   2041.397658   3090.323044   4682.514636
0.069916   1137.974158   2042.741496   3099.409393   4477.892311
0.076166   869.375330   1600.599652   2530.585395   3904.688724
0.082416   732.287041   1598.845402   2718.516038   3937.882595
0.088666   896.489199   1811.854650   3095.431403   4335.487464
0.094916   1316.687294   1764.222455   3211.934119   4290.857012
0.101166   1111.055394   2124.119209   3356.926090   4541.249759
0.107416   1006.794378   1955.790157   3440.539858   4729.753706
0.113666   1084.495245   2144.960897   3539.531017   4965.043467
0.119916   875.556255   2118.730392   2330.435735   3816.521349
0.126166   860.307269   1811.097557   2679.492085   3987.434445
0.132416   840.646881   1851.333514   2910.831826   4368.670442
0.138666   810.738270   1906.308535   2992.535018   4423.631093
0.144916   1019.447837   1927.868380   2929.778260   4484.615337
0.151166   1014.216905   1872.169447   3084.307166   4408.120050
0.157416   857.821531   1864.951511   3118.794315   4322.167925
0.163666   938.914273   1994.259175   3359.361485   4691.541777
0.169916   1043.830643   2117.535938   3296.664757   4701.431358
0.176166   896.805989   1943.556040   2762.737393   3886.837465
0.182416   844.491384   1891.744305   2632.114414   3953.202355
0.188666   844.423773   1895.480516   2877.086680   3910.868840
0.194916   855.708401   1779.270286   2905.934060   3824.963660
0.201166   908.646741   1706.839842   2789.331776   4007.899523
0.207416   874.137857   1921.428333   2865.796217   4371.232322
0.213666   826.192014   1926.590287   3009.417259   4281.249488
0.219916   823.360443   1859.581302   2847.692986   4111.077811
0.226166   810.124153   1890.667619   2877.544477   4140.144337
0.232416   824.363380   1925.392382   2829.536502   3991.242350
0.238666   768.475122   1995.970387   2735.520330   4016.977012
0.244916   806.969136   1970.613665   2863.719326   3823.344058
0.251166   828.752611   1846.961782   2837.137730   3923.219820
0.257416   877.470343   1804.134788   2901.842382   4164.723727
0.263666   868.193824   1757.016852   3013.507241   4229.974609
0.269916   871.335340   1762.759295   2916.249917   4095.276450
0.276166   869.792467   1855.524146   3093.777108   4216.979775
0.282416   851.773536   1919.918793   3217.355265   3886.211563
0.288666   820.726853   1897.332984   3215.053162   4109.730423
0.294916   866.199187   1799.833773   3010.009693   4293.963116
0.301166   829.593039   1915.400847   2762.763793   4000.616263
0.307416   824.438909   1882.988344   2849.658841   3982.866519
0.313666   811.464640   1660.834487   3148.848634   3783.109437
0.319916   775.874994   1585.585407   3098.496581   4585.980578
0.326166   809.253054   1680.632259   3160.243152   4562.979831
0.332416   842.201164   1733.770933   3119.658043   4519.874519
0.338666   1102.587341   1855.183359   3093.087683   4499.154424
0.344916   1325.267851   1871.459681   3110.384231   4596.917318
0.351166   917.633847   1653.389839   3238.223810   4938.695569
0.357416   942.500786   2021.565599   3353.405724   4688.039269
0.363666   977.992034   2104.216012   3405.203730   4647.573188
0.369916   993.986276   2221.143393   3417.769194   4573.471812
0.376166   1007.764110   2121.959379   3356.759639   4798.168714
0.382416   1079.255298   2100.553132   3350.788628   4875.428357
0.388666   1131.962957   2237.020152   3321.084322   4614.026714
0.394916   926.769925   1123.305074   2564.094613   3865.240054
0.401166   1155.924646   2254.192634   3378.773253   4765.628845
0.407416   1248.236931   2252.275857   3404.006542   4985.250334
0.413666   1475.841810   1887.912220   3175.115483   4683.482994
0.419916   1407.911102   1983.065243   3160.464865   4595.728661
0.426166   1405.475550   2564.430769   3635.639598   5062.914361
0.432416   1376.350835   2562.401592   3685.789858   5023.206499
0.438666   1399.849431   2647.695707   3514.584817   4931.564369
0.444916   1313.387046   1798.832029   3195.610141   4552.182598
0.451166   1145.537875   2066.774406   3308.575047   4720.745618
0.457416   1152.182635   2090.458361   3285.734093   4758.588259
0.463666   939.795935   2015.299045   3332.007801   4682.992429
0.469916   808.692747   1811.673339   3185.397177   4563.391694
0.476166   755.443007   1785.480472   3152.451167   4606.966510
0.482416   798.559382   1722.903829   2908.743519   3678.028693
0.488666   856.144056   1649.485902   2756.795496   3622.518537
0.494916   884.668189   1779.968057   2811.118465   3763.110393
0.501166   976.243035   2028.881086   3339.728232   4538.369150
0.507416   919.950072   1763.392005   2495.529955   3991.571150
0.513666   912.932957   1615.148756   2574.182302   3980.131958
0.519916   886.714828   1630.535356   2630.629631   3896.840259
0.526166   916.493675   1580.915747   2560.726076   3924.156575
0.532416   854.156933   1552.859432   2556.980812   3926.293467
0.538666   863.168631   1681.884293   2492.683845   3757.341265
0.544916   925.029992   2029.806824   3502.116269   5187.762893
0.551166   1447.239766   2140.703779   3460.013926   5118.507382
0.557416   1378.709922   2254.450187   2301.540145   3470.248933
0.563666   1261.375018   2316.456709   2372.560361   3551.925817
0.569916   1450.581510   1499.897600   3182.033186   3576.575217
0.576166   1185.757482   1606.289071   3477.205760   3609.985106
0.582416   1197.909201   1610.478267   3488.518354   3577.678063
0.588666   1160.258115   1583.469097   3506.559257   3746.697144
0.594916   1192.098554   1567.439243   3560.149229   3899.386001
0.601166   1137.177634   1586.176119   3601.703882   3653.534805
0.607416   1194.470627   1585.700717   3620.223573   3732.098866
0.613666   1091.905405   1640.231333   3579.718850   3587.786520
0.619916   1018.714806   1673.474641   3561.431971   3733.777137
0.626166   1038.702573   1675.746993   3576.637712   3657.428095
0.632416   939.286897   1663.028999   3400.135506   3748.339936
0.638666   907.183157   1651.975179   3504.024543   3636.522856
0.644916   932.920362   1663.124882   3523.846239   3839.663280
0.651166   964.740980   1666.562181   3484.353131   3866.180148
0.657416   996.228066   1705.956424   3534.000601   4465.548804
0.663666   933.043672   1720.009115   3533.570106   3696.511204
0.669916   882.731188   1710.043033   3234.022216   3871.672107
0.676166   894.407834   1639.780440   3265.615472   3700.954125
0.682416   806.935996   1617.308079   2666.700228   3751.293455
0.688666   785.341558   1737.847064   2605.745365   3796.323152
0.694916   743.775345   1793.582348   2746.350475   3902.285246
0.701166   861.995740   1697.197418   2882.988599   4333.902479
0.707416   975.002706   1488.580192   2601.136189   4053.302034
0.713666   871.846848   1677.448525   2804.694680   3901.404807
0.719916   887.808129   1595.345242   2646.529055   3738.994302
0.726166   819.539333   1404.431861   2728.018025   3890.711486
0.732416   728.144604   1445.762856   2746.655038   3926.888227
0.738666   752.421257   1783.943730   2969.398879   4100.100448
0.744916   809.789163   1959.272082   3047.486856   4431.353947
0.751166   785.568857   2117.111944   3237.050881   4873.635421
0.757416   930.272126   2066.200746   3190.417117   4658.590191
0.763666   894.680619   2028.474996   3283.793842   4550.818947
0.769916   870.952366   2119.818287   3413.417046   4249.729549
0.776166   773.793683   1975.599869   2938.421022   4459.169211
0.782416   945.511202   2057.519219   2966.597828   4483.145900
0.788666   843.826100   2003.980357   3127.428189   4553.645136
0.794916   785.689403   2022.106795   3101.360379   3743.026424
0.801166   863.298875   2089.600751   3512.532786   4509.661798
0.807416   894.520126   2223.351426   3221.119409   4399.776240
0.813666   884.134903   2195.398505   2960.090605   4520.585733
0.819916   846.315304   2219.816941   3493.016975   4702.885997
0.826166   647.485819   2056.586761   3561.697250   4737.329185
0.832416   553.966854   1921.788150   3583.979454   4708.262117
0.838666   515.603308   1998.690878   3639.374917   4709.865873
0.844916   344.187731   1818.926960   3734.152277   4836.504679
0.851166   377.798002   1504.696615   3740.597155   4884.661834
0.857416   433.621971   1459.963580   3786.973503   4934.664145
0.863666   439.610392   1437.764696   2644.283170   3912.748490
0.869916   415.485427   1430.349474   2698.044382   3993.726609
0.876166   398.511907   1442.041047   2604.830596   4093.378869
0.882416   419.184314   1521.059382   2505.257281   4035.483373
0.888666   449.693453   1559.333648   2385.456944   4012.981268
0.894916   474.775296   1612.558945   2287.190123   4011.992749
0.901166   490.195219   1755.413292   2273.894515   4071.630137
0.907416   492.625389   1797.513663   2214.302804   4099.727019
0.913666   490.349375   1817.444738   2018.691450   4198.746801
0.919916   493.000831   1823.585764   2183.972780   4684.890235
0.926166   493.127977   1820.075848   2769.053114   4618.949886
0.932416   499.093773   1815.197581   2709.310177   4631.526323
0.938666   494.741866   1814.961605   2734.632161   4726.231148
0.944916   484.906630   1805.366015   2878.807382   4879.755105
0.951166   451.030534   1775.929654   2865.804610   4796.856080
0.957416   408.062198   1664.810168   1712.142286   4730.585690
0.963666   405.517169   1737.935328   4275.527347   5192.084180
0.969916   410.457765   1779.204278   4104.527757   5106.686977
0.976166   409.198721   1751.679882   3922.637308   4947.563313
0.982416   467.934269   1881.329754   3309.585682   4484.503081
0.988666   466.045512   2056.650515   3617.790241   4115.957702
0.994916   453.644002   2205.462700   3432.187286   4051.453622
1.001166   421.900072   2140.211800   3622.181100   5152.498011
1.007416   417.043847   1857.036088   3717.768863   4826.561140
1.013666   430.587506   2032.026427   3784.128077   4660.494346
1.019916   469.498423   2038.655493   3721.160270   4621.831820
1.026166   556.086572   2048.346497   3160.531218   4089.172983
1.032416   809.751997   2280.702254   2582.684292   4088.733370
1.038666   614.250055   2237.953342   3541.735014   4036.562032
1.044916   492.956260   1856.836775   3373.815475   4651.863306
1.051166   500.939199   1763.272233   3609.351160   4850.025514
1.057416   564.915865   1661.686947   3738.792759   4837.015914
1.063666   605.654703   1642.736957   3196.529005   4409.763955
1.069916   629.093073   1740.193835   2941.094811   4434.758496
1.076166   671.263417   1586.312313   3020.481883   4575.632085
1.082416   1303.172687   1411.825849   3868.018129   5048.124521
1.088666   1190.412357   1497.439055   3880.255400   5106.090677
1.094916   1103.944338   1976.800390   3858.725803   5080.638019
1.101166   1072.148898   1909.906137   3814.669430   4955.184212
1.107416   1026.576195   1125.526490   3104.412790   4057.240130
1.113666   938.889088   1064.862730   3185.437025   4026.059068
1.119916   880.919310   1145.633605   3114.201798   4099.529264
1.126166   608.594870   1131.535615   2983.455515   4149.246737
1.132416   515.840415   1142.442229   2764.968979   4144.765804
1.138666   539.535123   1125.800208   2570.800284   4070.656643
1.144916   564.624314   1129.057160   2574.925825   4015.778980
1.151166   542.134964   1093.995732   2589.683427   3976.262337
1.157416   529.491757   1078.078115   2422.511428   3950.605538
1.163666   560.909680   1097.647576   1737.938999   3931.696219
1.169916   556.767494   1082.299806   1943.484179   3943.660080
1.176166   555.595130   1052.602807   3898.492211   5114.759962
1.182416   564.472361   1059.033043   3899.374911   5088.194700
1.188666   594.268633   1072.874261   3864.750282   5002.420253
1.194916   720.078967   1155.573542   3786.639785   4995.515903
1.201166   602.825113   1160.892920   3786.468639   5024.496777
1.207416   599.025749   1122.967677   3813.549551   5094.772398
1.213666   645.276401   1102.460528   3858.915834   5028.793923
1.219916   601.415032   1112.054048   3958.819966   5062.133665
1.226166   486.057076   1120.144662   1494.941814   3947.001238
1.232416   467.096961   1117.489541   3926.898900   5152.065600
1.238666   485.280509   1045.886247   2760.589864   3977.861952
1.244916   497.778042   1034.517624   2760.333512   4012.263741
1.251166   490.627893   963.605489   3895.903276   5173.070962
1.257416   430.204863   963.601373   3780.380766   5107.195605
1.263666   493.361603   979.679844   3715.299063   5007.218354
1.269916   579.447180   1061.112216   3623.169436   4991.508573
1.276166   555.477789   1138.321014   3477.077919   4662.782142
1.282416   1031.623648   2848.434916   4593.666501   4732.373837
1.288666   830.649192   2443.855705   3942.769852   4729.956357
1.294916   640.602249   1776.264226   3341.716300   4281.032959
1.301166   617.275025   1718.384100   3216.564979   4157.370529
1.307416   951.281369   1676.331147   3140.598686   4115.745648
1.313666   1063.559222   1817.454952   3565.576146   4405.093064
1.319916   1041.101274   2271.513056   3638.854339   4877.658013
1.326166   929.002966   2101.184849   3533.499840   4770.040568
1.332416   919.567713   2114.654808   3396.692526   4205.093198
1.338666   1029.392583   2084.814679   3328.858546   4257.517450
1.344916   1167.766905   1977.816821   3419.760924   4295.892283
1.351166   1034.407546   2104.023598   3576.103961   4100.449699
1.357416   788.826928   1865.083249   3506.135795   4502.428995
1.363666   797.064957   1637.773969   3453.030145   4194.095203
1.369916   723.595016   1910.796260   3525.773120   4022.854120
1.376166   1454.127229   2470.894765   3594.933928   5116.360790
1.382416   884.671038   1917.990763   3487.310903   4473.254669
1.388666   743.395452   1973.310873   3471.752181   4317.268040
1.394916   713.583207   2006.228169   3434.254042   4138.732554
1.401166   773.601927   2059.862561   3526.371342   4393.417355
1.407416   773.927084   2011.278383   3337.581069   4505.624640
1.413666   719.916430   1927.934323   3477.060744   4747.946128
1.419916   738.653836   2020.446356   3565.331331   4776.217025
1.426166   785.726675   2105.796182   3367.699575   4049.002593
1.432416   1030.797208   2197.804722   3148.279487   3958.634254
1.438666   1200.585276   2198.472671   3060.917222   4052.330386
1.444916   1329.758007   2190.504966   3359.362425   4057.183928
1.451166   1239.023299   2003.722048   3516.829325   4215.334148
1.457416   1689.034828   2920.473503   3707.749871   5137.696167
1.463666   1800.994035   2902.953917   3848.729019   5136.828622
1.469916   1852.581392   3374.141714   3949.964376   5181.713541
1.476166   439.088654   1869.899892   3277.270415   4043.311509
1.482416   448.475076   1794.463554   2849.197388   4093.452731
