Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1568.340344   2051.473865   3034.514799   4378.120868
0.034375   685.955726   1589.528911   2954.502241   4434.235109
0.040625   918.724703   1554.003498   2979.262892   4399.486730
0.046875   951.849227   1802.379680   3006.811181   4321.814744
0.053125   830.458440   2075.713033   2704.010176   4224.483651
0.059375   800.869205   2076.755769   2878.577273   4321.926188
0.065625   921.352502   1989.020508   2804.535759   4049.033216
0.071875   839.043618   2053.298703   2808.999282   3804.573977
0.078125   1906.986787   2861.185169   3849.424743   4814.124681
0.084375   437.757236   1939.218337   2729.536886   4010.883358
0.090625   412.028026   1663.827884   2747.734672   3950.362450
0.096875   428.895787   1632.002052   2707.999472   3912.106923
0.103125   1282.260884   2405.968473   3587.132290   4349.668115
0.109375   1275.424042   2291.242601   3423.326694   4354.255257
0.115625   1438.199280   2242.726083   3461.089601   4781.889001
0.121875   700.599677   2028.969304   3279.114670   4457.600104
0.128125   859.942761   2070.850333   3299.731416   4445.939871
0.134375   1341.966296   2184.781452   3311.168545   4491.743574
0.140625   1046.867443   2111.437063   3221.952489   4634.826752
0.146875   817.074172   1900.634303   3109.249689   4717.360228
0.153125   905.184797   2143.260418   3131.924862   4711.712530
0.159375   455.738331   2014.955632   3090.643989   4750.594858
0.165625   530.099982   1831.708591   2888.491929   4042.949095
0.171875   452.172872   1769.677264   2733.722603   4045.627410
0.178125   286.953351   1936.332447   2785.098251   3975.134716
0.184375   184.500066   2046.807624   2759.174100   3568.128594
0.190625   927.951182   2295.471111   3288.239336   4364.382542
0.196875   679.553839   2151.605914   3216.287755   4215.581146
0.203125   649.206277   2081.865091   3145.054393   3925.613771
0.209375   710.345629   1811.442663   2717.772746   3590.243392
0.215625   748.094808   1751.047796   2841.959381   3636.942295
0.221875   729.541540   1984.722623   2981.485722   4007.375822
0.228125   1082.780673   2138.243297   3145.982989   4468.482932
0.234375   1217.784041   2252.192723   3059.657197   4201.135814
0.240625   988.343885   2243.463899   2990.614665   4199.015601
0.246875   1486.440361   2136.432501   3278.684743   3930.059122
0.253125   366.703279   1834.374570   2846.362693   3662.428900
0.259375   566.791850   1855.881659   2768.873271   3618.670981
0.265625   581.378218   1875.037502   3012.656507   4105.097286
0.271875   803.818868   1871.346004   3152.014977   4248.721095
0.278125   790.003106   2030.474019   3187.522258   4028.525021
0.284375   637.756373   1890.349537   2897.298998   3885.012993
0.290625   530.181029   1807.235243   2782.897582   3723.324130
0.296875   501.177349   2005.986031   3168.098196   3389.074730
0.303125   851.404429   2114.320770   3128.663485   4274.245828
0.309375   277.964831   1734.677486   2958.982610   4018.654673
0.315625   1648.190195   2922.936236   3739.232175   4662.310969
0.321875   1247.681047   1749.184959   3180.462211   4499.244841
0.328125   895.061009   1792.278047   3165.802209   4272.655706
0.334375   898.107939   2007.013786   3090.154240   4211.720739
0.340625   611.927485   1976.206773   2902.437494   4119.875736
0.346875   598.358902   1897.900895   2774.312490   4064.568154
0.353125   550.862617   1799.217377   2985.484868   4202.120741
0.359375   506.058337   1700.800632   3123.097177   4278.157439
0.365625   559.739702   1668.256166   3068.281166   4228.334912
0.371875   613.904199   1721.706416   3007.961459   4134.182917
0.378125   605.648479   1807.633126   2892.496000   4050.454634
0.384375   528.306218   1811.648276   2823.841552   4091.103037
0.390625   465.844284   1639.527590   2993.573626   4392.004454
0.396875   535.703269   1769.114896   3089.913623   4587.213616
0.403125   511.518396   1957.372786   3038.853991   4379.678413
0.409375   630.637860   2214.449283   3101.983326   4285.998759
0.415625   877.502004   2132.054231   3175.271883   4215.079328
0.421875   684.195089   1993.232827   3366.218523   4361.023153
0.428125   724.117392   2217.192245   3289.641164   4729.962377
0.434375   614.529892   1616.420886   2728.709984   3904.839358
0.440625   585.605538   1663.233117   2644.809862   3869.520968
0.446875   613.129731   1955.713898   3105.329782   4266.640834
0.453125   555.157712   2081.074660   3130.289315   4302.378288
0.459375   561.956521   1749.528111   2999.607037   4152.397900
0.465625   563.789554   1555.209860   2980.694640   4148.482981
0.471875   564.353082   1674.910294   2917.056970   4045.940240
0.478125   538.263372   1917.675616   3176.994191   4143.092635
0.484375   542.102009   1973.473630   3091.727324   4120.164248
0.490625   920.700227   2387.710341   3180.538328   4204.374437
0.496875   972.625923   2186.325770   3226.286377   4146.894556
0.503125   997.689519   2280.640406   3234.298206   4362.155660
0.509375   969.740929   2301.814503   3250.714953   4602.612473
0.515625   852.366060   1934.505416   3248.172348   4423.181072
0.521875   212.226596   1829.542841   3124.733595   4651.703575
0.528125   425.265347   1548.803318   2806.831557   3964.830350
0.534375   1227.636126   2819.990697   3793.709890   4914.475310
0.540625   1239.935966   2723.654956   3422.011153   4872.187642
0.546875   1041.960484   2355.061063   3318.034849   4836.191588
0.553125   954.070110   2371.086981   3293.271597   4729.070380
0.559375   985.958094   2516.242238   3182.960761   4237.978187
0.565625   878.329977   2184.791050   3198.033958   4170.578240
0.571875   654.314856   1731.213056   3112.274094   4027.312274
0.578125   439.962373   1535.707830   2909.168682   3994.681674
0.584375   847.565799   2329.869688   3092.507084   4194.877808
0.590625   643.470721   2105.147626   3159.215207   4038.574165
0.596875   777.359361   2114.181175   3096.887490   4272.661274
0.603125   901.780812   2189.924262   3026.258011   4240.011173
0.609375   1089.314064   2686.754098   3796.552280   4360.960198
0.615625   1470.000071   2890.998432   3958.040173   4938.562724
0.621875   516.722082   1489.716001   2912.972221   3965.957429
0.628125   402.993363   1497.216491   2875.432183   4029.177124
0.634375   1305.148819   2652.794180   3884.709672   5106.890645
0.640625   1299.515166   2772.715563   3560.464074   4604.881245
0.646875   1241.536042   1780.425729   3075.215010   4498.447437
0.653125   1019.364441   1738.862171   3080.380895   4200.588729
0.659375   1126.728407   1817.819329   3443.596224   4456.315712
0.665625   353.845847   1457.283187   2921.419715   3794.553588
0.671875   400.293556   1250.094147   2831.170922   3811.259111
0.678125   449.347943   1310.912839   2829.518255   3876.205070
0.684375   476.888087   1383.142791   2722.713856   3909.005502
0.690625   487.051656   1504.147267   2772.171111   4025.969259
0.696875   479.035126   1615.216451   2901.457274   3939.032632
0.703125   487.918990   1763.611466   2859.536538   3075.303774
0.709375   499.416470   1948.237938   2506.593255   3409.789117
0.715625   507.767951   1886.296442   2223.868183   3654.653446
0.721875   502.942151   1859.554301   2335.932000   3793.031937
0.728125   488.238869   1632.309955   2421.260103   3825.210164
0.734375   460.563243   1734.087807   2430.805066   3802.897377
0.740625   422.909567   2072.212809   2447.177785   3748.153841
0.746875   392.196677   2216.982357   2486.569593   3763.308645
0.753125   382.396886   2186.493902   2531.029882   3760.538816
0.759375   384.330979   2127.038136   2595.384769   3704.244916
0.765625   390.073898   2208.893047   2604.650672   3618.242971
0.771875   381.470106   2388.212923   2573.748187   3212.632062
0.778125   371.652764   2499.194288   2959.023045   4217.902713
0.784375   357.408507   2392.523264   2948.483337   4204.474497
0.790625   296.424840   2341.961438   2989.432613   4235.688703
0.796875   287.807324   2287.871007   3065.595648   4022.241799
0.803125   344.269662   2269.116663   3185.998881   4213.156351
0.809375   450.154680   2254.725060   3321.169470   4376.887029
0.815625   496.696777   2294.246360   3314.242799   4465.636141
0.821875   441.379907   2316.016917   3118.786858   3947.760098
0.828125   399.863271   2289.632081   3099.130551   3937.540241
0.834375   458.237767   2261.227273   3169.067658   3719.985506
0.840625   562.205743   2211.359053   3147.428839   3913.037702
0.846875   561.020333   2115.138742   3023.260798   3875.406533
0.853125   467.595236   1993.634346   3056.296479   4004.975036
0.859375   320.705904   2042.784470   3197.736345   4073.386702
0.865625   204.476258   2033.183271   3121.514865   3574.976427
0.871875   2099.112058   2468.570559   3732.463049   4863.049654
0.878125   2081.547988   2671.228864   3800.320736   4823.958401
0.884375   2008.615782   2385.719636   3739.537788   4882.544467
0.890625   1990.457860   2834.246329   3856.182837   4910.599607
0.896875   1930.645784   2904.907393   --undefined--   --undefined--
0.903125   134.717045   1991.935664   3040.266767   4419.546680
0.909375   368.181804   2002.944570   3285.521151   4515.055025
0.915625   1907.328547   3264.729131   --undefined--   --undefined--
0.921875   268.220823   1908.059536   2838.036718   3904.694682
0.928125   382.802462   1920.758483   2862.048289   4168.681683
0.934375   1009.962534   2303.243473   3640.932732   4615.109683
0.940625   1735.230469   2208.849608   3656.678148   4801.444093
0.946875   1155.117831   2042.755298   2856.963202   3796.380865
0.953125   1101.599448   2088.819891   2960.959618   3834.599641
0.959375   975.456968   1921.667792   2854.199771   3754.071083
0.965625   802.327107   1780.908688   2828.289415   3785.377711
0.971875   747.010736   1815.203153   2975.646483   4033.367247
0.978125   1078.331517   1958.932178   2938.314852   3955.454417
0.984375   978.292430   1878.605614   2715.912000   3819.470446
0.990625   863.818551   1857.332569   2669.572482   3831.417709
0.996875   966.121622   1818.085770   2690.913782   3878.811339
1.003125   1058.060230   1772.080160   2724.899293   3834.089454
1.009375   512.129650   1697.680606   2549.468046   3838.758003
1.015625   283.867727   1509.953392   2461.438061   3917.640502
1.021875   330.495608   1321.886508   2308.370374   4006.474486
1.028125   1182.282722   1669.790208   2331.643478   4282.777429
1.034375   1073.400934   1170.098233   2564.651062   4350.959395
1.040625   814.677729   1330.003906   2611.962160   4249.688743
1.046875   838.754447   1341.438564   2640.198816   4061.269397
1.053125   745.164130   1245.348153   2621.412763   3748.184488
1.059375   758.287287   1236.295366   2684.938013   3802.424185
1.065625   778.760190   1227.995635   2714.446965   3825.835400
1.071875   793.166538   1217.094505   2712.373478   3845.897610
1.078125   810.769297   1201.131497   2754.199556   3867.536297
1.084375   810.419125   1191.595021   2826.882465   3888.465608
1.090625   794.081042   1172.756552   2879.226981   3641.450654
1.096875   775.540701   1146.215304   2945.937202   3473.245686
