Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   863.570308   2496.875711   3066.155884   4121.276674
0.034375   1015.496559   2312.957617   3471.357528   4294.750572
0.040625   1082.004520   2298.147297   3449.253124   4294.389328
0.046875   1100.681050   2347.744226   3320.350855   4184.700002
0.053125   1616.959368   2778.467674   --undefined--   --undefined--
0.059375   1797.053434   2799.318360   --undefined--   --undefined--
0.065625   1923.744992   3194.485219   --undefined--   --undefined--
0.071875   1932.167307   3153.912899   --undefined--   --undefined--
0.078125   1916.080804   3258.241679   --undefined--   --undefined--
0.084375   1979.012671   3137.514065   --undefined--   --undefined--
0.090625   1948.816523   2958.903621   --undefined--   --undefined--
0.096875   1960.586241   2979.505094   --undefined--   --undefined--
0.103125   1966.136472   2980.162307   --undefined--   --undefined--
0.109375   1954.313328   2939.819980   --undefined--   --undefined--
0.115625   1998.056649   3018.737952   --undefined--   --undefined--
0.121875   2076.850109   3141.257841   --undefined--   --undefined--
0.128125   2124.519309   3106.258546   --undefined--   --undefined--
0.134375   2082.784592   3168.786652   --undefined--   --undefined--
0.140625   1997.617977   3133.225263   --undefined--   --undefined--
0.146875   1963.811762   3043.570990   --undefined--   --undefined--
0.153125   2029.930033   3150.832040   --undefined--   --undefined--
0.159375   2114.400347   3075.721004   --undefined--   --undefined--
0.165625   2032.898608   3140.348586   --undefined--   --undefined--
0.171875   2004.611078   3141.832517   --undefined--   --undefined--
0.178125   1983.418070   3038.718537   --undefined--   --undefined--
0.184375   1974.560805   2906.829207   --undefined--   --undefined--
0.190625   1963.825941   2907.915857   --undefined--   --undefined--
0.196875   1958.303950   2925.508168   --undefined--   --undefined--
0.203125   2010.987354   2955.427314   --undefined--   --undefined--
0.209375   2067.348382   2883.935111   --undefined--   --undefined--
0.215625   2132.912761   2874.208562   --undefined--   --undefined--
0.221875   2004.897662   2905.393608   --undefined--   --undefined--
0.228125   1984.885221   3027.671702   --undefined--   --undefined--
0.234375   1961.691309   3022.455913   --undefined--   --undefined--
0.240625   1953.284430   3035.539670   --undefined--   --undefined--
0.246875   2070.852274   2887.780678   --undefined--   --undefined--
0.253125   2039.616273   2957.038340   --undefined--   --undefined--
0.259375   2054.788132   2945.131331   --undefined--   --undefined--
0.265625   2076.494619   3117.789438   --undefined--   --undefined--
0.271875   2176.277890   3153.986213   --undefined--   --undefined--
0.278125   2093.994272   3158.547819   --undefined--   --undefined--
0.284375   2036.761486   3053.871991   --undefined--   --undefined--
0.290625   2015.670825   2924.725371   --undefined--   --undefined--
0.296875   1969.548980   2930.716968   --undefined--   --undefined--
0.303125   1987.598234   3024.204289   --undefined--   --undefined--
0.309375   2056.468169   3007.814239   --undefined--   --undefined--
0.315625   1984.970014   2953.920294   --undefined--   --undefined--
0.321875   2044.171778   3020.432832   --undefined--   --undefined--
0.328125   2058.473864   2951.588938   --undefined--   --undefined--
0.334375   2007.277473   2997.936976   --undefined--   --undefined--
0.340625   2070.134681   3120.347270   --undefined--   --undefined--
0.346875   1921.773085   3124.211456   --undefined--   --undefined--
0.353125   1935.017719   3128.319094   --undefined--   --undefined--
0.359375   1964.679825   2988.276345   --undefined--   --undefined--
0.365625   1970.337901   2955.006582   --undefined--   --undefined--
0.371875   2116.148134   3155.168240   --undefined--   --undefined--
