Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025937   806.283415   2257.593873   3108.398739   4124.059296
0.032187   987.422890   2136.596979   3291.158711   4266.540000
0.038437   1060.886711   2109.633726   3161.675993   4219.438598
0.044687   1245.762211   2451.415785   3033.069567   4239.847681
0.050937   1306.460716   2729.087088   --undefined--   --undefined--
0.057187   1322.943781   2728.655859   --undefined--   --undefined--
0.063437   1077.715484   2155.931563   3400.590263   4513.255002
0.069687   1046.964540   2026.549567   3173.919435   4651.587746
0.075937   1084.569460   2281.171663   3161.211633   4731.094091
0.082187   1147.727781   2243.371904   3386.072846   4532.803520
0.088437   1017.159681   2103.637295   3431.135150   4503.589912
0.094687   1111.857793   2106.331247   3472.304323   4467.569633
0.100937   1090.591413   2002.067387   3477.316637   4498.329152
0.107187   1120.587398   2059.554635   3485.334745   4454.480320
0.113437   1238.674811   2117.351874   3741.282098   4604.630040
0.119687   2004.548639   2114.616928   4135.882708   4805.598489
0.125937   1618.682867   2105.309545   4126.959640   5250.257190
0.132187   1439.714786   2100.602575   4091.012037   4682.781078
0.138437   2015.841978   2092.776011   4070.083160   4854.223035
0.144687   1967.655502   2255.191506   4094.066472   4858.929743
0.150937   1990.624205   2340.437521   4143.163269   4761.185324
0.157187   85.776529   2017.226474   2428.659007   4102.045132
0.163437   2002.002280   2404.485490   4024.001698   5099.229799
0.169687   1736.764577   2163.339989   3957.255821   4121.854451
0.175937   1654.930397   2141.023578   3901.062046   4629.929335
0.182187   1607.404088   2276.953672   3907.262398   4850.399145
0.188437   1735.011821   2212.275331   3944.737813   4449.825590
0.194687   1818.562732   2073.586114   3870.797448   4536.033757
0.200937   1797.343183   2054.575123   3857.166380   4792.501203
0.207187   1345.461115   2038.311046   3862.039031   4383.624926
0.213437   2016.101509   3886.284144   --undefined--   --undefined--
0.219687   1574.017097   2051.466027   3867.843340   4327.424682
0.225937   1331.042555   2124.692453   3743.925715   4308.948986
0.232187   1586.933448   2147.600967   3678.769005   4322.977269
0.238437   1561.716363   2085.460890   3773.165481   4318.296974
0.244687   1363.189600   2078.285942   3643.904037   4322.914353
0.250937   1226.722520   2060.755654   3719.126363   4261.270003
0.257187   1121.864178   2008.269014   3757.873836   4183.539816
0.263437   1166.142924   2113.335111   3878.768473   4387.608137
0.269687   1144.281036   2158.170763   3757.663147   4424.532467
0.275937   1139.583306   2089.856527   3715.980704   4221.499763
0.282187   1205.457916   1960.371940   3583.608317   4285.830251
0.288437   1314.050791   2030.899958   3679.322481   4282.600517
0.294687   1316.792725   1981.040535   3674.978940   4071.994035
0.300937   1078.928944   1958.060006   3363.962368   4129.189121
0.307187   1156.130279   1877.306258   3419.878902   4098.765095
0.313437   1067.735175   1867.272038   3491.460055   4028.683024
0.319687   961.519283   1863.800822   3326.300866   4063.230552
0.325937   1079.313067   1836.434808   3316.527577   4296.476227
