Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1394.653945   2671.642841   3454.259930   4181.420118
0.034375   1461.519807   2704.715934   3455.230830   4022.991219
0.040625   1440.297884   2092.011701   3405.845313   4216.390149
0.046875   1065.932362   2159.493191   3285.770949   4474.854942
0.053125   250.521913   1198.502165   2854.959521   4076.246999
0.059375   1095.896805   2398.485576   3254.526061   4043.288827
0.065625   1144.906095   2131.918423   3115.601921   4257.689551
0.071875   398.550906   1812.297555   2941.318803   4265.002092
0.078125   591.264405   1799.909975   2922.469296   4169.754568
0.084375   613.315801   1598.993434   2884.446540   4179.718063
0.090625   1149.450115   2370.159655   3113.058300   4097.973025
0.096875   1247.998431   1873.325553   3696.585905   3917.853122
0.103125   607.948062   1833.548950   3525.718190   3914.529556
0.109375   1060.779473   2174.069890   3377.645339   4116.845183
0.115625   961.899041   2281.967539   3359.708429   4164.834038
0.121875   506.299424   1997.243270   3181.828007   4299.911251
0.128125   626.775005   2089.746736   2644.854060   3632.814988
0.134375   739.597579   2487.317991   3294.289475   4024.474514
0.140625   992.015191   2091.211035   3169.597043   4270.724076
0.146875   987.310730   2295.048451   2935.336142   3948.319492
0.153125   490.717673   1686.590430   2837.260202   3966.584236
0.159375   567.311165   1764.737198   2910.116622   3961.031396
0.165625   522.874337   1744.259866   3011.472184   3915.888573
0.171875   608.419491   1868.022441   2969.044984   3869.296512
0.178125   491.538422   1691.549576   2447.059108   3828.954694
0.184375   1422.906124   2293.936614   3278.905212   4443.959371
0.190625   612.570249   2194.246586   3126.098637   4165.600766
0.196875   518.053790   2026.763580   2576.686486   3885.107723
0.203125   580.065127   1920.200354   2621.316018   3800.831190
0.209375   789.075263   1934.707368   2862.220726   4112.910573
0.215625   446.965957   1660.335558   2782.303747   3745.064994
0.221875   1218.545187   2449.171373   3214.962098   4344.132013
0.228125   1180.913013   2199.497860   3152.750738   4441.233239
0.234375   1050.857207   2193.818805   3233.737168   4385.127121
0.240625   799.476708   2067.446406   3358.892702   4532.180109
0.246875   629.045178   1986.383153   3455.438759   4070.338891
0.253125   590.963618   1987.947606   3516.509652   4351.299636
0.259375   594.746136   2010.914951   3114.167001   4244.269342
0.265625   637.116554   1980.242805   3040.869033   4177.618029
0.271875   580.749357   2169.358366   3594.688335   4284.019184
0.278125   400.153078   2256.680680   3470.600773   3984.094696
0.284375   429.977279   2153.278194   3416.682197   4015.046019
0.290625   1917.191292   2964.262229   3964.407817   4654.226396
0.296875   1897.720307   2994.947511   3842.270779   4034.878635
0.303125   681.778464   2158.493847   3194.941819   4058.378442
0.309375   622.901309   1870.788245   3137.477132   4228.140409
0.315625   667.535015   1832.394833   3531.770768   4104.321649
0.321875   654.095066   1812.852756   3241.024746   4234.788001
0.328125   654.608813   1852.191071   3309.534833   4120.127223
0.334375   705.386941   1880.530556   3454.265052   4227.743282
0.340625   1177.143474   1970.156260   3438.920396   4229.548442
0.346875   988.826608   2001.504603   3510.482482   4209.656734
0.353125   820.663772   1976.420922   3498.018580   4111.569904
0.359375   807.515762   1967.888942   3527.811085   3668.190389
0.365625   882.575707   1997.943622   3444.854379   4401.483571
0.371875   703.883190   1965.374380   3361.331444   4174.091305
0.378125   628.200731   1905.985155   3297.217977   3825.966263
0.384375   701.488801   1933.795901   3449.049878   4454.045228
0.390625   887.851447   1950.962123   3495.215649   4443.184710
0.396875   737.009430   1976.601731   3590.031684   4289.729782
0.403125   753.235821   1968.254181   3652.211722   4377.081848
0.409375   729.241393   1834.612669   2889.006553   3753.285533
0.415625   900.505496   1899.245164   1915.379382   3564.963726
0.421875   1139.757695   2078.048843   3443.653913   4409.391049
0.428125   1102.904435   2069.101988   3515.761227   4280.455973
0.434375   658.121290   1958.602865   3458.994628   4165.412383
0.440625   549.738772   1942.367749   3260.647455   4094.741171
0.446875   625.791514   1979.863935   3204.738555   4131.265278
0.453125   822.020082   1981.012700   3137.878570   4222.256445
0.459375   1261.026997   2006.929099   3434.973548   4337.221486
0.465625   711.420494   1939.909574   3398.309520   3459.571268
0.471875   1243.020883   1957.771965   3463.059749   4508.599773
0.478125   1022.986939   2021.058621   3493.797937   4434.393457
0.484375   1096.988917   2022.847356   3533.504017   4451.130820
0.490625   723.956478   1884.927326   3382.146965   3935.597827
0.496875   687.519617   1816.115003   2758.427323   3774.023483
0.503125   594.881275   1795.601041   2723.261931   3612.923657
0.509375   549.965091   1779.783840   2676.366908   3609.491950
0.515625   595.697850   1767.041957   2858.746508   3902.961567
0.521875   640.524484   1843.984245   2921.948214   3833.324306
0.528125   671.663238   1914.842706   2852.995607   3615.531899
0.534375   619.905156   1940.464229   3319.308326   4427.670408
0.540625   852.714861   1979.072403   3237.156603   4337.694634
0.546875   820.740575   1987.097701   3209.456157   4221.831769
0.553125   685.873167   1979.458388   3227.119613   4256.187433
0.559375   684.675643   1981.462200   3256.228565   4379.610792
0.565625   707.829862   1922.027816   3250.186762   4227.041746
0.571875   789.032571   1984.202031   3171.278955   4245.525134
0.578125   809.364742   1986.045771   3265.284030   4293.314308
0.584375   823.012136   2006.880722   3318.185284   4354.909557
0.590625   722.027902   1894.050020   3249.957045   4365.507279
0.596875   764.609432   1903.718432   3260.492625   4377.504135
0.603125   718.110671   1880.744617   3077.285615   4169.400642
0.609375   611.351361   1822.305499   3081.405046   4189.988836
0.615625   287.414823   1591.418389   3107.635665   4232.877423
0.621875   421.990586   1543.011933   3035.279147   3996.851309
0.628125   537.193892   1721.940911   3068.708308   4313.684043
0.634375   650.082664   1764.919981   3071.048330   4269.526334
0.640625   695.516837   2041.203617   3293.877976   4686.811977
0.646875   696.810594   2080.209407   3310.080668   4385.401408
0.653125   623.228852   1952.242615   3190.561553   4228.909462
0.659375   504.159651   1887.815517   3126.856673   4315.720256
0.665625   973.838599   1977.920696   3152.157952   4417.510207
0.671875   658.585669   1647.301054   2981.359108   4364.908990
0.678125   695.650693   1701.550662   2852.809238   3925.168146
0.684375   742.019297   1805.139584   2717.639589   4064.983553
0.690625   798.578258   2311.934915   3557.533247   4212.323897
0.696875   774.541741   2306.390800   3529.081496   4445.766465
0.703125   802.576439   2530.302406   3382.023882   4310.063385
0.709375   783.545330   2357.111556   3241.501471   4288.608390
0.715625   804.228872   2269.815672   3209.700039   4264.461565
0.721875   801.524694   2120.390849   3333.464744   4212.971149
0.728125   857.118054   2125.595027   3635.507382   4237.382071
