Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   642.812220   1784.320616   2607.752248   3913.996538
0.034375   515.776254   1763.246312   2536.137951   3895.399416
0.040625   411.299025   1896.136098   2490.045580   3821.805131
0.046875   644.862108   2015.348525   3332.495858   4287.010846
0.053125   809.319432   2022.638881   3371.064973   4362.126596
0.059375   264.506401   2080.513007   3151.385818   4387.130175
0.065625   248.158012   1779.920793   2904.336965   4238.077525
0.071875   150.459706   2289.079909   3267.906687   4535.224151
0.078125   239.960453   2244.011411   3019.667672   3484.525972
0.084375   2233.246045   2854.862764   3453.422716   5393.895072
0.090625   1081.434297   2278.880168   3400.264529   4736.792363
0.096875   198.336416   1928.142802   2963.147586   3385.773596
0.103125   239.726937   2020.508110   3208.135432   3564.838670
0.109375   269.313630   2133.852232   3356.142061   4525.100861
0.115625   297.050280   2217.477040   2246.435150   3533.390679
0.121875   322.341144   2198.986573   2261.182229   3783.130001
0.128125   854.291759   2336.766990   3708.786282   4881.339710
0.134375   225.492463   2210.634673   2507.440540   3677.461996
0.140625   61.431169   2259.284600   3030.361369   3607.970246
0.146875   235.393053   2235.693356   3355.738425   4266.895382
0.153125   264.848321   2244.084871   3111.551995   3851.599111
0.159375   262.347398   2329.517805   2447.235842   3292.994186
0.165625   416.824553   2263.778686   2811.480552   3198.052247
0.171875   239.885033   2263.597187   2813.885772   3805.019644
0.178125   290.713289   2248.387956   2874.588375   3753.372757
0.184375   363.067267   2309.782293   3178.029997   4262.897829
0.190625   307.864440   2254.232597   3064.332982   4241.226600
0.196875   386.267002   2233.766085   2922.137510   3594.076947
0.203125   403.203146   2284.004768   3002.077833   4274.629756
0.209375   358.262966   2339.172072   3114.309381   3902.255362
0.215625   346.276269   2287.107230   2746.601917   3917.946151
0.221875   288.573997   2256.651909   2736.712344   3760.185334
0.228125   423.253303   2323.413797   3121.150686   3171.612256
0.234375   463.278442   2234.826742   3083.997167   4213.584428
0.240625   415.002333   2267.535575   3204.942257   4097.036989
0.246875   243.653627   2319.463585   3253.628027   4413.740322
0.253125   488.390889   2288.613927   3264.658148   4466.789710
0.259375   511.512357   2344.263536   3195.677223   4244.313018
0.265625   661.360101   2449.129780   3187.357856   4302.194785
0.271875   533.187425   2343.246048   3192.545660   4288.342374
0.278125   481.622989   2261.275560   3158.821598   3574.077823
0.284375   552.933327   2281.622404   2980.992837   3451.016106
0.290625   591.137492   2356.344047   3283.603950   4287.773903
0.296875   545.421729   2355.110481   3278.895596   4738.437850
0.303125   564.007470   2352.751775   2645.010762   3378.737209
0.309375   609.045479   2208.480239   3091.218938   3291.265525
0.315625   424.694761   2248.236766   3148.308689   3514.561121
0.321875   389.210903   2290.716826   2901.379628   3375.091648
0.328125   418.172787   2273.518789   2885.313151   3457.733259
