Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027378   482.802350   1515.753778   2621.918801   3867.597346
0.033628   236.100960   1388.313115   2630.480043   3895.692306
0.039878   1316.958966   2611.077701   --undefined--   --undefined--
0.046128   1348.243049   2666.194313   --undefined--   --undefined--
0.052378   1514.570304   2752.231569   --undefined--   --undefined--
0.058628   2020.606478   2996.193992   --undefined--   --undefined--
0.064878   2063.977788   3045.207068   --undefined--   --undefined--
0.071128   2068.473664   2924.994545   --undefined--   --undefined--
0.077378   1514.733395   2427.655159   --undefined--   --undefined--
0.083628   1609.249187   2372.387629   --undefined--   --undefined--
0.089878   2053.750072   2759.082665   --undefined--   --undefined--
0.096128   2021.104213   2785.402952   --undefined--   --undefined--
0.102378   2007.008399   2897.794852   --undefined--   --undefined--
0.108628   1509.090652   2143.715950   --undefined--   --undefined--
0.114878   1959.660419   2957.866383   --undefined--   --undefined--
0.121128   1801.432075   2875.717130   --undefined--   --undefined--
0.127378   1916.546341   2796.811108   --undefined--   --undefined--
0.133628   1699.784178   2585.010870   --undefined--   --undefined--
0.139878   1718.621110   2780.597620   --undefined--   --undefined--
0.146128   1796.492518   2845.506311   --undefined--   --undefined--
0.152378   1729.265882   2835.678685   --undefined--   --undefined--
0.158628   1718.329713   2287.170194   --undefined--   --undefined--
0.164878   1406.630322   2118.481864   --undefined--   --undefined--
0.171128   1395.106265   2217.351454   --undefined--   --undefined--
0.177378   1541.660113   2408.802635   --undefined--   --undefined--
0.183628   2033.631777   2668.752077   --undefined--   --undefined--
0.189878   1964.833962   2860.685273   --undefined--   --undefined--
0.196128   1979.019773   2968.944938   --undefined--   --undefined--
0.202378   1967.313201   3014.259898   --undefined--   --undefined--
0.208628   1763.700415   2799.879959   --undefined--   --undefined--
0.214878   1880.929113   2820.057581   --undefined--   --undefined--
0.221128   1830.631196   3017.476892   --undefined--   --undefined--
0.227378   1903.720834   3116.758902   --undefined--   --undefined--
0.233628   1717.658584   2886.289685   --undefined--   --undefined--
0.239878   1695.880824   2870.406856   --undefined--   --undefined--
0.246128   1744.479044   2864.903835   --undefined--   --undefined--
0.252378   1695.691270   2823.995354   --undefined--   --undefined--
0.258628   1427.932322   2799.570755   --undefined--   --undefined--
0.264878   1406.568075   2427.333227   --undefined--   --undefined--
0.271128   1655.043642   1774.037574   --undefined--   --undefined--
0.277378   1832.430923   --undefined--   --undefined--   --undefined--
0.283628   1757.496743   2891.355295   --undefined--   --undefined--
0.289878   1694.973985   2691.623439   --undefined--   --undefined--
0.296128   1777.426790   2757.703404   --undefined--   --undefined--
0.302378   1666.581428   2474.789514   --undefined--   --undefined--
0.308628   1542.243255   2503.396606   --undefined--   --undefined--
0.314878   1485.555627   2737.847126   --undefined--   --undefined--
0.321128   1469.251570   2890.517257   --undefined--   --undefined--
0.327378   1386.299432   2820.994295   --undefined--   --undefined--
0.333628   1176.930754   2406.827029   3413.323373   4374.809978
0.339878   1062.536853   2224.802519   3376.123524   4298.065714
0.346128   1038.942343   2027.637691   3262.444541   4358.149761
0.352378   1107.549231   2226.795321   3463.061749   4592.294727
0.358628   1173.480029   2103.190325   3478.534286   4381.561560
0.364878   1118.207113   2025.922883   3378.267967   4330.303199
0.371128   985.282829   2025.752856   3616.619656   4014.967978
0.377378   639.071391   1619.124445   2942.939783   4264.952690
0.383628   1228.615387   2112.412896   3410.673160   4371.444675
0.389878   729.261828   1334.245736   2915.985747   3876.060432
0.396128   1134.902499   2216.431301   2607.972366   4188.752411
0.402378   1400.622790   2546.672454   3280.695512   4304.916776
0.408628   1512.555147   2607.306170   3728.225408   4653.392452
0.414878   1480.757273   2051.715527   3410.822581   4648.345277
0.421128   1216.441687   2404.686319   --undefined--   --undefined--
0.427378   1327.550476   2405.595794   --undefined--   --undefined--
0.433628   1335.818519   2507.178097   --undefined--   --undefined--
0.439878   1232.086142   2421.526067   3734.454019   3976.478053
0.446128   1120.181863   1984.477409   3756.314639   4204.885132
0.452378   1025.969675   2072.230316   3663.090341   4938.119831
0.458628   712.384844   2068.629239   2566.479986   3758.891024
0.464878   1305.908511   2263.105331   3536.271854   4708.752170
0.471128   907.839707   1734.351066   2843.177881   4492.133733
0.477378   709.835535   1753.966608   2788.764257   4532.037749
0.483628   1456.754914   2108.899903   3255.396097   4810.830986
0.489878   1457.989149   2070.417156   3228.658199   4991.840784
0.496128   1444.852137   2072.549749   3235.686206   5011.102794
0.502378   1433.330492   2080.160422   3284.503945   5076.592847
0.508628   1060.265683   1563.417792   2374.142367   3963.710528
