Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025605   795.711734   1948.883203   3124.266896   4337.251074
0.031855   772.941733   1763.472313   2983.258157   4220.212461
0.038105   756.568220   1656.097085   2778.988327   3938.892733
0.044355   725.932586   1736.558137   2835.132443   3947.891766
0.050605   740.428981   1837.303204   3023.333611   3784.977207
0.056855   882.639087   1836.000124   2983.916600   3663.692586
0.063105   793.846695   1802.965460   2894.411545   3689.835627
0.069355   776.770379   1849.101636   2932.264546   3874.467551
0.075605   704.267277   1877.542815   2738.689023   3943.490490
0.081855   784.646774   1964.389385   3274.485860   4677.703164
0.088105   697.852454   1978.217505   3067.050673   3783.492182
0.094355   692.583790   1959.688238   2995.854568   3982.521304
0.100605   671.236046   1932.045238   3235.817494   4306.003037
0.106855   701.848494   1923.492675   3100.472583   4154.517912
0.113105   791.113011   2000.134324   2958.439175   4042.580871
0.119355   815.794030   2000.372224   3227.325438   3851.328645
0.125605   872.220245   1977.520705   3232.360623   4543.316118
0.131855   1141.179733   2119.749181   3234.447087   4426.476020
0.138105   1160.433222   2060.219490   3065.936699   4408.285177
0.144355   885.851551   2023.097103   3018.627260   4061.878413
0.150605   891.545778   2028.021168   3236.404651   4308.886865
0.156855   1019.953908   2178.629271   3364.751119   4396.759935
0.163105   931.591464   2063.734631   3277.697553   4285.683166
0.169355   982.571885   2033.092499   3244.452148   4351.958125
0.175605   1010.453525   2077.969639   3286.272325   4419.844380
0.181855   798.542942   2133.073405   3324.817396   4324.055120
0.188105   938.023137   2066.004666   3359.513729   4338.690632
0.194355   1050.293127   2078.236911   3405.625206   4123.059654
0.200605   1137.686406   2167.011851   3365.203231   4247.272190
0.206855   1100.569874   2093.217363   3271.771150   4318.895586
0.213105   1049.110351   2059.198839   3311.562039   4312.790793
0.219355   1149.291290   2136.099959   3299.774187   4374.371334
0.225605   1202.237963   2161.031385   3326.266178   4419.615349
0.231855   1276.941919   2267.219783   3342.531019   4397.433706
0.238105   1260.509354   2312.668342   3248.607829   4300.872179
0.244355   1064.946957   1684.112907   2797.001208   3839.338198
0.250605   1122.931680   1642.936600   2968.179372   3846.495673
0.256855   1100.910370   1835.611727   2959.015602   3949.231424
0.263105   1130.256784   2052.227111   2820.389474   3930.777234
0.269355   1103.012222   2052.020691   2823.133842   3878.964454
0.275605   1051.836602   1796.973690   2563.788897   3952.840739
0.281855   1124.996741   1779.248236   2792.342388   3880.776359
0.288105   1024.468848   1840.276256   2733.585023   3931.208128
0.294355   1151.772984   1928.575650   2404.871040   3932.739761
0.300605   1174.874048   1375.377627   2362.788736   3889.755975
0.306855   1261.895305   1414.181954   2629.515682   3968.453329
0.313105   1223.208243   1483.997492   2706.059013   3912.235083
0.319355   1083.362109   2071.033927   2774.440776   3945.242521
0.325605   1120.539604   2268.436681   3819.167719   5059.558636
0.331855   1279.315149   2362.425995   3672.299585   4751.010691
0.338105   1335.666331   2364.319441   3629.099192   4701.398441
0.344355   1331.626683   2414.285583   3883.736416   4564.467235
0.350605   801.072760   2246.053406   3533.284544   4235.609439
0.356855   962.561263   1867.670063   2963.388881   3988.972730
0.363105   977.788863   1838.152622   3086.618214   4017.789017
0.369355   963.451346   1808.822912   3148.556170   3926.143984
0.375605   1275.881992   2513.108262   3674.625819   4235.890344
0.381855   1127.445121   2293.808125   3614.087392   4387.208703
0.388105   889.649366   2230.167498   3667.047583   4854.834785
0.394355   1038.617835   2192.046986   3674.577191   4461.590188
0.400605   1138.130578   2119.382244   3719.916161   4668.386450
0.406855   787.726729   2094.603012   3465.783134   4454.010974
0.413105   556.815682   1610.990705   3158.929091   3954.434568
0.419355   1234.028939   1570.432244   3198.060597   3771.371831
0.425605   1264.130394   1284.212204   3226.201861   3753.422335
0.431855   1290.526696   3273.758523   3656.914751   3890.269741
0.438105   1288.516010   2704.657056   3627.304380   4171.413393
0.444355   1436.446591   3177.493754   --undefined--   --undefined--
0.450605   1413.973247   2797.846293   3625.485811   4328.424722
0.456855   1417.122369   2313.040180   3306.207719   4493.700517
0.463105   1408.347365   3104.936058   4689.170996   4902.393713
0.469355   445.270378   1515.571743   3076.348670   4618.898119
0.475605   483.286963   1644.044263   3083.451811   4635.710285
0.481855   483.569836   1809.810233   3073.969173   4662.563332
0.488105   480.193328   1983.058153   3074.558645   4609.703903
0.494355   477.867540   2078.235838   3026.529449   4605.801155
0.500605   472.206896   2159.001772   2940.114896   4603.866434
0.506855   473.386055   2210.780351   2921.310429   4591.370287
0.513105   483.196378   2244.108727   2920.094262   4583.411326
0.519355   493.402691   2286.262499   2945.345463   4555.511453
0.525605   505.766918   2320.944679   2967.999726   4615.189432
0.531855   499.075012   2343.648368   2988.675282   4589.969593
0.538105   481.791281   2328.668283   3016.436380   4593.767505
0.544355   469.698970   2303.295681   3047.375679   4616.195730
0.550605   461.047608   2301.036237   3079.889220   4648.676747
0.556855   439.627929   2288.643855   3055.699812   4670.712559
0.563105   409.906714   2270.947214   3073.283418   4702.889820
0.569355   394.135272   2268.974479   3105.454926   4732.859665
0.575605   369.211087   2149.161287   3107.462177   4754.195236
0.581855   328.874261   2109.674311   2968.127145   4691.076826
0.588105   291.528910   2171.968996   2896.871572   4694.549280
0.594355   273.340695   2106.444275   3011.773904   4615.574739
0.600605   288.018233   2100.953989   3087.762675   4593.833612
