Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1296.774452   1474.890933   2624.092306   3778.146934
0.034375   1329.748410   1441.837832   2626.976983   3779.414116
0.040625   1366.311673   1551.435679   2892.688937   4680.657122
0.046875   1400.916623   1611.639685   2882.616498   4571.397415
0.053125   1416.800269   2184.798315   3005.609730   4527.287325
0.059375   912.239487   1979.131064   3375.955657   4040.547026
0.065625   711.184238   1958.170191   3254.156523   4000.461465
0.071875   658.592850   1918.235732   3257.149194   4013.590604
0.078125   598.927547   1884.859653   3049.694393   4032.481108
0.084375   612.656810   1999.062410   3035.056831   4256.356305
0.090625   708.169129   2059.689709   3233.264671   4269.800598
0.096875   1079.726596   2090.147570   3303.668534   4272.684153
0.103125   811.932754   2141.543731   3477.924280   3950.293725
0.109375   743.578966   2169.234662   2887.017549   3869.460770
0.115625   732.136989   2172.641072   2703.252486   3820.246232
0.121875   697.529019   2158.704741   3535.793920   4492.144404
0.128125   1064.140460   2206.320907   3349.301144   4559.935769
0.134375   1180.441903   2243.737623   3247.489316   4306.083910
0.140625   737.121051   2217.268011   3035.090576   3811.895974
0.146875   880.272165   2197.621939   3315.884833   4137.453031
0.153125   959.133114   2283.681246   3110.793627   4639.656936
0.159375   754.973643   2234.593844   2543.808862   3669.611340
0.165625   683.287553   2176.190560   2519.408054   3763.238577
0.171875   619.043668   2370.814473   2588.597639   3699.385032
0.178125   739.285293   2369.574954   2540.951724   3515.594972
0.184375   852.196133   2273.068545   3237.216506   4368.594538
0.190625   1121.783039   2287.916326   3349.834761   4332.778606
0.196875   885.870645   2334.822687   3336.093197   4014.628990
0.203125   660.096679   2061.618474   2706.406247   3690.478028
0.209375   626.241742   2283.855591   2721.167843   3700.247918
0.215625   666.049550   2319.274688   3014.613830   3880.592207
0.221875   700.523671   2350.570074   2792.763296   3723.414485
0.228125   698.603615   2339.512801   2908.495698   3503.742633
0.234375   712.060471   2312.385750   2878.343363   3459.733972
0.240625   755.602741   2267.710113   2817.610610   3817.199800
0.246875   678.082251   2090.217676   2753.825847   3791.423320
0.253125   682.334094   2254.988328   2675.321663   3698.288586
0.259375   738.735330   2385.572239   3293.383111   3392.863318
0.265625   681.501739   2298.646144   3219.190790   3858.596787
0.271875   670.222927   2273.662241   3085.612242   4012.529091
0.278125   768.055000   2348.393738   2986.720287   3893.582952
0.284375   1220.615436   2552.864770   3689.000265   4599.496713
0.290625   801.867106   2097.317280   2615.379912   3781.289261
0.296875   764.835523   2421.254616   2434.219606   3722.449276
0.303125   847.200411   2394.144788   2761.996355   3911.818938
0.309375   869.511221   2342.678330   3238.489674   4016.492124
0.315625   762.720135   2405.174600   2879.926037   3864.215698
0.321875   781.848982   2423.792209   3138.652366   3899.450969
0.328125   831.083669   2324.590981   2948.135375   3894.592284
0.334375   782.376140   2322.036842   2827.619986   3878.035770
0.340625   833.186036   2367.692091   3235.723380   3866.301072
0.346875   756.483499   2310.559872   2842.749392   3602.899172
0.353125   915.796403   2320.361098   3330.863814   3621.953386
0.359375   875.602601   2044.925193   2776.267527   3733.192028
0.365625   855.021862   1844.038745   2797.437737   3727.734933
0.371875   769.664178   1847.237077   2731.881697   3720.238678
0.378125   755.059476   2040.441243   2946.652940   3920.619944
0.384375   789.271684   2074.938529   3044.619881   4089.945498
0.390625   884.338523   2166.726002   3080.611775   4046.280933
0.396875   832.513355   1910.240081   2827.937781   3859.901579
0.403125   787.673173   1913.049353   2835.411169   3788.355057
0.409375   815.800085   1978.125589   3069.614055   4142.052105
0.415625   965.344410   1855.207279   3001.055899   4053.977073
0.421875   1551.912299   1635.170527   2922.020719   4073.506830
0.428125   1087.811120   1996.525683   3141.596000   4269.658521
0.434375   1086.689206   2226.038373   3236.968815   4253.375962
0.440625   1115.217431   2357.754106   3276.776150   4128.456228
0.446875   913.346358   1859.971612   2856.143142   4039.596174
0.453125   947.525651   1772.033089   2939.383758   4056.926109
0.459375   738.739101   1718.595615   2976.000583   4061.229419
0.465625   787.873035   1923.114732   2958.798032   4063.093835
0.471875   940.908725   2046.607561   2854.081611   4026.237854
0.478125   1148.219254   1373.092848   2253.184006   3529.370789
0.484375   1177.229176   1866.790409   3236.176761   3997.578496
0.490625   1120.277822   1990.379240   3096.711181   3750.159569
0.496875   1186.632899   2086.156771   3303.337769   4161.457486
0.503125   1249.521658   2106.040691   3332.504891   4368.179822
0.509375   933.357126   1472.476292   2105.686843   4122.224246
0.515625   677.223865   1890.583779   2121.694810   4134.113465
0.521875   697.047032   1693.113837   2483.217094   4121.089493
0.528125   765.264762   1599.687840   2964.710257   4213.650051
0.534375   827.563607   1703.786380   2909.952784   4323.230515
0.540625   758.844447   1586.412796   2633.404172   4293.264240
0.546875   1467.371792   2144.456625   3467.729998   4680.699514
0.553125   1463.065526   1760.450132   3462.443131   4602.392042
0.559375   1000.519358   1620.608100   2923.936323   4391.505018
0.565625   891.454479   1638.001271   2889.886521   4294.038903
0.571875   929.597724   1769.906286   3514.830021   3562.807454
0.578125   451.550861   1747.128138   2720.922433   3784.748713
0.584375   516.774505   1943.725430   2286.337561   3574.697664
0.590625   546.406301   2315.728380   3129.738813   4531.166208
0.596875   542.791628   2379.271439   3182.388747   4371.172197
0.603125   543.847846   2500.393931   3204.217493   4382.391129
0.609375   544.064168   2699.032991   3205.811105   4366.408044
0.615625   537.913900   2729.824784   3256.270525   4376.603915
0.621875   526.044100   2687.488145   3242.875582   4472.431518
0.628125   514.533014   2622.031360   2718.122872   3178.311162
0.634375   505.518534   2331.627421   2696.665478   3169.523650
0.640625   503.959477   2335.792960   2766.193178   3114.161164
0.646875   496.946579   2334.431151   2816.036646   3219.142536
0.653125   490.828267   2087.513810   2791.490099   3310.722651
0.659375   495.454419   2156.342641   2751.185010   3275.236623
0.665625   506.779857   2082.397019   2742.998542   3331.856198
0.671875   519.721246   2089.035649   2737.686171   3364.253494
0.678125   532.240604   2303.035835   2677.960999   3336.548990
0.684375   555.685983   2492.456665   2495.757486   3267.899999
0.690625   576.740732   2373.674247   2441.070939   3273.617199
0.696875   576.791050   2255.539321   2556.780339   3295.419975
0.703125   579.172179   2213.312218   2344.577565   3289.092655
0.709375   569.385675   2025.862479   2208.990344   3336.953136
0.715625   553.289558   1864.740778   2135.143342   3321.138913
0.721875   561.980867   2013.549984   3222.999564   4573.294992
0.728125   559.383063   2000.049122   3187.234964   4531.025814
0.734375   464.506076   2022.636024   3262.157695   4492.212923
0.740625   388.145138   1983.354895   3177.514045   4421.799105
0.746875   378.630154   1984.489584   2953.231664   4422.135572
0.753125   410.678693   2049.491227   2983.070696   4425.781950
0.759375   406.149220   2001.513691   2965.354713   4455.646888
0.765625   871.381333   2049.448966   3267.374287   4592.997040
0.771875   1153.667759   2008.357770   3438.147229   4716.239751
0.778125   1095.990968   1927.559383   3139.020543   4395.773152
0.784375   1159.445620   2000.657291   3231.566364   4454.246114
0.790625   1276.389367   2115.533776   3538.631804   3651.334472
0.796875   1061.354587   2115.146991   3160.057055   3765.343025
