Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1812.437148   2649.979542   3729.263933   5091.399774
0.034375   1762.314891   2658.814550   3739.862828   4890.084513
0.040625   1748.172248   2717.813176   3750.538868   4878.532219
0.046875   1758.357278   2739.481272   3749.313805   4881.144080
0.053125   780.214766   2496.452290   2647.094466   3643.067865
0.059375   738.316124   2037.936275   2758.901875   4037.721144
0.065625   723.592546   1872.895884   2703.409886   3940.560049
0.071875   809.857884   1939.474282   2738.672669   3882.445466
0.078125   734.440614   2047.838729   2819.697934   3822.097251
0.084375   721.117507   1823.040820   2687.106551   3874.429980
0.090625   944.551667   1895.392752   2625.072183   3778.478717
0.096875   979.520510   2051.143210   2898.782173   4101.279778
0.103125   850.571188   1911.468829   2696.910512   3937.035354
0.109375   844.586043   1773.849460   2736.160885   4099.298890
0.115625   779.428578   1829.143101   2841.314601   4047.729502
0.121875   993.177263   1540.739926   2740.852044   3829.262358
0.128125   992.062616   1653.721816   2696.007448   4165.241116
0.134375   972.578351   2486.973264   2831.322723   4416.960823
0.140625   739.625144   1904.117035   2691.483463   4009.274138
0.146875   727.574380   1889.174644   2729.035377   3792.378469
0.153125   801.538728   1894.739331   2789.429564   4178.227673
0.159375   927.858918   2060.690825   2829.910236   4408.758919
0.165625   883.250100   2061.426855   2730.709395   3840.924351
0.171875   874.380372   2265.556927   2703.100199   3964.377208
0.178125   660.456729   1882.624659   2701.407826   3977.088047
0.184375   581.194912   1646.459196   2822.477147   3921.825734
0.190625   1582.910847   2699.922647   3809.645225   4760.032841
0.196875   1770.472125   2599.819330   3779.380734   4887.529808
0.203125   474.750585   1763.272897   2635.631289   3974.530035
0.209375   571.105582   1773.736964   2678.950392   3965.850656
0.215625   909.695956   1610.415772   2648.254768   3956.347182
0.221875   945.551542   2050.598150   2608.529632   3892.549237
0.228125   876.476521   2139.579837   2747.998947   3817.704017
0.234375   833.609314   2134.884808   2900.063302   3879.021642
0.240625   911.731029   2371.479595   3208.470033   4605.697607
0.246875   775.037963   2392.051552   2449.293474   3763.351948
0.253125   743.614044   2182.637327   2499.517749   3844.154982
0.259375   844.632143   1963.351206   2639.900048   3967.624003
0.265625   603.026197   2117.053779   2686.519285   3726.440406
0.271875   548.115650   2032.518588   2604.625289   3545.010232
0.278125   572.727117   1962.371424   2547.040364   3411.529650
0.284375   682.601656   2073.019745   2763.071642   3804.394106
0.290625   664.645532   2097.486686   2835.780553   4006.257083
0.296875   694.039487   1924.684873   2925.037452   4010.306673
0.303125   504.195921   1906.744168   3131.550316   3990.590678
0.309375   442.744300   1893.766713   3359.076958   3394.920957
0.315625   460.759053   1473.039117   3218.736121   4240.548763
0.321875   502.525856   1584.406741   3219.571642   4109.513289
0.328125   540.090678   1717.349684   3040.131413   3987.763511
0.334375   578.216711   1792.114142   2772.271847   3933.501399
0.340625   585.699836   1847.430706   2622.562751   3926.338506
0.346875   586.986035   1866.356960   2632.591117   3885.980417
0.353125   578.488746   1876.896908   2649.885986   3862.200375
0.359375   570.143930   1940.024651   2683.691885   3304.427964
0.365625   569.434614   2036.319564   2700.984402   3910.917630
0.371875   575.217261   2092.009340   2736.414786   3851.183370
0.378125   547.161249   2131.710502   2764.105003   3944.828657
0.384375   508.190435   2158.264183   2803.154620   3906.169466
0.390625   500.839701   2199.542174   2799.496269   3923.028994
0.396875   484.001652   2200.034350   2591.455679   3402.477343
