Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027608   693.153407   1623.131744   2284.170122   3891.003186
0.033858   491.652179   1543.994910   2252.885936   3658.745263
0.040108   1460.415189   1993.112960   3647.108788   4441.501173
0.046358   1040.991682   1976.510460   2908.979942   3851.658517
0.052608   1013.371445   2126.680631   2919.985440   3725.370031
0.058858   1227.582702   1844.963985   2716.761221   3644.025264
0.065108   1268.517285   1852.782959   2553.728943   3852.098428
0.071358   1121.608313   2343.405871   2394.881641   3931.979724
0.077608   1367.463517   2259.326178   3273.583228   4408.143779
0.083858   1252.427957   2074.320547   3056.234157   4294.250238
0.090108   1325.399200   2079.322224   3054.311135   4318.353937
0.096358   1136.644838   2133.092600   2967.037984   4318.402115
0.102608   1168.194170   2164.798192   2945.487763   4204.667463
0.108858   1155.097126   2217.040087   3058.993549   4517.823212
0.115108   1214.070098   2456.943502   --undefined--   --undefined--
0.121358   1122.797194   2276.841905   3414.590759   4078.637295
0.127608   1107.048925   2240.019599   3343.966105   4605.988290
0.133858   1098.319660   1986.616819   3078.677416   4094.947364
0.140108   1046.553898   1964.390419   2841.786440   4007.193248
0.146358   1072.379341   1937.354527   2729.487118   3965.655867
0.152608   1249.035627   1840.204683   2534.145945   3942.732994
0.158858   1089.219453   2405.077834   2873.632462   3791.806742
0.165108   1034.207062   2028.677861   2847.002982   3769.685213
0.171358   1113.714441   2095.105535   3055.349494   3928.790122
0.177608   1127.121586   2058.254808   3316.700118   4096.013526
0.183858   1146.396619   2029.059005   3473.739582   4215.146433
0.190108   1131.128418   2079.215498   3330.011442   4134.817188
0.196358   1056.573411   2000.288295   3062.348804   4086.939639
0.202608   1150.692154   2099.678798   3019.454387   4104.431961
0.208858   1190.858938   2136.906381   3110.415342   4201.438498
0.215108   1198.429217   2240.492274   3242.055037   4450.645425
0.221358   1159.605324   2172.171528   2986.274445   4121.868868
0.227608   1198.699811   2194.988488   2761.564302   3959.826374
0.233858   1283.147683   2138.718850   3016.507524   3972.819647
0.240108   1454.416294   1912.030925   2980.125320   4263.440533
0.246358   1550.293455   2656.598770   --undefined--   --undefined--
0.252608   1022.721054   2268.434150   3025.413845   3688.766766
0.258858   945.979288   2025.512769   3112.843800   3862.149333
0.265108   905.686950   2032.920317   3092.141116   3926.963327
0.271358   1038.291339   2197.779850   3169.548596   4389.229835
0.277608   1137.992878   2151.427177   3157.097139   4399.626563
0.283858   1159.027872   2133.016542   3234.424762   4213.219839
0.290108   1178.587827   2241.432534   3215.135850   3753.590562
0.296358   1095.184987   2091.547855   3044.928428   3971.498590
0.302608   1046.805595   2131.000107   3276.398295   4151.685684
0.308858   1096.274980   2203.184663   3233.617457   4171.733372
0.315108   1133.252998   2086.561474   3050.797704   4095.466984
0.321358   1151.997099   2133.439495   3291.753804   4196.054482
0.327608   1137.161009   2161.577611   3153.840917   4020.414245
0.333858   1156.085384   2283.136246   2978.573230   4045.873832
0.340108   882.006153   1827.491850   2912.241993   4010.489482
0.346358   1025.873816   1897.313299   2901.163055   4007.998021
0.352608   864.493146   2082.930398   2955.535246   4115.121744
0.358858   1046.432379   2049.541886   3008.499009   4069.939721
0.365108   1041.957127   2098.024605   3062.349341   3941.205703
0.371358   1097.464031   2046.156467   3054.444911   3890.456789
0.377608   1128.928933   1956.824069   3013.608200   3847.677403
0.383858   555.055571   1888.808100   3103.002190   3723.351386
0.390108   1236.436983   1862.236029   3242.793377   3649.756722
0.396358   1284.510182   2228.613523   3509.647145   4107.479936
0.402608   1269.799439   2161.818995   3405.442522   3917.208700
0.408858   1210.456923   2172.921341   3458.273762   4272.873953
0.415108   1114.177583   2152.441454   3383.848900   3921.567751
0.421358   1068.885956   2179.431413   3268.760612   3802.856085
0.427608   558.276507   1744.999993   2812.915630   3704.136853
0.433858   933.196940   2001.063715   3052.933015   3780.291280
0.440108   1231.328063   1995.912490   3021.257620   3768.268930
0.446358   1094.154832   1991.981477   3168.619962   3792.046651
0.452608   1058.458865   1967.176867   3266.842376   3867.913628
0.458858   1177.935434   2028.327310   3266.715295   3900.009667
0.465108   1034.082184   2088.476018   3072.477094   3969.000666
0.471358   938.290865   2049.950421   2881.216757   3825.195992
0.477608   1257.371176   2066.725512   2659.460473   3669.473447
0.483858   1401.645304   2362.495322   --undefined--   --undefined--
0.490108   1260.892418   1992.516095   3153.321288   4016.720904
0.496358   1010.791487   2175.865393   3316.937089   4284.306288
0.502608   998.998229   2110.287379   3230.530607   3764.619896
0.508858   1146.827171   2043.985539   2911.948925   3917.989885
0.515108   1067.112982   1991.497682   2956.755742   4000.920685
0.521358   1037.473254   2015.271046   3052.613766   4023.329556
0.527608   1140.985196   2060.063657   3024.444900   4034.752884
0.533858   1169.959899   2004.244543   3038.908137   3971.960382
