Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1272.028895   2008.921145   2957.461120   3673.029030
0.031250   1115.661752   2043.068738   2881.899006   3473.505740
0.037500   1044.103362   1942.512561   3000.331515   3491.363966
0.043750   898.462097   1859.000884   2964.321360   3674.507977
0.050000   957.107594   1766.972639   2746.392095   3773.268705
0.056250   1085.258250   1801.250301   2766.988107   3778.673304
0.062500   1237.181789   1959.980456   2810.348394   3820.339696
0.068750   1273.584668   1959.540337   2989.459429   3796.817967
0.075000   1131.876610   1939.342139   2858.420677   3731.261304
0.081250   1013.286548   2104.991339   2721.810794   3558.463603
0.087500   911.371679   2099.821122   2896.496643   3508.088730
0.093750   952.921101   1831.175784   2820.965653   3715.961470
0.100000   958.939897   1923.187695   2948.724847   3653.534079
0.106250   1048.584104   2106.393474   3274.797046   3500.986934
0.112500   966.007162   2031.831299   3319.888944   3381.172413
0.118750   1016.490655   2021.731663   2728.266660   3769.169757
0.125000   946.084405   1981.949100   2805.420984   3716.335036
0.131250   918.053671   1938.782964   2902.496766   3727.084604
0.137500   1005.370849   1962.826877   2962.437647   3649.741408
0.143750   1018.500714   1915.185602   2833.769408   3769.404882
0.150000   1107.301088   1798.197248   2790.322411   3806.892509
0.156250   1086.332826   1724.981788   2736.840578   3665.092641
0.162500   1118.028152   2032.961161   2870.786112   3642.957482
0.168750   1132.497675   2062.973611   2740.511975   3725.545537
0.175000   1215.344933   2121.788682   2830.073375   3688.564603
0.181250   1173.390670   2136.106367   3129.161440   3921.108907
0.187500   1110.485283   1964.934502   2884.117273   3753.381142
0.193750   1076.689993   2043.098286   2768.857231   3618.910139
0.200000   1071.008764   2096.295632   2579.584798   3653.969226
0.206250   1016.691557   1906.795626   2692.333895   3671.265721
0.212500   1032.031017   1870.233324   2682.752396   3655.171348
0.218750   1157.300393   1910.223532   2541.341362   3580.618718
0.225000   1143.121462   1933.102615   2981.301478   3575.182137
0.231250   1004.954289   1938.268047   2881.716945   3712.958225
0.237500   985.403684   1834.691036   2718.003570   3631.196730
0.243750   878.079568   1834.703959   2839.171018   3714.743619
0.250000   1008.574691   1833.850922   2905.429122   3860.138062
0.256250   1035.240580   1967.866796   2934.424398   3805.371426
0.262500   1002.120179   1878.364604   2816.560424   3844.242684
0.268750   1029.299769   1840.547297   2760.848495   3803.688883
0.275000   1074.892585   1848.040163   2629.813661   3915.600662
0.281250   1011.524298   2106.401920   2601.128693   3797.284913
0.287500   1049.868222   1872.276917   2732.836297   3685.672562
0.293750   1170.776775   2097.016836   2871.151615   3378.769237
0.300000   941.349867   2176.188169   3143.770629   3298.667844
0.306250   894.858761   2104.372170   3011.506760   3452.604308
0.312500   954.017382   1983.729849   2802.939777   3697.269343
0.318750   884.963882   1858.478506   2882.443673   3785.102001
0.325000   970.159643   1920.754616   2828.757063   3756.541140
0.331250   1033.712967   1937.394167   2718.463911   3711.736569
0.337500   1102.990919   2049.761153   2687.347871   3613.026674
0.343750   1316.194644   2225.601784   --undefined--   --undefined--
0.350000   1321.875905   2309.644717   2399.510509   3595.860932
0.356250   1076.108885   2060.746193   3126.133044   3594.069985
0.362500   913.383377   1925.255156   2719.730854   3703.341299
0.368750   994.231502   1859.818452   2653.046933   3618.433414
0.375000   1002.625676   1816.801944   2613.606108   3649.730303
0.381250   969.653052   1792.807965   2758.960629   3677.174740
0.387500   1046.109725   1919.298340   2765.667569   3695.098045
0.393750   1132.563727   1830.616664   2820.443053   3696.753145
0.400000   1090.353832   1944.704585   2932.296396   3595.422197
0.406250   1049.821106   2054.381599   2900.807728   3697.106393
0.412500   976.809312   1980.717075   2901.117867   3713.397773
0.418750   916.767079   2084.209068   2884.394475   3751.228005
0.425000   915.847979   2037.074399   3076.931956   3804.797449
0.431250   949.977429   1945.000873   2874.103394   3669.633106
0.437500   885.494386   1812.887061   2723.729673   3679.033962
0.443750   982.759323   1955.380870   2811.486133   3544.580670
0.450000   1054.158141   2017.842328   3223.443396   3381.970895
0.456250   1096.354733   1945.146481   3134.666723   3565.131348
0.462500   1011.125866   1793.404583   2929.691339   3667.884750
