Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   951.173493   1696.296962   3023.688394   4042.109791
0.031250   1239.612527   2150.685073   3112.958136   4180.441691
0.037500   1261.345221   2118.467262   3165.067259   4146.271458
0.043750   1202.791425   2110.266427   3109.888554   3844.271868
0.050000   1053.561151   2088.881891   2983.229025   3938.844632
0.056250   999.296415   2003.201076   2914.576402   3962.493995
0.062500   916.569708   1995.891071   2905.011388   3963.223690
0.068750   917.797339   1961.716913   2841.704919   3536.990109
0.075000   948.845420   1883.694648   2972.106724   3570.888179
0.081250   1067.728931   1829.215946   2824.808894   3694.377342
0.087500   1101.862867   1998.385918   3085.681987   4061.297742
0.093750   911.427006   1893.129124   2915.521967   3858.110645
0.100000   953.200908   1850.072168   2745.675210   3728.464206
0.106250   888.584359   1551.416086   2572.384406   3601.329516
0.112500   1105.857469   1649.277959   2928.263692   3844.294180
0.118750   1160.130448   2114.570076   2923.600134   3814.116895
0.125000   1357.363703   2360.641191   3471.781737   4268.265747
0.131250   1318.929283   2159.174514   2892.649917   4194.970160
0.137500   1147.586135   2034.258694   2958.303093   4065.294482
0.143750   1126.179989   2058.262372   3070.775412   4134.331505
0.150000   1097.282388   1928.970417   3010.125641   4347.703218
0.156250   1203.600701   2117.331000   3233.455113   4356.321940
0.162500   1244.564600   2310.293898   3382.921191   4220.498964
0.168750   1101.889514   2171.507305   3331.529250   3853.642322
0.175000   1010.051347   2255.469147   2755.539434   3620.924788
0.181250   1086.238811   2484.176482   3139.833481   4200.487253
0.187500   1030.249016   1984.040749   2953.408337   3812.917301
0.193750   990.532569   2069.370705   2883.856858   4111.726335
0.200000   868.890686   2161.328486   2687.000253   3955.977412
0.206250   907.504917   2176.296120   2519.079421   3844.178993
0.212500   1151.339494   2125.527877   3172.582170   3901.686136
0.218750   1149.387655   2049.301456   2912.302669   3984.256736
0.225000   1287.398669   2420.191797   3003.757017   4117.379611
0.231250   1071.958050   1944.989171   2740.829112   3711.832361
0.237500   944.504083   1980.765104   2795.151834   3870.650945
0.243750   875.684494   1973.112185   2879.619092   3760.463745
0.250000   871.888513   1938.554672   2899.102631   3708.626471
0.256250   882.637423   1965.586855   2869.454269   3691.197641
0.262500   942.454140   1968.386293   2934.919794   3884.712487
0.268750   1070.222164   2063.115174   3074.404350   3880.939558
0.275000   1066.026040   2032.622483   2823.142763   3859.603598
0.281250   952.879160   1943.430366   2902.981367   3815.894949
0.287500   955.388820   1744.213852   2701.089115   3572.588539
0.293750   1144.501495   1910.843604   2903.438665   3638.904209
0.300000   1010.926742   1951.046062   3005.533904   3863.013926
0.306250   966.551822   2178.962799   2939.790747   3910.417326
0.312500   897.425280   2139.538564   2872.166627   3854.054741
0.318750   1014.328021   1976.634088   2985.109526   3896.166700
0.325000   1019.435505   2086.330359   3034.373710   3924.856194
0.331250   1144.806845   2167.708221   3216.524979   3892.426958
0.337500   1139.287860   2156.723521   3016.354375   3874.442362
0.343750   1110.939338   2138.970312   3035.797784   3947.591263
0.350000   1244.791316   2228.490807   3187.410076   3965.986824
0.356250   1335.512066   2433.645024   3474.973013   4027.896425
0.362500   1262.088926   2176.630459   3270.620519   4128.149757
0.368750   1288.221713   2433.478861   3387.332274   4521.586691
0.375000   1371.858193   2455.443002   3507.732127   4520.356550
0.381250   1368.710898   2279.280318   3547.642238   4547.584627
0.387500   1327.324100   2270.202809   3527.610108   4766.484306
0.393750   1228.162133   2284.729457   2913.168661   3737.016008
0.400000   458.304605   1500.384138   2532.052553   3627.254282
0.406250   617.113113   1409.424703   2470.531815   3520.742238
0.412500   633.177293   1359.738132   2675.250005   3733.969596
0.418750   1264.221566   2317.240426   2788.747385   3897.146552
0.425000   1291.292832   2415.409139   2901.299764   3793.519795
0.431250   1224.710890   2035.312613   2601.814544   3894.154920
0.437500   1190.843165   1998.545635   2922.469708   3930.525172
0.443750   941.056541   2051.301280   3028.497924   3997.525072
0.450000   877.634359   2053.045107   2963.989696   3964.198952
0.456250   1255.148410   2749.208545   3468.976623   4713.329502
0.462500   1122.417729   2644.604445   3572.505995   4522.505901
0.468750   1018.181831   2559.882666   3799.606533   4511.060474
0.475000   1059.377657   2353.726886   3861.656635   4339.937265
0.481250   1000.410624   2272.684653   3525.110771   3987.764834
0.487500   737.280271   2273.768179   --undefined--   --undefined--
0.493750   391.379203   996.389206   2313.197338   3880.653650
0.500000   415.335189   1072.553905   2290.675781   4001.277249
0.506250   435.503530   1104.586969   2281.364349   3911.937100
0.512500   465.133270   1202.118486   2307.988817   3796.279264
0.518750   469.577563   1273.161588   2297.862398   3791.898861
0.525000   470.978552   1352.537660   2305.040925   3855.200915
0.531250   487.254494   1509.201572   2359.954340   3974.728497
0.537500   467.997072   1532.718759   2354.903726   3985.726198
0.543750   435.450477   1627.192592   2400.233177   4070.593810
0.550000   403.280463   1678.715944   2429.133104   4125.182701
0.556250   400.045872   1755.278799   2451.870122   4174.214903
0.562500   393.567635   1790.232493   2482.569317   4133.456090
0.568750   369.091989   1781.227015   2484.464731   4208.610437
0.575000   354.184921   1789.568651   2498.267008   4122.240739
0.581250   348.219764   1813.232534   2487.271864   3498.921976
0.587500   332.389067   1840.579199   2494.506529   3716.094516
0.593750   312.079505   1845.721358   2492.355962   4029.947210
0.600000   288.770825   1818.132583   2479.953787   4069.832287
0.606250   273.874068   1775.022627   2476.837908   4063.077371
0.612500   267.281732   1734.123433   2468.753337   4006.351735
0.618750   270.706489   1733.272300   2527.042360   3890.193091
0.625000   261.466178   1751.901009   2592.836528   3865.598989
0.631250   243.006041   1785.651363   2598.007344   3844.605825
0.637500   1741.469086   2773.434593   3712.968989   4688.521460
0.643750   1659.680135   2833.165619   3715.431642   4750.625744
0.650000   1722.018340   2617.101799   4246.737266   4505.345031
0.656250   1717.023282   2352.049156   3459.414206   4358.335818
0.662500   1622.143293   2444.459372   3501.441970   4353.461075
0.668750   579.362370   1637.555564   2686.115776   3857.189137
0.675000   1132.409501   1654.271313   2775.796916   4097.224906
0.681250   1632.281156   2479.531427   3938.109415   4732.849855
0.687500   1636.807017   2416.463748   4007.543971   4705.328156
0.693750   692.061064   1592.610931   2472.648406   4084.936175
0.700000   503.065265   1456.477338   2552.206713   4387.872899
0.706250   1567.874573   2583.920244   4128.995718   4550.464981
0.712500   1587.661444   2676.022914   3937.790943   4768.488993
0.718750   463.457157   1585.289466   2595.302060   3794.729044
0.725000   534.190106   1622.261257   2588.336654   3700.958452
0.731250   752.297911   1650.219104   2693.227260   3843.413407
0.737500   633.881009   1623.763630   2652.773986   3915.055669
0.743750   579.161701   1453.063030   2530.915820   3987.216848
0.750000   536.886726   1408.019301   2504.063193   3872.398098
0.756250   567.777978   1356.198899   2433.470983   3741.353138
0.762500   587.871391   1351.467869   2477.390263   3644.262906
0.768750   257.710088   1244.601734   2567.256608   3610.262981
0.775000   364.534609   1180.964157   2407.723066   3484.418887
0.781250   385.791875   1098.438990   2345.011064   3479.228856
0.787500   403.241454   1048.533797   2312.700521   3553.605173
0.793750   415.096128   1009.638550   2298.923270   3621.335284
0.800000   431.533258   984.491784   2275.618530   3657.691619
0.806250   441.694592   967.151186   2265.410108   3711.676371
0.812500   458.146954   956.305419   2282.993705   3801.633010
0.818750   462.509196   925.752571   2295.636521   3852.975075
0.825000   460.205642   900.355220   2294.929094   3935.062571
0.831250   457.019713   869.805849   2346.249845   3961.333967
0.837500   444.943129   848.605559   2406.946031   4016.326175
0.843750   423.789998   818.972099   2400.216881   4074.598638
0.850000   410.718278   823.284701   2373.382718   4108.893550
0.856250   408.184636   816.280322   2395.276467   4129.668605
0.862500   402.059337   829.762028   2505.099294   4161.434679
0.868750   396.453702   837.715591   2370.553367   4192.972196
0.875000   393.903277   847.700618   2315.417839   4249.461154
0.881250   381.591692   860.218291   2316.530614   4214.351717
0.887500   376.827615   873.365241   2501.572989   4165.521136
0.893750   357.899347   917.848579   2595.417517   4083.536098
0.900000   329.393486   1006.524757   2771.219689   3993.495100
0.906250   336.632473   1242.575692   2866.379239   3370.652354
0.912500   370.196733   1272.962844   2810.914152   3532.275757
0.918750   306.484221   1017.371814   2669.862521   3940.595017
0.925000   917.406259   2370.055900   3590.391007   4442.597735
0.931250   426.734913   1880.159528   3137.061268   4479.450814
0.937500   658.745876   1914.198056   2973.853531   4055.241360
0.943750   700.098295   1998.440147   3122.151803   4131.295250
0.950000   933.640648   2014.656820   3242.111502   4251.263505
0.956250   1604.207524   2520.309303   3435.762844   4352.609514
0.962500   1458.551841   2425.300914   3829.016533   4589.488038
0.968750   1064.563519   1889.736531   2905.614906   4207.400705
0.975000   1105.478011   2023.715718   3169.714135   4174.847152
0.981250   1046.672622   2056.338880   2842.867183   3862.727927
0.987500   1426.498308   1577.650094   2884.707170   4134.533852
0.993750   1411.158880   1631.548005   3011.087782   4061.323449
1.000000   1050.672275   1833.044599   2879.079531   4037.502430
1.006250   1070.296324   1745.693803   2844.605423   4033.628616
1.012500   1548.135502   2791.877940   3402.605598   4122.202964
1.018750   1610.098834   2701.001293   3599.899398   4156.207210
1.025000   1314.332331   2127.164691   3165.040635   4116.231557
1.031250   1110.236337   2079.291922   3305.805683   4114.842862
1.037500   1089.896563   2165.769282   3227.839659   4051.871099
1.043750   1115.426171   2080.901896   3091.849298   4138.965379
1.050000   1087.116088   2202.746942   3008.026017   4037.381443
1.056250   1137.598045   2296.643855   2564.939747   4057.353078
1.062500   1133.972509   2247.357822   2834.485333   3974.341597
1.068750   1147.851548   2107.219961   2877.809075   3917.192330
1.075000   1044.660163   2022.018881   2839.231091   3981.617417
1.081250   851.749475   1924.695210   2895.184160   3986.370832
1.087500   850.796615   1945.567859   2971.943094   4497.579539
1.093750   1843.711702   2892.211710   4070.363141   4750.746837
1.100000   347.979125   1580.962289   2631.900185   4000.063589
1.106250   396.949004   1577.230657   2535.387722   4067.373610
1.112500   437.316838   1578.123149   2502.296458   3909.356387
1.118750   462.789672   1563.541281   2517.621992   3990.735185
1.125000   493.277563   1546.920932   2552.088367   4098.033117
1.131250   542.899159   1535.559471   2573.194207   4280.117664
1.137500   584.754140   1431.759645   2579.604733   3859.732374
1.143750   585.844417   1363.911235   2561.168636   3313.760396
1.150000   558.687920   1266.817540   2558.230924   3276.483639
1.156250   548.736885   1210.352943   2560.558150   3908.584983
1.162500   474.246090   1119.330363   2606.398132   4234.831140
1.168750   437.873310   1068.451032   2612.452145   4209.325959
1.175000   424.402793   1051.634945   2624.623501   4211.402337
1.181250   424.118562   1013.753046   2610.268518   4225.384825
1.187500   421.354463   1012.348600   2601.595866   4237.432182
1.193750   408.879938   971.942242   2620.420069   4247.333051
1.200000   450.888057   954.999908   2645.744444   4265.807324
1.206250   497.227250   974.588190   2662.827227   4085.287875
1.212500   544.276593   1033.092139   2657.542665   4099.604849
1.218750   563.060871   1068.089609   2672.180999   4068.001615
1.225000   569.314502   1098.180582   2697.896536   4073.205548
1.231250   588.861176   1091.915164   2729.327311   3858.909450
1.237500   591.686324   1093.228889   2740.044343   3815.700760
1.243750   592.838146   1088.642847   2711.241223   3684.880176
1.250000   595.013842   1074.967023   2710.509125   3617.578222
