Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   495.480927   1851.152086   2511.671460   3656.927417
0.031250   485.296430   1768.312507   2648.094527   3691.544538
0.037500   523.662062   1694.666950   2610.508613   3689.292957
0.043750   681.164280   2047.033001   2462.635183   3605.684851
0.050000   1183.047547   2113.671921   3487.150107   4765.990526
0.056250   1022.972485   1713.381782   3052.153389   3840.523935
0.062500   426.688510   1674.494934   2461.783903   3792.786235
0.068750   526.788416   1666.284378   2490.625585   3735.897151
0.075000   503.109130   1707.865119   2563.113079   3700.449483
0.081250   452.262196   1623.969834   2550.884704   3465.650865
0.087500   339.288921   1720.013508   2686.773645   3578.695901
0.093750   325.073674   1796.805603   2677.886988   3765.699528
0.100000   895.881127   1923.003486   2722.787814   3847.415697
0.106250   607.152411   791.049149   2144.895227   3592.954488
0.112500   345.958862   1758.905459   2309.188569   3791.362801
0.118750   911.617349   2050.962323   2988.141106   3893.286175
0.125000   689.134883   1825.689254   2799.393547   3865.740029
0.131250   464.631901   1666.335011   2595.960467   3704.666840
0.137500   439.166016   1578.321353   2426.471090   3429.207117
0.143750   211.921819   1576.743560   2077.028408   3364.810947
0.150000   253.587111   1486.204851   2053.023872   3246.344145
0.156250   749.661684   1907.503471   3091.760633   3902.551952
0.162500   905.455260   1989.344830   3047.667800   4195.758750
0.168750   874.107846   1805.325223   2925.576906   3938.001661
0.175000   794.402861   1782.122740   2960.170644   4067.958795
0.181250   617.211814   1847.160635   2890.944651   3948.892176
0.187500   617.259727   1874.497762   2871.462085   3881.086044
0.193750   520.270079   1658.953133   2584.607768   3673.034011
0.200000   486.726624   1788.049179   2391.649838   3633.468843
0.206250   388.189537   1774.754093   2723.546948   3654.191937
0.212500   384.207794   1733.329851   3016.361025   3942.920041
0.218750   845.122558   1855.753135   2992.782453   4126.332548
0.225000   882.921938   1944.564371   2942.218228   3885.819916
0.231250   1010.153542   1878.130973   2937.551791   3839.193753
0.237500   1351.884368   2259.017058   --undefined--   --undefined--
0.243750   566.407638   1590.733742   2279.858931   3529.687702
0.250000   541.227498   1250.546700   2402.670212   3455.898752
0.256250   518.678197   1303.634753   2470.741202   3372.596982
0.262500   554.116451   1541.492769   2657.573937   3293.657756
0.268750   721.388068   1793.332066   2526.806755   3259.391102
