Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   891.076854   2413.873477   2619.448474   3914.851314
0.031250   1059.471417   2159.015524   2836.393258   3891.012645
0.037500   1159.102725   2183.220560   2968.902075   4278.234785
0.043750   1128.467247   2096.067227   2899.582877   3949.973140
0.050000   1033.891627   1966.377653   2986.433528   4151.940193
0.056250   1824.489076   2884.651603   --undefined--   --undefined--
0.062500   1908.932309   2755.687362   --undefined--   --undefined--
0.068750   1924.238617   2747.049468   --undefined--   --undefined--
0.075000   1892.346449   2887.878251   --undefined--   --undefined--
0.081250   1851.270849   2854.858251   --undefined--   --undefined--
0.087500   1926.858809   2826.445149   --undefined--   --undefined--
0.093750   1833.365621   2815.751130   --undefined--   --undefined--
0.100000   1748.554751   2800.931798   --undefined--   --undefined--
0.106250   1736.225116   2663.734335   --undefined--   --undefined--
0.112500   1746.369301   2702.982593   --undefined--   --undefined--
0.118750   1772.317874   2856.445972   --undefined--   --undefined--
0.125000   1791.252642   2746.365115   --undefined--   --undefined--
0.131250   1844.556042   2686.637559   --undefined--   --undefined--
0.137500   1823.720012   2628.538218   --undefined--   --undefined--
0.143750   1828.335122   2578.456293   --undefined--   --undefined--
0.150000   1881.357342   2756.046908   --undefined--   --undefined--
0.156250   2009.060170   2844.159500   --undefined--   --undefined--
0.162500   1982.629001   2973.302558   --undefined--   --undefined--
0.168750   1881.740457   2796.986792   --undefined--   --undefined--
0.175000   1809.483711   2829.782063   --undefined--   --undefined--
0.181250   1791.119399   2762.958122   --undefined--   --undefined--
0.187500   1835.200212   2728.780331   --undefined--   --undefined--
0.193750   1800.368251   2759.729111   --undefined--   --undefined--
0.200000   1812.272047   2813.724506   --undefined--   --undefined--
0.206250   1729.811138   2944.804581   --undefined--   --undefined--
0.212500   1745.567377   2941.224887   --undefined--   --undefined--
0.218750   1750.439419   2863.620372   --undefined--   --undefined--
0.225000   1757.274119   2814.837063   --undefined--   --undefined--
0.231250   1806.668995   2782.716462   --undefined--   --undefined--
0.237500   1796.662876   2727.537534   --undefined--   --undefined--
0.243750   1742.764089   2704.109726   --undefined--   --undefined--
0.250000   1894.907004   2724.400892   --undefined--   --undefined--
0.256250   1814.977155   2922.197375   --undefined--   --undefined--
0.262500   1741.760360   2792.017297   --undefined--   --undefined--
0.268750   1674.695601   2743.281532   --undefined--   --undefined--
0.275000   1693.628421   2765.096900   --undefined--   --undefined--
0.281250   1820.696946   2852.904355   --undefined--   --undefined--
0.287500   1912.622593   2831.481139   --undefined--   --undefined--
0.293750   1873.467023   2756.967535   --undefined--   --undefined--
0.300000   1749.153584   2710.503930   --undefined--   --undefined--
0.306250   1777.994054   2738.927170   --undefined--   --undefined--
0.312500   1650.129600   2785.358185   --undefined--   --undefined--
0.318750   1724.470041   2686.009386   --undefined--   --undefined--
0.325000   1764.445605   2785.858642   --undefined--   --undefined--
0.331250   1780.735625   2856.330365   --undefined--   --undefined--
0.337500   1694.177298   2834.509420   --undefined--   --undefined--
0.343750   1682.448389   2770.031482   --undefined--   --undefined--
0.350000   1747.099439   2647.442973   --undefined--   --undefined--
0.356250   1811.689000   2711.481904   --undefined--   --undefined--
0.362500   1887.426328   2687.010303   --undefined--   --undefined--
0.368750   1696.281752   2659.985595   --undefined--   --undefined--
0.375000   1686.750202   2707.497907   --undefined--   --undefined--
0.381250   1750.127995   2815.537975   --undefined--   --undefined--
0.387500   1938.747083   2678.344758   --undefined--   --undefined--
0.393750   2019.977421   2816.993995   --undefined--   --undefined--
0.400000   1790.834305   2859.697341   --undefined--   --undefined--
0.406250   1709.166827   2839.543154   --undefined--   --undefined--
0.412500   1750.988129   2732.350267   --undefined--   --undefined--
0.418750   1741.959447   2745.327997   --undefined--   --undefined--
0.425000   1740.988545   2775.438965   --undefined--   --undefined--
0.431250   1827.442505   2819.154049   --undefined--   --undefined--
0.437500   1874.390255   2766.972181   --undefined--   --undefined--
0.443750   1831.848871   2777.201461   --undefined--   --undefined--
0.450000   1758.005085   2755.939659   --undefined--   --undefined--
0.456250   1864.287785   2814.288676   --undefined--   --undefined--
0.462500   1750.911978   2726.449586   --undefined--   --undefined--
0.468750   1629.205795   2724.076556   --undefined--   --undefined--
0.475000   1584.176278   2739.369592   --undefined--   --undefined--
0.481250   1731.389593   2786.270553   --undefined--   --undefined--
0.487500   1977.221200   2708.691283   --undefined--   --undefined--
0.493750   1922.848538   2725.864654   --undefined--   --undefined--
0.500000   1861.916298   2860.914508   --undefined--   --undefined--
