Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   466.296410   1565.726235   2530.824104   3902.291759
0.031250   403.641249   1545.765136   2707.665436   3719.866699
0.037500   395.126251   1653.832902   2767.006331   4390.795324
0.043750   482.349179   1723.681850   2792.695488   4084.104134
0.050000   428.062206   1582.004031   2590.424035   3782.708979
0.056250   430.640825   1526.062128   2264.374160   3663.876744
0.062500   491.404888   1605.812464   2869.336097   4228.843275
0.068750   681.557884   1732.071625   2924.612768   4145.026870
0.075000   333.295402   1514.631636   3015.447017   3755.863228
0.081250   354.046331   1437.588580   2288.620730   3241.430342
0.087500   338.801945   1492.786736   2275.503988   3305.337445
0.093750   362.507195   1473.107592   2518.583940   3566.474888
0.100000   430.355504   1597.022121   2590.030408   3764.672954
0.106250   536.525271   1695.271333   2029.282956   3448.270858
0.112500   526.259335   1449.211602   1950.883838   3339.980111
0.118750   458.576726   1529.086177   2434.902595   3755.428153
0.125000   395.026008   1579.902919   2356.650842   3450.593391
0.131250   341.754147   1191.437908   2249.199593   3356.957646
0.137500   448.778862   1385.719399   2062.868649   3424.967245
0.143750   399.500927   1614.271236   2739.040080   3988.799331
0.150000   304.189092   1464.046237   2624.889608   4295.179927
0.156250   1389.619841   2566.964245   --undefined--   --undefined--
0.162500   401.095979   1472.782322   2589.856947   3544.634070
0.168750   413.324234   1489.945512   2666.231839   3696.298454
0.175000   501.422308   1650.248654   2831.097214   3990.477818
0.181250   546.930199   1950.234795   3080.857066   4368.826712
0.187500   431.319879   1567.073914   2424.241891   3426.815762
0.193750   465.582574   1372.354651   2344.930090   3449.946769
0.200000   577.266008   2002.479049   --undefined--   --undefined--
0.206250   638.974902   1846.218027   3223.184406   4073.786627
0.212500   445.314211   1807.482049   3302.810550   4390.412427
0.218750   396.791077   1700.735705   3275.528339   4022.103483
0.225000   399.351512   1589.278107   2834.043148   4156.027242
0.231250   481.443754   1754.760222   1882.153732   3308.004787
0.237500   462.571967   1677.357675   2048.868121   3464.204113
0.243750   430.233268   1559.331352   2142.050497   3392.481498
0.250000   433.445724   1830.590949   1955.860406   3288.523112
0.256250   314.825308   1630.499722   2954.975783   4153.302346
