Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   908.626078   1715.478561   3012.326668   3902.515437
0.031250   915.018737   1739.602378   3090.480735   4189.345812
0.037500   930.592578   1744.734606   3122.960563   4270.935483
0.043750   989.520994   1791.576836   3100.555791   4262.887704
0.050000   1149.191197   2268.350988   3205.049329   4535.883191
0.056250   982.412398   2390.692964   3146.964904   4679.414373
0.062500   905.940322   2206.641472   3220.089436   4608.083542
0.068750   921.404160   2194.527667   3070.529546   4234.224165
0.075000   971.569754   2099.807247   2853.367482   4198.417344
0.081250   961.504663   2174.226278   3282.358353   4488.384562
0.087500   1104.100899   2146.919892   2910.641175   3797.819815
0.093750   1110.008331   2272.518028   3390.536206   3447.972201
0.100000   1058.310927   2292.127946   --undefined--   --undefined--
0.106250   943.354163   1921.391510   3127.243969   4486.151420
0.112500   931.386524   2031.086916   3199.572720   4490.012230
0.118750   944.819298   2245.735147   3424.058190   4502.506585
0.125000   932.447598   2478.339694   2767.125968   3971.394577
0.131250   853.472088   2012.125538   2779.760939   3945.924430
0.137500   846.712561   1992.457356   2842.050112   3903.731737
0.143750   1023.585416   1984.903059   2993.388199   3792.144694
0.150000   1160.541782   1926.302615   2953.458458   3821.324652
0.156250   984.429184   1782.290989   2918.713437   3935.805986
0.162500   873.678103   1825.240426   2837.476788   4016.423961
0.168750   1114.155577   2218.768573   3096.126041   4465.156174
0.175000   1200.978869   2439.197577   2967.379418   4431.146517
0.181250   465.776077   1306.011653   2395.948044   3260.734303
0.187500   809.037377   1680.164904   2942.189601   3888.525951
0.193750   958.086563   2132.029085   2853.660007   4011.145507
0.200000   948.768290   2331.600386   3041.094843   4317.996858
0.206250   945.230332   2283.247184   3149.089390   3533.570949
0.212500   913.083900   2226.421775   3240.121886   3628.444779
0.218750   941.401178   2262.364810   3151.657500   4270.036026
0.225000   994.809558   2275.515525   3113.508238   4526.459152
0.231250   993.878196   2087.864122   3197.562941   4365.797109
0.237500   931.987979   1124.840686   2407.272588   3429.113404
0.243750   657.662842   1293.798470   2377.647030   3270.829290
0.250000   999.740601   2273.900595   2949.871503   4576.116439
0.256250   909.021492   2317.082200   2772.272928   4514.351373
0.262500   930.618158   2401.803294   2566.396434   3918.013890
0.268750   1050.478621   2328.152703   2742.576428   4307.263581
0.275000   1075.949766   2203.893252   2760.853844   4209.455053
0.281250   1030.874308   2190.513655   2946.742492   4311.610279
0.287500   959.122287   2141.070432   2824.097979   4100.319098
0.293750   1022.352786   2278.338734   2750.141161   4077.922008
0.300000   983.638307   2201.234802   2945.909704   4393.199252
0.306250   1016.852030   2036.064398   2856.588074   4191.298195
0.312500   1009.427222   2106.296957   2873.874861   3948.232021
0.318750   994.153971   2310.631335   2822.118585   4075.970546
0.325000   1071.423132   2431.574131   3047.126113   4426.841224
0.331250   1037.952473   1993.244372   2679.772387   4087.039749
0.337500   1138.613074   2604.367729   3712.977492   4316.412571
0.343750   1055.776536   2012.040988   2501.170619   3872.179195
0.350000   957.860619   2254.390241   2292.596472   3710.949571
0.356250   211.787673   1285.346151   2571.138987   3460.995577
0.362500   1018.751900   2299.327855   2869.845686   4398.214497
0.368750   419.218414   1234.046479   2419.910913   3310.316322
0.375000   373.003148   1131.937865   2460.016861   3415.168675
0.381250   173.258026   1108.958142   2406.819111   3487.742177
0.387500   411.126154   1278.181266   2435.648779   3698.649348
0.393750   282.233537   1080.424612   2349.655339   3342.932435
0.400000   930.119934   2059.751227   2953.072808   4247.941618
0.406250   976.914521   1930.454570   2997.796930   4025.101469
0.412500   605.407060   1328.385837   2542.873609   3229.054036
0.418750   516.084102   1185.161649   2854.076427   3451.899492
0.425000   1002.649766   1997.345632   3323.806903   4490.252170
0.431250   690.453436   1199.993616   2163.737021   3285.589296
0.437500   630.393604   1144.933039   2404.580314   3249.295794
0.443750   55.481191   1024.165919   2254.629324   3235.082440
0.450000   1076.744896   2128.131173   3318.597504   4803.479672
0.456250   984.442474   1877.279452   3100.095980   4464.025564
