Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1253.834235   2046.132974   --undefined--   --undefined--
0.031250   254.085700   1307.163083   2324.519604   3153.138975
0.037500   1321.628765   2466.159510   --undefined--   --undefined--
0.043750   1230.861932   2478.904736   --undefined--   --undefined--
0.050000   1418.198042   2450.610242   3223.832127   4286.796773
0.056250   1733.206480   2395.888405   3205.956616   4623.783160
0.062500   1635.377533   2130.404081   3365.066195   4850.898087
0.068750   1774.504253   2839.118920   --undefined--   --undefined--
0.075000   1448.273334   2651.722275   --undefined--   --undefined--
0.081250   1374.981731   2419.832952   --undefined--   --undefined--
0.087500   1475.897352   2447.103083   3515.533775   4338.938439
0.093750   1578.379584   2552.719279   --undefined--   --undefined--
0.100000   1661.955417   2671.575182   --undefined--   --undefined--
0.106250   1668.903891   2705.792315   --undefined--   --undefined--
0.112500   1382.410035   2510.720941   3464.144272   4371.412307
0.118750   1450.506642   2441.432273   3594.006442   4465.614510
0.125000   1613.881197   2359.246882   3508.435750   4675.351625
0.131250   1491.361153   2269.246400   3379.662668   4423.500090
0.137500   1463.841055   2348.113593   3386.933920   4378.022254
0.143750   1337.995109   2322.874973   3261.440154   4425.102749
0.150000   1380.948425   2455.873728   3268.780814   4604.376804
0.156250   1436.673583   2496.646386   3221.667963   4454.539993
0.162500   1481.856405   2604.373428   3551.266340   4664.564765
0.168750   1439.804946   2541.072797   --undefined--   --undefined--
0.175000   1522.241786   2517.504480   --undefined--   --undefined--
0.181250   1605.661818   2433.299151   3272.543011   4347.000542
0.187500   1597.609839   2244.184910   3262.353891   4408.578623
0.193750   1606.175085   2472.256478   --undefined--   --undefined--
0.200000   1521.933557   2461.893856   --undefined--   --undefined--
0.206250   1480.274066   2461.378018   3526.863995   4600.046054
0.212500   1413.091182   2443.041641   3571.628477   4331.432145
0.218750   1393.197106   2358.848497   --undefined--   --undefined--
0.225000   1473.813787   2268.791979   3360.792146   4269.228447
0.231250   1492.847443   2537.661894   3199.701754   4437.263457
0.237500   1522.422995   2296.188994   3181.345325   4491.426300
0.243750   1487.580576   2330.057208   3274.891942   4459.005096
0.250000   1361.487813   2306.329962   3431.151726   4616.293911
0.256250   1452.920033   2403.093815   --undefined--   --undefined--
0.262500   1443.102181   2570.369526   --undefined--   --undefined--
0.268750   1467.244792   2501.641398   --undefined--   --undefined--
0.275000   1677.235124   2394.274841   --undefined--   --undefined--
0.281250   1703.621394   2580.661209   --undefined--   --undefined--
0.287500   1453.611811   2291.135765   3511.796843   4601.431467
0.293750   1690.429818   2307.633019   --undefined--   --undefined--
0.300000   1708.874475   2601.155807   --undefined--   --undefined--
0.306250   1491.707929   2469.455610   3475.010662   4376.743454
0.312500   1634.999503   2552.440302   --undefined--   --undefined--
0.318750   1597.683995   2572.377535   --undefined--   --undefined--
0.325000   1485.804843   2640.078599   --undefined--   --undefined--
0.331250   1306.661098   2440.733692   --undefined--   --undefined--
0.337500   1560.409200   2481.123234   --undefined--   --undefined--
0.343750   1558.161925   2528.151944   --undefined--   --undefined--
0.350000   1483.076237   2547.263257   --undefined--   --undefined--
0.356250   1497.228587   2495.223602   --undefined--   --undefined--
0.362500   1569.532193   2558.050532   --undefined--   --undefined--
0.368750   1612.433312   2961.730004   --undefined--   --undefined--
0.375000   1675.142920   3057.365186   --undefined--   --undefined--
