Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   914.247899   1989.698106   2727.044648   4099.071164
0.031250   470.222200   1782.878801   2200.367875   3415.384601
0.037500   1111.059690   1981.631524   3177.788338   4012.574616
0.043750   1212.713489   2127.865763   2870.196763   3864.929546
0.050000   1086.486293   2099.531061   2948.823334   3820.616047
0.056250   784.484712   1841.497808   2952.401414   3890.599993
0.062500   1200.055652   2128.492856   2987.874231   4186.393170
0.068750   1284.661248   2101.262001   3207.761619   4147.435728
0.075000   1273.994405   2135.868453   3258.318998   4111.760414
0.081250   681.284142   1891.320140   2632.379236   3171.317444
0.087500   724.900889   1900.139296   3007.658467   3377.909149
0.093750   745.131845   2040.682849   2976.951763   4064.460334
0.100000   1935.260579   2232.666865   3011.384365   4319.551984
0.106250   1565.828705   2676.182548   2817.079626   4212.641390
0.112500   1435.183633   2383.206552   2944.226137   4037.628027
0.118750   1352.150106   2521.714826   3475.120187   3956.382496
0.125000   1440.799168   2493.751853   3616.785267   4532.643652
0.131250   646.460251   1598.063644   2643.783860   3660.363219
0.137500   600.553846   1612.948671   2663.124766   3589.743999
0.143750   519.751379   1775.720163   2688.214436   3666.197266
0.150000   436.488511   1875.655704   2704.668193   3672.898827
0.156250   502.154001   1856.701667   2709.495456   3565.101283
0.162500   1549.790996   2629.259488   3174.565683   4179.467980
0.168750   1386.368469   2302.960169   2879.689114   4041.280223
0.175000   1124.235214   1992.028788   2876.024084   3908.781635
0.181250   1761.844407   1955.707189   2842.440421   3944.514221
0.187500   843.084226   1718.234951   2720.836186   3614.367650
0.193750   581.573224   1675.567200   2714.253917   3654.539615
0.200000   369.137996   1622.510040   2772.470252   3560.062339
0.206250   1626.027658   2821.781793   --undefined--   --undefined--
0.212500   1675.958359   2456.773521   2793.607269   3764.798721
0.218750   1640.673853   2840.394125   3543.302347   4231.767210
0.225000   616.834479   1582.309727   2737.976275   3416.194126
0.231250   741.376361   1621.802506   2814.261956   3787.894159
0.237500   1572.324992   1771.637827   2796.961597   3848.435163
0.243750   1559.248453   1800.106417   2665.194561   3860.027903
0.250000   295.841298   1669.313055   2823.161469   3830.451879
0.256250   407.227769   1619.681588   2815.459965   3838.024660
0.262500   1545.322426   2248.688139   3015.680859   4021.859733
0.268750   409.803068   1580.107319   2551.601759   3463.258588
0.275000   714.655285   1571.734595   2768.395403   3524.810566
0.281250   771.773791   1618.312311   2921.440695   3843.033592
0.287500   1345.876079   1782.033968   2940.855755   3951.644663
0.293750   1356.879770   1895.989814   2934.999904   3963.008651
0.300000   797.015889   1500.738185   2591.654791   3335.343445
0.306250   966.054915   2122.075044   3227.915800   4306.230439
0.312500   988.219297   2271.643372   3438.400125   4207.619626
0.318750   1315.607698   2409.081664   3696.745215   4407.801279
0.325000   1331.874067   2257.293277   3183.023520   4083.961264
0.331250   1375.064083   2031.400513   3108.386576   4143.309686
0.337500   1144.512462   2063.697071   3190.455640   4303.096710
0.343750   1107.343681   2155.951755   3426.387417   4358.041222
0.350000   1029.993582   2040.058355   3552.570909   3949.156678
0.356250   1662.225963   2471.824424   2568.833724   3908.382988
0.362500   1449.002455   2517.353396   3409.679619   3836.754707
0.368750   1726.511621   1974.293342   2740.677149   3881.188570
0.375000   1413.948729   2257.658447   2888.348114   3967.722553
0.381250   1309.937224   2373.403996   3390.666409   4722.564089
0.387500   1251.697536   2678.499086   2919.900428   4009.809925
0.393750   1383.848322   2822.580319   3421.235815   4430.500376
0.400000   1425.879259   2801.652232   3419.807193   4440.029633
0.406250   1503.632168   2826.447335   3487.221817   4404.084819
0.412500   1542.241974   2250.009216   3321.395785   4321.023689
0.418750   844.315371   1649.047344   2569.803998   3298.598203
