Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   948.470545   2138.607298   2977.249053   3618.666823
0.031250   903.190755   2271.304973   3196.592000   3788.638613
0.037500   812.168952   1610.503985   2382.552861   3293.786644
0.043750   750.944037   1698.862972   2487.898695   3356.013384
0.050000   704.666574   1685.371464   2635.712272   3576.888148
0.056250   559.501825   1654.824500   2522.875006   3571.361895
0.062500   1258.015154   2357.206522   3265.777003   4246.640214
0.068750   872.875806   1492.914006   2681.935632   3587.691068
0.075000   788.495024   1399.869486   2683.352305   3368.235121
0.081250   1162.288380   2235.578426   3328.997710   4360.215551
0.087500   915.878175   2038.736684   3086.557800   4273.967309
0.093750   737.042761   1812.270239   2912.746041   3989.339379
0.100000   611.295602   1766.125501   2611.011980   3685.420019
0.106250   633.757296   1862.786135   2565.503327   3723.252462
0.112500   613.950678   1725.811304   2665.854982   3695.322002
0.118750   806.674735   1719.835524   2869.873696   3923.741112
0.125000   786.428842   1729.461059   2872.702873   3986.649526
0.131250   645.996138   1736.974817   2796.792432   3960.529507
0.137500   779.280530   1445.307918   2579.228218   3619.225163
0.143750   1274.761120   2444.923295   3551.076552   4452.786818
0.150000   1273.997475   2296.929678   3234.412575   4434.256559
0.156250   1283.240202   2226.376746   3072.322202   4437.108165
0.162500   1226.395194   2139.254133   3049.749235   4113.234903
0.168750   1221.454140   2063.690783   3037.440945   4153.885523
0.175000   1209.545846   1898.991371   3094.986829   4000.775445
0.181250   874.194917   1865.243619   2882.582908   3735.642507
0.187500   844.845023   1933.339162   2695.404796   3388.337926
0.193750   889.026101   2122.742256   3014.494433   3992.084371
0.200000   804.496148   1878.777653   2612.460610   3669.595604
0.206250   718.744645   1586.997721   2647.398899   3605.825886
0.212500   624.559387   1579.597717   2542.116616   3799.956863
0.218750   604.394820   1386.516724   2554.583448   3759.172526
0.225000   981.394795   1450.422619   2488.590804   3676.894052
0.231250   958.250070   1248.777246   2486.926999   3449.340162
0.237500   765.723902   1547.055970   2512.687480   3615.163480
0.243750   700.397328   1787.338447   2463.226137   3627.032767
0.250000   689.997189   1770.510701   2429.198438   3459.480504
0.256250   706.955614   1609.421175   2406.619065   3407.384845
0.262500   1192.948984   2005.742763   3214.634217   4304.646852
0.268750   1254.451852   2010.287352   3163.701486   4332.190171
0.275000   772.374632   1869.611616   3060.000010   4267.525397
