Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1045.117289   2052.416225   2676.032135   3538.227253
0.031250   989.589703   2076.260288   2696.196897   3589.517985
0.037500   1056.737445   1987.395830   2768.928981   3631.909234
0.043750   1090.293406   1999.705142   2863.736976   3733.691361
0.050000   1105.097915   1970.789289   2826.720166   3638.404685
0.056250   838.244214   1693.563063   2486.505982   3564.518610
0.062500   851.725384   1638.080400   2604.756546   3510.856915
0.068750   786.288341   1567.401355   2916.303257   3527.239363
0.075000   766.059329   1638.407165   3088.268713   3812.446099
0.081250   698.224715   1731.756700   2960.972692   3950.218260
0.087500   736.877643   1738.355906   3079.674393   3877.285469
0.093750   821.843305   1722.941625   2769.756520   3737.706850
0.100000   782.796503   1615.910756   2967.536229   3711.333933
0.106250   667.431829   1563.767959   3014.646885   3729.237692
0.112500   769.662449   1738.478459   2724.846219   3715.716058
0.118750   1744.991413   2240.433450   --undefined--   --undefined--
0.125000   1732.203615   2114.755717   3062.954452   4055.052221
0.131250   1670.799792   2114.534892   3006.661995   4430.344637
0.137500   1638.181509   2557.221586   --undefined--   --undefined--
0.143750   1628.011482   2466.719017   --undefined--   --undefined--
0.150000   1305.760667   2212.196237   2943.972084   4097.752881
0.156250   1281.815056   2087.145175   --undefined--   --undefined--
0.162500   1162.900260   2025.931673   3038.204539   3074.378965
0.168750   1100.646145   1835.295617   2599.418468   3429.127369
0.175000   1142.317638   1834.950056   2612.415258   3453.547844
0.181250   1259.709397   1809.513002   2431.971035   3246.157282
0.187500   846.249204   1398.733010   2580.584661   3651.677472
0.193750   749.939155   1406.093803   2651.021986   3780.532100
0.200000   743.814781   1462.647523   2695.431903   3867.309964
0.206250   622.917992   1528.031579   2660.299231   3727.076047
0.212500   638.416793   1527.143461   2650.438170   3688.999882
0.218750   739.399259   1700.585279   2873.521409   3785.170396
0.225000   804.195777   1881.938067   3178.126840   3773.170957
0.231250   844.180254   1922.078599   3210.547329   3770.936498
0.237500   853.099938   1922.248396   3241.130048   3831.386911
0.243750   799.535763   1788.150299   3006.491098   3849.328306
0.250000   591.532997   1752.330232   2569.880809   3828.094453
0.256250   577.238063   1811.253310   2568.493005   3766.426172
0.262500   580.900627   1853.943595   2589.034832   3751.497935
0.268750   599.169679   1778.339204   2608.994185   3743.947795
0.275000   542.102321   2046.815067   2686.144885   3890.266499
0.281250   504.506462   2049.801805   2715.391675   3864.835455
0.287500   493.941333   2064.676785   2777.812685   3903.977107
0.293750   402.999000   2141.061582   2758.357992   2969.337419
0.300000   379.283250   2135.606994   2517.064351   3214.788362
0.306250   368.852291   2208.711427   2434.452066   3127.456295
0.312500   346.111914   1625.600107   2426.032663   3161.194204
0.318750   338.392780   1539.524527   2447.134162   3188.689125
0.325000   328.366395   1556.765162   2474.889557   3226.885631
0.331250   325.302610   1618.395197   2508.487835   3314.458197
0.337500   296.255567   1628.590234   2539.296254   3323.769529
0.343750   230.297279   1569.896752   2528.666566   3341.600319
0.350000   70.925859   1550.456429   2508.124418   3394.426688
0.356250   221.912277   1580.066090   2516.911096   3420.876122
0.362500   332.472882   1637.898706   2538.800462   3438.734681
0.368750   370.420175   1718.027605   2462.242341   3479.802713
0.375000   378.991338   1779.884980   2456.877315   3520.806493
0.381250   384.211404   1822.308436   2486.500399   3530.666096
0.387500   383.698863   1880.749884   2522.778092   3523.915376
0.393750   378.672467   1914.870238   2539.616069   3520.389892
0.400000   373.391008   2018.019106   2545.298734   3555.730038
0.406250   364.846913   2083.137257   2561.904445   3564.536852
0.412500   363.831661   2116.406286   2554.058629   3625.838942
0.418750   372.535466   2140.847572   2575.758782   3638.616371
0.425000   370.294248   2142.200718   2595.850706   3593.476603
0.431250   359.665444   2163.230198   2617.876744   3635.135890
0.437500   348.818864   2200.203050   2607.977152   3616.480987
0.443750   338.721442   2210.433661   2600.189006   3570.279523
0.450000   332.848894   2176.954569   2596.607217   3568.366775
0.456250   336.696870   2155.748787   2621.814835   3576.970462
0.462500   343.954545   2170.550271   2610.757396   3625.838253
0.468750   348.929863   2178.880188   2602.488640   3660.848277
0.475000   354.411171   2145.700080   2608.660375   3672.693754
0.481250   355.287981   2117.908710   2618.498917   3555.119009
0.487500   357.025381   2120.641499   2614.480386   3617.732615
0.493750   358.474134   2117.213451   2616.158450   3716.535172
0.500000   350.222466   2086.511459   2620.386271   3735.319023
0.506250   337.041406   2089.902540   2595.761978   3739.305261
0.512500   328.299660   2149.570441   2725.451681   3777.940872
0.518750   260.672392   2138.980210   2765.231365   3835.490838
0.525000   2137.587784   2987.373308   3958.212207   4531.447641
0.531250   2133.786987   3216.316965   3881.212396   4575.821662
0.537500   1867.438027   2608.352073   3707.224492   4592.868901
0.543750   1811.953552   2565.440567   3822.601396   4593.030117
0.550000   1822.458287   2425.283649   3926.087391   4525.101552
0.556250   1850.298119   2438.485930   3792.898129   4343.292401
0.562500   1852.416942   2573.866314   3617.053077   4336.304621
0.568750   1786.384414   2754.211127   3668.479563   4343.432307
0.575000   1749.572723   2622.727013   3729.794518   4478.062660
0.581250   1746.541904   2508.756960   3608.010213   4372.228956
0.587500   1747.059773   2702.904637   3838.711457   4299.192251
0.593750   1712.622046   2529.138073   3906.911882   4612.280897
0.600000   1698.862823   2788.337953   3954.604317   4718.790633
0.606250   1670.333179   2600.586087   4033.308671   4345.638948
0.612500   1674.420439   2560.266949   3996.006863   4129.287584
0.618750   1738.740670   2950.561214   4234.158874   4445.610110
0.625000   1629.749742   2065.544438   3136.339796   4212.971926
0.631250   1618.905084   1980.617156   2927.584616   4166.731507
0.637500   1643.653722   1832.517786   2922.808886   4076.866365
0.643750   1622.428472   1712.071887   2820.084535   4090.453403
0.650000   795.150878   1770.528801   2797.331555   4118.694846
0.656250   948.886132   1800.651336   3079.022777   4246.386233
0.662500   870.034530   1824.863221   3190.883474   4404.158648
0.668750   838.746193   1831.566118   3253.969681   4401.419323
0.675000   997.161628   1791.214012   3411.147986   4389.383161
0.681250   1673.864480   1716.562556   3179.071406   4217.563839
0.687500   775.804780   1686.566822   2868.026592   4178.945245
0.693750   1125.874466   1920.222652   3136.289031   4239.330073
0.700000   1054.636670   1851.891880   3204.654754   4249.636729
0.706250   890.382362   1757.546889   3169.112211   4174.104456
0.712500   810.624093   1748.308721   3196.440785   3924.889043
0.718750   819.580432   1801.302294   2858.229348   3761.288720
0.725000   836.903178   1943.176069   2831.950400   3912.782169
0.731250   842.917538   2036.961639   3020.122511   3918.604869
0.737500   852.247511   2065.812474   3015.045443   3916.397293
0.743750   852.143339   1926.997818   3061.919448   3874.307304
0.750000   857.984952   1868.267720   2795.589206   3741.559879
0.756250   870.204663   1681.555769   2865.807048   3934.319757
0.762500   868.515604   1612.519685   2574.402799   3947.511655
0.768750   836.388717   1264.550098   2355.183462   3992.714857
0.775000   813.724036   1021.211885   2403.684808   3988.577357
0.781250   790.936815   1217.795509   2390.220912   3951.027834
0.787500   752.812763   1103.563790   2375.948908   3912.058640
0.793750   772.761246   1111.767774   2314.345394   3915.086948
0.800000   611.351012   1068.559789   2303.404618   3787.853682
0.806250   579.681303   789.990303   2294.275912   3382.986319
0.812500   532.796331   840.193793   2286.683024   3310.849506
0.818750   492.258070   893.867993   2313.528900   3280.938280
0.825000   508.112272   895.046373   2318.631094   3261.859488
0.831250   528.656432   910.946220   2319.951378   3249.221562
0.837500   545.450957   914.399424   2326.680055   3250.274446
0.843750   562.805745   915.978560   2337.817623   3250.531633
0.850000   585.639444   918.960499   2351.410031   3255.220000
0.856250   580.458466   945.109175   2355.832289   3236.544846
0.862500   581.916383   970.425285   2359.090569   3269.253516
0.868750   601.040961   980.021837   2366.977676   3246.658991
0.875000   612.235929   991.110855   2368.984343   3235.876918
0.881250   612.475994   985.836134   2374.207327   3180.283853
0.887500   569.218910   1004.307774   2361.958823   3096.641648
0.893750   569.029067   1022.773177   2359.353522   3019.687624
0.900000   591.219646   1085.625583   2346.501642   2961.750957
0.906250   579.627940   1140.169586   2321.977465   2883.749562
0.912500   539.269277   1172.420112   2294.462000   2728.377631
0.918750   502.417581   1152.483225   2201.714375   2648.199673
0.925000   453.319424   1139.559909   2132.980253   2629.137145
0.931250   399.319009   1132.925179   2140.393727   2538.987483
0.937500   1112.262166   2141.471458   2566.506745   3925.114588
0.943750   1111.595769   2128.333098   2472.468015   3456.137265
0.950000   1133.557694   1896.924941   2251.720675   3512.777318
0.956250   302.500573   1261.464418   2286.192335   3449.659638
0.962500   317.556962   1252.046286   2261.034937   3379.162606
0.968750   363.031679   1258.322426   2328.284590   3330.114379
0.975000   355.213678   1284.772810   2336.623399   3350.794126
0.981250   330.465141   1288.151711   2327.407013   3263.118361
0.987500   329.827011   1295.056032   2572.669550   3261.316073
0.993750   343.135925   1285.753297   2652.755383   3360.868032
1.000000   376.729668   1423.264860   2633.773777   3575.353826
1.006250   376.755355   1456.530455   2616.492279   3469.729765
1.012500   354.534451   1602.469340   2635.862480   3587.921140
1.018750   363.041723   1554.827141   2618.257906   3616.016973
1.025000   383.991383   1557.048028   2610.882281   3689.561350
1.031250   406.360460   1661.257871   2633.357025   3623.413359
1.037500   417.592812   1659.427289   2587.763599   3498.042681
1.043750   419.871953   1677.293883   2591.253762   3686.612396
1.050000   424.804913   1707.719729   2593.056752   3817.549002
1.056250   421.679575   1711.200324   2632.801393   3635.184461
1.062500   405.654444   1672.256050   2652.685408   3861.914072
1.068750   389.765922   1711.451952   2680.130421   3785.933680
1.075000   395.776419   1807.161870   2707.540346   3810.089980
1.081250   443.260326   1791.414055   2668.302093   3858.459598
1.087500   472.219628   1782.914522   2757.149752   3899.436193
1.093750   573.341045   1782.661608   2903.631163   3976.928923
1.100000   402.212302   1801.931130   3028.539846   4141.116619
1.106250   1752.455275   2847.198767   3379.929177   4444.907900
1.112500   1720.509536   2631.337486   3855.190796   4420.310847
1.118750   1716.018386   2776.136188   3921.035304   4601.965103
1.125000   1662.400352   2669.262820   3878.256308   4599.718732
1.131250   1666.891730   2593.130084   3761.748000   4492.531306
1.137500   556.054578   1821.597531   2969.636981   4011.055420
1.143750   878.376201   1964.358102   3027.690121   3824.692748
1.150000   663.897899   2011.190189   3058.091282   3943.692846
1.156250   690.048898   1992.376627   3214.574526   4283.842887
1.162500   710.518981   1843.055105   3228.389983   4291.424567
1.168750   783.650529   1768.288962   3051.282782   4225.652712
1.175000   810.908992   1685.048169   2837.646767   3940.916083
1.181250   815.323079   1736.797434   2854.082259   3964.101488
1.187500   646.455826   1798.921942   2686.307571   3987.296149
1.193750   583.231522   1765.421316   2955.582101   3970.252643
1.200000   566.472734   1788.626707   3102.663660   3915.090319
1.206250   557.202844   1855.738875   3155.384179   4003.796146
1.212500   560.576736   1720.801068   2330.680419   3597.478255
1.218750   668.668200   1698.693473   2389.620227   3498.129920
1.225000   626.125557   1703.437992   2496.955387   3469.044422
1.231250   493.600519   1771.196444   2670.575855   3448.739182
1.237500   445.007743   1665.836416   2560.810714   3244.927151
1.243750   458.519331   1672.824798   2593.857590   3351.571636
1.250000   485.815255   1698.879146   2586.684987   3340.001099
1.256250   497.278303   1722.680287   2577.130131   3358.729814
1.262500   501.662762   1716.751811   2599.835299   3634.082352
1.268750   501.244369   1708.953670   2582.971741   3618.746984
1.275000   507.386826   1703.839653   2593.741140   3555.459487
1.281250   523.192358   1701.116112   2561.867815   3556.537928
1.287500   541.741698   1704.660207   2563.353453   3585.397345
1.293750   551.468785   1685.767291   2547.188141   3589.418023
1.300000   558.262984   1646.849747   2564.018934   3630.868047
1.306250   552.303119   1621.233794   2517.302061   3588.502599
1.312500   528.348675   1590.900276   2466.840149   3512.023047
1.318750   510.832645   1551.647261   2459.045394   3542.947895
1.325000   440.137058   1569.375020   2464.482697   3415.988218
1.331250   382.047948   1516.181812   2532.637399   3471.075407
1.337500   381.382245   1458.010014   2563.858077   3450.686637
1.343750   395.289168   1427.621970   2562.414122   3470.028362
1.350000   412.262178   1436.700938   2551.625796   3442.694690
1.356250   422.388756   1406.746350   2558.621992   3444.034253
1.362500   425.456747   1379.966870   2571.884001   3473.702559
1.368750   416.577635   1350.756587   2559.018676   3514.040218
1.375000   417.124547   1323.596667   2567.622103   3501.421586
1.381250   423.884469   1331.463012   2539.738395   3465.364368
1.387500   513.406194   1398.226194   2543.036935   3270.947527
1.393750   547.347363   1398.221120   2591.212177   3000.508699
1.400000   589.623147   1410.146188   2576.905518   2945.227607
1.406250   604.771504   1427.565106   2531.477514   3669.588924
1.412500   619.260956   1433.888025   2525.745462   3618.042392
1.418750   607.449973   1436.301216   2511.885787   3499.455977
1.425000   589.758269   1413.527539   2454.141206   3416.760211
1.431250   611.750664   1386.878252   2526.462340   3452.590966
1.437500   623.569703   1385.643099   2526.376672   3443.752435
1.443750   639.439124   1404.914417   2559.108466   3468.755694
1.450000   668.276650   1405.872381   2571.507936   3459.443852
1.456250   650.960931   1401.707914   2597.401583   3398.887256
1.462500   611.487365   1386.499070   2609.717619   3399.590459
1.468750   612.654118   1383.939578   2602.341808   3478.255847
1.475000   615.070808   1411.640334   2626.298007   3474.665954
1.481250   703.684813   1477.389914   2654.143866   3408.140191
1.487500   639.403522   1469.622690   2616.253892   3395.525663
1.493750   615.802405   1497.957075   2629.363745   3468.186271
1.500000   637.338782   1449.816212   2660.360230   3560.441349
1.506250   674.080837   1445.139143   2745.541175   3590.646431
1.512500   634.079879   1430.831251   2753.450690   3521.905666
1.518750   633.154957   1416.871935   2557.971924   3468.617944
1.525000   611.149498   1425.698498   2369.184959   3416.011315
1.531250   626.834254   1464.693981   2462.784596   3393.063382
1.537500   621.720829   1548.771152   2466.849451   3472.214478
