Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   940.925774   2089.593947   3033.105478   3952.272354
0.031250   1134.358765   1985.021672   2959.753180   4125.840160
0.037500   1394.476668   1971.201926   2933.433235   4094.722086
0.043750   1294.035435   2080.402500   3034.017773   3797.233514
0.050000   1128.039317   2149.909816   3017.839750   3871.016436
0.056250   941.717634   1794.697679   2886.213264   4355.862218
0.062500   647.309111   1438.434496   2802.031278   4079.631486
0.068750   1491.336114   2415.032148   2827.957385   4075.170452
0.075000   776.592720   1639.493784   2670.858276   3500.779514
0.081250   613.691326   1768.624295   2644.024896   3540.436620
0.087500   535.782194   1834.218846   2880.889482   3659.549775
0.093750   731.429273   1885.866537   2970.966761   3938.259540
0.100000   509.015579   1765.454045   2767.498317   3630.598143
0.106250   701.170106   1747.869009   2634.039602   3517.494699
0.112500   762.090691   1593.306766   2653.453905   2984.843784
0.118750   1088.086725   1913.412683   2980.663388   4043.762349
0.125000   1255.683779   2122.559547   2974.496659   3923.810088
0.131250   1348.431152   2216.180551   3199.096283   3892.126399
0.137500   1415.079911   2061.164224   3303.576779   4136.036261
0.143750   1364.066006   2086.360649   3166.776338   4098.183574
0.150000   1313.461018   2177.774937   2930.380548   4127.588198
0.156250   1137.821505   2213.949156   2809.936858   3931.318049
0.162500   708.742150   1789.502980   2696.646365   3858.558839
0.168750   925.139751   1988.616483   2905.385502   4025.443421
0.175000   1014.051257   2075.534984   2854.703767   4037.294161
0.181250   1128.140341   2118.598888   2917.434881   4043.571089
0.187500   1267.042740   2182.066738   3333.969543   4066.506193
0.193750   1395.191316   2246.246808   3684.704638   4440.048636
0.200000   1260.618703   2318.607625   3048.280418   4063.935373
0.206250   1186.442028   2038.072721   2996.914974   4087.236724
0.212500   1323.132307   1992.791135   3094.256078   4115.057659
0.218750   527.663327   1667.605760   2878.959799   3510.430194
0.225000   723.480629   1688.035880   3055.572721   3861.393048
0.231250   1268.965888   2021.773899   3045.883744   3881.416293
0.237500   1211.881894   2236.566612   3052.365381   3917.046359
0.243750   1021.806858   1741.899045   2803.131284   3895.433165
0.250000   629.651115   1752.792323   2693.744559   3801.862151
0.256250   1116.347874   2212.553045   3310.511212   4319.860064
