Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   856.684240   1488.340918   2493.647034   3767.789960
0.031250   603.937038   1916.287400   2450.930107   3838.983092
0.037500   566.633380   1839.598542   2552.023530   3689.651779
0.043750   595.896606   1876.468638   2531.090710   3231.030534
0.050000   822.019771   1691.226274   2336.710061   3308.694722
0.056250   1281.825585   2211.066377   3333.022192   4469.904107
0.062500   1153.118233   2184.268653   3511.319167   3954.651299
0.068750   499.755739   1605.763844   2330.155560   3560.644741
0.075000   579.687567   1835.346127   2487.214199   3636.765464
0.081250   829.853566   1987.433154   2555.306950   3216.734133
0.087500   735.020565   1682.862719   2734.317131   3440.505473
0.093750   687.093788   1839.609939   2455.332675   3560.374110
0.100000   550.437893   1969.094355   3106.147089   3778.176380
0.106250   481.630960   1553.913037   2543.259979   3585.691674
0.112500   1443.007066   2571.122235   3459.324521   4656.238565
0.118750   693.823977   1580.434575   2416.525438   3565.844869
0.125000   569.054605   1834.010672   2333.262368   3448.752467
0.131250   895.892893   2175.448552   3268.659604   4099.674187
0.137500   663.617553   2015.360538   2839.266172   3948.459065
0.143750   711.182709   1982.129428   2480.062759   3445.209356
0.150000   801.798608   1621.616684   2470.854335   3225.380125
0.156250   738.600950   1668.923897   2698.546118   3678.666957
0.162500   590.107180   1842.235810   2777.490404   4130.427082
0.168750   541.098832   2062.357914   2726.966122   3997.036560
0.175000   657.740347   1706.532810   2444.345260   3717.012459
0.181250   592.864005   1697.210087   2555.921776   3796.347145
0.187500   559.490031   1673.074898   2636.863560   3454.676259
0.193750   506.105760   1624.663421   2556.514314   3404.696295
0.200000   593.239473   1727.297211   2571.841126   3381.003826
0.206250   656.217347   1640.326248   2697.810624   3529.715111
0.212500   762.613575   1528.606019   2606.507666   3667.472283
0.218750   734.986150   1576.968060   2511.976759   3645.979759
0.225000   691.159255   1815.168468   2637.999501   3610.053030
0.231250   711.230682   1559.129973   2491.192857   3649.853585
0.237500   597.107236   1703.503127   2541.435060   3649.611800
0.243750   624.861994   1861.860737   2516.603069   3733.024585
0.250000   742.488076   1971.411046   2594.157549   3979.298460
0.256250   593.448387   1820.549812   2534.701745   3441.529710
0.262500   547.283469   1846.418137   2607.714495   3640.474041
0.268750   565.884657   1891.020872   2523.394067   3710.137606
0.275000   1398.468317   2345.961757   3643.236148   4563.526056
0.281250   1358.679532   2406.702884   3683.308013   4602.018887
0.287500   690.728798   1988.816908   2452.969801   3351.711045
0.293750   579.337497   1785.818483   2557.008684   3487.628610
0.300000   555.873566   1737.237384   2599.503275   3552.481457
0.306250   617.251279   1604.454077   2513.991571   3688.313109
0.312500   590.333718   2017.323157   2263.554004   3553.612155
0.318750   662.019549   1613.516054   2311.273878   3393.772685
0.325000   669.924039   1675.616324   2576.695375   3445.623136
0.331250   568.446056   1652.061556   2462.877844   3412.065983
0.337500   906.197270   937.761521   2321.364539   3110.384720
0.343750   755.291057   2054.281952   2945.180758   4291.684870
0.350000   661.354276   2036.417795   2863.130561   4218.348824
0.356250   618.002355   1869.473018   2512.516559   3455.462021
0.362500   558.869646   1725.715352   2486.120651   3448.993190
0.368750   631.077712   2086.473820   2149.489774   3242.553048
0.375000   668.820546   1832.343176   2460.759790   3344.013851
0.381250   644.020466   1775.282572   2505.286465   3376.251828
0.387500   745.868158   2022.637542   3011.119702   3349.838664
0.393750   666.342683   1803.020333   2312.905431   3373.610421
0.400000   616.944360   1730.724088   2253.120666   3356.971219
0.406250   698.140373   1963.101874   2283.003599   3362.554603
0.412500   725.878131   1766.975695   2424.739757   3558.192795
0.418750   645.235816   1796.908439   2613.871451   3627.300369
0.425000   649.747554   1789.316126   2480.201313   3550.326235
0.431250   669.402240   1737.786441   2484.297393   3583.310022
0.437500   604.054059   1684.733969   2526.842384   3645.799126
0.443750   571.937498   1599.037668   2581.984432   3513.088429
0.450000   669.899850   1451.643578   2379.527891   3412.794870
0.456250   330.447619   1747.782784   2430.158714   3767.512870
0.462500   501.170111   1792.966805   2611.172358   3526.045271
0.468750   675.538662   1881.408097   2626.314403   3482.395851
0.475000   742.705129   1928.296813   2714.825814   3436.128708
0.481250   770.581268   1845.537761   2663.730219   3594.733121
0.487500   605.637409   1816.514007   2477.348049   3458.207698
0.493750   649.303944   1683.765386   2316.804887   3465.456805
0.500000   615.257557   1864.056050   2430.145407   3697.553413
0.506250   639.075478   1788.851923   2713.120224   3590.453527
0.512500   635.454482   1670.518946   2774.256569   3588.517389
0.518750   620.707114   1689.627614   2531.618431   3566.093439
0.525000   628.879643   1688.495814   2421.784848   3487.539728
0.531250   535.414209   1863.206774   2466.300330   3473.949526
0.537500   555.080502   1890.632919   2646.943441   4151.396201
0.543750   392.878657   1771.004501   2834.748171   3917.567061
0.550000   495.829080   1720.255720   2653.091006   3453.116635
0.556250   552.677939   1720.210537   2555.060772   3461.998586
0.562500   582.732527   1643.616985   2533.799086   3511.421356
0.568750   561.227007   1642.755145   2507.119125   3645.087447
0.575000   665.792048   1795.844614   2782.014376   3675.493773
0.581250   670.884126   1761.997970   2608.058655   3686.983921
0.587500   599.972052   1787.913052   2506.621312   3633.751349
0.593750   525.780902   1812.409950   2565.830396   3615.974013
0.600000   622.441172   1899.093172   2565.350735   3609.352042
0.606250   672.394255   1791.459628   2587.154206   3418.356278
0.612500   690.338095   1726.137689   2497.084798   3568.013090
0.618750   784.805263   1753.817666   2343.027753   3622.496175
0.625000   745.665740   1863.081394   2378.566356   3636.453659
0.631250   708.436968   1688.543758   2529.340967   3711.704905
0.637500   631.555219   1812.551294   2597.211683   3875.977308
0.643750   547.681478   1814.264520   2802.345998   3834.955885
0.650000   659.410404   1661.716658   2556.203993   3932.646518
0.656250   661.165794   1628.962604   2380.048267   3711.727894
0.662500   530.026374   1643.596704   2447.123881   3558.282947
0.668750   547.161776   1733.942356   2336.618563   3563.895899
0.675000   706.564834   1824.439023   2217.611486   3434.014308
0.681250   651.621681   1898.121691   2631.854576   3536.440234
0.687500   615.813121   1741.476161   2510.258452   3613.164670
0.693750   590.378350   1796.228462   2508.939547   3673.853407
