Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   750.575657   1886.307568   2232.525958   3376.106562
0.031250   599.618638   1720.353013   2842.613613   3391.527258
0.037500   613.846861   1613.483896   2508.558637   3298.811473
0.043750   718.312828   1696.964335   2394.363578   3209.772632
0.050000   1037.869938   1936.760851   3129.284558   3911.050313
0.056250   1153.713910   1901.633096   2817.426489   3774.810422
0.062500   1132.635830   1842.034420   2801.149057   3880.735116
0.068750   1149.458255   1896.138125   2949.057579   4027.929757
0.075000   1044.347973   1841.876203   2794.244841   3823.046915
0.081250   996.425160   1897.040764   2857.332207   3827.636534
0.087500   824.566967   947.265147   1963.525131   3033.409816
0.093750   592.797821   1755.983591   2243.317359   3938.954922
0.100000   1523.409406   1617.014221   2372.279686   3743.811997
0.106250   1454.689055   2218.359763   2685.598135   3593.958787
0.112500   460.321400   1545.795294   2295.957458   3514.599903
0.118750   552.832865   1675.703561   2307.116878   3532.153488
0.125000   468.593381   1686.635977   2162.838665   3441.332419
0.131250   283.540411   1605.213833   2092.844412   3548.309178
0.137500   1216.566401   1907.105778   2744.829799   4042.966087
0.143750   1079.784023   1739.555162   2508.558758   3714.224825
0.150000   602.009330   1703.562463   2470.263495   3569.968984
0.156250   547.606149   1628.324159   2306.063298   3323.238301
0.162500   435.017292   1647.423715   2381.079212   3313.719369
0.168750   703.206922   1778.560345   2422.928140   3629.629460
0.175000   588.923505   1715.978433   2395.766831   3364.198270
0.181250   503.893563   1699.906064   2626.269467   3354.724625
0.187500   881.197760   1850.308222   2655.747487   3914.484306
0.193750   806.332457   1829.899356   2801.757876   4109.987168
0.200000   1298.142078   1770.095877   3023.224367   4259.429893
0.206250   497.145329   1716.202748   2055.082120   3321.070162
0.212500   497.627525   1673.979648   2272.828121   3418.951444
0.218750   513.866040   1716.198115   2456.815034   3607.237895
0.225000   579.875068   1697.567644   2295.569086   3328.675858
0.231250   1120.155019   1728.668276   2904.532558   3915.981212
0.237500   1501.937292   1764.495710   3029.305879   4000.888263
0.243750   733.004149   1633.010107   1918.101741   3125.039726
0.250000   872.088507   1864.780819   3044.491930   4055.995077
0.256250   673.020432   1756.466666   2659.302741   3255.810788
0.262500   745.142617   1827.680158   2787.131885   3820.999555
0.268750   706.651114   1812.448704   2707.577732   3437.973789
0.275000   680.567733   1795.589217   2381.342323   3332.995142
0.281250   654.675924   1769.277483   2271.323341   3367.747898
0.287500   636.732068   1745.208411   2186.956446   3429.634051
0.293750   787.573469   1831.977574   2277.496240   3112.945358
0.300000   852.749084   1871.970825   2316.026205   3347.663249
0.306250   750.888552   1853.875715   2385.960963   3479.634210
0.312500   687.957881   1818.096403   2567.869226   3497.127236
0.318750   843.227773   1847.593064   2528.696295   3486.410192
0.325000   694.778026   1848.039396   2520.016496   3537.823135
0.331250   448.813926   1829.855893   2518.491955   3675.564138
0.337500   603.285071   2081.761783   2510.239648   3508.670460
0.343750   672.532973   2049.976760   2512.835433   3626.129601
0.350000   722.531922   1883.725551   2574.175574   3668.982226
0.356250   727.090113   1845.048091   2608.354891   3723.009468
0.362500   485.776074   1819.548708   2615.626256   3290.687090
0.368750   511.917358   1818.394460   2590.578589   3201.321887
0.375000   527.526434   1968.248610   2556.123688   2817.216972
0.381250   468.120457   2006.278456   2792.162691   4372.668351
0.387500   489.405764   1842.438715   2749.107958   3199.344113
0.393750   573.279477   1847.270429   2827.954597   3206.326146
0.400000   520.041848   1927.367192   2785.913475   3688.146317
0.406250   660.043581   1963.118616   2518.582098   3650.055204
0.412500   516.490243   1892.289693   2467.902945   3415.152408
0.418750   1616.038126   2002.717762   2896.934469   4460.101014
0.425000   620.731380   1832.558600   2811.794333   3094.040729
0.431250   783.195598   1951.606404   2078.804178   2957.112360
0.437500   855.654860   2020.714194   2627.391914   3165.433010
0.443750   774.730484   1948.714563   2654.581764   3378.822622
0.450000   748.504656   2067.300170   2297.606484   3037.034837
0.456250   760.603186   2064.590500   2284.462393   3109.261854
0.462500   712.767300   1931.829864   2455.546417   3380.049096
0.468750   740.176835   1937.327906   2496.245489   3348.449296
0.475000   684.423320   1943.809463   2502.126186   3224.805581
0.481250   653.754089   1910.301530   2454.437472   3206.591468
0.487500   582.751896   1719.354817   2363.575237   3154.132601
0.493750   731.801651   1898.032892   2477.581379   3027.899372
0.500000   765.782759   1921.295736   2579.174234   3061.863485
0.506250   839.363380   1972.756573   2646.436941   3134.384142
0.512500   767.627591   1940.128478   2568.726837   3126.702778
0.518750   1602.481738   1970.446424   2856.622085   4173.054137
0.525000   1323.243805   2041.730521   2840.911890   3836.325798
0.531250   422.097967   1799.339576   2455.140450   3383.846957
0.537500   1608.898916   2119.360316   2392.942933   3546.802083
0.543750   1135.174231   2021.142994   2858.778891   3630.711676
0.550000   1252.054297   2055.597766   2980.103322   4086.182631
0.556250   1216.800427   2080.710575   3034.539955   4148.692394
0.562500   667.296658   1969.865400   3057.618303   4371.252125
0.568750   642.244769   1824.399755   3023.320044   3771.971157
0.575000   873.762615   1808.326378   3063.589286   3891.406158
0.581250   958.115181   1845.315404   2936.979873   4065.603721
0.587500   1084.871251   1827.612759   2827.527386   3889.335644
0.593750   957.064672   1838.020237   2712.279933   3859.482790
0.600000   1086.932777   1905.589226   3084.928352   3671.412375
0.606250   781.788482   1813.712870   2740.102604   3669.902701
0.612500   783.125680   2002.999093   2926.770037   3543.743184
0.618750   1110.982132   2106.436676   3230.997578   3929.536956
0.625000   678.109776   1575.619185   2204.782066   3421.405405
0.631250   669.439080   1594.299865   2496.121491   3607.192591
0.637500   843.486105   1570.689613   2440.528647   3289.918459
0.643750   1260.270440   2029.933031   3193.554056   4007.580871
0.650000   1239.000314   1831.108754   2926.573008   3760.979278
0.656250   765.009969   1746.030013   2757.892897   3765.322718
0.662500   520.607822   1879.612379   2985.145643   4231.768988
0.668750   492.187382   2060.163056   2549.184481   3105.375814
0.675000   682.246099   2393.711433   3002.692526   4236.005629
0.681250   685.337018   1951.670168   2598.153373   3337.086414
0.687500   713.770764   1818.537062   2601.386260   3319.220838
0.693750   395.624168   1793.645331   2714.252970   3604.710592
0.700000   408.853503   1841.284787   2744.720688   3580.032249
0.706250   423.888501   2357.855692   2999.029651   4223.784387
0.712500   447.914100   2379.951390   2966.950497   4303.599523
0.718750   452.633527   1101.140046   2468.643629   3212.485503
0.725000   369.404669   1507.437980   2447.176016   3381.780928
0.731250   351.117600   1629.863331   2456.626510   3418.810959
0.737500   358.642715   1831.477518   2452.034864   3462.743379
0.743750   358.279401   1930.408778   2455.452319   3509.334300
0.750000   342.932024   1945.402568   2458.079185   3465.307273
0.756250   346.672036   1959.245407   2469.987753   3451.536739
0.762500   325.243924   2065.198269   2446.938549   3462.960281
0.768750   312.859049   2091.169231   2451.723212   3502.335213
0.775000   312.940927   2096.532840   2486.233550   3573.157846
0.781250   309.680393   2082.770158   2435.456902   3588.705742
0.787500   308.694022   2060.841627   2419.712774   3532.879914
0.793750   317.346369   2054.694272   2439.040233   3517.063546
0.800000   325.728834   2057.148202   2479.974161   3487.227746
0.806250   333.594972   2082.699356   2460.173945   3630.832143
0.812500   365.152774   2089.797239   2440.209553   3517.045026
0.818750   333.932829   2073.140325   2389.333938   3489.085523
0.825000   321.082637   2030.316703   2423.943323   3582.814894
0.831250   320.118206   1998.685816   2419.343437   3561.031476
0.837500   320.431203   1987.026381   2388.588194   3536.636774
0.843750   314.650257   1986.407246   2355.097223   3619.739180
0.850000   314.997537   1981.682043   2377.270466   3704.665757
0.856250   323.226675   1951.009338   2439.799435   3634.351488
0.862500   353.064424   1899.257957   2560.675432   3951.770814
0.868750   331.660020   1887.091008   2721.168887   4177.398404
0.875000   320.705427   1937.891598   2656.492136   4169.688998
0.881250   316.043891   1959.568250   2646.569972   4216.718885
0.887500   312.924058   1883.063469   2746.212391   4272.558558
0.893750   322.349972   1911.536891   2758.123581   4133.314438
0.900000   309.443860   1899.203110   2715.870537   4008.634350
0.906250   291.629316   1787.921862   2669.358178   3995.280457
0.912500   423.959542   1675.227077   2703.816062   4120.724291
0.918750   1665.101257   2944.813560   --undefined--   --undefined--
0.925000   323.248335   1664.182718   2607.279075   3714.958418
0.931250   306.474703   1586.831521   2598.277354   3931.193924
0.937500   333.153127   1691.810651   2622.188420   3858.025949
0.943750   326.195938   1737.800004   2642.323496   3782.347427
0.950000   324.024079   1701.859204   2675.881700   3723.515845
0.956250   324.390655   1634.411243   2499.471139   3708.377753
0.962500   419.528470   1583.246223   2534.569942   3467.875578
0.968750   653.761517   1527.809887   2550.831022   3173.290575
0.975000   607.722334   1571.929803   2553.654844   3007.727255
0.981250   556.578821   1606.482599   2494.387030   3307.131242
0.987500   542.903359   1462.745193   2424.547521   3513.345038
0.993750   602.159338   1372.276593   2533.668799   3526.257850
1.000000   680.724324   1276.215359   2466.288404   3468.937684
1.006250   698.884886   1102.536245   2364.663547   3276.782791
1.012500   597.595847   1120.204175   2316.593021   3292.327158
1.018750   620.125583   957.497378   2246.867233   3285.316605
1.025000   659.312710   853.355592   2318.466028   3256.488473
1.031250   697.679773   872.950792   2356.897066   3339.848445
1.037500   709.967885   842.355240   2386.532226   3414.997340
1.043750   677.383204   874.317818   2427.915487   3405.413628
1.050000   649.149078   903.754798   2462.187318   3315.045503
1.056250   640.728503   881.266398   2500.613844   3293.401709
1.062500   638.506066   856.152186   2524.145724   3319.660253
1.068750   626.924534   864.842109   2540.056062   3316.874989
1.075000   618.504411   889.871864   2569.516455   3370.969113
1.081250   613.365310   877.878484   2584.838489   3373.919279
1.087500   618.354640   831.435604   2606.768279   3260.992056
1.093750   620.597767   780.625881   2640.980830   3196.456396
1.100000   625.783339   732.557857   2689.621749   3171.206984
1.106250   625.251261   704.950536   2707.759436   3252.927418
1.112500   627.144838   697.051728   2716.547496   3310.631458
