Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   875.990380   1857.957603   2817.429736   3904.267549
0.031250   839.397974   1860.126362   2872.065665   3850.854790
0.037500   837.550692   2048.026548   2805.491042   3769.218863
0.043750   706.350820   2121.013264   2712.598417   3757.527542
0.050000   1312.475684   2155.026586   2510.650508   3804.861180
0.056250   452.776362   1829.219913   2166.745593   3709.160830
0.062500   386.966829   1849.504082   2672.355421   3931.042952
0.068750   354.430420   1878.411242   2300.449712   3515.918783
0.075000   340.997417   1638.226428   2267.303395   3496.494958
0.081250   336.591617   1725.529338   2438.541241   3630.426041
0.087500   1766.196864   2149.681114   --undefined--   --undefined--
0.093750   432.641788   1767.185264   2504.351292   3739.423645
0.100000   492.461868   1745.663037   2346.644278   3611.697735
0.106250   1501.316551   2223.415515   3531.918901   4634.572789
0.112500   612.332507   1587.845931   2514.475654   3668.921846
0.118750   436.415355   1603.090896   2454.461881   3580.250768
0.125000   1732.173299   2286.566628   3552.341653   4288.158538
0.131250   1684.806645   1878.991783   3394.904002   4423.658111
0.137500   1670.652599   2110.139599   3457.298439   4702.287586
0.143750   431.862200   1732.583952   2209.612484   3659.065657
0.150000   562.926383   1932.191346   2314.570525   3797.254275
0.156250   655.531023   1980.699823   2848.546961   3825.129167
0.162500   1574.352255   1996.296748   2297.431555   3646.235516
0.168750   1521.126663   2046.665432   3334.767433   4138.185667
0.175000   1579.248534   2095.691067   3393.633525   4485.496635
0.181250   412.305281   1586.231266   2163.655804   3517.809579
0.187500   233.053497   1650.422495   2290.961515   3431.790254
0.193750   352.680390   1598.562666   2428.581991   3425.638098
0.200000   310.029249   1617.490345   2369.539308   3604.468420
0.206250   1548.232292   1897.404988   3212.025604   4007.774566
0.212500   1721.753755   2373.241547   3651.224751   4707.344912
0.218750   1618.036002   2258.394221   3578.018547   4712.032770
0.225000   454.758901   1856.241346   2077.821418   3638.611339
0.231250   1840.579760   2006.932198   2957.399145   3661.829389
0.237500   1672.086392   2089.357549   3179.265526   3921.355994
0.243750   1753.448186   2106.826157   3568.307767   4017.295469
0.250000   1725.691342   2111.549482   3768.562821   4743.251682
0.256250   1611.627700   2197.521009   3583.077455   4708.912746
0.262500   666.911508   1787.655271   2117.452582   3454.908523
0.268750   664.742494   1901.640675   2146.920964   3756.479424
0.275000   744.263633   1947.397622   2115.316565   4047.127315
0.281250   822.509426   1959.417427   2129.421473   3691.961511
0.287500   858.527027   1968.485323   2222.286300   3440.917367
0.293750   819.360583   2028.669176   2347.253868   3457.872844
0.300000   633.961109   1970.081721   2524.512054   3407.007744
0.306250   571.919851   1962.262884   2518.930241   3383.516739
0.312500   614.255463   1954.352063   2634.575424   3443.873045
0.318750   664.851856   1960.134868   2592.133334   3538.474305
0.325000   676.303782   1945.308243   2609.278496   3631.582065
0.331250   660.460115   1957.554210   2726.918145   3560.049835
0.337500   619.519130   1946.384951   2669.455841   3692.094346
0.343750   642.494185   1946.823117   2682.227251   3792.250596
0.350000   562.389691   1953.507588   2564.821685   3568.523591
0.356250   655.430173   1914.839038   2511.128703   3542.190564
0.362500   775.724580   1876.963278   2674.707300   3551.801786
0.368750   897.451668   1925.521195   2773.137881   3871.074906
0.375000   1109.369415   1934.291441   2767.554114   3830.341088
0.381250   787.629020   1942.500372   2538.876380   3712.982230
0.387500   772.459263   1916.822984   2576.380350   3634.030321
0.393750   739.844687   1869.543359   2557.535171   3600.200213
0.400000   680.506218   1887.708330   2540.317225   3624.842819
0.406250   821.679264   1911.884444   2612.975033   3668.425526
0.412500   1238.049596   1900.823956   2707.082943   3688.033535
0.418750   997.374334   1857.448278   2819.063637   3737.003960
0.425000   920.929790   1871.891030   2561.837623   3712.210211
0.431250   876.576329   1841.613354   2445.412952   3535.423480
0.437500   869.073289   1838.472996   2553.662202   3682.174033
0.443750   680.249657   1805.115643   2545.533299   3710.673113
0.450000   714.965285   1839.751579   2603.720097   3700.877094
0.456250   896.752903   1823.364783   2535.975035   3620.941569
0.462500   867.445785   1811.112076   2461.435268   3510.220599
0.468750   958.044004   1800.890775   --undefined--   --undefined--
0.475000   1115.413784   1841.892791   3138.820295   3246.848739
0.481250   823.839521   1802.579316   2239.069138   3441.838802
0.487500   665.684970   1875.880395   2459.593320   3391.089637
0.493750   679.849651   1864.520230   2989.044177   3059.979330
0.500000   655.436460   1811.911267   2424.537464   3204.533044
0.506250   931.326467   1822.990386   2183.307678   3149.963296
0.512500   1370.892035   1807.776741   2781.723399   3880.738935
0.518750   1144.723740   1869.819452   2788.285195   3762.652538
0.525000   529.270238   1760.424514   1969.857306   3601.102884
0.531250   650.176012   1720.079307   2652.048493   3789.954738
0.537500   640.405249   1703.511126   2756.535706   3123.413060
0.543750   736.664320   1655.684402   2097.949585   3443.067566
0.550000   660.282481   1649.448613   2200.172632   3388.457921
0.556250   304.077060   1638.213353   2049.914568   3375.256142
