Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1264.822212   2303.727768   3275.934864   3376.954265
0.031250   1292.830504   2031.665000   2411.917661   3396.186136
0.037500   1295.982882   2409.424097   2437.381860   3449.384301
0.043750   1253.751894   2031.233354   2724.148815   3595.367372
0.050000   1118.813385   1951.913401   2859.016394   3554.620038
0.056250   896.005795   1749.873522   2687.394179   3672.873141
0.062500   847.102006   1794.465932   2731.421633   3736.749930
0.068750   1094.772107   2023.129545   2829.144595   3750.862212
0.075000   1086.588351   2074.693454   3145.337579   3427.039294
0.081250   1038.562919   2051.435944   2690.623973   3448.859161
0.087500   953.403348   1776.616088   2634.278554   3581.356631
0.093750   907.251887   1911.618819   2709.848117   3675.595541
0.100000   996.150086   1891.038376   2916.447037   3490.055530
0.106250   1206.257360   1975.822040   2850.095534   3552.026032
0.112500   1155.615849   1913.646409   2973.115429   3601.167562
0.118750   889.830738   2041.213359   3187.665125   3489.518025
0.125000   968.796861   2072.748598   2797.011765   3589.827068
0.131250   1062.625920   2175.861922   2465.200121   3544.923811
0.137500   1072.092897   1986.062608   2978.669198   3581.980154
0.143750   1111.306346   1879.730058   3050.376783   3615.623508
0.150000   881.838948   1908.530047   2944.113780   3623.051962
0.156250   994.126543   1776.090100   2978.828170   3364.064406
0.162500   1006.339309   1757.618774   2970.151550   3372.080208
0.168750   1085.609707   1896.886885   3081.992838   3567.418124
0.175000   1139.635705   2048.262763   3025.597998   3768.394944
0.181250   1110.846707   2072.182502   2843.291043   3588.019926
0.187500   1178.751262   1873.059095   2786.847067   3636.524893
0.193750   1047.157672   1695.444583   2755.748474   3593.851760
0.200000   1032.612619   1810.856786   2758.769506   3544.218392
0.206250   1002.789657   2241.773421   2627.160899   3582.176789
0.212500   909.750106   2117.709414   2887.002082   3730.283928
0.218750   1069.539275   2038.820508   3148.475676   3942.122050
0.225000   1025.143415   1859.929798   2873.168456   3744.312697
0.231250   952.036763   1814.095333   2962.039576   3693.736945
0.237500   1010.110678   2015.007983   2809.861572   3380.556780
0.243750   1220.110396   1680.828119   2605.993825   3485.220763
0.250000   979.143122   1919.888079   2685.108883   3607.101361
0.256250   902.029389   1852.452376   2759.009698   3652.557317
0.262500   969.523380   2017.235449   2894.555499   3647.124752
0.268750   968.623332   1972.350688   2897.990762   3717.560516
0.275000   992.918992   1902.624981   2866.729357   3747.561248
0.281250   993.741500   1922.356195   2691.443361   3712.579053
0.287500   1152.510916   1524.634903   2605.663524   3614.739498
0.293750   1087.803796   1830.582882   2677.969793   3817.924439
0.300000   988.580945   1833.298318   2907.194320   3781.413418
0.306250   902.752597   1830.932553   2878.897210   3773.964447
0.312500   899.599484   1879.479682   2841.407117   3622.493232
0.318750   1012.541397   2137.367213   2610.118924   3608.934906
0.325000   1144.555935   2201.094457   2560.463758   3657.328367
0.331250   985.922808   1812.406375   2775.132518   3705.610609
0.337500   812.245773   1861.109728   2777.288284   3692.111960
0.343750   913.797870   2019.637801   2684.749011   3377.814817
0.350000   1091.580139   2056.192618   3025.455335   3282.432967
0.356250   1060.273331   2022.948914   3026.304830   3552.495268
0.362500   1020.325825   2039.220873   3000.051447   3626.961280
0.368750   1022.698997   2055.698335   2815.984688   3708.417720
0.375000   1023.482219   1979.671004   2873.413919   3723.104406
0.381250   955.272944   2085.419253   2968.513084   3673.548211
0.387500   865.108805   2029.059995   2956.554274   3847.635149
0.393750   963.895246   1933.989507   2986.918656   3662.116095
0.400000   1052.845919   1918.300935   3004.648417   3679.122695
0.406250   1073.694652   1933.281639   2900.660358   3709.034616
0.412500   1104.825604   2109.161883   2776.230461   3544.360679
0.418750   1075.140716   1950.967764   2806.631024   3451.082787
0.425000   918.835349   1940.734895   2794.525332   3668.054198
0.431250   971.012459   1954.106244   2760.628644   3715.611634
0.437500   1198.577209   1934.274953   2612.188953   3695.152113
0.443750   990.052240   1927.594161   2498.114583   3742.999319
0.450000   1089.901092   2002.308783   2607.175648   3698.388998
0.456250   1136.272939   1850.339569   2661.694418   3679.316072
0.462500   1203.530804   1822.539428   2811.595076   3417.161656
0.468750   1040.875425   1767.478554   3000.878934   3567.592792
0.475000   1107.653232   1853.900332   2739.020404   3534.890768
0.481250   953.263644   1868.291087   2776.336820   3543.084355
0.487500   1028.588379   1873.618860   2464.118328   3461.525839
0.493750   1114.814125   1851.387384   2591.044515   3684.095001
0.500000   954.947620   1897.546106   2799.322796   3796.300736
0.506250   987.575083   1902.267737   2862.303810   3634.499830
0.512500   1064.089252   1881.016159   2773.168931   3691.709778
0.518750   813.899191   1870.014860   2816.053035   3707.854586
0.525000   497.253636   1973.588524   2566.164990   3696.596997
0.531250   481.327489   1984.887026   2589.955271   3713.376721
0.537500   503.792200   1948.161133   2434.630996   3557.564135
0.543750   658.755697   2030.048749   3125.589846   3873.426762
0.550000   717.302446   1777.029459   2949.479866   3934.094788
0.556250   542.557314   1667.161534   2735.072085   3623.077921
0.562500   519.959546   1655.366196   2658.973693   3556.833317
0.568750   495.043729   1642.881795   2568.088527   3533.689385
0.575000   517.544662   1618.938336   2676.655338   3492.395786
0.581250   636.082321   1648.154587   2925.538770   3579.812244
0.587500   650.633867   1656.932707   2968.842568   3728.496153
0.593750   669.920372   1685.601851   3048.244686   3620.387509
0.600000   626.152869   1730.216984   3108.587127   3182.541209
0.606250   638.964397   1732.712653   2926.835184   3277.271574
0.612500   470.851495   1615.628151   2917.973786   3410.984997
0.618750   403.815396   1544.326988   2879.000194   3670.144176
0.625000   404.413472   1547.335888   2896.124873   3754.085077
0.631250   391.149818   1569.297664   3162.036855   3723.866698
0.637500   406.055210   1659.793178   3240.370508   3669.842363
0.643750   394.868187   1692.523871   2919.432135   3699.089445
0.650000   384.367090   1719.314329   2760.268301   3855.420840
0.656250   375.954236   1725.597609   2732.885188   3835.392934
0.662500   368.727844   1780.682926   2675.390729   3861.913715
0.668750   354.697773   1963.510395   2564.275342   3906.760155
0.675000   350.997178   1982.327118   2567.695486   3870.966819
0.681250   357.153393   1982.865085   2610.545336   3792.660094
0.687500   365.994309   1993.200427   2608.296029   3877.326507
0.693750   361.374890   2026.079602   2670.151834   3888.891255
0.700000   355.414100   2062.447284   2653.240464   3861.107471
0.706250   359.309684   1974.505323   2657.385024   3812.623012
0.712500   368.868144   1906.303998   2645.668844   3808.659336
0.718750   375.424469   1963.740126   2697.626647   3853.339002
0.725000   376.683622   2007.439544   2659.704200   3717.158298
0.731250   377.075758   2025.444880   2573.584511   3758.244110
0.737500   382.631292   1890.301556   2717.480629   3801.598874
0.743750   393.333705   1781.754114   3131.245055   3792.236412
0.750000   284.484574   1783.731016   3213.409131   3691.280307
0.756250   1688.827006   3148.372236   3643.556908   4579.583567
0.762500   1714.193308   3360.551301   3701.262367   4607.234050
0.768750   1637.599827   3372.343118   3693.504121   4645.344074
0.775000   1644.220490   3454.970202   3653.703803   4598.776773
0.781250   1562.524558   3337.814834   3686.394655   4588.841960
0.787500   1463.947239   3435.821613   3626.347132   4591.013376
0.793750   1482.612975   3343.037303   3658.478178   4583.216436
0.800000   983.636562   1467.408832   3190.094695   3636.325324
0.806250   512.010708   1574.809158   3235.927191   3538.628374
