Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1298.616352   2155.771890   3090.960457   4091.066917
0.031250   1384.974003   2293.258541   3518.297571   4061.454551
0.037500   1394.274519   2334.566848   2850.150966   4048.145828
0.043750   701.725848   1800.533151   2521.496407   3930.746112
0.050000   671.252795   1686.202738   2420.365944   3626.201238
0.056250   506.268338   1549.723542   2369.628713   3579.540361
0.062500   893.073302   1703.214184   2466.845730   3672.125606
0.068750   731.336924   1705.595861   2431.502975   3655.391623
0.075000   744.161454   1687.956313   2478.113650   3609.119984
0.081250   691.285909   1796.512692   2512.259069   3594.774047
0.087500   721.347850   1770.358169   2475.384795   3760.238600
0.093750   730.314004   1746.119235   2458.081465   3605.198296
0.100000   703.327570   1739.140745   2408.536138   3525.996135
0.106250   524.541042   1676.932276   2407.894040   3430.044256
0.112500   329.123657   1535.620523   2355.506127   3434.925224
0.118750   732.540442   1628.270731   2369.072178   3516.985276
0.125000   760.519480   1677.567729   2386.297062   3548.878698
0.131250   787.677134   1856.314418   2691.933193   3578.027044
0.137500   839.663577   1935.334298   2646.684456   3752.347023
0.143750   742.172113   1846.908475   2545.817731   3691.595765
0.150000   632.767983   1720.588523   2768.697629   3811.282820
0.156250   500.335612   1795.432682   2929.253415   3863.132522
0.162500   882.411996   1975.292867   2952.206599   3756.880545
0.168750   550.715324   1619.391336   2998.422774   4031.916642
0.175000   485.733596   1582.145187   2797.536968   3314.270041
0.181250   651.205887   1659.013277   2618.160351   3460.595955
0.187500   744.575051   1700.746546   2350.437519   3363.946003
0.193750   756.960386   1539.716643   2429.236825   3474.533287
0.200000   526.664379   1809.769306   2524.850851   3481.817332
0.206250   1136.405551   1836.397599   2879.698987   3907.634891
0.212500   1056.090342   2045.259967   3034.693735   4039.524596
0.218750   1005.923225   1846.545149   3053.205379   4057.923688
0.225000   728.519671   1749.450534   2800.558786   3712.669040
0.231250   693.394481   1690.053062   2623.298032   3552.960058
0.237500   734.052388   1603.268331   2526.604374   3649.096259
0.243750   952.608962   2065.386316   2421.695851   3578.555245
0.250000   923.765126   2025.977856   3206.388342   3859.338324
0.256250   972.954798   1998.281930   3167.456552   4248.821145
0.262500   1122.928822   2103.266652   3119.031421   4097.576589
0.268750   1065.412388   2109.302991   3062.162611   3928.060481
0.275000   947.982195   1814.953366   2644.070461   3710.446196
0.281250   943.351684   1879.907470   2658.531715   3569.388907
0.287500   914.313100   1881.171815   2521.688580   3531.886655
0.293750   846.115815   1758.103227   2546.538747   3580.203316
0.300000   829.784670   1674.772656   2444.068120   3495.218279
0.306250   875.316861   1721.782168   2477.768576   3508.981112
0.312500   922.997793   1898.865395   2405.048386   3400.381530
0.318750   901.652209   2018.682331   2562.561991   3391.664773
0.325000   949.328613   1976.191427   2911.355054   4056.910442
0.331250   1067.831755   2224.614883   3062.616166   4219.953229
0.337500   1103.005325   1227.284579   2323.427957   3564.169611
0.343750   1043.930979   1789.483686   2326.727486   3550.579022
0.350000   904.507439   1865.206223   2756.417746   3388.987851
0.356250   809.844058   1765.225120   2682.579957   3666.627423
0.362500   900.937982   1720.348809   2712.016631   3686.203325
0.368750   1013.989289   1804.310335   2981.804383   3866.237113
0.375000   1086.532995   1759.487781   2757.254790   3719.901719
0.381250   785.138638   1461.619574   2598.985752   3727.388816
0.387500   588.236098   1554.017590   2690.632456   3639.749966
0.393750   1148.302408   1700.683729   2589.903452   3581.072950
0.400000   920.773465   1674.398024   2673.669908   3732.306989
0.406250   1098.746279   1827.354925   2852.058945   4131.353767
0.412500   1225.914885   1907.321126   2881.893028   4053.547034
0.418750   1190.182609   1993.846425   2959.094510   4291.968558
0.425000   752.776666   1817.884341   1989.310838   2992.034656
0.431250   577.374885   1819.035608   2346.264939   2972.629100
0.437500   981.392340   1598.368869   2196.869684   2950.700314
0.443750   943.735780   1957.211603   2547.059221   3138.000861
0.450000   888.148592   2017.467185   2494.154405   3291.717045
0.456250   818.374085   1999.455447   2621.557578   3345.044862
0.462500   814.826951   1955.530147   2848.871747   3465.629280
0.468750   786.607244   1957.030821   2746.998520   3577.758005
0.475000   563.365687   1978.715486   2630.250279   3463.040421
0.481250   380.136227   1871.148580   2090.687232   3354.078197
0.487500   403.263750   1835.474938   2029.099738   3283.849017
0.493750   420.043440   2018.328781   2284.130456   3370.895926
0.500000   431.270363   2038.205872   2310.301775   3423.495059
0.506250   432.609328   2072.701378   2438.250333   3422.188312
0.512500   431.657265   2090.819662   2579.751542   3392.513087
0.518750   430.227249   2079.605691   2648.526082   3367.670910
0.525000   425.644807   2073.044941   2736.683931   3380.823401
0.531250   419.435562   2062.765158   2848.261369   3324.844530
0.537500   413.418533   2047.900633   2817.894669   3355.706114
0.543750   407.190149   2063.065917   2661.250905   3361.656126
0.550000   405.192561   2094.220601   2759.975785   3368.014166
0.556250   408.370874   2114.242836   2920.069148   3383.713517
0.562500   417.075885   2132.187214   3002.281234   3565.008286
0.568750   431.101468   2125.361836   2579.506630   3485.517396
0.575000   440.932618   2109.864093   2693.363361   3253.010437
0.581250   448.162718   2089.022595   3090.540198   4106.084168
0.587500   438.575253   2117.734295   3079.630721   4077.700089
0.593750   438.464376   2142.689040   3169.530716   4286.036858
0.600000   426.978939   2077.410969   3119.217681   4151.029856
0.606250   407.901530   1988.158620   3017.166138   4013.362761
0.612500   396.531860   1991.162045   2937.761668   3948.788757
0.618750   337.245675   2104.628610   2975.517396   3936.409222
0.625000   249.966437   2068.866404   2894.916618   3947.606891
0.631250   2003.792540   2802.266585   3953.912241   4414.659285
0.637500   111.290620   2001.543687   2821.466844   3867.501160
0.643750   565.966773   2008.452802   2835.713932   3985.261186
0.650000   1953.269658   2877.456324   3994.921300   4560.974721
0.656250   1870.318624   2838.243502   3933.416139   4511.439649
0.662500   1867.741084   2662.945228   3667.850505   3921.261940
0.668750   1894.701941   2697.261225   3690.737795   3928.425258
0.675000   1975.181806   2778.162264   3930.804934   4696.586951
0.681250   1956.606854   2730.605807   3799.426656   3944.952088
0.687500   1885.044767   2717.868259   3614.426436   4355.818071
0.693750   415.305690   1940.423460   2784.139368   3604.138652
0.700000   729.117429   1986.748354   2910.562644   3706.929276
0.706250   938.761403   2030.871817   3065.828019   3892.472811
0.712500   1329.013247   2319.256512   3156.240653   3933.790947
0.718750   1550.421770   2008.066375   3129.398664   3866.800458
0.725000   1995.791552   3104.377031   3431.155515   4233.849248
0.731250   1956.596812   2971.986028   3425.298743   4314.511241
0.737500   1034.316552   1769.096705   2903.733530   3607.510667
0.743750   1083.884374   1795.490351   2898.920565   4181.537887
0.750000   1217.525374   1832.559841   2914.721922   4205.076853
0.756250   1272.002474   1822.272748   2946.708566   4146.410933
0.762500   1030.220424   1764.555710   2845.221124   4087.829520
0.768750   894.332345   1758.290477   2815.960952   4075.706004
0.775000   614.958529   1675.406556   2561.353200   4120.488178
0.781250   659.712105   1515.959169   2236.755753   3682.770566
0.787500   661.965052   1389.085336   2121.118106   3225.060125
0.793750   652.572430   1369.737146   2137.709605   3218.776902
0.800000   664.962296   1351.968311   2185.139115   3292.993519
0.806250   669.640365   1261.789572   2232.916695   3358.329284
0.812500   684.466262   1171.373231   2239.127732   3330.438798
0.818750   699.399979   1168.248311   2263.338431   3291.074121
0.825000   702.063143   1165.937217   2291.188253   3276.805423
0.831250   692.476145   1162.211570   2298.473212   3263.479722
0.837500   681.257039   1152.410899   2315.428467   3241.124444
0.843750   667.909849   1127.720957   2366.210235   3204.842575
0.850000   657.109292   1103.819462   2394.760829   3209.912162
0.856250   648.908882   1089.737663   2396.084062   3257.093864
0.862500   643.704470   1097.706765   2399.278661   3275.935756
0.868750   640.807428   1108.891375   2410.062210   3283.197137
0.875000   636.172025   1090.495355   2442.660454   3251.265489
0.881250   635.565383   1024.715193   2437.288691   3273.278913
0.887500   639.966141   932.376308   2434.181745   3291.019980
0.893750   633.371250   967.043645   2445.671065   3308.406487
0.900000   626.939945   1010.337885   2438.673233   3314.712567
0.906250   625.817793   1028.773695   2414.127437   3320.063025
0.912500   626.586097   1049.860357   2388.225943   3343.518003
0.918750   625.238502   1106.749152   2377.307636   3366.383824
0.925000   634.778270   1134.899189   2500.379951   3297.036104
0.931250   648.453837   1139.113964   2637.843415   3265.532211
0.937500   665.566882   1118.068532   2647.031295   3172.389869
0.943750   683.045630   1138.123605   2584.338183   3305.790430
0.950000   680.669980   1220.471595   2503.239497   3318.139149
0.956250   625.990155   1242.380638   2428.435271   3249.576654
0.962500   632.483810   1281.296114   2531.715842   3230.559753
0.968750   626.624681   1286.618420   2610.306404   3238.642933
0.975000   585.115601   1278.253462   2347.961836   3413.461863
0.981250   644.638637   1405.100058   2254.090957   3635.590759
0.987500   680.617930   1500.019284   2287.412027   3554.214796
0.993750   812.268772   1979.875091   2703.239264   4067.665257
1.000000   760.515112   1981.184878   2992.075075   3900.623392
1.006250   685.881284   1975.328350   2523.543177   3177.414300
1.012500   877.177635   2088.343650   2916.740178   4384.108021
1.018750   1092.556694   2156.770151   3080.988062   4268.244038
1.025000   915.132747   2170.279972   3343.164928   4150.793213
1.031250   769.827646   2141.855557   4016.496961   4057.507384
1.037500   724.179061   2053.998037   2876.095401   3828.163759
1.043750   693.853867   2070.490614   2951.676037   3836.237494
1.050000   700.701319   2130.554391   3021.564893   3847.511996
1.056250   792.650728   2060.328276   3335.169592   3869.076061
1.062500   812.400741   2049.350242   3164.459788   3862.108824
1.068750   699.340912   2031.782599   3118.336869   3877.631775
1.075000   833.571151   2058.299950   3006.343711   3899.122256
1.081250   1043.722311   2019.372619   2979.353761   3862.484045
1.087500   1076.285462   1938.338502   2938.903510   3893.387471
1.093750   1180.530068   1918.086493   3050.340800   3863.706766
1.100000   1209.754455   2074.161255   3602.462209   4001.272986
1.106250   1145.389221   2081.425886   3415.815113   4016.851494
1.112500   868.558864   2066.239977   3120.628364   3987.485411
1.118750   917.763864   1962.229681   2973.466899   3969.488580
1.125000   1132.669893   2535.369502   3648.384153   4278.919258
1.131250   870.527964   2010.247052   2938.733887   3803.429422
1.137500   811.768797   1837.421009   2720.088173   3841.208665
1.143750   838.458771   1844.340813   2733.789161   3854.144291
1.150000   882.281426   1927.715375   2957.450158   3985.616501
1.156250   899.139025   1856.624005   2942.668923   3681.105591
1.162500   796.327264   1768.276591   2803.297000   3628.960900
1.168750   846.334821   1696.265666   2546.742967   3644.197919
1.175000   1065.700875   1209.001194   2531.234679   3598.880821
1.181250   928.514226   1925.598197   2767.391523   3874.614032
1.187500   1054.286129   2057.423413   2870.727411   3951.932811
1.193750   897.821298   2024.832722   2880.882877   3912.225498
1.200000   626.203318   1892.376388   2933.187652   3971.798357
1.206250   545.174670   1627.564441   2938.912374   3025.724254
1.212500   548.699454   1642.428855   2924.150817   4382.572433
1.218750   555.638073   1643.005797   2893.908579   4421.154564
1.225000   563.565894   1642.571127   2907.535868   3148.453781
1.231250   567.567941   1683.954489   2140.412902   2877.798860
1.237500   577.446963   1724.720525   2815.289838   4367.035676
1.243750   617.292688   1732.679911   2839.561638   4437.645928
1.250000   637.700980   1743.855391   2817.519222   4464.159571
1.256250   643.224263   1735.800292   2549.992026   2843.024410
1.262500   643.359523   1706.465347   2832.459308   4303.739860
1.268750   639.835884   1708.770493   2474.665310   2879.551726
1.275000   623.291699   1690.753068   2205.263350   2915.940570
1.281250   612.269859   1622.579873   2387.772108   2882.707088
