Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1239.090960   2145.089466   3039.448791   3844.066973
0.031250   1063.474608   1959.155702   2882.360449   4047.936234
0.037500   681.200046   1622.971251   2693.989518   3713.454773
0.043750   183.899264   1246.378499   2394.508095   3554.845216
0.050000   1165.100224   2272.394195   3413.192840   4608.045935
0.056250   703.413962   1456.777606   2229.134741   3412.613055
0.062500   1312.103320   2599.004310   --undefined--   --undefined--
0.068750   558.588808   1506.285490   2434.731432   3695.602469
0.075000   957.286200   2095.644995   3191.649900   4411.361190
0.081250   1072.935027   1802.463721   2162.917845   3294.241313
0.087500   837.041406   1705.219125   2534.310810   3413.340159
0.093750   712.121689   1688.436820   2626.331798   3605.660755
0.100000   688.923771   1586.068907   2478.339776   3572.837805
0.106250   1190.552702   2110.982901   3267.122636   4508.919167
0.112500   436.307172   1545.295477   2347.117081   3222.486103
0.118750   797.298415   1830.007941   2435.944046   3269.597429
0.125000   809.297736   1766.078029   2544.254317   3667.332524
0.131250   855.916181   1828.884325   2732.682795   3955.976556
0.137500   577.090092   1585.546488   2649.998837   3693.526706
0.143750   537.479286   1624.074557   2636.878540   3857.985469
0.150000   662.631286   1727.517937   2723.950337   3935.565161
0.156250   721.763369   1815.185384   2529.160579   3711.128904
0.162500   642.506586   1709.599848   2532.852130   3477.303242
0.168750   666.204474   1648.812205   2588.983489   3462.921270
0.175000   912.042579   1462.340430   2388.301080   3337.135427
0.181250   1362.417535   2358.452601   3404.884388   4789.934261
0.187500   1307.323501   2467.438260   3324.638263   4558.749791
0.193750   234.658811   1340.536664   2434.787364   3363.878928
0.200000   1252.695865   2137.221241   3252.380315   4091.353245
0.206250   568.692939   1685.728526   2614.778794   3477.967297
0.212500   672.576430   1690.097433   2608.574487   3545.785369
0.218750   590.370078   1614.603598   2470.343215   3586.409344
0.225000   771.225835   1442.631459   2216.980854   3634.124561
0.231250   978.403799   1125.500972   2244.863402   3828.776702
0.237500   660.920788   1765.185854   2471.257878   3615.171222
0.243750   960.898552   1597.241065   2448.572467   3370.807290
0.250000   925.449577   1859.439753   3045.025746   4298.676224
0.256250   732.867726   1722.117576   2913.976915   3937.743648
0.262500   725.936677   1731.112595   2840.730172   4015.642745
0.268750   760.047764   1651.185963   2655.699953   3942.288661
0.275000   503.792674   1460.225325   2369.298885   3588.599859
0.281250   479.384256   1538.091135   2302.533013   3497.929718
0.287500   418.095561   1485.066697   2379.516956   3361.035592
0.293750   284.528502   1426.148287   2360.724939   3356.195323
