Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   931.607399   2025.249929   --undefined--   --undefined--
0.031250   1122.478631   2203.948319   --undefined--   --undefined--
0.037500   1252.946411   2256.665576   --undefined--   --undefined--
0.043750   1199.775439   2108.555183   --undefined--   --undefined--
0.050000   1440.364417   2222.972912   --undefined--   --undefined--
0.056250   1551.474185   2239.287369   --undefined--   --undefined--
0.062500   1621.350013   2186.681872   --undefined--   --undefined--
0.068750   1544.169321   2229.855161   --undefined--   --undefined--
0.075000   1621.294355   2142.580260   --undefined--   --undefined--
0.081250   1639.855109   2088.199872   --undefined--   --undefined--
0.087500   1360.504220   2113.373621   --undefined--   --undefined--
0.093750   1235.536539   2240.310419   --undefined--   --undefined--
0.100000   1268.303890   2197.672284   --undefined--   --undefined--
0.106250   1364.238787   2173.012023   --undefined--   --undefined--
0.112500   1448.999486   2110.419908   --undefined--   --undefined--
0.118750   1370.702146   2029.470767   --undefined--   --undefined--
0.125000   1251.072862   2035.823509   --undefined--   --undefined--
0.131250   1526.866892   2152.232649   --undefined--   --undefined--
0.137500   1764.054619   2086.067632   --undefined--   --undefined--
0.143750   1524.011302   2178.492423   --undefined--   --undefined--
0.150000   1437.067049   2239.839433   --undefined--   --undefined--
0.156250   1377.354043   2221.533962   --undefined--   --undefined--
0.162500   1348.366156   2144.750836   --undefined--   --undefined--
0.168750   1286.414129   2165.026421   --undefined--   --undefined--
0.175000   1339.982598   2127.850294   --undefined--   --undefined--
0.181250   1387.420423   2152.183108   --undefined--   --undefined--
0.187500   1398.616098   2180.616417   --undefined--   --undefined--
0.193750   1342.476389   2124.766557   --undefined--   --undefined--
0.200000   1219.498314   2024.491961   --undefined--   --undefined--
0.206250   1210.783518   2139.076484   --undefined--   --undefined--
0.212500   1219.971467   2060.218482   --undefined--   --undefined--
0.218750   1317.079363   2010.470436   --undefined--   --undefined--
0.225000   1391.131602   2141.062899   --undefined--   --undefined--
0.231250   1415.827297   2158.423156   --undefined--   --undefined--
0.237500   1402.144595   2207.026977   --undefined--   --undefined--
0.243750   1261.880462   2230.033650   --undefined--   --undefined--
0.250000   1198.427039   2186.269107   --undefined--   --undefined--
0.256250   1162.764177   2117.883537   --undefined--   --undefined--
0.262500   1225.696451   2053.145421   --undefined--   --undefined--
0.268750   1318.645203   2069.315303   --undefined--   --undefined--
0.275000   1231.355149   2198.591319   --undefined--   --undefined--
0.281250   1328.920011   2109.005423   --undefined--   --undefined--
0.287500   1472.729164   2175.453704   --undefined--   --undefined--
0.293750   1444.569620   2175.656658   --undefined--   --undefined--
0.300000   1429.547661   2102.552110   --undefined--   --undefined--
0.306250   1351.115878   2202.784872   --undefined--   --undefined--
0.312500   1244.712284   2103.201299   --undefined--   --undefined--
0.318750   1338.748230   2067.713603   --undefined--   --undefined--
0.325000   1274.998731   2182.708137   --undefined--   --undefined--
0.331250   1274.359422   2150.391322   --undefined--   --undefined--
0.337500   1300.493403   2082.990708   --undefined--   --undefined--
0.343750   1368.925285   2195.854944   --undefined--   --undefined--
0.350000   1446.089597   2228.584646   --undefined--   --undefined--
0.356250   1467.765494   2092.542556   --undefined--   --undefined--
0.362500   1547.539627   2088.627938   --undefined--   --undefined--
0.368750   1313.289437   2092.579808   --undefined--   --undefined--
0.375000   1126.124506   2144.208513   --undefined--   --undefined--
0.381250   1293.544072   2097.727440   --undefined--   --undefined--
0.387500   1304.906610   2044.369574   --undefined--   --undefined--
0.393750   1322.452197   2174.206823   --undefined--   --undefined--
0.400000   1381.242551   2137.722149   --undefined--   --undefined--
0.406250   1475.768140   2085.513787   --undefined--   --undefined--
0.412500   1453.869410   2011.470242   --undefined--   --undefined--
0.418750   1240.045748   2134.899001   --undefined--   --undefined--
0.425000   1199.106746   2217.705570   --undefined--   --undefined--
0.431250   1301.974857   2198.462602   --undefined--   --undefined--
0.437500   1383.399144   2276.416054   --undefined--   --undefined--
0.443750   1370.743804   2134.038410   --undefined--   --undefined--
0.450000   1324.829259   2082.637532   --undefined--   --undefined--
0.456250   1332.805394   2134.426929   --undefined--   --undefined--
0.462500   1390.010051   2269.752136   --undefined--   --undefined--
0.468750   1440.111335   2338.730595   --undefined--   --undefined--
