Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   708.169519   1751.624715   1978.304235   3277.272549
0.031250   817.901090   1799.521949   3149.661046   4140.383052
0.037500   987.217649   1743.993653   3193.034533   3914.182888
0.043750   1082.851791   1821.285656   3109.002260   3962.665605
0.050000   1211.284220   1860.881535   2962.589035   4074.534992
0.056250   1324.390012   1988.555681   3083.774781   3962.385430
0.062500   1445.746589   2155.201734   3302.648236   4307.153098
0.068750   1208.114417   1998.040815   3141.117152   4195.836935
0.075000   1470.849724   1914.268848   3184.346169   4303.559298
0.081250   593.793340   1836.947110   3137.015523   4208.778807
0.087500   643.991932   1718.563332   2695.020309   3398.891395
0.093750   1223.855990   2022.418051   3012.014353   4057.624838
0.100000   1274.855150   2407.504358   3106.267021   4192.301343
0.106250   1297.319335   2301.857829   3508.471208   3634.310555
0.112500   1713.720886   2693.828861   3388.618408   4729.982485
0.118750   1502.063989   1848.878160   3086.293345   4317.641446
0.125000   1332.295529   2018.150983   3057.761846   4177.811192
0.131250   1470.389712   2432.561833   3773.063748   4490.573473
0.137500   498.477479   1582.920123   2661.367549   3597.518418
0.143750   1466.093735   2016.203972   3007.399289   3703.350954
0.150000   1350.829494   2304.991879   3097.761871   3775.059028
0.156250   1403.422876   2217.135452   3180.091666   3775.815765
0.162500   1228.234216   2069.866183   3136.308458   4177.171315
0.168750   1506.534612   1557.379625   3011.355483   4203.352532
0.175000   554.266234   1476.470189   2682.496772   3473.505027
0.181250   620.047532   1507.253427   2514.837882   3361.996372
0.187500   1258.054527   2163.848499   3195.661566   3832.286639
0.193750   1363.693372   2145.440539   2848.616069   3750.066859
0.200000   1065.305938   1949.363252   2866.085628   3893.917487
0.206250   1229.557747   2118.236900   3030.384233   3861.091219
0.212500   1320.434792   2031.480862   3116.214446   3783.833000
0.218750   1168.624110   2195.643126   3201.464695   4167.495772
0.225000   1325.904602   2295.780350   3342.888418   4272.567092
0.231250   1170.308220   2519.750722   2696.032130   3920.304796
0.237500   965.812497   2067.504105   2809.986503   3811.458166
0.243750   811.406346   1663.799710   2751.461025   3751.724966
0.250000   694.917428   1305.772792   2473.907447   3406.822044
0.256250   1205.587737   2137.974024   3073.207920   3985.362189
0.262500   1275.792472   2134.081397   2976.340070   3950.452609
0.268750   1139.994715   2130.188298   3065.401251   3927.707657
0.275000   407.562439   1484.782896   2717.207863   3596.774308
0.281250   548.313583   1601.298837   2918.709914   3816.639024
0.287500   1205.946520   2242.423738   3150.279306   3961.966755
0.293750   1104.900076   2155.061176   3063.373855   4112.848015
0.300000   1204.234680   2112.490447   3115.509187   4041.995909
0.306250   1107.505912   2251.098147   3123.152938   3884.861562
0.312500   1545.994052   2436.217971   3542.598509   4841.952207
0.318750   1440.398751   2525.023771   --undefined--   --undefined--
0.325000   1101.565498   2172.485290   3103.858088   4117.517314
0.331250   622.540520   1766.398085   3051.066655   3375.646717
0.337500   587.080954   1683.374146   2730.965773   3434.473466
0.343750   578.420649   1847.343441   2647.489554   3566.712604
0.350000   491.042884   1635.194578   2452.171357   3605.350033
0.356250   471.908039   1727.903235   2737.134022   3743.349137
0.362500   1036.475391   1944.824753   2900.543707   3940.654728
0.368750   1230.873001   1954.004535   2763.018299   3949.964339
0.375000   1335.249905   1969.795651   2874.822951   4044.649044
0.381250   1200.208710   2022.698226   3037.022786   4346.717830
0.387500   511.824087   1630.250769   2554.508643   3441.945142
0.393750   987.975936   1808.685855   3079.754789   3632.859906
0.400000   930.148049   2094.887555   2954.432887   3868.124180
0.406250   703.126028   1642.049535   2678.670499   3662.311629
0.412500   494.549832   1650.813397   2912.328471   3991.190638
0.418750   466.565610   1714.646716   3147.260410   3899.762827
0.425000   517.657490   1784.070893   2914.242121   3795.888941
0.431250   542.067359   1578.300049   2674.459667   3750.197793
0.437500   603.289945   1505.457348   2701.593528   3968.248905
0.443750   634.201179   1456.396996   2612.019314   3953.465599
0.450000   552.015238   1803.215778   2398.421506   3412.626506
0.456250   557.519099   1920.286540   2394.368077   3375.546440
0.462500   639.605321   1854.613125   3086.494040   3352.901631
0.468750   611.784316   1626.246379   2770.388639   3509.498000
0.475000   596.785056   1610.874188   2870.099555   3637.987682
0.481250   779.979444   1764.415791   3044.301361   4220.567182
0.487500   719.177368   1722.447744   2421.703351   3136.461270
0.493750   616.078584   1558.572056   2745.708628   3182.551281
0.500000   647.769249   1634.313867   2777.128800   3909.297274
0.506250   614.698238   1736.908893   2784.798726   3995.933287
0.512500   565.162275   1625.427503   2679.687686   3649.408877
0.518750   540.429244   1903.815169   2818.583579   3735.473908
0.525000   611.469487   1671.516885   2567.739641   3872.534773
0.531250   708.910432   1803.330680   2832.110008   3890.753814
0.537500   908.948853   1964.567345   2964.945740   4044.210629
0.543750   1256.221934   2422.957903   3014.157466   4325.476235
0.550000   380.312195   1538.970785   2586.775397   3643.563777
0.556250   564.771120   1625.430997   2573.825250   3690.168252
0.562500   692.142365   1432.852800   2652.511042   3677.676780
0.568750   626.263481   1573.858301   2724.163922   3565.798911
0.575000   594.808354   1751.726847   2236.275583   3168.823620
0.581250   483.820914   1584.641066   2138.579880   3288.356312
0.587500   854.581196   2071.514645   3090.358822   4272.754957
0.593750   618.152237   1777.855428   2654.931193   3721.614715
0.600000   1621.425118   2086.352517   2819.854132   4055.467824
0.606250   1152.128555   2006.266057   3246.836204   4545.512719
0.612500   1432.534374   2055.037866   3427.148116   4680.838861
0.618750   324.074953   1534.364655   2574.861300   3528.085488
0.625000   1225.354029   2428.192075   3153.071509   4293.967161
0.631250   1056.440630   1997.365364   3059.649988   4087.553723
0.637500   1355.807264   1993.754697   2783.934622   3971.092996
0.643750   511.078673   1519.474093   2479.378215   3549.334288
0.650000   606.845763   1346.454583   2505.003609   3522.552439
0.656250   1194.488869   2495.935477   3340.772139   4530.202760
0.662500   546.749509   1589.512593   2576.803398   3471.717012
0.668750   619.232125   1527.383174   2512.193206   3351.541070
0.675000   968.032085   2275.115240   3056.312695   4080.309611
0.681250   1208.133653   2477.859054   3552.483557   4332.857546
0.687500   196.106249   1432.712317   2422.063775   3406.551088
0.693750   1159.728649   1979.306115   3264.700464   4398.890502
0.700000   1166.301094   2056.841797   3219.650772   4377.005666
0.706250   1090.635736   2240.677065   3241.207227   4233.525121
0.712500   1112.831325   2441.721566   3408.864499   4311.690687
0.718750   1320.134923   2612.460563   3438.573106   4548.966534
0.725000   1005.163880   1894.224016   3076.278462   4117.322570
0.731250   986.805522   1858.087769   3053.636164   4118.299449
0.737500   237.460010   1735.581969   2699.369968   3498.259379
0.743750   562.096119   1778.760278   2773.503517   3853.150559
0.750000   575.975727   1712.765066   2927.126714   3833.925013
0.756250   956.006950   1761.741066   3131.775875   4176.626542
0.762500   1175.635504   1979.162126   3166.109416   4000.937076
0.768750   699.633269   2094.509774   3073.106289   3978.980676
0.775000   682.537782   2059.559405   3111.710391   4043.138642
0.781250   1259.371986   2327.266668   3114.043019   4233.772386
0.787500   921.867430   2175.858837   3357.151561   4335.471994
0.793750   409.467595   1738.551778   2369.371120   3624.852573
0.800000   1105.422452   2279.860466   3720.256518   4011.300935
0.806250   487.767339   1285.902394   2368.072567   3615.371091
0.812500   396.720243   1689.487364   2595.596718   3807.494673
0.818750   291.880952   1615.248295   2597.864285   3676.163055
0.825000   1627.807050   2714.504905   --undefined--   --undefined--
0.831250   1427.045985   2443.203416   2691.179665   3792.207220
0.837500   1340.124192   2539.886057   --undefined--   --undefined--
0.843750   1391.391792   2343.014835   3127.187838   3754.307884
0.850000   1169.158921   2122.035887   3166.714120   3821.477936
0.856250   1188.890460   2115.282124   3304.052046   3963.995015
0.862500   1194.685486   2109.018742   3219.021359   4241.832197
0.868750   1029.942469   2137.225531   3111.828775   4019.246301
0.875000   1033.374727   2083.638442   3107.857056   3934.999781
0.881250   1050.455497   2063.289299   3162.926656   4004.469178
0.887500   1167.652003   2126.760766   3269.794567   4023.121002
0.893750   1073.114613   2198.047567   3288.582502   4258.123568
0.900000   893.880758   2330.789255   3150.945925   4296.165243
0.906250   1046.630990   2425.419028   3492.065894   4415.524771
0.912500   1254.948986   2432.295227   3492.565425   4017.620496
0.918750   1336.448353   2420.379515   --undefined--   --undefined--
0.925000   683.584619   1206.538560   2422.432702   3557.062183
0.931250   1136.900762   2216.504659   3437.257345   4280.714037
0.937500   1153.205886   2183.795888   3129.338348   4084.291813
0.943750   1078.946303   2256.252488   3006.419746   3902.457056
0.950000   930.661882   2234.928135   3063.202870   3918.724757
0.956250   772.220582   1084.452273   2554.755514   3552.657819
0.962500   1029.153134   2234.799917   3250.804316   4814.465896
0.968750   1273.541255   1995.208061   3115.582167   4287.391086
0.975000   1182.465797   2004.741834   3008.363920   4103.497875
0.981250   1176.401660   2164.815416   2862.908576   4100.826788
0.987500   1310.175961   2423.468887   3745.836012   4511.537624
0.993750   166.862621   1285.907607   2496.329990   3682.598419
1.000000   329.043203   1796.406813   2999.781634   3362.784192
1.006250   1062.621039   2045.366097   3025.476913   4190.272694
1.012500   1278.313470   2154.396856   2972.393417   3952.152221
1.018750   1452.092537   2702.502022   --undefined--   --undefined--
1.025000   1146.415615   1977.233572   2989.851014   4078.793905
1.031250   1011.969201   2100.318060   3063.994133   4103.188581
1.037500   1164.052819   2115.678445   3205.731847   4445.431691
1.043750   897.632990   1952.925311   3069.528172   4065.306657
1.050000   437.718637   1828.710973   2953.642572   3577.255795
1.056250   218.688592   1747.143248   2534.368995   3531.922051
1.062500   1568.279581   2302.381575   3698.894821   4757.649360
1.068750   969.505275   2020.114863   2943.212733   4051.573652
1.075000   530.435671   1613.032637   2750.442219   3495.790855
1.081250   509.730289   1696.520659   2677.400218   3535.840246
1.087500   558.002015   1846.437706   2660.818581   3391.856849
1.093750   373.334199   1523.926873   2617.783451   3261.043983
1.100000   1469.572757   2554.744244   3238.240581   4542.136796
1.106250   323.806608   1460.402134   2574.451850   3299.378673
1.112500   288.565975   1456.754038   2713.886868   3396.501866
1.118750   312.819108   1358.937804   2776.692294   3462.454461
1.125000   318.909002   1365.347072   2737.716241   3452.746660
1.131250   321.242124   1420.940118   2751.222856   3363.969718
1.137500   321.045357   1442.240438   3053.047588   3663.572195
1.143750   322.634126   1443.251345   2832.412879   4036.135410
1.150000   327.920233   1478.477188   2723.778104   4142.012244
1.156250   354.535218   1593.324237   2732.049419   4178.994378
1.162500   374.957413   1641.975727   2743.252383   4064.993070
1.168750   373.286549   1705.786471   2731.026193   4138.890764
1.175000   377.554207   1763.734908   2732.059950   4237.373258
1.181250   374.057364   1781.169889   2704.606733   4257.953753
1.187500   370.198086   1809.809301   2660.129101   4031.367388
1.193750   367.107293   1852.003354   2691.632387   4086.894959
1.200000   366.465060   1838.558704   2696.596677   3963.070525
1.206250   363.570369   1822.538303   2698.738956   3983.891523
1.212500   365.353118   1839.528554   2711.344904   4514.248729
1.218750   367.995694   1844.779049   2684.181679   4421.330322
1.225000   368.491730   1800.099656   2632.345547   4201.275936
1.231250   369.290117   1915.349907   2559.315802   4192.509282
1.237500   370.257288   1979.331865   2626.844169   4182.128788
1.243750   369.903552   1980.878319   2605.560822   4159.202503
1.250000   371.780735   1921.014649   2609.492134   4210.825350
1.256250   367.780892   1919.030022   2611.316389   4297.758083
1.262500   370.665574   1882.166513   2662.411705   4256.385817
1.268750   369.403578   1872.954267   2700.415951   4206.645460
1.275000   366.657843   1904.521490   2714.082820   4250.594083
1.281250   365.158888   1919.567357   2755.925596   4208.104736
1.287500   360.857111   1935.815658   2788.522244   4242.233809
1.293750   357.806962   1839.545648   2730.959739   4132.585762
1.300000   320.491604   1856.229452   2698.284016   4004.134912
1.306250   299.810723   1845.751672   2761.530939   4034.070073
1.312500   1785.922120   2842.915637   --undefined--   --undefined--
1.318750   1619.294528   2205.310092   3283.255976   4026.724642
1.325000   1595.745395   2092.990805   3329.162112   4035.835159
1.331250   1617.214580   2267.494300   3540.072351   4002.205790
1.337500   1575.528712   2277.899208   3379.695343   3959.012711
1.343750   1614.535345   2009.981119   3194.000023   3998.984319
1.350000   1540.511962   2017.989801   3115.767950   4004.557164
1.356250   1510.773656   2104.027919   3002.488329   3965.426520
1.362500   1482.291702   2074.539186   2901.689180   3933.780228
1.368750   1423.538501   2364.527295   3650.129536   4038.368294
1.375000   1444.286540   2095.524175   3426.076971   3773.418116
1.381250   1966.576070   2671.340765   3479.756799   4641.509941
1.387500   375.615338   1627.182359   2593.210030   3821.370381
1.393750   425.394298   1691.953049   2581.780056   3467.742650
1.400000   346.234550   1627.846562   2477.946017   3460.855723
1.406250   203.792435   1589.734834   2452.684962   3587.737181
1.412500   137.431813   1603.510210   2646.672740   3382.425349
1.418750   1269.927663   2081.674845   3116.008682   4386.396764
1.425000   1174.929952   2236.027278   3127.506834   4289.391382
1.431250   1227.192913   2554.307461   2799.841113   4123.585217
1.437500   1494.481315   2527.912519   3639.111905   4651.155787
1.443750   1710.766677   2776.059569   --undefined--   --undefined--
1.450000   342.267375   1797.217308   2822.843121   3875.015624
1.456250   517.036882   1742.891346   2814.850289   3476.583957
1.462500   1168.403028   2183.919626   3140.153916   4042.533012
1.468750   1160.811716   2124.629297   3060.583786   3975.360251
1.475000   1321.391139   2416.693804   3102.653904   3806.896607
1.481250   1069.503679   1411.246011   2046.404614   3721.412622
1.487500   982.486127   1396.757522   1983.464419   3663.397051
1.493750   950.734756   1354.862570   2188.200304   3798.783020
1.500000   644.220705   1284.365600   2470.763410   3740.891840
1.506250   451.281489   1237.338574   2528.312483   3998.536336
1.512500   501.595349   1212.259984   2551.666062   4034.072455
1.518750   534.425532   1153.305414   2523.882428   4056.597774
1.525000   567.456048   1083.730508   2483.469126   4067.021298
1.531250   581.998738   1045.031277   2475.577470   4095.912385
1.537500   588.057980   1051.998631   2472.918879   4066.572218
1.543750   589.113089   1049.747920   2471.849161   4045.968690
1.550000   590.195858   1053.386015   2479.924839   4051.688723
1.556250   591.393085   1051.000914   2484.900687   4002.928323
1.562500   589.699445   1040.919858   2486.552427   3980.958010
1.568750   585.961472   1039.978903   2498.149693   3959.010707
1.575000   579.230890   1041.036907   2504.646390   3902.253934
1.581250   570.981463   1041.534071   2489.667521   3869.085262
1.587500   554.582537   1025.599356   2479.461247   3855.451179
1.593750   546.185885   1004.467127   2487.513051   3866.070559
1.600000   533.525528   949.489065   2482.385392   3859.311549
1.606250   512.158271   921.719544   2495.760036   3940.401160
1.612500   491.411891   887.609813   2491.327798   3948.108231
1.618750   473.254788   889.480882   2521.664031   3999.749252
1.625000   465.072846   893.524036   2557.199340   4052.608927
1.631250   460.650071   895.323832   2554.821010   4041.958123
1.637500   452.450556   904.721756   2593.319022   4049.012213
1.643750   444.491335   908.550882   2619.606285   4032.593434
1.650000   439.677115   911.068348   2623.366910   3935.111578
1.656250   426.767912   958.629932   2657.475042   4031.610006
1.662500   412.974188   986.825676   2690.982803   4051.927217
1.668750   412.618478   1021.968798   2704.756637   4080.147149
1.675000   424.086835   1116.414053   2696.840932   4265.719904
1.681250   451.960816   1160.333477   2752.001747   4346.815760
1.687500   468.792315   1222.629810   2798.434716   4424.271384
1.693750   499.881903   1342.422525   2769.730385   4508.113308
1.700000   485.212524   1377.414740   2783.147614   4457.854865
1.706250   463.504320   1406.667686   2854.438727   4467.207743
1.712500   449.735444   1429.903225   2830.556182   4476.333531
1.718750   435.385094   1440.526354   2766.799641   3605.774549
1.725000   424.062563   1549.721353   2742.969193   2891.361138
1.731250   420.632909   1779.932846   2714.479607   4390.591786
1.737500   403.334244   1715.124059   2715.233839   4407.896224
1.743750   394.758150   1678.329819   2741.531574   4548.776608
1.750000   385.470691   1678.754332   2694.233772   4516.095023
1.756250   383.799157   1665.434204   2650.891431   4390.965027
1.762500   382.515586   1670.835832   2671.033501   4348.230981
1.768750   366.555872   1665.039448   2742.403812   4083.101722
1.775000   357.760108   1659.545562   2761.982409   4056.740361
1.781250   342.441119   1690.721485   2722.916014   4099.833963
1.787500   303.396741   1727.106106   2715.857297   3848.236579
1.793750   1779.764613   2815.067490   --undefined--   --undefined--
1.800000   277.498999   1770.348443   2788.143594   3875.040070
1.806250   609.154199   1764.476792   2734.585941   3888.844911
1.812500   802.395215   1737.059133   2807.787223   3888.204900
1.818750   809.460082   1758.694937   2818.069836   3878.774528
1.825000   695.715489   1843.261530   2797.527151   3787.832432
1.831250   746.825534   1777.282518   2806.952889   3816.904065
1.837500   1749.845297   2817.459903   3874.365562   4729.949974
1.843750   793.120432   1692.483069   2910.615155   3901.385825
1.850000   932.629737   1829.621500   2966.835157   3837.432437
1.856250   444.680012   1757.953577   2804.400107   3919.411159
1.862500   1661.428141   2779.098320   3808.272167   4657.764444
1.868750   1433.894827   2905.802196   3738.762221   4708.766879
1.875000   1435.302815   2782.258502   3550.306957   4786.578048
1.881250   814.235754   1939.091321   3007.388184   4196.191790
1.887500   968.304787   2030.521088   2947.592174   3963.492141
1.893750   1051.667765   2084.305712   2826.601501   3791.468433
1.900000   1173.820511   2407.653932   3520.549447   3657.809142
1.906250   1180.505074   2283.026630   3138.086902   3865.582422
1.912500   1088.730103   1881.205187   3019.685670   3848.718516
1.918750   1183.259550   2194.135508   3501.831236   4553.402049
1.925000   979.071546   1937.873925   2914.550598   3757.857204
1.931250   926.874814   1934.258268   2930.877836   3712.743013
1.937500   687.276228   1865.794958   2919.561960   3815.664700
