Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025108   819.992614   934.528794   2339.111342   3700.531270
0.031358   910.976930   1833.694572   2986.187808   3997.209161
0.037608   932.274068   1734.626689   2963.527982   4034.225632
0.043858   848.487757   1702.920715   2935.055147   3951.295657
0.050108   1007.187803   1764.281931   2973.105671   3867.984094
0.056358   1178.847846   1932.118886   2895.666359   3934.694951
0.062608   1089.315778   1910.523015   2988.028508   3924.831173
0.068858   1022.398185   1951.905402   3007.514925   4003.231095
0.075108   1109.378674   1886.382144   3080.341640   4162.820213
0.081358   1158.210270   1752.032808   2960.159761   4015.628959
0.087608   1123.683331   1819.732070   3015.227077   3938.542238
0.093858   1056.298915   1875.935630   3109.310674   4020.068476
0.100108   1122.543637   1811.288132   3066.877702   4057.407775
0.106358   1117.386255   1825.420293   3041.745808   4023.285442
0.112608   1071.212892   1787.771009   2970.902336   4056.796514
0.118858   1089.593488   1925.658193   2910.179884   3917.304051
0.125108   1123.902965   1862.089234   3077.938492   3938.823204
0.131358   1108.692989   1777.221568   3135.351959   3862.341894
0.137608   1039.876582   1755.437516   3131.900473   3779.917410
0.143858   1084.936055   1807.895893   3179.916873   3886.935982
0.150108   1219.766825   1763.469265   3259.767263   3735.455657
0.156358   1185.644495   1834.158424   3007.070599   4128.429815
0.162608   1047.382828   1820.972199   3027.571476   4205.445689
0.168858   1132.104495   1868.219062   3044.803559   4196.942851
0.175108   1189.046810   1816.050872   3108.325486   4416.607051
0.181358   1035.343973   1741.837768   3086.345269   4263.248969
0.187608   980.792139   1817.913838   3087.887285   4290.347070
0.193858   1022.226020   1775.482789   2971.702970   4109.347657
0.200108   872.671925   1625.830166   3030.597787   4550.640022
0.206358   737.238705   1579.149109   2495.819236   3468.215398
0.212608   700.330945   1604.281334   2367.172542   3382.433544
0.218858   1122.801578   1904.850127   3085.369855   4382.947048
0.225108   1020.842496   1845.830967   2908.117965   4081.813606
0.231358   1026.552678   1994.577255   2998.292070   4063.832022
0.237608   1084.613741   2063.519849   3044.146639   4001.378856
0.243858   1162.239300   2046.719275   3208.930013   4492.514960
0.250108   1124.158321   2074.788366   3316.089802   4521.385636
0.256358   1089.636814   1939.825337   3053.051851   4003.489971
0.262608   1148.792878   1937.495590   3044.166406   3899.061972
0.268858   1129.782477   1855.643786   3086.480082   3921.873871
0.275108   1110.903896   1872.116411   3069.243779   4066.697980
0.281358   1066.200111   1930.180638   3027.150945   4098.547733
0.287608   1104.431664   1913.046559   2994.076266   3985.714507
0.293858   1040.805772   1868.385818   3029.559498   3938.634752
0.300108   968.243240   1931.394800   3050.601953   4071.791626
0.306358   1035.538471   1971.562977   3005.811177   3973.338751
0.312608   1040.507001   1945.776894   2975.171851   4079.120366
0.318858   1136.749400   1803.856713   2924.926952   4189.271164
0.325108   1091.125729   1853.301438   2887.101099   4152.085547
0.331358   1123.023187   1833.125285   2926.872781   4131.789828
0.337608   1207.392994   1981.625362   2810.911945   4113.924497
0.343858   1144.664714   1960.778673   2936.700041   4129.189253
0.350108   1217.376604   2029.485177   2991.636924   4519.802314
0.356358   1348.650293   2050.624216   2795.088812   4041.931127
0.362608   1406.354320   2101.566516   2676.681547   3965.999510
0.368858   740.717812   1483.489350   2558.689636   3707.159994
0.375108   810.751802   1693.981205   2745.310885   3703.626542
0.381358   1154.818177   1767.463657   2921.960450   3964.141159
0.387608   1207.016872   1788.379462   2967.134406   4072.337697
0.393858   1147.231073   1752.118125   2969.798715   4039.131152
0.400108   1101.333932   1863.339181   2925.720473   4089.833938
0.406358   1068.404235   1801.708118   3024.398119   4096.787511
0.412608   1061.310343   1650.210704   3056.837405   3983.326047
0.418858   1046.189064   1720.887469   3002.001386   4011.083754
0.425108   1110.802577   1776.574907   3018.896297   4050.916396
0.431358   1111.991597   1763.402445   3004.458811   3985.183133
0.437608   996.822932   1763.747441   3050.817876   4085.834357
0.443858   993.304113   1834.300879   3075.890189   4188.455577
0.450108   1097.701525   1832.584080   3084.923020   4176.636358
0.456358   1191.363896   1647.345980   3140.136832   3802.403419
0.462608   1149.512839   1761.772042   3096.133502   3984.059373
0.468858   1091.399877   1822.994518   3124.909739   3952.213913
0.475108   1087.673392   1834.363885   3073.239921   3980.174483
0.481358   816.170685   1789.440761   3062.001642   4032.753669
0.487608   708.924437   1712.579117   3166.495991   4059.794397
0.493858   689.439883   1639.879643   3330.959755   4093.853478
0.500108   703.746825   1570.036617   3347.821292   3656.773030
0.506358   802.591351   1519.670686   3365.841037   3843.350175
0.512608   884.252375   1921.692937   3558.721621   3920.749995
0.518858   641.329521   1375.049849   2371.952133   3614.861965
0.525108   615.668675   1257.292291   2590.174985   3624.301599
0.531358   878.252198   947.884460   2430.439747   3512.635161
0.537608   967.402173   1923.510179   3477.092123   3694.741164
0.543858   598.458231   1290.077106   2976.606179   3742.615212
0.550108   478.881867   996.410759   2675.354635   3781.069869
0.556358   458.150632   954.429583   2486.935785   3751.744827
0.562608   453.864010   986.580016   2783.615827   3753.340826
0.568858   475.117941   1021.981896   2785.308889   3767.165783
0.575108   488.000545   1078.979811   2784.394653   3762.166937
0.581358   490.288908   1191.429735   2736.225144   3731.222129
0.587608   504.683512   1319.783303   2729.381806   3702.726980
0.593858   513.809540   1468.084850   2688.136382   3694.604785
0.600108   524.390364   1607.572147   2613.400437   3685.732792
0.606358   521.495403   1706.181842   2543.386053   3692.146221
0.612608   508.748819   1763.300357   2410.378214   3687.127553
0.618858   492.307580   1893.262328   1981.219915   3664.551065
0.625108   471.947144   1940.093693   2443.995678   3701.998213
0.631358   456.087914   1894.234923   2586.172540   3750.334540
0.637608   446.460236   1872.188041   2577.842036   3790.060257
0.643858   445.973489   1862.975584   2643.606300   3835.577921
0.650108   449.094085   1968.919982   2640.821715   3894.660094
0.656358   449.789770   2005.170734   2621.707461   3946.916346
0.662608   475.568836   1940.870260   2599.456365   3939.013241
0.668858   530.978736   1917.784018   2633.830780   3948.331448
0.675108   569.740557   1885.701329   2619.106847   3976.925662
0.681358   552.186156   1824.779343   2537.434016   4024.546215
0.687608   467.423870   1827.253748   2421.526336   3912.428283
0.693858   414.155181   1830.122058   2547.940535   4015.439394
0.700108   417.941305   1851.347641   2570.358304   4384.503038
0.706358   388.992201   1812.533150   2625.992792   4099.303460
0.712608   427.285119   1730.057893   2635.460769   4189.234905
0.718858   430.029116   1868.408830   3411.969933   4461.984556
0.725108   429.106517   1854.349314   3677.246446   4515.522278
0.731358   456.390184   1798.150663   3281.382254   4290.277891
0.737608   486.253282   1804.915618   3564.843967   4492.483097
0.743858   541.435581   1754.826704   3527.279952   4430.137304
0.750108   540.448997   1663.135188   3506.697320   4384.708276
0.756358   561.101290   1699.826122   3577.743750   4576.841534
0.762608   645.400067   1744.693777   1870.116730   3926.883649
0.768858   669.949817   1877.461177   1886.423769   3861.063722
0.775108   546.266486   1691.339783   2368.767906   3931.825985
0.781358   529.070191   1493.976808   2534.228502   4060.303272
0.787608   563.788634   1541.066629   2194.450200   3576.152352
0.793858   561.646942   1448.630711   2439.547255   3610.542928
0.800108   567.773965   1399.754753   2353.727845   3734.599139
0.806358   546.569575   1401.316567   2118.800579   3814.330174
0.812608   571.170808   1348.265865   2067.749440   3832.768916
0.818858   750.614827   1320.001677   1816.401091   3587.173341
0.825108   726.009456   1187.406912   1597.200210   3611.174731
0.831358   703.171178   1140.771533   1544.116635   3661.877269
0.837608   665.526439   1191.790560   1742.076323   3596.831887
0.843858   613.633371   1252.953939   1939.135223   3600.866878
0.850108   701.635528   1328.681089   2217.196097   3378.252480
0.856358   831.910289   1332.290348   2409.059135   3735.615788
0.862608   623.256587   1305.135383   2437.667108   3583.165999
0.868858   583.552485   1288.595909   2488.225496   3524.326326
0.875108   603.296236   1297.447809   2319.449671   3583.485622
0.881358   1099.853064   1726.771467   --undefined--   --undefined--
0.887608   598.283211   1009.988364   2161.720624   3439.286313
0.893858   568.664773   985.478243   2514.934114   3515.920275
0.900108   569.547471   1016.214589   2612.542945   3539.049490
0.906358   549.653197   1017.109445   2621.369491   3514.859716
0.912608   539.748081   993.391749   2571.712962   3530.171348
0.918858   533.906034   976.543032   2615.597664   3547.871101
0.925108   525.185681   961.434641   2704.821646   3648.202173
0.931358   524.356976   961.921267   2732.988605   3689.843559
0.937608   519.554079   958.816473   2719.841031   3702.682837
0.943858   514.423368   960.064727   2815.960073   3738.845065
0.950108   513.157367   952.290612   2786.365341   3761.537351
0.956358   514.518614   957.971901   2891.347690   3767.614896
0.962608   513.142462   976.754410   2845.329700   3770.706032
0.968858   497.439666   1025.595022   2908.617865   3784.833179
0.975108   496.831910   1112.313390   2737.173444   3798.736855
0.981358   434.239920   973.298014   2464.103872   3749.894675
0.987608   171.015480   912.070241   2186.983819   3557.116101
0.993858   874.216855   1922.817626   3538.171558   4737.829935
1.000108   779.264562   1897.323622   --undefined--   --undefined--
1.006358   605.133447   2106.739806   --undefined--   --undefined--
1.012608   502.193834   1857.647799   3256.009511   3738.195160
1.018858   477.857437   1971.313408   3307.774850   4122.169258
1.025108   475.170086   1781.614978   2962.990125   4214.810736
1.031358   491.150492   1699.577052   3004.082925   4227.816839
1.037608   522.007348   1660.631482   2608.518931   4154.215167
1.043858   527.387310   1773.843552   2394.871886   4148.568431
1.050108   518.434464   2081.318944   2521.328849   4181.995907
1.056358   513.889468   1776.593610   3158.044049   4318.795740
1.062608   514.487970   1747.839407   2954.741488   4468.893062
1.068858   543.364715   1599.612962   2475.466783   4233.413719
1.075108   519.359821   1609.300818   2857.954979   4289.097915
1.081358   523.862993   1801.762813   2690.910141   4260.080744
1.087608   506.391003   1648.494619   2783.684824   4280.076650
1.093858   503.545110   1494.578019   2887.729006   4282.934271
1.100108   537.203547   1580.507645   2702.337179   4245.531565
1.106358   557.279846   1601.204904   2785.116705   4586.136978
1.112608   565.906764   1575.919185   2827.397168   4476.567264
1.118858   554.499266   1707.624637   2968.843018   4300.837225
1.125108   569.214377   1683.391068   2847.920851   4229.139237
1.131358   571.544332   1693.223128   2949.169789   4344.255880
1.137608   573.653157   1536.874942   2826.496616   4265.423987
1.143858   626.819984   1568.313380   3050.972425   4620.026226
1.150108   601.007841   1625.009119   2095.323010   3654.556873
1.156358   605.098241   1221.417999   2088.299996   3607.043142
1.162608   693.746533   1674.589839   1981.193005   3358.861685
1.168858   773.037763   1705.545169   2458.850007   3117.012980
1.175108   824.028667   1701.425173   3012.141740   4316.116393
1.181358   810.881782   1780.418014   3484.802905   4573.814978
1.187608   735.030019   1806.231519   3379.056912   4499.583925
1.193858   611.475729   1722.781740   2421.191126   3522.525621
1.200108   666.039748   1752.663906   2293.969259   3546.793349
1.206358   653.097369   1874.611763   3268.439391   4599.463827
1.212608   642.725987   1883.155513   3122.396613   3837.035656
1.218858   637.079937   1815.070386   3185.758673   3724.406827
1.225108   621.137084   1717.371689   2762.520464   3784.362146
1.231358   610.817955   1727.364932   2411.253809   3708.138645
1.237608   613.176307   1712.487704   2408.961749   3737.611945
1.243858   615.568816   1708.921579   2346.045371   3720.374877
1.250108   609.470023   1695.315347   2361.940030   3664.601793
1.256358   609.249687   1673.564843   2318.465253   3642.574097
1.262608   615.338964   1638.664905   2301.658195   3648.392754
1.268858   621.323350   1644.342726   2285.985565   3705.573589
1.275108   621.446681   1630.540299   2193.656875   3702.881731
1.281358   629.388839   1565.895907   2209.060762   3691.365667
1.287608   619.504191   1540.858593   2284.066432   3733.870919
1.293858   639.446004   1466.477964   2344.949980   3735.718162
1.300108   636.381263   1386.146974   2384.221854   3729.337189
1.306358   628.831028   1359.895406   2432.066814   3758.314168
1.312608   592.970467   1127.120080   2446.415990   3648.420754
1.318858   576.106878   1102.056960   2500.836025   3664.882323
1.325108   574.093157   1150.992574   2139.290104   3473.998434
1.331358   609.049986   1083.345630   2190.116353   3542.541986
1.337608   602.689180   1088.698246   2117.104308   3417.731965
1.343858   609.416145   1073.143805   2494.833463   3586.620974
1.350108   559.217102   1013.969211   2519.586454   3581.548295
1.356358   558.688119   1005.087826   2536.234496   3642.466277
1.362608   572.232240   1023.734032   2555.921703   3550.056954
1.368858   568.047279   1056.037621   2180.507997   3412.654275
1.375108   570.359201   1031.804659   2005.507834   3143.219957
1.381358   566.993014   1057.234968   1858.539032   3289.015827
1.387608   567.829080   1125.147308   2006.631360   3422.352867
1.393858   729.566858   1184.853613   2532.278177   3553.074220
1.400108   601.862892   1171.729446   2281.178245   3653.110922
1.406358   633.372264   1053.512434   2252.580180   3617.536326
1.412608   692.441768   1125.387518   2267.318052   3467.509727
1.418858   894.529369   1268.223940   2808.639918   3709.425687
1.425108   683.554831   1514.324309   2629.666209   3713.293433
1.431358   741.674481   1508.058450   2746.821485   3725.841161
1.437608   582.684030   1439.301305   2716.844193   3828.387218
1.443858   781.137630   1539.825556   2714.970986   3783.743146
1.450108   742.730690   1637.179858   2867.039754   3930.852613
1.456358   607.025124   1592.082128   2946.834240   3852.748959
1.462608   585.697783   1591.990824   3054.226626   3776.516134
1.468858   589.166777   1650.065285   2910.019062   3628.383097
1.475108   545.109382   1617.463455   2811.102759   3832.875234
1.481358   551.234743   1554.433226   2843.415992   3871.930107
1.487608   556.113005   1565.052058   2923.486527   3976.209990
1.493858   682.847747   1662.714857   2984.639254   3941.312851
1.500108   578.143333   1667.097171   2914.250759   3850.259172
1.506358   546.979349   1610.815272   2949.446982   3825.421866
1.512608   566.702185   1741.380093   2926.005703   3855.502050
1.518858   563.613210   1739.437569   2759.065697   3899.359854
1.525108   578.546172   1677.245002   2778.495169   3884.899149
1.531358   680.097222   1684.945793   2856.708158   3950.016339
1.537608   810.270192   1819.438099   2893.867647   3871.985482
1.543858   733.669992   1810.016123   2992.211364   3995.227545
1.550108   908.622400   1749.580110   2913.016433   3956.496866
1.556358   1106.621536   1767.267583   2752.351984   3855.714768
1.562608   921.315376   1886.509370   2925.997113   3922.272559
1.568858   656.872963   1706.574159   2960.138326   3950.675084
1.575108   552.477433   1652.677092   2889.843710   3827.678082
1.581358   555.524070   1772.399425   2894.801791   3829.801824
