Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1518.686220   1588.551162   2426.416834   3789.703629
0.031250   331.975829   1593.044401   2407.734339   3679.693155
0.037500   135.285033   1673.711940   2514.252219   3725.342993
0.043750   721.478932   1812.697529   2609.524110   3814.485188
0.050000   930.760182   2130.525187   2891.915693   3828.187656
0.056250   1104.459803   2224.236602   3157.596785   4028.468004
0.062500   932.991389   1734.596599   2524.981434   3432.664870
0.068750   801.150799   1743.000641   2686.374601   3855.397363
0.075000   1431.491211   1988.737159   2962.785954   4008.574908
0.081250   1347.300933   2007.259163   3116.828753   4013.825726
0.087500   1189.930086   2186.851922   3571.898901   4005.315582
0.093750   1197.782718   2227.796114   3536.859034   4489.426211
0.100000   1217.021343   2365.500168   --undefined--   --undefined--
0.106250   370.347822   1628.028321   2580.189292   3695.034330
0.112500   373.537692   1812.226670   2731.066824   3739.736083
0.118750   1717.901427   2736.678548   --undefined--   --undefined--
0.125000   1700.342406   2704.474922   --undefined--   --undefined--
0.131250   1525.554837   2389.100639   --undefined--   --undefined--
0.137500   1498.179377   2278.331908   --undefined--   --undefined--
0.143750   1456.720801   2218.904900   --undefined--   --undefined--
0.150000   1133.644548   1282.678790   2554.328162   3479.486891
0.156250   1457.636603   2459.586919   --undefined--   --undefined--
0.162500   1545.807566   2450.458355   --undefined--   --undefined--
0.168750   1022.547234   1571.522211   2509.932444   3475.122914
0.175000   1129.854994   1144.452361   2325.749830   3499.702402
0.181250   1538.825054   2457.359592   --undefined--   --undefined--
0.187500   1570.865653   2609.653324   --undefined--   --undefined--
0.193750   356.193169   1574.690355   2595.238138   3670.739840
0.200000   748.450533   1575.206211   2567.794473   3656.452030
0.206250   656.599033   1658.663623   2607.115621   3728.139982
0.212500   667.165725   1664.411573   2815.174705   3658.046364
0.218750   1660.274014   2928.852372   --undefined--   --undefined--
0.225000   1432.840004   2513.357458   --undefined--   --undefined--
0.231250   1533.406655   2542.853576   --undefined--   --undefined--
0.237500   721.935478   1544.773327   2606.540928   3760.380105
0.243750   670.765590   1796.022345   2777.822069   3730.729981
0.250000   553.806951   1660.340208   2816.341405   3702.614489
0.256250   552.561165   1557.534670   2753.523877   3596.147071
0.262500   1571.817252   2519.969163   --undefined--   --undefined--
0.268750   1646.278471   2712.920871   --undefined--   --undefined--
0.275000   1704.695204   2669.117175   --undefined--   --undefined--
0.281250   1473.348253   2540.290622   --undefined--   --undefined--
0.287500   497.065255   1663.546896   2650.556750   3524.168586
0.293750   549.573186   1728.379371   2923.761760   3580.962634
0.300000   1550.712958   2570.203718   --undefined--   --undefined--
0.306250   1427.481366   2467.196660   --undefined--   --undefined--
