Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1061.734904   1871.088762   3354.033629   3931.910804
0.031250   784.241435   1738.499406   2457.100856   3379.111493
0.037500   707.259101   1733.672205   2364.882432   3466.235015
0.043750   616.553649   1691.721276   2544.261000   3458.200070
0.050000   590.554165   1656.419872   2552.083284   3572.163076
0.056250   563.095917   1686.575524   2623.344980   3527.494271
0.062500   584.801324   1645.202329   2598.281731   3532.920162
0.068750   698.759538   1621.105762   2594.532014   3480.901657
0.075000   672.544171   1656.917412   2581.022261   3541.074271
0.081250   669.383942   1551.836576   2459.226820   3474.030725
0.087500   639.427397   1571.826894   2499.900095   3554.110815
0.093750   589.749441   1596.519034   2529.281763   3662.553513
0.100000   662.833260   1639.497565   2438.151774   3510.515939
0.106250   826.756714   1676.380805   2039.114077   3541.785608
0.112500   846.350221   1463.258982   2150.252209   3477.254460
0.118750   660.596192   1447.770355   2522.845243   3444.797063
0.125000   691.753121   1694.739358   2572.550991   3694.799458
0.131250   687.165557   1728.486615   2475.718373   3462.597601
0.137500   634.379529   1773.684189   2426.212042   3579.310731
0.143750   671.543611   1595.027352   2395.791650   3526.844818
0.150000   682.214464   1488.910569   2416.554533   3599.668967
0.156250   704.794206   1455.044741   2573.699602   3671.842516
0.162500   658.775102   1560.068898   2680.348411   3502.399348
0.168750   654.524639   1546.902396   2573.788636   3384.134003
0.175000   693.953408   1515.722223   2568.891097   3807.593364
0.181250   682.629165   1558.580237   2617.408354   3727.296101
0.187500   640.995743   1574.264084   2697.377202   3494.055241
0.193750   635.408038   1471.017307   2444.692862   3490.082501
0.200000   708.832324   1436.314670   2425.352123   3491.063289
0.206250   662.748435   1503.311885   2271.528354   3489.316120
0.212500   703.396081   1529.484149   2341.880694   3549.648645
0.218750   725.544190   1946.771571   2774.836434   3680.314690
0.225000   1044.709733   2055.818210   3469.884619   4441.787353
0.231250   984.334875   2080.538296   2949.969799   3855.149363
0.237500   1168.780399   2266.037526   2808.773311   3888.577328
0.243750   594.532143   1387.933478   2282.469056   3431.943341
0.250000   867.567310   2025.369112   3269.833319   4421.261679
0.256250   653.155426   1348.551237   2512.785535   3418.816637
