Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026804   1105.979157   2044.390072   3119.230589   3980.700534
0.033054   1061.224223   2030.735817   3088.808284   4154.587930
0.039304   974.800862   2025.966379   3185.304163   4069.554247
0.045554   528.937532   1788.279206   3166.363553   3457.564418
0.051804   1324.849537   2229.827606   3199.676793   4349.633200
0.058054   1339.993053   2266.383571   3169.499933   4353.629984
0.064304   1310.487964   2480.440910   3377.209976   4541.147915
0.070554   515.274259   1520.944266   2509.904159   3619.198704
0.076804   529.412524   1732.397801   2564.890405   3613.704128
0.083054   433.717451   1717.087470   2676.997160   3530.582344
0.089304   546.798007   1732.904472   2712.551366   3540.051561
0.095554   662.562224   1142.551251   2577.485960   3561.244519
0.101804   502.615204   1638.107381   2662.752647   3290.998123
0.108054   475.337638   1927.203371   2825.495443   3309.231417
0.114304   413.271773   1799.066179   2732.981168   3503.664223
0.120554   681.998604   1688.764724   2699.897881   3494.867061
0.126804   482.358242   1665.619410   2726.497057   3644.888281
0.133054   467.571861   1627.594285   2688.884156   3655.937804
0.139304   490.854723   1660.446417   2753.302698   3724.149847
0.145554   1084.697540   1819.984732   3189.699873   3929.109706
0.151804   281.681553   1842.270366   2735.993215   3455.146377
0.158054   420.054000   2065.087654   2404.742918   3539.540809
0.164304   436.644749   1835.144550   2494.667002   3620.923025
0.170554   495.343591   1829.604021   2697.111182   3618.398428
0.176804   439.791729   1745.751023   2658.022862   3595.753347
0.183054   1705.396223   2534.603196   3692.285995   4501.095129
0.189304   1660.615319   2049.916425   3372.239988   4415.111120
0.195554   1122.935742   2004.931436   3170.519092   4324.278386
0.201804   1293.684962   2141.172065   3052.964480   4207.794932
0.208054   572.589591   2122.329319   2744.689667   4174.748594
0.214304   572.811706   2069.833761   2753.730165   3367.507353
0.220554   543.999641   1845.368590   2744.194628   3629.310157
0.226804   489.093200   1857.641878   2741.828000   3616.540367
0.233054   504.701280   1875.403175   2794.558359   3635.497057
0.239304   385.658449   1724.404357   2748.311173   3613.500546
0.245554   492.441640   1715.998014   2829.395952   3690.762801
0.251804   653.851630   1783.600163   2831.106185   3777.058697
0.258054   546.786260   1877.279858   2820.015667   3756.596214
0.264304   565.524471   1897.997342   2907.646624   3828.339822
0.270554   558.895274   1860.443967   2876.425315   3802.856763
0.276804   561.396658   1837.198071   2794.418476   3773.776357
0.283054   544.801762   1870.925300   2844.129298   3680.171288
0.289304   499.574922   1870.400325   2787.415970   3772.163089
0.295554   671.472257   1930.804983   2699.139819   3865.160113
0.301804   735.542867   1860.761348   2875.166272   3933.197106
0.308054   687.123768   1908.129908   3081.183679   3974.207031
0.314304   543.259328   1815.411942   2802.773844   3830.930714
0.320554   564.104030   1951.295397   3093.551070   3663.564037
0.326804   551.812211   1980.909583   2977.314083   3916.346549
0.333054   582.363946   1924.527368   2900.059631   3839.620070
0.339304   492.722378   1879.268191   2956.721093   4007.394797
0.345554   446.269151   1782.602773   2833.293219   3348.546346
0.351804   476.409581   1755.962653   2697.119108   3427.187622
0.358054   404.195977   1594.998418   2587.759031   3515.237300
0.364304   1477.331028   2408.888414   3462.934758   4370.731161
0.370554   1396.012901   2137.843927   3419.058541   4404.090092
0.376804   581.422391   1642.711036   2737.969611   3339.571925
0.383054   478.473312   1643.698054   2798.451435   3370.632366
0.389304   493.012065   1805.971541   3018.219709   3336.724571
0.395554   561.094385   1833.037851   3201.052161   3767.105202
0.401804   544.162659   1756.097670   2977.083654   3989.253283
0.408054   376.600558   1672.450174   2890.112856   3771.671171
0.414304   337.588122   1623.038606   2770.441934   3401.121860
0.420554   460.226103   1215.446965   2511.053419   3444.013987
0.426804   275.056689   1465.892794   2554.220789   3611.769643
0.433054   378.625089   1661.837866   2539.015216   3724.932078
0.439304   453.516204   1763.829817   2663.447557   3660.738428
0.445554   404.506338   1874.481381   2745.298820   3739.424806
0.451804   397.724422   1839.796257   2583.745783   3522.145701
0.458054   476.206051   1775.256696   2546.832870   3565.382631
0.464304   745.603369   1941.201159   2836.212762   3919.746229
0.470554   1083.345712   1904.158925   3037.610941   3892.871292
0.476804   790.831791   1856.908254   2874.557338   4093.402486
0.483054   726.018216   1771.077047   2533.601228   3563.758696
0.489304   497.390611   1708.811841   2672.476808   3521.112232
0.495554   465.472184   1867.082957   2687.654607   3638.767172
0.501804   842.384970   2123.300218   2947.905108   3796.520354
0.508054   965.461773   2261.717662   3474.003534   3818.583620
0.514304   696.801491   1898.013482   2633.452198   3467.546805
0.520554   600.810431   1838.283301   2739.928991   3633.777049
0.526804   531.995514   1804.921147   2554.244682   3570.835718
0.533054   1226.729824   2314.720959   3364.949302   4410.937423
0.539304   1271.169706   2320.256326   3377.219846   4437.950087
0.545554   672.255427   1364.847957   2511.009289   3585.885315
0.551804   1339.294795   2383.964178   3600.057486   4418.717137
0.558054   427.196902   1600.553343   2597.114913   3489.545728
0.564304   276.556537   1554.411508   2798.204022   3463.351420
0.570554   1194.971293   2223.737571   3219.625621   4359.998170
0.576804   1235.819659   2156.375585   3129.989207   4185.442602
0.583054   1342.468412   2572.747451   3390.661852   4498.374215
0.589304   794.953059   1902.553088   2277.500799   3326.367722
0.595554   579.621770   2003.954877   2453.363215   3246.320331
0.601804   564.620433   1905.730737   2305.734285   3346.724286
0.608054   589.251144   1710.398199   2470.446695   3418.844888
0.614304   1424.259270   2336.076429   3399.404770   4284.030324
0.620554   412.774464   1918.838716   2233.048991   3375.750298
