Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   588.456722   1900.875509   2721.266210   3847.209132
0.031250   452.766266   1854.549147   2752.181353   3880.319574
0.037500   54.503512   1687.624727   2356.435700   3683.386196
0.043750   1667.988955   2294.595663   3632.992102   4397.874525
0.050000   1699.872853   2282.608876   3694.568202   4783.937950
0.056250   1739.837687   2549.059443   --undefined--   --undefined--
0.062500   1656.688218   2714.232417   --undefined--   --undefined--
0.068750   1682.099899   2826.306702   --undefined--   --undefined--
0.075000   1718.298100   2763.264108   --undefined--   --undefined--
0.081250   1799.327216   2769.181975   --undefined--   --undefined--
0.087500   1708.325804   2920.985483   --undefined--   --undefined--
0.093750   1791.283804   3036.389687   --undefined--   --undefined--
0.100000   1942.613189   3112.456975   --undefined--   --undefined--
0.106250   1877.937803   3243.752803   --undefined--   --undefined--
0.112500   2069.219513   3270.906745   --undefined--   --undefined--
0.118750   1977.917492   3133.018620   --undefined--   --undefined--
0.125000   1859.737703   2666.769480   --undefined--   --undefined--
0.131250   1798.011377   2714.534377   --undefined--   --undefined--
0.137500   1790.746275   2590.606182   --undefined--   --undefined--
0.143750   1725.549794   2639.571346   --undefined--   --undefined--
0.150000   1733.752922   2871.673781   --undefined--   --undefined--
0.156250   1774.461871   2921.311464   --undefined--   --undefined--
0.162500   1839.274890   2673.263105   --undefined--   --undefined--
0.168750   1859.767982   2912.794628   --undefined--   --undefined--
0.175000   1871.355680   3040.091594   --undefined--   --undefined--
0.181250   1892.246307   2938.325386   --undefined--   --undefined--
0.187500   1900.660868   2905.473221   --undefined--   --undefined--
0.193750   1866.459850   2842.228591   --undefined--   --undefined--
0.200000   1792.373695   2889.726677   --undefined--   --undefined--
0.206250   1769.917325   2837.145994   --undefined--   --undefined--
0.212500   1781.625386   2826.932126   --undefined--   --undefined--
0.218750   1804.828511   2906.674406   --undefined--   --undefined--
0.225000   1808.939888   2769.949164   --undefined--   --undefined--
0.231250   1826.378904   2757.592899   --undefined--   --undefined--
0.237500   1802.195483   2813.112028   --undefined--   --undefined--
0.243750   1852.626995   2751.423766   --undefined--   --undefined--
0.250000   1860.066107   2877.735376   --undefined--   --undefined--
0.256250   1846.610664   2940.801242   --undefined--   --undefined--
0.262500   1866.912160   3004.987371   --undefined--   --undefined--
0.268750   1709.906047   2818.898471   --undefined--   --undefined--
0.275000   1653.580810   3023.278163   --undefined--   --undefined--
0.281250   1733.527013   3019.429184   --undefined--   --undefined--
0.287500   1766.860159   2960.830817   --undefined--   --undefined--
0.293750   1773.428425   3042.279632   --undefined--   --undefined--
0.300000   1698.005383   2990.327009   --undefined--   --undefined--
0.306250   1653.820552   2956.101104   --undefined--   --undefined--
0.312500   1824.181320   3293.187892   --undefined--   --undefined--
0.318750   1794.513419   2951.291955   --undefined--   --undefined--
0.325000   1760.861875   2823.426852   --undefined--   --undefined--
0.331250   1825.770295   2789.692082   --undefined--   --undefined--
0.337500   1839.554383   2610.357091   --undefined--   --undefined--
0.343750   1717.332098   2625.445124   --undefined--   --undefined--
0.350000   1828.181895   2813.096431   --undefined--   --undefined--
0.356250   1760.520189   2734.766701   --undefined--   --undefined--
0.362500   1744.474153   2797.006881   --undefined--   --undefined--
0.368750   1803.175047   2917.962732   --undefined--   --undefined--
0.375000   1775.714228   2783.285214   --undefined--   --undefined--
0.381250   1689.129291   2798.900555   --undefined--   --undefined--
0.387500   1662.346401   3008.641790   --undefined--   --undefined--
0.393750   1750.980026   2587.769364   --undefined--   --undefined--
0.400000   1787.825513   2534.906503   --undefined--   --undefined--
0.406250   1677.269215   2542.246137   --undefined--   --undefined--
0.412500   1654.486597   2621.253186   --undefined--   --undefined--
0.418750   1773.708798   2723.375008   --undefined--   --undefined--
0.425000   1758.149651   2660.352083   --undefined--   --undefined--
0.431250   1753.944863   2753.120401   --undefined--   --undefined--
0.437500   1776.336734   2604.979064   --undefined--   --undefined--
0.443750   1713.865960   2657.212798   --undefined--   --undefined--
0.450000   1797.217750   2749.517899   --undefined--   --undefined--
0.456250   1779.222797   2755.116886   --undefined--   --undefined--
0.462500   1760.052489   2795.470657   --undefined--   --undefined--
0.468750   1821.632648   2743.239194   --undefined--   --undefined--
0.475000   1715.594830   2717.269987   --undefined--   --undefined--
0.481250   1632.653214   2745.987434   --undefined--   --undefined--
0.487500   1699.056684   2703.159528   --undefined--   --undefined--
0.493750   1760.851047   2793.521608   --undefined--   --undefined--
0.500000   1731.070804   3013.303575   --undefined--   --undefined--
0.506250   1823.049194   3060.567690   --undefined--   --undefined--
0.512500   1724.342282   2903.075619   --undefined--   --undefined--
0.518750   1695.510805   2717.868504   --undefined--   --undefined--
0.525000   1753.927800   2934.348809   --undefined--   --undefined--
0.531250   1737.006205   2902.084522   --undefined--   --undefined--
0.537500   1742.909277   2851.872013   --undefined--   --undefined--
0.543750   1790.745169   2823.296225   --undefined--   --undefined--
0.550000   1817.583867   2805.943463   --undefined--   --undefined--
0.556250   1655.433495   2712.331871   --undefined--   --undefined--
0.562500   1668.999919   2614.930840   --undefined--   --undefined--
0.568750   1582.886745   2610.129228   --undefined--   --undefined--
0.575000   1744.547223   2581.412367   --undefined--   --undefined--
0.581250   1895.613975   2532.454945   --undefined--   --undefined--
0.587500   1834.326537   2898.043533   --undefined--   --undefined--
0.593750   1711.060079   2792.936408   --undefined--   --undefined--
0.600000   1777.823066   2800.337372   --undefined--   --undefined--
0.606250   1901.183668   2929.638874   --undefined--   --undefined--
0.612500   1824.485559   2887.347128   --undefined--   --undefined--
0.618750   1670.116117   2772.788479   --undefined--   --undefined--
0.625000   1749.058050   2730.405671   --undefined--   --undefined--
0.631250   1806.248028   2558.625828   --undefined--   --undefined--
0.637500   1808.898910   2816.752371   --undefined--   --undefined--
0.643750   1639.725967   2867.224147   --undefined--   --undefined--
0.650000   1686.271615   2641.701074   --undefined--   --undefined--
0.656250   1007.033095   1875.041168   2838.095729   3902.519940
0.662500   1063.234202   1999.656250   2954.863395   3901.924748
0.668750   1066.851530   2007.999651   2971.152030   3919.562030
0.675000   1066.467035   2006.086696   2961.778289   3907.186880
0.681250   827.111041   1900.040028   2837.595819   3894.897945
0.687500   1987.432401   2781.264029   --undefined--   --undefined--
0.693750   1637.467400   2497.867485   --undefined--   --undefined--
0.700000   1690.826988   2517.772976   --undefined--   --undefined--
0.706250   1734.424106   2617.568333   --undefined--   --undefined--
0.712500   1596.681143   2696.626690   --undefined--   --undefined--
0.718750   1516.406810   2558.845420   --undefined--   --undefined--
0.725000   1616.619561   2583.504257   --undefined--   --undefined--
0.731250   565.641519   1961.981020   2773.310373   3901.175903
0.737500   1523.907677   2719.694531   --undefined--   --undefined--
0.743750   1505.978254   2538.569518   --undefined--   --undefined--
0.750000   1539.422913   2566.457563   --undefined--   --undefined--
0.756250   1628.230305   2726.628997   --undefined--   --undefined--
0.762500   609.911998   1764.769129   2969.870205   3861.400285
0.768750   1348.714395   2484.438052   --undefined--   --undefined--
0.775000   1002.692483   2031.361943   3197.925337   3695.869986
0.781250   750.915164   1972.731623   3072.477273   3747.300408
0.787500   881.567219   1975.042307   2909.437195   3928.741153
0.793750   999.723761   1916.707294   2861.557849   3996.785038
0.800000   1160.956338   1855.853814   2946.265611   3950.443317
0.806250   1097.936163   1785.306314   3045.949930   3679.320069
0.812500   1251.985188   1717.579652   3066.151823   3689.041458
0.818750   1194.918854   1366.925901   3040.962927   3613.915236
0.825000   319.787632   1055.289571   2708.582705   3360.133353
0.831250   329.282836   998.934725   2611.303110   3237.936209
0.837500   339.629366   964.529535   2621.701637   3238.128524
0.843750   350.069724   929.596677   2620.793061   3309.760126
0.850000   359.066327   957.992215   2631.119627   3317.198535
0.856250   355.746874   956.123078   2634.598780   3298.093514
0.862500   352.756019   972.836608   2638.831215   3288.544112
0.868750   351.836853   1023.457879   2617.076756   3280.973091
0.875000   348.469794   1055.435769   2580.863615   3285.944794
0.881250   347.304585   1074.923065   2507.550300   3252.172899
0.887500   325.863065   1137.202546   2418.276768   3291.888517
0.893750   341.983158   1296.703691   2342.255097   3391.983138
