Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   710.977663   1764.713062   2599.800149   3869.665896
0.031250   616.647666   1736.338404   2941.454429   3910.285902
0.037500   693.837996   1766.198308   2840.369107   3646.933592
0.043750   735.177466   1801.322336   2610.043026   3542.046069
0.050000   727.897238   1891.875668   2693.351177   3739.523830
0.056250   648.293017   1942.609570   2901.127659   3895.455433
0.062500   1403.539761   2539.685466   3502.978679   3944.975667
0.068750   1235.458940   2539.277900   3547.923044   3954.175621
0.075000   1049.801423   1682.724758   2779.002642   3537.453968
0.081250   925.876174   1962.486065   3465.124312   3627.770798
0.087500   802.086825   1846.722235   2920.177666   3572.191571
0.093750   1291.677045   2170.190864   2914.775247   3651.204688
0.100000   1334.073259   2294.892324   2925.789687   3699.537767
0.106250   1364.184861   2063.273978   3094.533810   3829.112440
0.112500   1182.331496   1788.719483   3037.678546   3611.040760
0.118750   1257.358065   1782.491961   3085.965665   3637.589211
0.125000   1312.212640   1773.113521   3084.229116   3971.805955
0.131250   1462.548078   2026.977603   3055.437532   4005.293721
0.137500   610.880899   1711.184213   2987.153139   3392.914553
0.143750   614.815659   1671.607094   2980.352076   3445.538642
0.150000   592.373412   1672.994502   2761.659846   3370.649426
0.156250   282.772141   1584.537719   2652.343262   3263.645251
0.162500   1474.502033   2668.540070   3122.725544   4369.317518
0.168750   452.245849   1467.044865   2521.698617   3319.096960
0.175000   724.786647   1286.874193   2523.427496   3354.485361
0.181250   1321.178327   2131.063580   3332.357640   4368.238836
0.187500   1511.033124   2157.398601   3335.858315   4473.351754
0.193750   1589.434637   2058.715489   3321.967230   4410.354091
0.200000   1391.498873   1884.838023   3296.496305   4474.722764
0.206250   1136.585192   2076.924896   3300.187774   4572.227075
0.212500   807.009791   1706.149382   2596.130556   3375.952209
0.218750   1518.817675   2062.397429   3321.542081   4392.998155
0.225000   474.029643   1423.324446   2148.507121   3335.990639
0.231250   898.698170   1934.418700   2376.108047   3299.600313
0.237500   1685.609605   2935.458000   3627.411337   4413.977803
0.243750   221.425193   1574.647856   2597.063002   3422.815394
0.250000   1478.582544   2498.194589   3590.291190   4494.648986
