Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1112.499159   1935.483014   3108.699430   3878.922593
0.031250   1130.339760   2359.087072   --undefined--   --undefined--
0.037500   1147.643677   2352.917840   --undefined--   --undefined--
0.043750   1130.470726   2266.168661   3129.638885   3920.576024
0.050000   1274.083727   2530.919571   --undefined--   --undefined--
0.056250   1304.214620   2543.246614   --undefined--   --undefined--
0.062500   1634.221481   2672.988216   --undefined--   --undefined--
0.068750   1733.592974   2637.667385   --undefined--   --undefined--
0.075000   1663.030768   2674.128243   --undefined--   --undefined--
0.081250   1638.390124   2649.805734   --undefined--   --undefined--
0.087500   1814.209979   2716.622627   --undefined--   --undefined--
0.093750   1887.717382   2749.864712   --undefined--   --undefined--
0.100000   1828.319503   2640.302394   --undefined--   --undefined--
0.106250   1698.511759   2722.979789   --undefined--   --undefined--
0.112500   1742.193232   2732.879587   --undefined--   --undefined--
0.118750   1790.981500   2621.570457   --undefined--   --undefined--
0.125000   1829.571159   2706.069595   --undefined--   --undefined--
0.131250   1734.684485   2945.316256   --undefined--   --undefined--
0.137500   1832.239120   2872.499434   --undefined--   --undefined--
0.143750   1827.703263   2825.810383   --undefined--   --undefined--
0.150000   1769.014429   3030.652998   --undefined--   --undefined--
0.156250   1714.121166   2812.313603   --undefined--   --undefined--
0.162500   1832.736106   2618.428893   --undefined--   --undefined--
0.168750   1839.473909   2605.099919   --undefined--   --undefined--
0.175000   1756.702516   2785.558866   --undefined--   --undefined--
0.181250   1748.344171   2825.790713   --undefined--   --undefined--
0.187500   1818.909360   2734.317167   --undefined--   --undefined--
0.193750   1946.483582   2753.797915   --undefined--   --undefined--
0.200000   1853.969370   2789.276394   --undefined--   --undefined--
0.206250   1738.654107   2713.673281   --undefined--   --undefined--
0.212500   1816.991312   2642.284642   --undefined--   --undefined--
0.218750   1819.220065   2692.034187   --undefined--   --undefined--
0.225000   1757.957309   2710.034935   --undefined--   --undefined--
0.231250   1663.450570   2708.016794   --undefined--   --undefined--
0.237500   1633.036395   2664.355853   --undefined--   --undefined--
0.243750   1811.547559   2669.857135   --undefined--   --undefined--
0.250000   1937.730908   2786.369369   --undefined--   --undefined--
0.256250   1772.982233   2896.323687   --undefined--   --undefined--
0.262500   1656.609167   2781.328448   --undefined--   --undefined--
0.268750   1759.812252   2801.349481   --undefined--   --undefined--
0.275000   1776.686417   2939.808693   --undefined--   --undefined--
0.281250   1851.392787   2928.579990   --undefined--   --undefined--
0.287500   1896.598125   2820.632309   --undefined--   --undefined--
0.293750   1905.896924   2799.259741   --undefined--   --undefined--
0.300000   1866.213807   2841.202373   --undefined--   --undefined--
0.306250   1799.606265   2624.849004   --undefined--   --undefined--
0.312500   1891.910588   2634.197651   --undefined--   --undefined--
0.318750   1825.447779   2666.558102   --undefined--   --undefined--
0.325000   2398.879975   2914.798950   --undefined--   --undefined--
0.331250   1182.732077   2414.578145   3069.759976   3944.540421
0.337500   1312.143248   2414.037307   3334.087310   4248.198796
0.343750   1340.588782   2184.047412   3237.872477   4268.796924
0.350000   1273.307396   2110.882789   3135.883786   4164.981672
0.356250   1202.350036   2008.585875   3078.503931   4139.667744
0.362500   542.185929   1826.823497   2577.745881   3556.077592
