Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1017.540712   1819.305295   3199.434193   3622.852108
0.031250   718.809265   1813.912587   2708.766527   3602.203396
0.037500   564.019642   1819.929979   2426.260710   3594.408337
0.043750   507.416000   1847.001575   2227.567225   3603.460942
0.050000   524.878413   1895.902734   2156.325740   3509.994148
0.056250   543.045653   1868.291352   2147.509023   3456.306179
0.062500   532.924193   1816.561280   2347.663089   3539.072682
0.068750   549.341140   1777.902529   2329.336656   3507.449990
0.075000   550.539629   1800.457334   2323.826252   3504.789087
0.081250   499.055179   1854.574155   1890.482286   3366.141488
0.087500   506.238438   1806.899667   2090.810513   3340.542095
0.093750   529.555592   1780.931693   2356.470400   3414.678411
0.100000   405.453885   1836.388282   2359.857264   3462.860779
0.106250   407.992998   1814.156015   2305.185747   3431.744149
0.112500   502.310233   1809.131405   2230.109882   3458.086277
0.118750   464.902972   1761.338340   2507.262077   3585.132073
0.125000   504.585700   1742.320837   2353.035958   3672.515521
0.131250   478.918869   1668.834887   2297.527797   3673.615025
0.137500   478.725930   1703.842007   2249.431639   3490.343227
0.143750   529.952715   1675.472571   2252.761718   3477.820546
0.150000   456.817258   1647.422679   2260.600526   3455.363479
0.156250   433.112041   1678.985643   2248.879857   3513.608969
0.162500   470.645403   1719.969933   2299.478346   3504.025379
0.168750   493.658564   1752.812510   2246.501764   3515.633231
0.175000   441.460980   1742.591570   2314.496475   3500.996568
0.181250   363.682335   1745.276030   2254.923644   3469.358753
0.187500   409.450784   1736.466407   2202.269333   3514.658766
0.193750   407.240288   1740.892519   2277.866673   3481.718761
0.200000   456.157682   1720.118101   2376.646471   3474.525585
0.206250   493.233193   1687.616328   2429.678215   3500.455902
0.212500   484.877448   1683.238639   2305.679565   3532.159651
0.218750   456.278158   1713.782949   2129.880038   3530.190094
0.225000   778.698353   1731.306591   1869.546013   3579.186809
0.231250   467.165981   1684.298919   1939.471314   3564.666950
0.237500   432.605986   1606.420392   2305.672472   3568.594281
0.243750   451.174092   1671.208794   2375.490183   3573.062016
0.250000   545.550131   1702.509524   2399.669559   3553.044791
0.256250   560.397830   1742.094174   2236.831465   3496.961507
0.262500   492.431783   1738.222052   2176.286225   3407.544019
0.268750   496.994412   1654.484456   2320.474231   3410.478562
0.275000   466.763594   1643.167766   2352.077475   3505.006770
0.281250   501.070435   1528.614349   2331.357403   3430.532583
0.287500   406.958325   1572.500193   2278.917745   3487.821774
0.293750   342.285910   1616.964315   2332.919471   3515.404483
0.300000   422.687723   1699.391448   2441.559823   3560.459009
0.306250   453.496840   1607.581033   2322.032375   3482.164584
0.312500   404.670885   1536.959049   2282.160147   3411.471581
0.318750   449.168695   1534.601436   2269.094668   3400.352445
0.325000   549.996558   1594.784174   2290.381064   3342.546711
0.331250   553.183212   1517.292353   2199.339897   3377.671753
0.337500   542.255049   1496.605709   2162.221671   3402.659114
0.343750   474.239039   1506.910928   2306.356204   3402.306488
0.350000   488.761159   1347.407098   2254.276964   3451.059096
0.356250   505.800029   1287.992056   2211.092143   3309.916126
0.362500   472.166398   1283.532922   2204.741093   3327.453476
0.368750   373.423874   1250.043335   2260.530642   3413.055380
0.375000   391.121265   1418.509810   2383.332991   3379.227988
0.381250   366.855212   1340.067113   2725.212282   3182.105688
0.387500   375.357161   1300.066052   2534.899128   3498.605379
0.393750   423.299379   1259.943071   2223.342548   3542.618363
0.400000   514.974800   1312.581253   2458.141650   3594.505979
0.406250   438.706561   1412.814364   2565.348053   3909.081767
0.412500   426.878261   1375.438469   2334.702080   3544.648834
0.418750   483.164386   1331.058347   2375.901902   3493.557650
0.425000   444.256053   1356.023950   2477.455887   3795.755678
0.431250   420.031668   1436.283189   2444.933455   3894.067187
0.437500   470.494795   1393.364411   2184.573958   3675.928890
0.443750   447.499864   1291.442845   2261.358726   3448.887125
0.450000   451.582917   1391.735185   2307.361054   3394.286867
0.456250   435.144647   1694.600156   2421.224413   3520.127950
0.462500   1074.936374   2187.975039   2861.917905   4299.442598
0.468750   284.506697   929.452283   2145.222413   3114.826140
0.475000   436.503083   1441.777765   2300.114435   3335.634500
0.481250   482.429584   1451.278804   2303.138811   3406.390461
0.487500   453.181392   1730.390946   2529.558950   3425.336517
0.493750   441.547291   1750.102606   2560.684821   3457.245179
0.500000   462.835712   1720.681384   2629.105387   3590.364422
0.506250   517.595712   1680.504535   2961.120217   3699.454494
0.512500   366.771606   1579.923200   2599.963769   3060.523574
0.518750   370.658079   1401.380733   2743.467061   2946.649892
0.525000   416.468241   1208.702756   2668.564796   3179.285822
0.531250   415.853049   1059.183544   2468.716803   3550.259886
0.537500   409.240759   1078.887510   2464.623942   3626.403343
0.543750   406.729281   1117.172462   2437.733160   3646.051902
0.550000   406.860226   1135.654020   2383.621283   3596.441186
0.556250   404.343790   1155.735615   2368.128597   3525.333788
0.562500   406.571475   1233.786343   2427.652526   3531.009277
0.568750   400.680508   1430.357390   2208.327344   3564.404809
0.575000   385.692300   1582.985735   2092.050592   3565.046735
0.581250   403.345834   1677.048558   2074.648156   3446.056225
0.587500   419.027848   1786.432240   2222.520064   3364.552442
0.593750   421.782663   1990.684517   1999.195354   3392.240380
0.600000   399.170684   1980.427075   2045.022923   3439.502845
0.606250   394.242562   1737.958443   2128.129622   3526.709186
0.612500   396.489379   1623.901708   2207.674142   3539.341991
0.618750   391.431644   1766.219901   2234.050901   3524.765964
0.625000   361.712682   2035.251053   2272.147640   3528.631019
0.631250   346.303233   2226.572165   2293.641015   3557.771014
0.637500   356.778138   2175.438161   2303.222131   3563.351326
0.643750   364.265443   2000.087678   2293.040400   3543.606311
0.650000   359.653450   2039.402190   2296.880609   3496.134620
0.656250   352.872644   2225.521711   2314.018663   3516.993889
0.662500   357.011189   2234.516035   2326.912212   3511.923424
0.668750   356.912736   2295.588135   2336.133412   3465.376875
0.675000   356.918836   2322.016536   2327.938333   3461.028519
0.681250   360.190962   2304.592172   2307.169253   3490.189201
0.687500   362.828850   2227.869982   2505.076951   3449.398210
0.693750   361.735114   2182.085651   2701.187061   3425.052953
0.700000   355.662522   2148.469917   2863.935896   3459.844221
0.706250   353.767560   2114.379897   2806.202054   3533.462562
0.712500   353.987736   2109.995560   3505.713519   4032.096663
0.718750   350.927377   2044.813190   3393.921194   4032.141242
0.725000   354.054105   2045.806932   3475.249803   3945.299989
0.731250   372.651634   2084.167326   3787.098241   3846.447771
0.737500   374.988124   2030.754005   3674.202724   4006.311117
0.743750   356.908079   1970.967548   3486.084009   4039.204481
0.750000   358.768599   1902.510185   3548.547663   3883.046372
0.756250   383.834890   1875.138939   3445.815566   3852.357728
0.762500   377.050571   1932.115366   3487.032421   3894.343465
0.768750   374.252213   1932.792665   3467.660269   3927.373367
0.775000   384.424917   1895.504459   3490.873294   3977.488198
0.781250   391.765264   1844.207533   3492.496847   3855.976925
0.787500   379.756487   1803.696281   3436.816557   3741.403979
0.793750   386.396309   1784.145961   3490.561077   3515.092654
0.800000   390.311730   1816.813813   3222.956052   3526.969860
0.806250   405.583622   1798.806874   3418.098158   3549.432251
0.812500   390.836653   1784.840792   3286.791037   3747.709593
0.818750   436.193757   1799.434820   3142.869657   3723.066558
0.825000   422.971263   1817.028717   3071.210669   3626.306889
0.831250   391.458234   1797.998032   2618.897324   3722.320165
0.837500   402.306498   1658.228545   1895.437450   3668.967670
0.843750   465.111252   1510.447248   2797.510142   3668.162896
0.850000   569.443169   1378.135202   3019.768174   3591.548289
0.856250   1339.922192   1473.280501   3535.655899   4464.919594
0.862500   533.779263   1364.982293   2554.871934   3605.044394
0.868750   669.123870   1828.885097   3603.148412   4036.005551
0.875000   823.004017   1984.393408   3612.236333   3926.464231
0.881250   860.252525   2086.813340   3695.013110   4480.580269
0.887500   523.545590   1448.143326   2353.768608   3797.879012
0.893750   401.766091   1660.475245   2482.142506   3826.253244
0.900000   424.427609   2456.379206   3400.179533   3848.995256
0.906250   443.840295   599.313046   2501.577866   3669.959618
0.912500   457.213648   575.701669   2446.474389   3694.929507
0.918750   462.909753   500.441369   2355.483159   3755.391679
0.925000   457.430577   560.219512   2261.658222   3777.399343
0.931250   436.585136   684.772445   2438.947782   3735.387865
0.937500   431.736327   726.798529   2437.122758   3757.750723
0.943750   434.103769   722.882268   2421.953252   3729.058949
0.950000   439.776318   707.026198   2397.747025   3786.729639
0.956250   444.474321   715.460265   2340.290897   3757.232347
0.962500   447.142627   730.563796   2433.603665   3684.023722
0.968750   442.946751   694.049543   2487.816833   3623.120930
0.975000   450.605873   658.606787   2393.525699   3585.308279
0.981250   452.393046   648.962843   2440.702985   3504.062795
0.987500   447.535289   646.042007   2547.203198   3443.487343
0.993750   442.052659   674.413269   2575.910405   3401.307724
1.000000   445.985861   680.448174   2609.180749   3502.140914
1.006250   448.515605   683.554313   2603.715637   3543.798493
1.012500   451.780911   658.995605   2504.539429   3431.030681
1.018750   452.482257   670.325608   2389.712530   3361.165081
1.025000   455.721469   655.764821   2445.785150   3352.330270
1.031250   457.529197   655.091962   2441.781296   3421.376877
1.037500   451.077848   731.593025   2452.261171   3396.695249
1.043750   447.308580   791.668865   2435.842606   3398.611500
1.050000   444.253623   828.622446   2436.575194   3348.193496
1.056250   442.022708   906.827228   2510.391180   3278.320823
1.062500   437.933069   975.217709   2615.996887   3432.357719
1.068750   431.421260   1030.648268   2595.964543   4047.583663
1.075000   426.015606   992.953618   2604.604774   4074.059757
1.081250   425.455072   961.688170   2484.148182   3939.990182
1.087500   425.245763   1002.819820   2350.278564   3860.166668
1.093750   429.074987   1073.633651   2194.770729   3881.876989
