Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   807.152137   1412.304695   2555.540595   3683.952399
0.031250   1393.491127   2096.100144   --undefined--   --undefined--
0.037500   1424.357888   2659.255434   --undefined--   --undefined--
0.043750   1362.955368   2494.282344   3188.045622   4067.701641
0.050000   1388.446252   2344.835914   3549.987649   3996.789526
0.056250   1326.891518   2387.873309   3565.834261   3978.834447
0.062500   1176.236895   2402.249107   3527.864132   4106.809506
0.068750   1283.838639   2419.937101   3580.598690   4076.017906
0.075000   1356.731945   2623.406626   3226.193946   3926.984183
0.081250   1331.698168   2614.458252   3618.208277   3948.950229
0.087500   1356.444811   2344.753578   3278.459191   4342.808036
0.093750   1480.904047   2302.323916   3244.095626   4138.004542
0.100000   1856.225906   2233.864169   3557.557091   4163.018731
0.106250   1353.506704   2283.608308   3472.285836   4212.005490
0.112500   1375.007855   2353.533586   3372.910565   4160.732375
0.118750   1421.266667   2636.874140   3337.433910   4167.373458
0.125000   1379.423846   2541.023553   3056.631079   4281.807501
0.131250   1403.287613   2339.554411   3139.287891   4288.716387
0.137500   1587.728427   2655.555280   --undefined--   --undefined--
0.143750   1384.442992   2573.522454   --undefined--   --undefined--
0.150000   1422.641783   2569.095717   --undefined--   --undefined--
0.156250   1543.984423   2553.401040   --undefined--   --undefined--
0.162500   1670.715372   2764.236844   --undefined--   --undefined--
0.168750   1828.106352   2773.001012   --undefined--   --undefined--
0.175000   498.702545   1710.616943   2141.031600   3444.973951
0.181250   1372.961520   2107.645617   3341.069577   4465.859563
0.187500   1851.341119   2057.195983   3331.382809   4149.223226
0.193750   1801.212438   1871.412891   3002.701151   4002.684563
0.200000   1506.185880   2272.163092   3587.750992   3995.455462
0.206250   1287.621379   2319.836783   3331.426745   4377.807120
0.212500   1609.289648   2967.914509   --undefined--   --undefined--
0.218750   1470.795263   2681.278282   3691.425945   3806.434005
0.225000   1478.091699   2312.518168   3297.830989   4125.367255
0.231250   1658.413073   2406.565652   3359.080831   3969.604452
0.237500   1700.706084   2417.649446   3228.819273   4077.700513
0.243750   1658.816778   2376.516541   3078.624882   4180.063281
0.250000   1330.008074   2273.089176   3140.921031   4318.537379
0.256250   1149.040333   2274.145916   3217.644648   4169.778855
0.262500   1292.304887   2135.045292   3270.617085   4200.278180
0.268750   1559.004324   2559.036313   3450.391811   4720.622851
0.275000   1545.124636   2523.461123   3221.419980   4183.566183
0.281250   1388.945038   2199.820066   3334.012316   4327.306417
0.287500   1491.118360   2158.046924   3195.102443   4202.905389
0.293750   1358.990495   2383.455645   3139.901387   4212.490674
0.300000   1361.146650   2373.329290   3514.230210   4254.879761
0.306250   1290.584176   2302.898063   3366.750380   4371.215079
0.312500   1364.281330   2300.618188   3451.522356   4384.919072
0.318750   1465.946212   2370.130913   3374.917967   4324.690193
0.325000   1462.950886   2396.074386   3446.510887   4436.725975
0.331250   1440.031666   2404.978510   3449.675699   4345.831110
0.337500   1432.592458   2358.152499   3313.610594   4156.211986
0.343750   1395.354072   2353.195674   3319.977788   4222.187379
0.350000   1446.214799   2374.331013   3310.958496   4659.747775
0.356250   1584.730644   2278.301620   3281.311260   4504.532413
0.362500   1500.240092   2387.442013   3276.597870   4175.689804
0.368750   1284.732283   2257.925864   3262.902768   4252.444488
0.375000   1373.947348   2416.062632   3137.189133   4416.713177
0.381250   1560.933909   2538.663361   3162.830155   4510.965154
0.387500   1295.636505   2311.393386   3035.100690   4308.710997
0.393750   1174.889722   2341.376108   3156.592152   4301.601726
0.400000   1434.718971   2641.328394   --undefined--   --undefined--
0.406250   1566.575243   2748.495908   --undefined--   --undefined--
0.412500   1489.150264   2696.528476   3422.083091   4381.060067
0.418750   1497.649560   2365.053892   3279.861424   4272.330877
0.425000   1536.939286   2418.506234   3372.180399   4369.862634
0.431250   1294.613051   2387.663258   --undefined--   --undefined--
0.437500   1417.556548   2365.658219   --undefined--   --undefined--
0.443750   1497.070864   2494.680366   --undefined--   --undefined--
0.450000   1465.687836   2556.238957   --undefined--   --undefined--
0.456250   1395.366006   2512.086581   3292.131892   4448.623484
0.462500   1334.023643   2458.649913   3502.279552   4803.459579
0.468750   1714.840617   2566.484618   --undefined--   --undefined--
0.475000   1714.044927   2734.254131   --undefined--   --undefined--
0.481250   1545.683001   2337.174106   3384.728382   4332.524208
0.487500   1476.831663   2374.960206   3283.340023   4264.514962
0.493750   1633.301218   2339.269805   3133.726019   4358.699472
0.500000   1495.983549   2624.272836   --undefined--   --undefined--
0.506250   1461.367385   2522.538740   --undefined--   --undefined--
0.512500   1400.067512   2588.835721   --undefined--   --undefined--
0.518750   1392.174452   2554.941942   --undefined--   --undefined--
0.525000   825.787480   2249.681440   3485.111866   3730.542721
0.531250   802.283506   2268.198385   2925.948142   3800.824466
0.537500   799.182401   2363.617452   3737.370999   4232.988733
0.543750   443.009650   1779.114337   2696.896626   3787.227690
0.550000   493.516396   1662.237669   2599.362563   3730.638789
0.556250   1066.023463   1862.603775   3037.626469   3887.389009
0.562500   1157.052500   2260.069326   3342.344093   4880.959383
0.568750   266.972867   1238.380613   2452.166122   3470.320843
0.575000   477.395434   1530.546255   2473.478627   3544.816674
0.581250   462.659982   1667.434004   2391.540505   3599.014457
0.587500   450.615684   1496.940335   2492.611690   3683.020843
0.593750   436.416315   1479.514827   2600.039735   3728.896799
0.600000   489.861706   1490.541564   2514.645172   3367.868556
0.606250   398.011043   1549.708865   2481.785141   3322.362277
0.612500   534.468316   1907.434492   3151.394914   4100.566410
0.618750   473.729854   1866.532490   2858.063750   3906.181661
0.625000   511.394657   1624.612306   2617.747694   3684.670794
0.631250   461.098648   1836.564530   2448.039610   3366.975489
0.637500   441.251850   1682.088461   2488.025842   3548.994508
0.643750   387.282894   1524.116075   2540.466208   3604.050105
0.650000   393.968604   1529.572445   2655.936200   3550.378977
0.656250   449.399314   1506.788847   2516.571530   3554.554472
0.662500   473.228960   1537.040210   2490.688074   3578.049727
0.668750   459.135411   1532.847251   2435.535479   3499.380598
0.675000   557.726418   1648.024440   2420.624619   3536.391341
0.681250   519.315623   1764.736379   2444.258828   3621.956922
0.687500   577.456631   1767.721462   2463.656603   3544.205079
0.693750   454.464404   1767.015122   2655.962130   3896.301769
0.700000   464.055551   1685.282247   2670.534406   4308.297030
0.706250   487.743216   1716.774223   2566.820697   3669.028066
0.712500   544.538442   1728.303614   2571.942536   3493.532579
0.718750   505.146470   1742.942239   2563.407457   3221.746482
0.725000   466.679697   1762.281203   2848.232956   3168.550349
0.731250   475.492072   1887.475873   3163.714699   3457.628409
0.737500   226.739359   1728.922352   2514.736264   3218.387666
0.743750   267.876872   1797.446406   2092.198261   3188.770894
0.750000   329.899300   1859.724014   3149.899859   4418.187961
0.756250   319.047049   1818.282674   2890.077197   4402.489699
0.762500   308.927994   1817.033848   2613.164830   3420.894576
0.768750   338.053699   1848.243350   2550.151744   3023.947068
0.775000   348.379395   1869.804667   2538.376847   3996.506262
0.781250   357.105487   1930.687177   2566.404761   4246.156161
0.787500   355.825984   1966.502571   2573.291659   4257.520881
0.793750   350.989953   2021.984399   2605.455483   3069.646364
0.800000   346.275243   2062.673186   2710.405021   4250.414752
0.806250   345.774701   2079.758281   2748.449447   4267.396165
0.812500   342.963356   2173.009382   2766.192085   4216.465910
0.818750   334.088965   2208.894083   2749.359720   4176.814324
0.825000   333.905230   2163.351502   2756.640435   4180.010162
0.831250   332.161646   2186.177047   2760.720684   4158.796317
0.837500   330.430679   2238.806355   2797.044557   4103.541787
0.843750   302.254977   2223.413773   2770.156120   4202.416907
0.850000   312.900520   2231.295707   2763.673582   4260.316101
0.856250   321.112406   2234.575754   2706.477286   4293.012249
0.862500   317.681320   2218.030848   2605.183984   4239.845224
0.868750   319.820473   2187.590875   2594.738331   4231.702276
0.875000   323.455690   2157.640734   2543.015449   4242.632031
0.881250   327.710880   2116.262174   2566.349100   4241.378522
0.887500   328.582389   2101.217672   2578.627037   4174.005896
0.893750   306.366291   2013.708016   2567.111647   4217.675482
0.900000   288.397696   1948.797946   2630.184575   4403.593521
0.906250   262.206561   1960.176056   2564.058658   4281.368106
0.912500   238.008629   1807.893111   2490.274849   4244.620443
0.918750   216.395674   1755.982958   2649.496597   4142.768430
0.925000   204.027736   1778.798608   2683.840027   4127.294882
0.931250   205.988516   1834.212167   2745.439199   4126.590150
0.937500   208.202564   1802.907531   2774.071746   4175.589700
0.943750   206.030500   1817.797659   2722.287834   4113.162841
0.950000   215.765608   1790.940653   2642.153026   4021.313735
0.956250   213.762578   1886.043064   2610.422912   3852.873363
0.962500   197.614967   1880.231032   2661.225085   4015.848185
0.968750   1808.193563   2707.234095   --undefined--   --undefined--
0.975000   1474.626795   2566.622068   2871.329295   4420.399467
0.981250   1292.058319   2370.861947   2942.978716   4413.146550
0.987500   1256.518803   2296.174781   2774.844661   4335.195025
0.993750   1274.597933   2521.243246   --undefined--   --undefined--
1.000000   1318.208878   2538.506363   --undefined--   --undefined--
1.006250   1396.714652   2695.147610   3702.255541   4682.140319
1.012500   1319.742415   2590.777452   3638.408259   4517.269363
1.018750   463.147976   1458.559107   2545.731006   3675.625933
1.025000   381.392389   1490.184227   2548.015542   3656.938240
1.031250   1145.543092   2155.425277   3396.321567   4642.084730
