Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   671.371467   2051.636749   2866.990172   3733.290018
0.031250   609.599156   1897.056792   2882.680171   3800.402458
0.037500   539.243179   1834.137741   2572.583230   3538.192172
0.043750   550.270020   1808.913909   2378.336314   3519.922441
0.050000   658.828093   1824.255718   2610.740222   3666.430908
0.056250   611.452165   1952.771574   1997.565896   3428.204951
0.062500   576.285063   1936.862080   2076.749617   3466.695200
0.068750   551.324189   1808.363744   2442.926298   3460.713228
0.075000   569.911660   1799.391146   2560.887771   3421.045633
0.081250   615.017661   1808.948841   2607.642129   3468.112741
0.087500   629.708707   1825.301058   2678.132301   3440.945217
0.093750   697.332702   1890.691529   3191.924759   3360.186547
0.100000   660.054684   1921.297843   3418.432482   3454.949845
0.106250   543.098517   1750.446054   2535.376390   3546.075041
0.112500   531.185282   1761.662418   2364.129913   3563.143551
0.118750   601.319606   1788.834340   2943.423631   3468.737972
0.125000   621.335000   1753.403458   2892.813348   3529.118464
0.131250   545.489533   1733.570827   2710.431264   3592.662238
0.137500   488.371138   1756.509236   2701.091411   3638.959225
0.143750   470.977248   1695.543070   2746.122057   3684.132754
0.150000   563.931201   1669.691349   2769.405878   3719.389646
0.156250   518.109717   1725.446064   2764.193873   3752.421297
0.162500   518.384253   1789.997996   2815.877432   3812.439827
0.168750   544.963270   1814.661003   2784.662749   3869.217867
0.175000   499.374646   1844.553477   2718.288549   3773.849293
0.181250   443.615307   1835.703012   2750.306558   3802.634720
0.187500   412.117475   1847.520108   3033.309895   3880.227223
0.193750   410.303699   1871.396262   2537.009485   3817.451972
0.200000   428.974530   1763.147508   2565.194732   3568.002852
0.206250   423.276415   1808.964741   2725.973460   3705.956532
0.212500   420.164167   1789.701286   2759.924273   3849.415141
0.218750   392.502052   1770.361392   2710.095304   3890.633038
0.225000   395.003290   1705.287442   2746.127469   3821.313149
0.231250   390.758065   1738.166403   2732.732059   3761.223981
0.237500   399.067577   1774.487048   2691.048326   3867.272481
0.243750   386.137295   1781.751490   2601.525391   3821.772084
0.250000   431.296086   1759.017415   2587.910164   3775.214131
0.256250   582.869244   1792.574683   2878.071648   3930.478546
0.262500   501.737030   1845.787340   2722.016919   3633.082238
0.268750   503.258799   1887.436683   2616.901851   3673.679572
0.275000   501.502770   1839.985591   2560.334975   3750.616789
0.281250   503.813474   1775.407192   2550.117903   3729.080495
0.287500   597.239785   1820.691930   2846.392809   3680.988600
0.293750   696.024086   1796.986546   3078.351431   3863.148715
0.300000   668.123925   1714.975417   2210.020966   3748.790470
0.306250   578.260330   1673.229660   2467.380874   3834.130147
0.312500   550.092404   1663.195376   2369.386428   3631.967983
0.318750   537.294326   1703.389710   2275.363329   3543.675027
0.325000   501.545154   1728.775343   2390.844343   3626.431839
0.331250   535.108113   1739.443006   2520.497097   3476.052516
0.337500   674.007445   1697.575275   3092.536625   3209.835965
0.343750   538.741762   1711.667834   2811.519157   3455.699235
0.350000   507.995014   1770.382698   2939.507212   4024.968517
0.356250   589.469394   1791.590225   2550.538940   3365.709012
0.362500   633.046956   1612.869985   2547.697408   3903.494617
0.368750   526.458911   1533.339478   2441.113939   3598.558865
0.375000   492.008624   1512.321745   2460.605814   3619.471172
0.381250   461.796610   1569.510740   2496.641407   3620.702486
0.387500   436.114273   1597.867305   2520.604113   3517.906510
0.393750   455.760901   1663.503872   2744.941867   3847.618169
0.400000   529.079325   1710.443481   2893.141645   3942.148971
0.406250   507.095700   1707.909348   3005.121630   3935.656749
0.412500   463.854994   1717.107077   2729.284544   3883.647420
0.418750   512.485099   1711.099766   2603.968493   3887.551800
0.425000   519.750610   1722.892588   2649.415808   3677.881141
0.431250   542.649278   1737.978945   2582.002188   3679.376437
0.437500   447.855257   1690.452836   2548.038144   3662.985364
0.443750   470.651321   1705.127432   2592.820822   3684.865031
0.450000   569.695705   1743.808875   2733.568218   3732.408100
0.456250   541.584798   1754.453155   2901.122875   3705.773712
0.462500   502.939843   1772.742368   3087.155123   3935.360068
0.468750   461.208383   1737.229221   2940.060940   3972.457406
0.475000   486.222815   1758.121565   3114.262690   4054.023303
0.481250   508.357729   1724.359242   2992.640440   3660.437743
0.487500   425.722281   1712.996233   2702.539698   3690.985096
