Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   630.108584   1747.225626   2307.931037   3380.556071
0.031250   605.830664   2214.582074   --undefined--   --undefined--
0.037500   734.717036   2112.254651   3144.522086   3796.341637
0.043750   518.372237   2052.626998   2972.779531   3826.674304
0.050000   358.292141   2024.020141   3115.580321   3575.277962
0.056250   440.340686   2008.389739   2771.290543   3453.628738
0.062500   413.712629   1907.799628   2616.607716   3460.322310
0.068750   433.326502   1982.988752   2762.738453   3616.349711
0.075000   819.823234   2067.225384   3324.867754   4005.923031
0.081250   524.439367   1788.959643   2432.788387   3597.215006
0.087500   704.361864   1751.829787   2559.062224   3604.994151
0.093750   852.013949   1771.011799   2581.730830   3476.799562
0.100000   1129.821938   1509.807937   2517.025814   3361.473406
0.106250   1104.614952   1923.571866   2047.320742   3153.930555
0.112500   1411.489688   1417.020587   2186.047935   3343.593904
0.118750   1285.645737   1710.083243   2205.954892   3153.628599
0.125000   1181.905889   1656.737193   2420.196574   3219.944124
0.131250   1146.331002   1859.793968   2573.453093   3383.561446
0.137500   1119.109795   1874.329621   2535.804996   3469.745209
0.143750   1054.964669   1557.645253   2479.648949   3476.119470
0.150000   954.681524   1694.623300   2406.848574   3458.972962
0.156250   913.042809   1829.560054   2410.631928   3359.591920
0.162500   1666.004237   2476.127982   --undefined--   --undefined--
0.168750   868.955659   1621.805116   2661.728624   3472.083574
0.175000   968.540178   1781.786508   2638.261174   3457.878011
0.181250   958.748193   1820.223958   2657.187260   3441.473675
0.187500   1079.962848   1839.299608   2581.758605   3276.919090
0.193750   938.878619   1760.896420   2587.216880   3323.970844
0.200000   817.836285   1658.556435   2553.267828   3376.060314
0.206250   781.100254   1607.245500   2417.298431   3423.090422
0.212500   1490.119249   2188.045386   --undefined--   --undefined--
0.218750   1554.405492   2391.904579   --undefined--   --undefined--
0.225000   1670.976534   2296.719205   --undefined--   --undefined--
0.231250   1552.039788   2203.240135   --undefined--   --undefined--
0.237500   994.687723   1959.811287   3006.171401   3033.563688
0.243750   882.417719   1854.048404   2644.414153   3337.987764
0.250000   877.829360   1651.556203   2522.082589   3356.741301
0.256250   926.478320   1590.718477   2498.245047   3469.469223
0.262500   1375.631700   1500.944548   2404.417954   3284.381203
0.268750   1363.278012   2227.015979   --undefined--   --undefined--
0.275000   909.641369   1884.056059   2433.708319   3250.276697
0.281250   836.896477   1734.690364   2611.911919   3358.447908
0.287500   950.707818   1761.864554   2568.790743   3215.671726
0.293750   986.735095   1686.271591   2500.555407   3310.152515
0.300000   1271.763434   1333.423485   2411.704752   3197.092451
0.306250   1296.016446   1361.384617   2163.611768   3070.906711
0.312500   1105.807690   1839.009018   2843.716213   3164.883062
0.318750   1114.231332   2035.072677   2716.116843   3136.782565
