Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   904.915847   2138.167140   3473.752968   4684.697279
0.031250   986.373894   2063.099234   3278.956487   4584.718180
0.037500   1037.654841   1966.183548   3145.292667   4545.228208
0.043750   1066.401137   1952.223141   3079.286005   4493.024770
0.050000   952.962527   1821.792423   3021.175586   4400.516663
0.056250   1453.994214   3008.954433   --undefined--   --undefined--
0.062500   1679.961953   2810.696567   3663.239892   4476.072482
0.068750   1896.160922   2864.814021   3744.243022   4411.195406
0.075000   1903.345865   2748.985261   3508.301391   4520.156126
0.081250   2009.879476   3028.675527   --undefined--   --undefined--
0.087500   1795.731691   2829.120263   --undefined--   --undefined--
0.093750   1758.074585   2781.768052   3778.997758   4719.810028
0.100000   1796.371009   2723.029739   --undefined--   --undefined--
0.106250   1822.181362   2737.277779   --undefined--   --undefined--
0.112500   1851.740329   2695.906964   3860.155313   4597.278133
0.118750   1774.086428   2655.379139   3752.583409   4656.033161
0.125000   1689.952174   2657.367080   3766.748731   4712.675825
0.131250   1823.778318   2972.620487   --undefined--   --undefined--
0.137500   1828.024472   2832.444909   3800.896192   4688.515113
0.143750   1753.569100   2735.061782   3754.740371   4580.122677
0.150000   1812.475196   2708.970046   3759.943133   4600.715095
0.156250   1837.742146   2689.578175   --undefined--   --undefined--
0.162500   1925.375988   2820.604239   --undefined--   --undefined--
0.168750   1944.777805   2744.163312   --undefined--   --undefined--
0.175000   1973.257433   2820.859999   3630.225687   4563.419706
0.181250   1939.017726   2853.825822   3494.738462   4443.081863
0.187500   1858.097496   2988.872860   3565.916954   4706.828739
0.193750   1807.416078   2976.919102   --undefined--   --undefined--
0.200000   1771.140106   2877.412423   --undefined--   --undefined--
0.206250   1718.575493   2866.165057   3811.058679   4748.503870
0.212500   1845.676955   2915.335782   3825.481754   4701.395483
0.218750   1801.524829   2931.953196   --undefined--   --undefined--
0.225000   1717.863393   2878.913859   3770.796805   4739.738890
0.231250   1810.034039   2831.063171   3718.929516   4936.931573
0.237500   1888.171946   2733.732124   --undefined--   --undefined--
0.243750   1855.870639   2733.391668   --undefined--   --undefined--
0.250000   1899.128514   2970.619525   --undefined--   --undefined--
0.256250   1957.951122   2909.234901   --undefined--   --undefined--
0.262500   1887.590651   2836.911657   --undefined--   --undefined--
0.268750   1860.779715   2828.694072   --undefined--   --undefined--
0.275000   1915.062942   2760.475731   3884.192750   4883.441023
0.281250   1978.680210   2915.170816   --undefined--   --undefined--
0.287500   1826.365177   2807.954787   3713.310741   4829.046496
0.293750   1785.145841   2790.373022   --undefined--   --undefined--
0.300000   1824.748513   2840.635349   --undefined--   --undefined--
0.306250   1916.013081   2728.732970   --undefined--   --undefined--
0.312500   1921.712191   2869.708336   --undefined--   --undefined--
0.318750   1913.491698   2947.729740   --undefined--   --undefined--
0.325000   1960.712655   2925.018422   --undefined--   --undefined--
0.331250   2026.545863   2889.500952   --undefined--   --undefined--
0.337500   1868.235995   2700.623671   --undefined--   --undefined--
0.343750   1732.260811   2860.949634   --undefined--   --undefined--
0.350000   1875.814548   2846.860333   --undefined--   --undefined--
0.356250   1815.233866   2700.585526   --undefined--   --undefined--
0.362500   1737.058662   2687.699835   --undefined--   --undefined--
0.368750   1880.378795   2797.275792   --undefined--   --undefined--
0.375000   1965.977103   2936.171314   --undefined--   --undefined--
0.381250   1939.857175   2854.672227   --undefined--   --undefined--
0.387500   1914.409672   2942.978144   --undefined--   --undefined--
0.393750   1965.630806   2940.407494   --undefined--   --undefined--
0.400000   1868.166309   2858.024813   --undefined--   --undefined--
0.406250   1774.320103   2808.348947   --undefined--   --undefined--
0.412500   1864.492398   2870.497909   --undefined--   --undefined--
0.418750   1872.634422   2868.599239   --undefined--   --undefined--
0.425000   1814.782209   2723.839731   --undefined--   --undefined--
0.431250   1833.010002   2847.463607   --undefined--   --undefined--
0.437500   1782.558268   2985.097017   --undefined--   --undefined--
0.443750   1686.329802   2950.402370   --undefined--   --undefined--
0.450000   1735.192965   2840.676296   --undefined--   --undefined--
0.456250   1866.421671   2826.631416   --undefined--   --undefined--
0.462500   1918.589480   2771.171758   --undefined--   --undefined--
0.468750   1866.804428   2737.675142   --undefined--   --undefined--
0.475000   1754.415752   2753.821270   --undefined--   --undefined--
0.481250   1876.703093   2737.691773   --undefined--   --undefined--
0.487500   1764.260348   2844.460805   --undefined--   --undefined--
0.493750   1794.477793   2930.992257   --undefined--   --undefined--
0.500000   1886.768360   3005.614169   --undefined--   --undefined--
0.506250   1941.545120   3001.804309   --undefined--   --undefined--
0.512500   2140.056059   3157.714871   --undefined--   --undefined--
0.518750   2306.495975   2322.877551   --undefined--   --undefined--
0.525000   977.323342   2413.119429   2704.849961   3759.812193
0.531250   408.105227   1498.795559   2744.854909   3385.756785
0.537500   578.917246   1555.397070   2822.721092   3387.986813
0.543750   698.911609   1773.469491   2881.096706   3443.812938
0.550000   740.067575   1964.414595   2952.165100   3775.838895
0.556250   721.011834   2025.404773   2848.086665   3368.181696
0.562500   806.366059   2067.474342   2552.888716   3402.073536
0.568750   830.995404   1780.610173   2555.311473   3269.301245
0.575000   801.853271   1683.058419   2727.489305   3244.027467
0.581250   709.513080   1978.640986   2912.230232   3616.481724
0.587500   717.405377   2098.702875   2714.155194   3357.310419
0.593750   775.243633   1997.420255   2833.408985   3348.661602
0.600000   780.144202   2060.557551   2986.772925   3673.246918
0.606250   941.413175   2021.797036   3012.848311   3767.103509
0.612500   734.172955   1815.512706   2877.089023   3670.289252
0.618750   605.425741   1829.044280   2948.303862   3554.962240
0.625000   618.551530   1762.662239   2797.010413   3189.779399
0.631250   794.270054   1787.870373   2721.842991   3222.979506
0.637500   720.255800   1747.396218   2679.042496   3241.115434
0.643750   612.471238   1857.624436   2762.118781   3260.997452
0.650000   566.220930   1908.035100   2750.104011   3410.233494
0.656250   593.947394   1939.328134   2831.152205   3410.564679
0.662500   761.702967   2158.584972   3059.095715   4016.208780
0.668750   812.081406   2123.650697   3122.854553   3148.520685
0.675000   688.510640   1960.816580   2900.156563   3147.498596
0.681250   696.039116   1950.787621   2516.291667   3209.969429
0.687500   593.588092   1891.422570   2314.973479   3288.342367
0.693750   582.066670   1983.625129   2472.725547   3277.761910
0.700000   520.258344   1821.360896   2676.594665   3304.093438
0.706250   500.684850   1778.711746   2861.033327   3205.365330
0.712500   524.314180   1752.741397   3095.894316   3098.490708
0.718750   458.328365   1678.358017   2923.989704   3304.254142
0.725000   1404.265033   2706.083452   3209.429344   4338.869264
0.731250   1090.329087   2107.645223   3180.666927   4264.281393
0.737500   1016.263925   2140.279333   3230.680141   4223.132819
0.743750   388.032344   1658.671733   2589.885214   3510.803475
0.750000   536.937944   1690.654631   2664.692852   3346.938656
0.756250   584.800491   1540.350372   2567.821127   3432.449641
0.762500   604.690645   1517.849888   2658.631156   3510.846863
0.768750   473.504998   1713.337227   2676.401648   3627.968728
0.775000   522.169737   1651.073394   2391.323656   3487.494588
0.781250   1185.844102   2358.786712   3357.694818   4460.230402
0.787500   391.517267   1442.474524   2450.586891   3548.412475
0.793750   493.494848   1612.987121   2515.362958   3370.974815
0.800000   607.301219   1701.201546   2349.743803   3296.167329
0.806250   810.754412   2389.919989   3436.975647   4481.875856
0.812500   1024.287957   2282.074448   3182.689175   4095.150296
0.818750   802.916158   2193.882162   3154.475456   4005.590311
0.825000   877.430475   2199.703858   --undefined--   --undefined--
0.831250   1275.520819   2100.814621   3262.204503   3816.638333
0.837500   485.919045   1614.515650   2522.454685   3678.687099
0.843750   514.476089   1632.802686   2553.674333   3669.102133
0.850000   620.689822   1760.165685   2422.980293   3594.612906
0.856250   1035.005432   2084.657040   2952.599641   3923.501583
0.862500   1128.342415   2247.228300   3006.625010   4163.727895
0.868750   1346.361541   2545.141897   3637.511428   4567.414933
0.875000   842.505511   1983.766140   3409.841280   3899.717750
0.881250   657.160281   1925.102468   3176.991564   3615.699526
0.887500   729.581835   1655.073490   2803.892918   3717.998318
0.893750   1214.695630   2024.194009   2858.426851   3768.570811
0.900000   1187.183868   1925.528228   3094.188847   3907.747291
0.906250   1159.673640   1984.821237   3017.561250   3979.257053
0.912500   1120.501655   1968.306621   2978.221381   3975.877675
0.918750   1071.187780   1953.725744   2880.352718   3899.429583
0.925000   868.190766   1904.828657   2930.264840   3962.566725
0.931250   423.964473   1588.007772   1814.614232   3131.089084
0.937500   406.679981   1401.625074   1912.499161   3137.876036
0.943750   414.860304   1330.569866   1960.694416   3063.030210
0.950000   411.607680   1367.246512   2023.470455   3116.147629
0.956250   395.245507   1425.047007   2071.550377   3123.599348
0.962500   389.967415   1463.208598   2101.912173   3165.424722
0.968750   378.135182   1484.093591   2134.522583   3231.717610
0.975000   372.152229   1483.099986   2140.955210   3263.719228
0.981250   371.373063   1482.500261   2139.192906   3235.938247
0.987500   368.375955   1551.202563   2189.725292   3177.217078
0.993750   366.277359   1632.117319   2232.265436   3064.240450
1.000000   371.209195   1684.399624   2220.014185   3026.761126
1.006250   377.703074   1801.595004   2190.477305   3194.043192
1.012500   382.877695   1890.837917   2224.056036   3141.269247
1.018750   381.647300   1902.784197   2208.510969   3124.528421
1.025000   382.709633   1915.268887   2238.164002   3140.135922
1.031250   383.229130   1950.032552   2270.537863   3170.698946
1.037500   384.913782   2073.660007   2168.463443   3181.877555
1.043750   385.749718   1993.455384   2244.406820   3183.033366
1.050000   383.688114   1973.076984   2310.441200   3216.545233
1.056250   380.631009   1994.016939   2323.247479   3254.302654
1.062500   377.631425   2030.893441   2314.774994   3262.297848
1.068750   375.975931   2050.023236   2375.976918   3262.555718
1.075000   366.424399   2064.784597   2367.228536   3223.660537
1.081250   360.240998   2080.654809   2446.993675   3234.721444
1.087500   355.384990   2116.461331   2469.925332   3255.982687
1.093750   359.301993   2161.738032   2488.056148   3251.185070
1.100000   359.186101   2131.247898   2406.984655   3227.826106
1.106250   360.762883   2068.515058   2407.793202   3198.954298
1.112500   360.234735   2061.043592   2351.852038   3135.833435
1.118750   361.892743   2108.292066   2336.812469   3121.572454
1.125000   345.140785   2104.913149   2398.594465   3181.810112
1.131250   359.542578   2095.733511   2400.567841   3332.777918
1.137500   361.416464   2038.936201   2367.154973   3471.543418
1.143750   337.807544   1986.293612   2387.472591   3444.315783
1.150000   326.596937   1957.075144   2369.791169   3515.184387
1.156250   320.933463   2090.629365   2427.616704   3531.556238
1.162500   312.765807   2095.430343   2741.272623   3556.504641
1.168750   307.024089   1990.367190   2638.182303   3527.123635
1.175000   315.496981   1979.083214   2604.178357   3483.665413
1.181250   315.883697   2073.080034   3019.393645   3357.720471
1.187500   309.135519   2049.291000   2924.741667   3399.823458
1.193750   302.136434   2032.373483   3145.675542   3484.841245
1.200000   306.418817   2038.829349   3215.205801   3528.536581
1.206250   300.438612   2026.753558   3170.849053   3534.709109
1.212500   297.766638   2103.781537   3132.891907   3523.381476
1.218750   296.963452   2070.798307   3186.450595   3587.515593
1.225000   302.510656   1968.029631   3144.341533   3626.752770
1.231250   300.468483   2014.264626   3191.351993   3558.748015
1.237500   255.026779   2033.431178   3213.884541   3497.471236
1.243750   254.061431   2108.046218   3150.517637   3604.002711
1.250000   308.096358   2190.261330   3157.597940   3714.119893
1.256250   380.401865   2179.324038   3174.567605   3657.373426
1.262500   402.652509   2077.826795   3161.244425   3690.020387
1.268750   233.479063   2028.257165   3134.048330   3607.413884
1.275000   1877.779103   3092.939211   3554.933069   4276.031354
1.281250   2048.765873   3199.886748   3574.987197   4301.134719
1.287500   2142.467672   3255.763951   3589.986580   4208.407907
1.293750   1759.700817   3054.329153   3599.022562   4079.923922
1.300000   1781.187754   3026.514350   3630.014912   4396.567544
1.306250   1777.235675   3010.061438   3596.834964   4394.168723
1.312500   1690.288999   3009.810309   3597.638887   4278.923934
1.318750   761.665055   1700.702139   3013.628891   3603.157928
1.325000   750.497546   1692.560206   3050.055002   3603.837958
1.331250   676.585554   1757.596335   2891.208599   3642.189506
1.337500   673.038972   1828.751534   2818.894808   3651.092218
1.343750   547.175137   1734.891017   2998.927076   3586.334655
1.350000   477.398371   1684.481914   2951.957824   3616.100374
1.356250   414.334577   1711.316494   3021.982679   3584.335343
1.362500   1695.076388   3010.494895   3534.218857   4353.553702
1.368750   224.019544   1666.365751   2900.353015   3475.104458
1.375000   405.464388   1750.851747   3051.747072   3523.127134
1.381250   443.023141   1759.214263   3101.815749   3555.206727
1.387500   395.809171   1788.580782   3190.624541   3470.189647
1.393750   370.844002   1782.355966   3007.276971   3463.483090
1.400000   1510.839275   2678.751845   3492.540539   4436.407183
1.406250   1423.143139   3320.112132   3699.928863   4152.788559
1.412500   382.113089   1483.586328   2948.052181   3424.492544
1.418750   312.006638   1545.302202   2681.775302   3461.500667
1.425000   1524.885247   2667.573165   3445.947937   4388.644519
1.431250   1061.695400   1917.395196   3452.041936   3799.746924
1.437500   1171.994732   2004.538086   3529.378886   3817.377639
1.443750   1123.345090   2109.607723   3690.366601   4142.437140
1.450000   790.484126   1175.748769   3255.020884   3671.826292
1.456250   857.650606   1166.526638   3678.991041   3716.203697
1.462500   836.281376   1163.102046   2593.322413   3797.035709
1.468750   702.684716   1234.945392   2669.484135   3810.982585
1.475000   666.022993   1177.323270   2672.497663   3727.005785
1.481250   796.467483   1085.111557   3016.106389   3669.966366
