Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027837   1142.402021   --undefined--   --undefined--   --undefined--
0.034087   1261.510580   2340.534973   --undefined--   --undefined--
0.040337   1441.857943   2388.721267   --undefined--   --undefined--
0.046587   1221.095465   2257.319595   3145.876286   3936.912853
0.052837   670.806784   1308.298948   2351.588420   3619.482369
0.059087   726.605989   1428.131248   2147.492539   3519.614546
0.065337   910.413585   2021.015470   2673.965372   3676.872601
0.071587   999.100559   1977.792712   2868.891017   3652.702790
0.077837   1004.993909   1766.410680   2754.045406   3809.252078
0.084087   1024.251467   1781.515937   2771.643904   3922.155209
0.090337   951.204077   1924.558655   2552.787454   3799.750175
0.096587   927.976851   1921.893525   2715.674339   3777.666027
0.102837   857.513783   1889.148984   2868.527626   3792.291660
0.109087   327.916860   1731.986304   1872.397002   3053.383999
0.115337   657.950205   1708.998138   2701.079133   3943.813626
0.121587   879.836444   1924.653444   2803.004153   3977.316166
0.127837   881.120379   1904.711251   2770.303210   3988.598128
0.134087   703.529955   1527.454684   2126.942235   3564.877736
0.140337   719.787374   1895.136075   2612.345309   3888.967841
0.146587   727.026492   1893.311448   2826.436115   3919.456904
0.152837   732.204873   1919.855560   2882.489511   3917.935999
0.159087   713.366583   1852.333685   2865.257528   3980.261631
0.165337   783.636773   1603.927582   2678.813764   3971.272049
0.171587   1111.175933   2509.705157   2864.867526   4291.008709
0.177837   1037.965553   2030.554176   2651.593661   4112.619396
0.184087   915.398167   1899.410316   2905.160459   4022.657163
0.190337   793.716474   1871.199285   2918.183174   4018.304917
0.196587   779.202533   1948.821305   2934.682706   3910.951374
0.202837   846.405233   1972.237123   2969.573459   3928.586776
0.209087   1027.672226   1919.511547   3016.764884   3816.163142
0.215337   1043.321209   1961.086312   2972.401436   3948.851812
0.221587   986.829563   1923.492579   2858.537616   4037.108295
0.227837   982.467809   1948.052493   2799.000238   4186.673960
0.234087   867.742228   1920.705866   2798.061598   4098.728392
0.240337   844.402997   1930.503945   3088.976008   3860.002496
0.246587   942.062604   1951.766800   2723.570695   3723.068196
0.252837   879.778606   1795.073830   2694.328765   3814.336796
0.259087   656.312564   1685.144477   2732.868307   3700.674377
0.265337   646.987571   1795.408608   2644.088644   3597.893713
0.271587   992.301774   1945.479714   2891.496599   3827.772792
0.277837   993.434883   1965.353978   2967.252864   3839.863680
0.284087   646.954463   1926.143609   2944.936357   3860.778579
0.290337   784.096891   1839.969425   2871.409563   4004.133787
0.296587   844.801742   1892.803710   2868.853321   4061.196757
0.302837   892.981571   1884.345092   2929.480022   4095.347883
0.309087   930.367785   1896.362378   2880.798233   3858.825135
0.315337   768.691263   1907.776799   2839.833225   4000.270870
0.321587   802.163192   1872.541068   2901.738271   3825.353108
0.327837   808.024542   1898.752176   2884.849519   3790.113442
0.334087   851.846432   1955.780499   3132.408782   3675.219570
0.340337   899.824576   1909.879609   3230.227697   4220.815670
0.346587   858.811159   1868.275530   3013.084819   3838.716749
0.352837   703.927641   1602.728350   2657.881459   3822.764815
0.359087   572.792832   1331.917574   2439.851713   3844.861570
0.365337   796.754448   1895.217661   2755.896032   4209.814052
0.371587   879.578221   1829.068509   2940.773591   4359.922949
0.377837   489.436503   1598.408615   2886.104851   4049.852802
