Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1421.193115   2251.694894   2738.474323   3884.168098
0.031250   1259.471269   2194.752634   2679.628935   3867.473552
0.037500   1283.055528   2214.252915   3034.857763   3920.955328
0.043750   1374.807828   2297.991386   3264.853394   4659.731985
0.050000   703.753323   1612.267931   2621.350550   3279.137800
0.056250   496.239195   1824.222645   2689.253602   3591.014422
0.062500   751.224339   1917.720251   2555.009542   3629.906147
0.068750   879.961528   1977.237637   2849.103246   3188.662583
0.075000   674.139950   1865.284836   2454.958859   3268.059991
0.081250   624.127492   1749.393325   2914.398637   3624.591081
0.087500   676.558326   1895.525082   3187.983254   4266.470593
0.093750   1215.699560   2024.650112   3077.616677   4528.718059
0.100000   433.264450   1468.310095   2536.226296   3384.285081
0.106250   381.853648   1378.871512   2563.725920   3582.815883
0.112500   595.119464   1696.285686   2602.217563   3748.651164
0.118750   606.551025   1784.737997   2579.110319   3763.414411
0.125000   1186.318116   2057.681590   3045.711379   4021.888769
0.131250   1035.750784   2091.973763   3006.272292   4116.783971
0.137500   1118.015358   2197.717952   2955.662130   4032.123587
0.143750   1006.204959   2059.984270   3027.587132   3958.390568
0.150000   695.034999   1855.065926   3034.594064   3455.827565
0.156250   1114.155552   1805.844486   3204.800352   4154.701119
0.162500   684.181807   1666.931385   2746.994889   3733.989793
0.168750   629.162340   1747.578728   2736.779379   3867.088724
0.175000   1638.862914   2537.884000   3676.473233   4616.488618
0.181250   1139.448442   2088.622606   3013.682729   4038.302404
0.187500   1086.721887   2038.755078   2854.748031   3911.664715
0.193750   997.540081   1936.069458   2755.539336   3953.649569
0.200000   688.058714   1735.550409   2705.029785   3977.694279
0.206250   610.092993   1840.694414   2753.695055   3849.911702
0.212500   633.698594   1874.478544   2841.135976   3931.058816
0.218750   655.300958   1905.545983   2567.869962   3652.837855
0.225000   595.137488   1936.145095   2475.214275   3509.655778
0.231250   840.443992   2178.499522   2801.815629   4245.936076
0.237500   962.792318   1912.212900   2750.641969   4072.191494
0.243750   890.227134   1730.347512   2728.669891   3585.128009
0.250000   842.332489   1826.406915   2683.116733   3537.857104
0.256250   803.724556   1898.896841   2639.375811   3557.852406
0.262500   761.916805   1746.814509   2598.927120   3457.320224
0.268750   767.363777   1778.272935   2711.595879   3566.970313
0.275000   776.505117   1851.961598   2780.469177   3442.364741
0.281250   1020.202925   2030.398188   3152.788657   4448.018911
0.287500   424.324782   1951.969307   2720.895578   3242.971106
0.293750   741.707978   1733.701094   2658.649848   3544.981187
0.300000   707.178855   1582.536158   2752.595369   3474.917560
0.306250   855.864029   1854.428861   2975.305462   4241.867003
0.312500   1001.435720   2014.231458   3000.572830   4132.303065
0.318750   769.388689   1931.124743   2946.490511   3967.938825
0.325000   580.064003   1793.124253   2595.997528   3673.352912
0.331250   382.281802   1700.983239   2496.458037   3582.217333
0.337500   696.128075   1815.301308   2881.156186   3794.711970
0.343750   728.380117   1847.720436   3029.185651   3881.898534
0.350000   689.619696   1712.680005   2535.306627   3684.340239
0.356250   811.013730   1681.973293   2523.760649   3748.396032
0.362500   847.628433   1713.989502   2652.176010   3927.231713
0.368750   1064.780014   1915.477551   2908.005647   4061.785165
0.375000   735.518619   1648.162461   2573.533329   3514.412302
0.381250   730.263533   1693.204847   2701.881927   3469.860993
0.387500   712.663987   1667.339610   3021.730514   4018.302550
0.393750   804.802544   1754.538189   2909.390217   3861.849673
