Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1376.609564   2436.208079   --undefined--   --undefined--
0.031250   858.687329   1925.152468   2766.610734   3774.136098
0.037500   916.268442   1982.333936   2773.090707   3711.051910
0.043750   1001.261751   2021.474702   2732.167666   3711.711354
0.050000   1020.512496   1912.938634   2864.336223   3728.412884
0.056250   1133.444601   1811.072331   2972.108789   3523.816965
0.062500   1197.813236   1789.840484   2825.396726   3763.452139
0.068750   923.006492   1854.437126   2898.015597   3862.825272
0.075000   909.480555   1772.173441   2934.941324   3711.746757
0.081250   976.397245   1967.043124   2918.115927   3630.185023
0.087500   1089.371203   1922.537308   3003.402320   3412.543419
0.093750   1083.180492   1774.629732   2733.061726   3639.524959
0.100000   1085.945452   1785.018082   2683.628225   3725.557025
0.106250   1157.533041   1704.883283   2683.870026   3744.624750
0.112500   1031.461552   1877.271220   2749.835806   3683.354752
0.118750   1004.730794   1947.168282   2777.885087   3620.907821
0.125000   1040.609168   2059.633846   2450.850175   3629.905320
0.131250   895.547704   1973.935763   2711.261130   3716.433842
0.137500   975.025248   1992.636612   2871.349019   3769.762501
0.143750   920.009408   1890.590214   2504.102999   3605.483463
0.150000   906.462248   1996.682675   2421.359782   3480.238015
0.156250   1065.181397   1809.610724   2640.560456   3496.010560
0.162500   974.399100   1900.792490   2760.106640   3550.494956
0.168750   946.413381   1964.428534   2878.637635   3595.361681
0.175000   1009.904930   1901.236737   2833.679477   3612.564270
0.181250   995.951665   2025.233175   2829.747546   3646.682471
0.187500   844.803951   2007.055460   2869.253434   3709.586825
0.193750   849.463549   1978.993772   2856.324757   3722.865872
0.200000   957.262108   1952.851859   2742.950364   3692.831731
0.206250   1066.792673   1864.567591   2718.311328   3689.513465
0.212500   985.559974   1790.274822   2796.228972   3693.900304
0.218750   1075.099475   2036.208738   2917.741530   3502.560958
0.225000   1045.064973   2047.170620   3006.223573   3679.091221
0.231250   1059.091882   1952.685114   3021.506675   3717.229221
0.237500   996.417627   1719.055645   2790.794504   3831.160439
0.243750   1058.035654   2021.242116   2807.894507   3614.305079
0.250000   1078.312015   1966.526245   2884.200194   3708.935633
0.256250   987.406634   1985.029353   2761.649309   3768.711133
0.262500   900.293667   1836.137725   2767.545788   3729.695286
0.268750   983.515081   1760.401337   2989.021713   3720.834935
0.275000   1261.592357   1867.753733   2940.240395   3582.433841
0.281250   1092.106818   2166.665567   2668.136843   3577.476998
0.287500   1104.779921   1881.085795   2751.852967   3540.953802
0.293750   1136.672317   1697.961405   2705.924859   3597.375172
0.300000   1029.745100   1904.444902   2706.175293   3629.697535
0.306250   1029.362579   1936.195233   2707.443705   3759.752492
0.312500   1374.734041   1455.912135   2634.590130   3613.085025
0.318750   1044.461479   1780.429356   2772.889954   3611.215968
0.325000   1033.551351   1888.636351   2730.456704   3551.432565
0.331250   1011.610374   1973.036076   2886.459408   3574.279676
0.337500   971.994428   2048.152781   3106.820609   3433.294596
0.343750   1013.955495   2152.378279   2612.938679   3597.834932
0.350000   839.420946   1733.905661   2704.265967   3645.381131
0.356250   971.114163   1754.171380   2649.543428   3626.329554
0.362500   1030.196590   1955.613813   2599.031652   3623.361200
0.368750   918.477031   1767.459383   2822.205167   3732.442080
0.375000   842.022437   1747.771252   2770.275202   3766.846491
0.381250   929.557204   1946.675697   2618.378427   3662.169712
0.387500   983.370047   2003.559656   2727.272459   3565.159503
0.393750   960.323272   1827.816737   2755.116486   3716.454192
0.400000   995.658640   1827.651750   2607.992523   3800.608723
0.406250   976.794562   2054.486190   2890.086846   3702.371391
0.412500   973.896253   1859.220252   2864.914926   3762.017200
0.418750   915.535042   1961.191610   2681.214688   3622.382520
0.425000   969.247076   2091.956344   2623.111199   3618.396809
0.431250   1057.183983   1847.345203   2753.822009   3721.636049
0.437500   1060.994035   1838.194301   2787.951999   3703.172322
0.443750   1164.986225   1905.850000   2619.144812   3650.912899
0.450000   1024.170407   1796.888664   2698.956238   3656.739581
0.456250   887.364242   1993.713594   2754.543857   3728.213090
0.462500   874.013842   1876.535047   2731.714857   3748.153509
0.468750   862.915870   1882.220276   2820.147123   3739.500819
0.475000   905.868026   1917.962655   2856.433686   3665.362820
0.481250   964.231975   1909.605149   2604.301209   3699.103816
0.487500   1031.651292   1841.807318   2748.007281   3720.526026
0.493750   853.018525   1825.858994   2796.360786   3796.644982
0.500000   880.232968   1904.245187   2731.671730   3839.301299
0.506250   876.247786   1935.853351   2716.444668   3804.830359
0.512500   980.202597   1759.724625   2842.989307   3661.027235
0.518750   1044.872419   1780.219381   2916.197688   3641.712752
0.525000   1034.404884   1699.825177   3081.973334   3465.482421
0.531250   928.968689   1772.380125   2854.379438   3672.371893
0.537500   965.744953   1909.709647   2574.188694   3774.496860
0.543750   1018.966735   1846.030020   2720.044980   3710.527089
0.550000   978.615419   1769.629047   2733.083564   3652.798230
0.556250   1008.249043   1820.737801   2804.096864   3672.124709
0.562500   1054.392332   1871.111747   2738.491078   3619.301258
0.568750   1002.015285   1829.913312   2767.440370   3688.528753
0.575000   310.413867   1708.537425   2490.214179   3641.857859
0.581250   196.662306   1674.095420   2232.602375   3620.675738
0.587500   1655.264902   2297.967354   --undefined--   --undefined--
0.593750   1568.821340   2569.593513   --undefined--   --undefined--
0.600000   187.431730   1610.914719   2717.681369   3481.762164
0.606250   1670.105015   2971.749122   --undefined--   --undefined--
0.612500   1560.575247   1989.877578   3124.622592   4002.965740
0.618750   1390.225122   2351.411736   3687.794061   4312.782499
0.625000   1155.146278   2453.251050   3155.124567   4222.235612
0.631250   1272.207982   2504.526032   3185.085924   4708.728698
0.637500   1247.291296   2540.594374   3239.013171   4444.582225
0.643750   1132.962718   1174.386032   2589.600543   3363.649959
0.650000   1059.684445   1464.396543   2662.937217   3371.782172
0.656250   1041.982666   2675.731349   3422.177448   4369.059306
0.662500   457.216716   1206.789941   2835.468395   3577.973581
0.668750   435.518215   1164.860661   2848.421497   3569.664373
0.675000   423.196782   1039.342595   2649.242010   3613.460845
0.681250   469.014696   914.863262   2586.937768   3581.631740
0.687500   459.618928   962.161775   2575.764465   3555.369176
0.693750   481.704062   822.953418   2552.004106   3527.045205
0.700000   463.587679   889.321224   2467.557723   3519.592046
0.706250   404.766772   1124.406301   2446.596663   3565.852519
0.712500   387.814727   1332.361492   2414.932428   3581.640822
0.718750   375.110797   1467.902715   2386.292784   3558.519945
0.725000   393.931972   1528.170481   2391.274969   3618.558296
0.731250   427.899363   1616.650217   2461.890658   3639.890805
0.737500   437.819788   1815.637681   2507.765624   3664.147475
0.743750   413.158980   1908.290250   2467.919643   3567.788824
0.750000   374.746027   2001.630014   2486.806932   3543.807119
0.756250   352.060915   2100.611382   2536.899156   3551.241069
0.762500   342.143938   2185.165306   2586.047170   3519.367784
0.768750   359.986137   2253.641964   2703.515474   3538.826801
0.775000   357.897117   2279.139499   2792.223737   3581.617551
0.781250   356.124068   2316.574434   2804.682113   3554.124554
0.787500   346.372704   2320.671862   2846.765089   3531.653677
0.793750   334.505868   2332.661181   2876.929240   3585.559629
0.800000   335.816266   2332.036219   2851.556378   3566.551601
0.806250   340.420391   2314.693862   2803.399052   3532.837589
0.812500   339.681672   2290.171640   2812.146150   3568.692734
0.818750   331.721999   2285.278639   2797.457829   3572.847489
0.825000   334.112295   2237.101372   2784.902869   3509.772342
0.831250   341.473343   2192.045363   2774.993770   3481.188424
0.837500   349.993679   2168.044408   2745.733270   3562.827075
0.843750   365.882961   2079.525901   2709.788114   3568.875467
0.850000   383.584935   2012.285652   2716.548534   3634.000803
0.856250   405.593409   1942.416189   2715.211253   3661.502920
0.862500   419.651247   1816.078638   2699.311080   3669.290500
0.868750   406.397358   1751.930767   2698.693629   3735.986263
0.875000   396.802443   1839.788818   2746.304086   4007.682240
0.881250   366.467823   2026.653172   2735.335545   3874.830830
0.887500   1751.489006   2882.795756   3832.094083   4731.976198
0.893750   1775.407401   3057.415889   3904.669925   4678.200147
0.900000   1768.594636   3325.378893   4299.175822   4682.774880
0.906250   1561.761840   2580.528103   3537.432038   4379.995394
0.912500   1697.545253   1727.610285   3494.231667   4435.275927
0.918750   1807.966987   3517.980537   --undefined--   --undefined--
0.925000   1952.849224   3470.697976   4234.764915   4682.798781
0.931250   1777.340382   2785.016088   4198.629580   4757.574331
0.937500   1514.862376   2875.482261   4350.049620   4716.194414
0.943750   1539.708054   3046.442577   4237.555315   4672.608623
0.950000   1449.237632   3047.843869   4309.944471   4659.986042
0.956250   874.237566   1323.797502   3114.808240   4381.666355
0.962500   767.159107   1225.960246   2978.391651   4230.814061
0.968750   1199.476127   2793.100910   3618.639574   4219.623905
0.975000   1234.543346   2779.368118   3669.187072   4223.594169
0.981250   1189.611259   2445.482861   3661.454423   4535.627509
0.987500   1200.934444   2221.876594   3484.213568   4458.240470
0.993750   1118.774866   2355.001122   3272.182714   4360.819445
1.000000   1316.924509   2812.880672   3756.925605   4502.572642
1.006250   989.653179   1213.912017   2427.012728   3790.110955
1.012500   1186.242940   1234.799189   2451.043336   3807.071287
1.018750   990.149638   1234.916941   2430.553643   3748.013970
1.025000   275.059018   1250.690361   2395.063701   3637.376882
1.031250   1215.061523   2401.618922   3453.290845   4180.177853
1.037500   1158.978118   2337.517534   3289.861685   4329.491170
1.043750   1093.689222   2448.053070   3423.294059   4565.159233
