Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   672.538673   1557.507888   2553.360330   3473.835820
0.031250   546.587546   1515.750794   2548.597010   3330.290249
0.037500   516.785659   1481.536101   2504.373763   3295.926156
0.043750   1332.727566   2341.759888   3381.531332   4640.018244
0.050000   269.849806   1788.258836   2500.622594   3590.485788
0.056250   624.349140   1866.509085   2641.557736   3397.253142
0.062500   619.442374   1633.667538   2522.358819   3362.468537
0.068750   565.539596   1668.990703   2632.357653   3430.396163
0.075000   617.791886   1756.322828   2845.277924   3517.119568
0.081250   750.507125   1848.358124   2990.923661   3607.585683
0.087500   713.258869   1781.254163   3096.947791   3522.307045
0.093750   788.507516   1824.031858   3101.094671   4030.249468
0.100000   679.604023   1591.911251   2747.603603   3569.773659
0.106250   590.188654   1627.129995   2724.738824   3549.183623
0.112500   599.189227   1806.139673   2742.694572   3757.632660
0.118750   601.948769   2227.921554   2649.440900   3840.302602
0.125000   799.150445   1698.014822   2807.958644   3804.186478
0.131250   726.086659   1472.434783   2740.670973   3660.669139
0.137500   677.873865   1761.944837   2705.461356   3572.528643
0.143750   628.422885   1708.794165   2653.028170   3639.660769
0.150000   605.789761   1580.754765   2813.304945   3494.414837
0.156250   627.773447   1665.812092   2797.227661   3389.739578
0.162500   636.352091   1632.094973   2656.758653   3473.093483
0.168750   569.351907   1707.714099   2778.707591   3744.967310
0.175000   491.902290   1854.896251   2476.061583   3659.445638
0.181250   509.381008   1994.877211   2245.268257   3372.948442
0.187500   606.176134   1891.726897   2179.909332   3389.597025
0.193750   594.639668   1779.045634   2416.537469   3255.181738
0.200000   546.504232   1594.759653   2668.919049   3754.229207
0.206250   515.964624   1649.166092   2819.481819   3723.434473
0.212500   538.958530   1665.648978   2943.121541   3559.988502
0.218750   616.598767   1955.591298   3092.464402   4375.676879
0.225000   574.997728   1670.667535   2356.655042   3441.454174
0.231250   660.234908   1475.081992   2347.491756   3563.731366
0.237500   598.361261   1595.021485   2397.459223   3526.599470
0.243750   583.339806   1709.232872   2440.724725   3338.844984
0.250000   588.090898   1806.665619   2711.823881   3472.957132
0.256250   615.589383   1713.435621   2664.144757   4093.149900
0.262500   555.590095   1637.824818   2584.546149   4048.316712
0.268750   519.772673   1950.995141   2772.463499   3929.772661
0.275000   868.302483   1916.429314   2950.181231   3932.616719
0.281250   1096.416669   2051.194523   2937.515497   3878.409815
0.287500   642.754170   1758.622729   2434.133692   3685.058984
0.293750   364.594159   1542.775306   2580.274242   3433.060730
0.300000   305.669304   1567.916763   2639.794204   3467.922887
0.306250   419.037878   1726.278433   2559.405799   3447.217630
0.312500   546.773828   1740.821727   2653.002831   3481.527002
0.318750   688.163527   1835.567180   3164.051600   3164.742888
0.325000   876.392153   2075.020705   3103.677395   4175.542207
0.331250   845.101109   2217.402506   2312.764187   3863.723825
0.337500   785.836587   1788.600288   2804.000587   3929.955452
0.343750   744.793693   1864.232418   2914.788862   3883.497882
0.350000   763.180178   1973.909567   3022.344884   3969.787537
0.356250   793.103108   962.472948   2622.921263   3416.848600
0.362500   511.913094   943.080584   2182.444620   3287.386755
0.368750   439.194012   1092.478856   2236.023901   3420.782990
0.375000   417.609650   1493.759426   2425.289392   3597.678647
0.381250   438.756850   1522.052373   2375.137151   3440.242717
0.387500   170.367186   1597.686757   3198.836209   4460.391663
0.393750   403.623259   1755.351185   3080.658249   3920.431130
0.400000   420.138263   1554.548988   2612.396998   3602.479182
0.406250   370.798108   1437.911528   2620.525217   3722.306641
0.412500   1387.775793   2652.880095   3761.003819   4656.415883
0.418750   258.074880   1705.545929   2453.615465   3500.002376
0.425000   291.600432   2072.099382   2616.888133   3552.153366
0.431250   321.638535   1761.877932   2742.891090   3449.192807
0.437500   307.749944   1618.832836   2665.194013   3413.670212
0.443750   911.625123   1823.360580   2917.772527   4029.690148
0.450000   857.519574   2087.337238   2801.351664   4093.771744
0.456250   208.013508   1625.759545   2682.686385   3713.462130
0.462500   216.440521   1454.373981   2473.714307   3577.452240
0.468750   392.712851   1384.084705   2454.508264   3625.904530
0.475000   968.674517   2077.890450   3199.052314   4001.501211
0.481250   974.706724   1997.964831   3100.208620   3928.223250
0.487500   393.885956   1466.674215   2719.613214   3406.818057
0.493750   438.324169   1582.719721   2624.368032   3387.642079
0.500000   503.590120   1644.735808   2506.194954   3398.689072
0.506250   543.670679   1493.206645   2411.575643   3400.618876
0.512500   551.446389   1492.523457   2585.620648   3532.446864
0.518750   491.990578   1546.038306   2633.706272   3637.359677
0.525000   554.385703   1903.300394   2380.674079   3470.233470
0.531250   842.872342   1589.036594   2162.741404   3546.928028
0.537500   780.172657   1405.637281   2399.316263   3703.182670
0.543750   954.732452   2170.182914   2914.324619   4051.866236
0.550000   971.222971   1208.306471   2339.685803   3709.707325
0.556250   672.557688   1530.422740   2577.811040   3410.608943
0.562500   607.224812   1813.265194   3081.807332   3453.752464
0.568750   638.234686   1898.331314   3221.649339   4156.631687
0.575000   423.257912   1723.759812   2596.075762   3705.074881
0.581250   363.505177   1678.749257   2624.987602   3571.022081
0.587500   585.699284   1638.161979   2550.988593   3593.159870
0.593750   622.787587   1580.304353   2450.293325   3594.436524
0.600000   446.850597   1451.884595   2549.003164   3570.586577
0.606250   446.809901   1606.535533   2426.225450   3597.441501
0.612500   435.617197   1679.029054   2343.712715   3499.866936
0.618750   489.964570   1715.893990   2641.700249   3605.775116
0.625000   792.705995   1977.002232   3018.045847   4075.848945
0.631250   1027.153678   2038.730326   2968.999646   4089.079540
0.637500   1092.048513   1990.939874   2954.739397   4079.015336
0.643750   910.427236   1790.981238   2839.064967   4135.538862
0.650000   297.420185   1712.566498   2953.153713   4117.859844
0.656250   449.583285   1658.963687   2953.572416   3922.266315
0.662500   571.283329   1566.162039   2592.565669   3321.291247
0.668750   1163.956248   2175.298372   3337.571707   4464.966007
0.675000   557.148138   1627.738246   2388.350580   3410.428862
0.681250   402.747227   1546.891126   2511.661901   3453.208224
0.687500   511.921178   1337.285285   2514.031913   3449.814175
0.693750   611.105460   1515.537569   2557.747614   3495.747561
0.700000   506.042654   1586.086422   2554.245521   3623.788673
0.706250   475.586491   1561.291494   2435.678181   3518.096904
0.712500   475.140309   1538.508290   2280.500840   3399.497112
0.718750   533.212094   1869.122718   2155.510538   3464.158741
0.725000   595.812187   1737.759746   2387.041725   3511.683394
0.731250   603.970800   1503.195337   2134.663871   3392.026964
0.737500   524.871771   1428.477672   2312.499345   3358.727420
0.743750   443.464797   1702.647311   2626.546527   3595.497833
0.750000   496.027077   1419.149517   2806.428477   3548.547905
0.756250   665.622995   708.174552   2341.062188   3299.413016
0.762500   567.867873   1317.338677   2226.620346   3443.456357
0.768750   536.992567   2003.991800   2044.545741   3382.219182
0.775000   420.409891   1854.741453   2594.559281   3404.433393
0.781250   573.898769   1718.178357   2715.141277   3637.786882
0.787500   586.421040   1785.563812   2367.235507   3486.005659
0.793750   525.406732   1799.926701   2441.898291   3732.448075
0.800000   591.626807   1789.438620   2423.748767   3819.132812
0.806250   501.538499   1771.775783   2403.042215   3827.198792
0.812500   441.573571   1758.312185   2438.064636   3882.145492
0.818750   1637.367586   2491.721703   3858.502312   4522.871130
0.825000   1592.163175   1846.315836   3190.345029   4183.023890
0.831250   565.446279   1602.253596   2493.289379   3279.681562
0.837500   709.799363   1661.531704   2829.706124   4021.731559
0.843750   612.781849   1653.849715   2754.160659   3885.088057
