Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1134.189947   1968.862699   3277.328264   3996.062485
0.031250   1175.963212   1959.335318   3236.971042   3952.445604
0.037500   1085.009050   1954.747277   3249.294421   3950.650063
0.043750   533.714667   1919.024068   2514.407363   3897.940935
0.050000   190.100991   1934.358103   2248.874716   3828.913530
0.056250   528.558856   1807.639598   2254.424117   3853.328183
0.062500   616.591724   1821.878178   2246.475004   3882.791151
0.068750   503.987854   1802.103777   2282.257180   3796.191288
0.075000   652.756928   1821.845011   2372.203906   3687.971453
0.081250   590.882355   1827.697059   2451.360029   3698.142644
0.087500   583.082614   1807.943711   2423.961864   3841.089031
0.093750   457.526281   1820.910957   2354.022146   3839.658894
0.100000   367.513036   1854.250045   2311.924402   3693.336848
0.106250   501.393161   1907.777010   2477.764409   3656.673289
0.112500   546.460070   1927.448011   2270.915523   3670.280890
0.118750   500.809135   1827.940758   2309.362814   3717.871176
0.125000   559.754192   1849.702729   2261.526358   3648.015824
0.131250   699.460151   1976.650362   2373.185766   3624.647707
0.137500   1385.343181   1964.752578   2863.694944   4053.668045
0.143750   449.749780   1635.575334   2724.200187   3749.262920
0.150000   544.371286   1701.359023   2802.131460   3719.817724
0.156250   488.850440   1627.193210   2703.889606   3626.352387
0.162500   617.485116   1593.378153   2621.951108   3635.394779
0.168750   700.612252   1729.695751   2685.401953   3611.961386
0.175000   809.358157   1908.290833   3010.668623   4329.137973
0.181250   1013.347330   2146.629688   3183.295478   4240.983849
0.187500   257.948642   1402.930954   2386.531231   3487.671742
0.193750   669.290234   1592.236707   2611.502428   3268.382653
0.200000   563.653615   1585.480509   2565.794252   3477.778650
0.206250   572.341189   1646.882949   2547.899057   3699.865470
0.212500   718.083241   1815.470586   2783.985601   3896.245346
0.218750   582.631462   1539.615175   2710.121548   3703.944647
0.225000   634.144212   1609.929604   2689.355151   3478.129046
0.231250   601.686516   1538.172018   2706.101175   3117.293385
0.237500   443.824648   1478.558428   2193.144030   3432.424093
0.243750   533.574644   1516.721722   2191.145652   3370.264255
0.250000   519.626862   1547.108620   2324.994711   3453.577102
0.256250   491.794588   1605.727185   2581.752252   3635.026740
0.262500   524.696860   1698.582656   2718.038340   3578.402151
0.268750   1319.866495   1865.163041   3059.680386   3770.718473
0.275000   1417.086428   1502.560915   3000.484679   3709.200577
0.281250   685.507003   1507.732493   2710.994909   3323.192805
0.287500   803.007894   1608.093613   2690.779035   3449.762259
0.293750   743.455720   1607.966579   2834.795058   3481.532693
0.300000   1010.040523   1650.634967   2900.305601   3379.232339
0.306250   860.722040   1692.178267   2800.944190   3268.799427
0.312500   1668.332759   2780.073440   3420.407614   4191.982300
0.318750   532.938094   1642.231760   2771.091911   3492.279934
0.325000   642.794775   1656.300473   2879.324506   3660.382672
0.331250   1613.302952   2258.636649   3459.822973   3678.290782
0.337500   1581.944081   2305.426309   3465.373480   3970.935703
0.343750   350.172807   1741.918327   2462.054014   3426.716390
0.350000   369.985719   1768.793778   2400.295690   3393.819974
0.356250   361.690173   1813.572881   2383.293106   3436.973211
0.362500   354.813929   1884.182790   2447.209188   3434.644117
0.368750   338.680027   1959.835593   2495.692651   3571.092734
0.375000   333.284687   1989.513509   2460.088193   3699.856725
0.381250   328.918946   1999.737410   2440.620112   3682.603475
0.387500   330.545669   2063.079545   2448.945915   3560.894109
0.393750   323.636829   2138.361375   2460.509284   3550.017654
0.400000   316.260982   2219.150667   2462.116590   3551.167140
0.406250   318.545477   2164.776424   2515.576123   3562.018095
0.412500   317.832704   2118.204229   2522.369266   3563.638029
0.418750   325.381900   2083.118015   2541.664119   3484.303765
0.425000   323.667847   2055.136069   2565.838865   3573.107046
0.431250   327.425480   1993.722611   2565.297325   3931.281235
0.437500   364.228931   1940.356795   2614.776385   3887.245013
0.443750   411.305586   1902.091349   2635.300779   3752.802908
0.450000   408.542293   1986.311339   2828.564274   3742.449367
0.456250   307.384105   1964.658546   2769.918330   3669.520114
0.462500   384.866750   1908.773376   2567.921306   3841.623712
0.468750   390.318676   1825.818557   2650.010018   3930.963319
0.475000   130.339202   1804.311665   2702.813802   4010.656931
0.481250   189.550671   1715.967698   2691.785617   3943.958064
0.487500   369.218621   1736.203619   2682.782413   3851.266683
0.493750   1720.621391   2575.007333   3884.863631   4436.165249
0.500000   1744.865371   2340.476981   3911.136446   4350.336369
0.506250   1520.491983   2175.122755   3941.014951   4268.926568
0.512500   1475.650407   2118.959791   3420.892454   3932.195804
0.518750   1461.717909   2116.878149   3785.278847   4304.639603
0.525000   496.471606   1442.747787   2445.865258   3805.790140
0.531250   807.583729   1560.678307   2451.117619   3792.810837
0.537500   1559.570552   2419.746755   3805.105740   4205.647980
0.543750   568.043977   1586.127201   2556.165340   3864.634712
0.550000   418.104616   1572.203802   2614.533877   3848.977114
0.556250   463.320012   1499.814909   2515.078619   3804.222573
0.562500   362.908864   1527.377264   2404.219889   3791.558714
0.568750   1424.601352   2299.270654   3737.803259   4380.179389
0.575000   1003.165865   1024.194869   2312.309867   4114.800743
0.581250   667.272299   1169.118432   2409.775731   3805.688733
0.587500   736.608950   1127.606798   2371.717175   3673.809599
0.593750   740.675350   1126.051115   2500.825014   3901.281807
0.600000   616.570212   1160.741559   2384.382830   3899.172329
0.606250   679.572849   1159.473607   2385.003329   3542.411179
0.612500   832.774332   1486.063037   2381.419628   4095.408816
0.618750   1056.573263   1859.263028   2803.966610   4306.392387
0.625000   1062.157923   1816.903449   2813.877837   4137.741389
0.631250   488.718294   1220.413948   2270.981579   3649.142203
0.637500   487.323006   1079.703299   2273.403975   3514.924658
0.643750   485.495011   1035.560153   2308.130543   3455.204992
0.650000   480.943494   966.357085   2358.715873   3527.484937
0.656250   480.092072   923.912777   2381.384493   3587.664264
0.662500   489.867761   895.146267   2376.429133   3426.953923
0.668750   486.716693   865.565949   2447.733348   3499.985398
0.675000   485.289112   843.549598   2479.276419   3496.297370
0.681250   485.945669   834.061648   2446.696002   3495.308425
0.687500   484.154761   829.291330   2428.129341   3589.563908
0.693750   471.879905   825.392023   2424.820333   3511.298711
0.700000   466.053715   818.750138   2416.017666   3596.829284
0.706250   462.398402   828.870673   2434.984612   3647.396035
0.712500   461.909790   851.744855   2494.636772   3508.925681
0.718750   465.353644   863.693644   2458.617311   3525.416705
0.725000   468.414675   852.366207   2345.634014   3481.210661
0.731250   470.160574   888.825413   2269.223531   3396.023084
0.737500   459.809373   1018.846639   2176.861232   3400.469257
0.743750   449.516807   998.503060   2122.062172   3367.216016
0.750000   435.661793   1202.789606   2088.131977   3421.646964
0.756250   428.433194   1107.555108   2043.928235   3477.239300
0.762500   446.220854   2052.687425   3368.339252   4579.387638
0.768750   432.148215   2030.400336   3435.290472   4453.649584
