Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027365   797.607922   2126.218233   2841.862812   3681.217479
0.033615   754.385794   2080.391342   2977.479708   3593.889150
0.039865   759.097277   2067.983131   3053.500547   3586.463291
0.046115   852.914683   2009.699912   3018.658113   3851.961157
0.052365   939.687981   1962.288160   3017.956061   3919.960480
0.058615   927.960499   1940.783053   3028.078856   3993.748622
0.064865   1010.860220   1961.278858   3036.489218   3073.872790
0.071115   1026.646427   1921.379365   2651.322581   3655.000525
0.077365   1005.894635   1924.748382   2602.466358   3801.362894
0.083615   1103.697467   1764.279867   2369.782846   3250.722957
0.089865   1102.101717   2193.604516   2977.236652   4078.350039
0.096115   1117.796731   1987.128788   3010.140862   4114.978293
0.102365   1087.857825   1947.054409   3044.480836   4159.371097
0.108615   1013.992822   1948.846210   2993.503063   4078.395782
0.114865   1019.062790   1918.590673   3008.760221   4000.789956
0.121115   921.920072   1955.076258   3050.313003   3965.953072
0.127365   946.941275   1951.941204   2908.539095   3928.296459
0.133615   947.734609   1860.519819   2717.453929   3707.177768
0.139865   962.068762   2052.585526   2804.661188   4033.012620
0.146115   865.581405   2000.837114   2554.045375   3531.761518
0.152365   1089.017055   2002.243847   2770.143761   3992.806230
0.158615   974.809148   1913.341152   2861.178466   4035.559049
0.164865   1010.732265   1890.487275   2992.560532   4084.687128
0.171115   1039.453515   2012.784116   3273.026392   4174.646366
0.177365   948.604594   1986.685638   2772.129578   3877.259291
0.183615   970.549746   1841.136138   2672.892907   3747.553997
0.189865   982.061902   1902.804525   3082.795046   3799.958995
0.196115   987.493190   1893.916290   3016.905855   4067.014609
0.202365   979.767914   1899.790653   2955.914204   4032.819149
0.208615   974.266938   1975.394331   3013.073890   4085.000466
0.214865   1065.303251   1973.075918   2896.334204   4014.379848
0.221115   1049.384914   2015.461574   2876.601560   4052.067645
0.227365   1062.248113   2185.909725   2367.452813   3579.824537
0.233615   797.653087   1717.547632   2514.431312   3426.219546
0.239865   922.894204   1735.457475   2584.506700   3346.244892
0.246115   1001.954717   1834.707238   2887.349504   3987.954550
0.252365   1149.263351   1879.048380   2889.643656   4004.459085
0.258615   1208.994797   1977.503022   2864.614698   3906.201288
0.264865   1111.555857   1955.806794   2852.258437   3952.734331
0.271115   999.835100   1992.078865   2914.801653   4104.416277
0.277365   1059.469218   1974.081406   2981.261574   4063.265799
0.283615   1017.522877   2088.780218   2961.859662   4131.790955
0.289865   883.172557   2445.426270   2989.319090   4123.932943
0.296115   891.874744   2570.734489   3094.193050   4042.111228
0.302365   972.957641   2738.910541   3231.708413   4385.033009
0.308615   437.494529   1384.500857   2886.960719   3390.805444
0.314865   444.420622   1291.828204   2667.181174   3461.233086
0.321115   439.982421   1324.457161   2636.823935   3400.292318
0.327365   435.358140   1426.603927   2767.250148   3467.880708
0.333615   427.757294   1549.198096   2748.991916   3542.815708
0.339865   414.984169   1772.424981   2804.897524   3522.911189
0.346115   394.777226   1800.256765   2676.561696   3534.649795
0.352365   380.469066   1845.359759   2626.522407   3555.966553
0.358615   368.620001   1899.771219   2417.666615   3591.389646
0.364865   365.093743   1922.402472   2389.922115   3617.192081
0.371115   361.077801   1930.302942   2494.981229   3645.034975
0.377365   355.377344   1926.704686   2501.547518   3677.920693
0.383615   355.548821   1917.014784   2511.357289   3691.783115
0.389865   349.751240   1873.325789   2513.046630   3674.551788
0.396115   323.940521   1813.132585   2504.838891   3733.934839
0.402365   314.296972   1755.290422   2488.152055   3763.128165
0.408615   324.386142   1726.148537   2535.521646   3792.218863
0.414865   311.847353   1735.003348   2612.342684   3808.688629
0.421115   1906.244375   3092.032311   --undefined--   --undefined--
0.427365   1435.355932   2291.321426   3448.580858   4127.541759
0.433615   1415.985796   2348.550996   3799.911968   3919.599948
0.439865   986.771067   2036.779533   3324.459778   3777.225585
0.446115   1159.189936   2252.577614   3685.629458   4497.454572
0.452365   1530.881256   2384.303950   3680.556796   4462.012733
0.458615   1616.282233   2397.395749   3723.348833   4293.677137
0.464865   1631.120281   2314.887781   3760.392470   4301.750488
0.471115   1701.477680   2559.904889   3861.841619   4345.623286
0.477365   1720.056285   2331.348586   3938.787540   4085.070115
0.483615   1655.494669   2441.354264   3696.495402   4175.058294
0.489865   1642.911441   2258.805465   3595.714896   4090.593591
