Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1224.403140   2097.695517   --undefined--   --undefined--
0.031250   1098.005973   2230.268404   2285.631571   3924.857451
0.037500   1110.950169   2037.441148   2543.989611   3807.182832
0.043750   1021.669858   2019.584108   2620.690677   3717.969957
0.050000   1032.156867   1920.779861   2606.582319   3620.163703
0.056250   1052.141861   1933.795595   2640.622948   3773.868518
0.062500   1043.307488   1974.992082   2869.731172   3674.337821
0.068750   1165.904061   1925.873127   2885.729290   3723.407881
0.075000   1107.803855   1946.455569   2715.317084   3760.901260
0.081250   1101.144228   1892.833131   2729.560684   3746.035942
0.087500   902.017819   1969.719786   2827.974948   3757.663819
0.093750   914.601720   1846.716072   2755.122014   3771.658857
0.100000   1014.730282   1782.568174   2776.184946   3772.560848
0.106250   933.969363   1822.031396   2673.860667   3767.753691
0.112500   886.825885   1947.531543   2792.674404   3724.417678
0.118750   1023.315341   1902.029958   2852.179416   3720.128946
0.125000   1033.572905   1777.654829   2693.586701   3747.831911
0.131250   861.495006   1759.017140   2742.710239   3693.865661
0.137500   862.994350   1875.385999   2864.954094   3645.428094
0.143750   945.983983   1926.200503   2860.882859   3666.261640
0.150000   901.046227   1894.747773   2783.570160   3588.684155
0.156250   909.732354   1900.484410   2995.730684   3495.367725
0.162500   865.591297   1995.535494   3001.054344   3549.092552
0.168750   874.977207   1932.375742   2810.924974   3585.583338
0.175000   980.977770   1786.616974   2764.254511   3607.021059
0.181250   1003.318275   1842.742907   2805.362833   3662.686272
0.187500   1018.063455   1935.805338   2868.986971   3679.036995
0.193750   1075.323142   1997.884527   2866.407912   3662.854293
0.200000   1062.348263   1938.946583   2805.603090   3699.386460
0.206250   1045.333455   1886.638608   2759.177588   3796.167291
0.212500   1081.798561   1929.643856   2689.839396   3745.670803
0.218750   979.956936   1896.584299   2603.433587   3674.558531
0.225000   1082.958610   1830.814056   2660.121715   3622.177540
0.231250   986.026093   1945.371299   2771.265445   3712.364004
0.237500   1016.856388   1988.695284   2745.336493   3682.888203
0.243750   974.943174   2099.854065   2795.128153   3720.891769
0.250000   1027.272679   2279.681638   2717.053687   3577.887947
0.256250   1209.703765   2041.623637   2347.293916   3605.262626
0.262500   1133.643338   1767.328075   2723.174245   3580.972138
0.268750   1207.120027   2076.586057   2476.068371   3565.728812
0.275000   992.192171   2351.985419   2623.977700   3569.074582
0.281250   933.049834   1985.790304   2840.905670   3790.270526
0.287500   1033.310166   1887.625293   2858.385177   3604.168222
0.293750   1085.585340   1820.745185   2856.052272   3642.977184
0.300000   1021.085516   1897.680083   2785.528338   3646.468555
0.306250   1066.480132   2251.331191   2478.681983   3532.491364
0.312500   991.294368   2166.566839   3091.145281   3548.669161
0.318750   754.566178   1411.520169   2593.513725   3813.898959
0.325000   1018.201322   2072.477178   3369.106404   3967.685734
0.331250   1017.902960   2158.330259   3486.912507   3996.730806
0.337500   967.364952   2070.677110   3427.338445   4015.127816
0.343750   1257.237418   1971.802308   3430.986049   3974.886867
0.350000   1581.392048   2405.181181   3626.489622   4437.107275
0.356250   1511.570413   2458.208720   3632.257874   4203.083343
0.362500   1535.294758   2498.812195   3698.394765   4890.150480
