Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   405.313102   1597.682285   2709.918600   3682.560778
0.031250   328.045271   1572.096474   2704.285056   3769.232869
0.037500   842.349030   2528.696548   2542.864717   3813.953251
0.043750   989.316702   2439.466455   2802.169945   3825.324912
0.050000   1146.788578   2450.470881   3632.280908   4709.510680
0.056250   1161.904377   2430.774266   3464.552820   4362.186077
0.062500   326.230300   1456.714400   2521.758569   3596.779070
0.068750   319.949829   1539.714604   2662.374920   3715.737732
0.075000   212.162302   1449.127652   2691.850853   3406.416628
0.081250   946.041065   2188.772299   2841.159585   3957.884000
0.087500   847.478445   2150.568182   2900.559357   4004.753178
0.093750   858.536119   2131.463551   2955.896109   4056.732092
0.100000   232.087291   1466.294800   2539.608172   3698.018119
0.106250   255.503328   1413.656542   2475.286332   3731.481451
0.112500   206.131766   1463.911042   2566.784016   3607.005767
0.118750   192.161789   1555.370939   2558.787288   3485.992514
0.125000   1427.941579   2641.264901   3269.290688   4383.395322
0.131250   705.612079   1855.757910   3057.484636   4463.463103
0.137500   100.363885   1938.160020   2499.280099   3239.094263
0.143750   346.783111   1626.974363   2533.086471   3541.410815
0.150000   326.214954   1513.763401   2638.503237   3627.148262
0.156250   947.599305   2338.733914   2978.016061   3730.734135
0.162500   94.026615   1123.651215   2509.339399   3604.800347
0.168750   1362.325651   2630.017636   3691.518698   4692.239900
0.175000   1378.168029   2588.027798   --undefined--   --undefined--
0.181250   1382.814236   2490.309497   --undefined--   --undefined--
0.187500   1184.928821   2580.295810   --undefined--   --undefined--
0.193750   1469.331579   2641.763677   --undefined--   --undefined--
0.200000   279.573062   1736.186365   2594.938756   3620.069378
0.206250   243.027565   1929.402632   3199.786403   3544.313703
0.212500   1382.348878   2711.797017   3497.862311   4513.895726
0.218750   238.495484   1543.900607   2613.803407   3456.129158
0.225000   299.669809   1801.550945   2786.387817   3784.656043
0.231250   841.251291   1987.947846   3054.445563   3937.539464
0.237500   1646.035640   2888.121118   --undefined--   --undefined--
0.243750   1891.394065   2858.504618   3132.125457   4170.590829
0.250000   1163.851059   2307.772294   3168.121530   4072.540076
0.256250   1161.027644   2258.054637   3303.324208   3766.089207
0.262500   1291.332442   2473.679946   3495.806423   4371.783171
0.268750   1124.361621   2374.759219   3509.931147   4382.363503
0.275000   1027.134444   2407.173393   --undefined--   --undefined--
0.281250   323.733468   1473.430707   2577.146383   3434.145773
0.287500   245.466606   1210.038954   2606.086554   3489.103269
0.293750   328.831534   1341.586324   2610.572146   3604.045910
0.300000   321.919669   1527.964190   2553.633031   3589.831259
0.306250   291.020411   1812.513752   2513.650004   3270.635714
0.312500   270.547194   1627.490895   2691.092758   3508.608366
0.318750   219.030091   1439.740458   2675.748211   3771.148696
0.325000   224.963845   1458.074248   2687.686404   3832.376676
0.331250   303.559417   1719.442307   2879.050982   3988.235876
0.337500   1429.978440   2534.080862   3634.748076   4423.108927
0.343750   1211.360010   2394.254577   3528.359195   4361.974230
0.350000   1243.902021   2438.219640   3404.774280   4395.200580
0.356250   1506.723685   2467.670670   3492.288318   4492.114673
0.362500   254.376160   1321.022690   2457.172384   3463.752553
0.368750   262.482495   1211.153318   2453.440295   3535.603144
0.375000   978.793492   2435.875620   3501.966757   4431.257706
0.381250   1337.201754   2199.533253   3448.583394   4412.227898
0.387500   1066.322978   2018.045873   3449.720707   4469.682564
0.393750   1146.653154   2253.276608   3472.030554   4468.087933
0.400000   1380.796416   2427.169604   3559.117837   4543.476516
0.406250   190.337828   1554.991298   2774.282242   3522.803904
0.412500   1461.090382   2509.058880   3416.597232   4383.222643
0.418750   134.270083   1558.044707   2449.825490   3423.961657
0.425000   1390.647580   2468.831488   3540.732338   4462.033329
0.431250   1312.899390   2447.289233   3463.920043   4524.948699
0.437500   1426.142242   2644.150852   3483.219622   4768.985273
0.443750   1464.751581   2445.240963   3010.593391   3612.268527
0.450000   1473.795575   2407.644392   3347.489117   4158.836406
0.456250   1515.651738   2548.179788   3351.671945   4341.351095
0.462500   308.297832   1646.588276   2637.876900   3334.098475
0.468750   321.593012   1716.861320   2656.724960   3383.389844
0.475000   332.412085   1753.712539   2606.713328   3435.690183
0.481250   357.938731   1753.070364   2434.475690   3483.188544
0.487500   320.757786   1716.175734   2284.163811   3598.543788
0.493750   326.304568   1716.685061   2334.345455   3624.928121
0.500000   333.038254   1784.664831   2355.102680   3485.129258
0.506250   360.693830   1850.360146   2362.997094   3467.181343
0.512500   388.307110   1952.095844   2454.596619   3547.133390
0.518750   401.307661   1999.979056   2605.397912   3552.783648
0.525000   394.031692   2016.352514   2686.171916   3610.814470
0.531250   384.713201   2038.138580   2756.533947   3192.512831
0.537500   374.843180   2049.804156   2871.433021   2959.794590
0.543750   364.038787   2062.956026   2757.260178   3268.554658
0.550000   342.652386   2067.467421   2562.422931   3381.354497
0.556250   323.296508   2051.013040   2588.520468   3347.352568
0.562500   327.464537   2041.566417   2618.414636   3237.510670
0.568750   341.880933   2031.128784   2562.862072   3228.615937
0.575000   340.672459   2053.545031   2438.185139   3283.845101
0.581250   334.729791   2039.327422   2476.097265   3283.664918
0.587500   325.098768   2045.832142   2606.495911   3245.680607
0.593750   322.166211   2068.804314   2647.003250   3648.960624
0.600000   331.779117   2062.198966   2648.452886   3605.953082
0.606250   338.121186   2056.785927   2632.771717   3590.853816
0.612500   335.181208   2047.911874   2604.747622   3622.379046
0.618750   332.918794   2022.538499   2548.577229   3461.078081
0.625000   336.201699   2013.910435   2511.009550   3628.563235
0.631250   344.312505   2003.097945   2460.954815   3749.681012
0.637500   361.159998   1952.283935   2493.290281   3746.417910
0.643750   365.964176   1979.147917   2558.426038   3715.902649
0.650000   358.301657   1932.076166   2488.500719   3696.308815
0.656250   332.085057   1926.755728   2603.207652   3739.199337
0.662500   308.654382   1931.701956   2627.298689   3744.343716
0.668750   295.594425   1861.468611   2614.868654   3763.626587
0.675000   295.022789   1808.448206   2777.459651   3837.469506
0.681250   321.195974   1794.081876   2707.658455   3823.054493
0.687500   348.873315   1763.586963   2733.505679   3840.422687
