Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   615.754832   1563.303844   2907.574367   3542.261354
0.031250   1387.575149   2483.878265   --undefined--   --undefined--
0.037500   1196.285061   2030.208102   3163.207623   4226.463331
0.043750   1402.271930   2486.635865   --undefined--   --undefined--
0.050000   1468.107721   2503.530800   3318.440337   4519.304074
0.056250   1567.923229   2600.998532   --undefined--   --undefined--
0.062500   1397.454788   2632.239181   --undefined--   --undefined--
0.068750   511.911702   1324.906341   2582.967615   3530.570454
0.075000   813.467338   1758.833136   2753.681669   3666.490415
0.081250   1099.739063   2258.562066   2617.072723   3656.803979
0.087500   1063.996037   2209.300744   2574.104230   3642.376868
0.093750   1032.399225   2006.208421   2740.477929   3655.427427
0.100000   1037.088409   1960.931513   2871.176028   3693.116975
0.106250   1067.306714   2010.214929   2880.981494   3758.723409
0.112500   983.533115   1915.399531   2883.699301   3691.577964
0.118750   918.788428   1870.399346   2882.799505   3724.302749
0.125000   942.676685   1885.326872   2822.876911   3717.622844
0.131250   1022.247143   1794.962644   2900.846878   3660.206636
0.137500   1080.654497   2014.380692   2878.737085   3626.940155
0.143750   1117.681381   2461.114279   2620.523129   3430.670263
0.150000   1201.542190   1465.338164   2640.259289   3646.305857
0.156250   896.222772   1614.678438   2778.359211   3712.339166
0.162500   1026.944347   1630.635565   2510.030318   3628.421429
0.168750   936.793036   1920.053991   2641.472965   3623.001603
0.175000   896.725862   1949.070041   2765.885385   3758.250211
0.181250   928.740662   1978.774865   2742.387149   3757.752154
0.187500   981.182269   2007.904911   2769.186905   3708.228814
0.193750   1051.129893   1948.027612   2757.321396   3693.116321
0.200000   986.508085   1931.863822   2806.534701   3619.154659
0.206250   1165.292200   1877.647639   3105.345903   3247.431223
0.212500   1248.669750   2015.612925   2569.313516   3572.105022
0.218750   1253.515818   1917.524183   2733.390329   3683.533840
0.225000   1365.793100   2081.306100   2842.186127   3826.474252
0.231250   1267.397897   1967.947330   2870.941173   3893.363467
0.237500   1095.499902   1890.201493   2768.627926   3765.402601
0.243750   996.426609   2167.730316   2706.669005   3685.587266
0.250000   1034.007985   2017.666672   2655.096232   3793.006346
0.256250   775.419679   1672.225004   2770.986444   3819.415644
0.262500   935.293936   2125.043325   3140.913843   4266.053651
0.268750   868.096380   2085.347297   3078.312495   4090.751240
0.275000   814.769249   2031.725347   2836.033039   3993.823041
0.281250   721.223776   1979.695186   2829.496009   4083.778421
0.287500   763.809017   1808.435715   2942.809335   3958.302720
0.293750   904.959147   2098.335941   3142.191745   3951.479881
0.300000   810.004861   2022.577283   2984.900059   3891.165327
0.306250   698.258099   1855.407513   2759.768244   3717.904810
0.312500   268.941844   1042.485261   2519.552479   3701.474310
0.318750   832.920970   2308.195371   2983.555582   3791.348958
0.325000   721.802336   1909.400683   3057.846374   4013.602253
0.331250   660.761746   1990.847625   3169.415108   3925.571087
0.337500   779.624856   1824.178750   3103.243308   3830.146622
0.343750   908.445211   2027.506822   2751.644489   3948.880548
0.350000   822.245426   2448.156101   3185.148961   3755.599973
0.356250   1452.985902   2665.872482   --undefined--   --undefined--
0.362500   740.617547   1976.459317   2738.618345   4026.298670
0.368750   886.513174   2252.055855   2830.499456   3987.945441
0.375000   832.210193   2078.530008   3099.039617   3922.580929
0.381250   821.775656   2113.224343   2959.661360   3839.803587
0.387500   912.842871   2452.522517   3356.826104   3668.997854
0.393750   861.964681   2303.112856   2873.929553   3823.989128
0.400000   778.990883   1840.189257   3022.442014   4052.254872
0.406250   871.051994   1849.764242   2876.832153   3938.795726
0.412500   1028.392763   1588.625911   2640.744420   3895.982958
0.418750   1457.786495   2600.373149   --undefined--   --undefined--
0.425000   183.192842   1822.996687   2699.858842   3936.877304
0.431250   219.244204   1771.923201   2695.196498   3874.065937
0.437500   269.934830   1780.355209   2635.929871   3686.864784
0.443750   739.164624   2192.053670   3430.622870   3479.381806
0.450000   954.514205   2247.410718   2900.588573   3638.763365
0.456250   1184.252648   2306.885711   --undefined--   --undefined--
0.462500   996.423343   2029.323774   3436.892184   4242.032444
0.468750   1106.568883   1975.113927   3181.221217   3701.946833
0.475000   785.783215   1871.800406   3081.353698   3878.165834
0.481250   764.952485   2016.659290   3162.809843   3744.528139
0.487500   768.465807   2002.070706   3266.370287   3762.746868
0.493750   630.605639   1798.581817   2886.862439   3968.589896
0.500000   714.890581   1935.225559   2898.459931   3966.999112
0.506250   814.901372   2078.088414   3121.779163   4836.674542
0.512500   901.453413   2103.572775   3119.185970   4651.189279
0.518750   933.253530   2150.450393   3110.480669   4439.473126
0.525000   793.029155   2294.118665   3134.609452   3582.063161
0.531250   845.157290   2217.591064   2847.634416   3674.100042
0.537500   793.294269   2277.988069   2689.771518   3732.876171
0.543750   2505.425604   2542.495538   --undefined--   --undefined--
0.550000   643.142259   2500.053475   3480.832266   4005.044319
0.556250   749.869923   2519.532315   3470.165585   4088.322200
0.562500   927.261862   2553.331257   3572.916431   3698.143478
0.568750   945.616178   2592.653192   3415.433986   4104.815228
0.575000   916.291994   2551.210931   3482.719030   4517.053096
0.581250   182.535828   938.378710   2650.231055   3514.906371
0.587500   228.119617   938.812940   2660.572875   3343.732866
0.593750   276.336735   956.381415   2618.306165   3222.060064
0.600000   354.422677   1243.990694   2545.480838   3610.612106
0.606250   416.196223   1316.938492   2405.475880   3338.703381
0.612500   434.771842   1453.373011   2418.219426   3131.839904
0.618750   455.732782   1603.420035   2458.729205   3054.943934
0.625000   447.607786   1668.946679   2470.208795   3057.394883
0.631250   420.980552   1742.188619   2485.663030   3079.887616
0.637500   399.502559   1792.255779   2532.749771   3121.875145
0.643750   371.378933   1818.471232   2544.881107   3124.561284
0.650000   356.541091   1882.359385   2606.867344   3127.615617
0.656250   340.732277   1917.520604   2616.324900   3110.289693
0.662500   328.590399   1928.264511   2630.402142   3109.570140
0.668750   320.269335   1946.825834   2673.448689   3141.219675
0.675000   317.082089   1981.911510   2715.333709   3138.387475
0.681250   314.305468   2013.441212   2750.075963   3102.549907
0.687500   311.601811   2043.698857   2769.902070   3116.359244
0.693750   304.226057   2086.792756   2781.393413   3154.913695
0.700000   290.419141   2134.263779   2794.532247   3159.826434
0.706250   283.926557   2174.884180   2833.445378   3221.741050
0.712500   274.912320   2253.242850   2884.399651   3491.915485
0.718750   257.227259   2513.263749   2986.186852   3594.809946
0.725000   249.138453   2445.971513   2949.115842   3482.907295
0.731250   252.691020   2211.568640   2984.729117   3795.491271
0.737500   259.931831   2209.580224   3023.045120   3722.681861
0.743750   268.139247   2188.339516   2910.916708   3400.121919
0.750000   286.097220   2219.785166   2969.887157   3359.452383
0.756250   283.738667   2169.784938   3029.602634   3513.889322
0.762500   269.234130   2085.702465   3104.716008   3429.019008
0.768750   261.312628   1989.140769   2659.921098   3361.968081
0.775000   245.836954   1995.111001   2708.906130   3304.382988
0.781250   214.894409   1993.588384   2864.805394   3653.608012
0.787500   188.009310   1988.790492   2844.720773   3959.344932
0.793750   177.650216   1897.777890   2852.712336   4003.787057
0.800000   99.251443   1874.494807   2906.409403   3991.333466
0.806250   1844.594192   2961.826939   3991.191098   4712.077836
0.812500   1809.996213   3157.076221   3288.135025   4270.134936
0.818750   1826.926742   2717.799401   3518.914111   4251.520014
0.825000   1783.202559   2594.410692   --undefined--   --undefined--
0.831250   1801.508747   3006.670732   4034.678887   4129.451731
0.837500   672.656109   1806.009302   3166.744527   4001.065717
0.843750   1773.642368   2762.625828   3927.552185   4366.222329
0.850000   1706.806040   2420.242627   3933.464646   4483.640437
0.856250   1680.883212   2317.382139   3921.437799   4500.861406
0.862500   1668.672596   2342.351126   3962.624490   4559.600927
0.868750   1115.679596   1676.685202   2869.548869   4058.657425
0.875000   1588.878519   1655.511251   3239.053480   4101.067469
0.881250   1666.009063   2985.337939   --undefined--   --undefined--
0.887500   352.718794   1746.965524   2917.836942   4102.374441
0.893750   231.281172   1666.273239   2560.091530   4115.477067
0.900000   245.411743   1675.208302   2493.003548   4031.562585
0.906250   309.600562   1972.975197   2456.403867   3973.691426
0.912500   1725.005541   2898.173311   --undefined--   --undefined--
0.918750   1689.242527   3014.498752   --undefined--   --undefined--
0.925000   1055.012473   1626.368299   2992.681524   4098.234439
0.931250   984.519953   1106.018977   3125.166803   3935.783521
0.937500   990.095265   1096.316061   2965.963650   3685.375498
0.943750   958.589459   1091.293087   2717.323783   3611.633083
0.950000   880.601379   1100.872376   2372.243867   3654.278729
0.956250   757.133435   1093.802537   2653.873511   3878.423477
0.962500   945.759570   1305.238419   3018.657717   4089.349339
0.968750   957.232353   1349.627865   2930.538190   4081.245315
0.975000   923.284398   1537.921092   2940.409030   4065.674532
0.981250   751.080672   1623.417870   2352.751491   3921.081640
0.987500   155.115552   834.076013   2142.007666   3784.184907
0.993750   174.413898   834.061955   2256.717641   3888.955223
1.000000   254.247439   723.017073   2213.983293   3748.310422
1.006250   361.472370   755.991833   2286.036144   2596.216844
1.012500   376.961559   783.077659   2257.246232   2489.735501
1.018750   381.127520   773.382863   2202.091418   2545.423250
1.025000   385.513829   759.748983   2130.835878   2597.200716
1.031250   383.770933   744.089107   2099.407376   2617.983284
1.037500   377.449232   732.349480   2116.978155   2609.726648
1.043750   371.259074   719.504087   2145.039878   2629.590089
1.050000   369.532841   711.146176   2155.805734   2653.557789
1.056250   365.395843   706.222654   2151.795867   2635.392962
1.062500   360.245498   699.002241   2147.392980   2633.762001
1.068750   356.279930   693.102945   2144.653371   2645.691516
1.075000   350.426930   687.524365   2158.086912   2666.089540
1.081250   341.825698   681.739995   2162.494990   2647.913211
1.087500   329.667982   674.564915   2167.711767   2625.066944
1.093750   329.597343   674.729694   2194.992610   2695.760239
