Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1091.583066   2164.052776   3131.831948   4523.396137
0.034375   1058.128020   2177.522514   3127.729541   4662.407867
0.040625   1100.111967   2150.294649   2885.325196   4116.167611
0.046875   1259.954075   2439.679379   3136.090966   4146.752517
0.053125   950.134414   1659.357561   2621.768508   3889.779354
0.059375   869.437252   1604.899862   2593.580604   3647.978088
0.065625   870.236056   2067.977158   2450.818345   3472.747516
0.071875   804.419711   1679.558938   3098.109144   3533.442896
0.078125   1344.304462   1995.271775   3261.990881   4471.109627
0.084375   992.908481   1895.591360   3227.054164   4498.835089
0.090625   858.386329   1764.855938   3090.284909   4366.148059
0.096875   866.518037   1829.548490   2893.909878   3834.087262
0.103125   1251.195014   2385.033010   3251.488718   4618.395589
0.109375   1588.203831   2672.636789   3775.635900   4901.518215
0.115625   1510.229493   2383.922243   3897.639259   4982.966671
0.121875   751.820650   1847.615489   2466.787478   3966.929153
0.128125   1242.201086   2497.822208   3720.963756   5071.457735
0.134375   1237.726262   2494.975978   3707.153903   4951.178789
0.140625   1038.426914   1987.179739   3189.276120   4404.634688
0.146875   833.756473   1728.688545   3088.585840   4450.989967
0.153125   953.180243   1855.404470   3046.965747   4452.952350
0.159375   835.890826   1766.045547   2695.015744   3957.775231
0.165625   1470.137752   2608.281996   3961.987986   5135.790678
0.171875   1314.229193   2361.904336   3547.002116   4496.585709
0.178125   1254.700715   2174.428787   3277.740355   4439.663951
0.184375   1208.828049   1985.162305   3277.435761   4461.877711
0.190625   1795.433296   2412.600283   3767.577828   4937.292753
0.196875   669.213889   1776.578322   2522.194435   3740.290679
0.203125   1078.483595   1219.919189   2632.564050   3887.564809
0.209375   1163.645600   1201.117794   2700.857903   4149.814007
0.215625   975.137104   2236.784470   2546.702864   4230.779731
0.221875   930.679581   2170.708665   3327.179383   4569.273299
0.228125   593.379503   1957.039196   3349.182422   4714.008144
0.234375   580.580213   1708.165204   2947.122228   3759.595277
0.240625   438.185575   1698.052972   2865.482513   4108.877161
0.246875   838.468209   1598.438004   2647.216916   4253.691355
0.253125   585.885650   1569.847075   2683.300456   4211.913550
0.259375   642.276896   1767.843053   2635.282838   3943.899189
0.265625   1418.278406   2521.775120   3746.631539   4786.862279
0.271875   1611.341362   2244.922749   3731.329742   4415.755336
0.278125   880.403584   2178.755000   3566.951368   4862.628703
0.284375   910.384845   1302.321216   2429.658429   3771.746984
0.290625   984.590521   2361.953952   3800.476414   4717.190948
0.296875   1171.254016   2359.549576   3624.689177   4251.792353
0.303125   988.975674   1672.538350   2535.463348   4088.116651
0.309375   814.296385   1576.402057   2554.429418   3954.887686
0.315625   738.406097   2056.096306   2269.746613   3879.068542
0.321875   1056.485198   2110.389473   3465.030405   4671.618800
0.328125   865.403584   2114.477673   2249.295383   3442.508030
0.334375   740.621276   1746.933286   2908.230759   3556.372509
0.340625   755.355104   1609.662569   2735.670859   3784.457248
0.346875   1483.587853   2640.898725   3693.225118   4800.252961
0.353125   1444.752096   2420.663702   3442.181044   4742.324309
0.359375   1427.104358   2153.642111   3440.392052   4867.068471
0.365625   702.059565   1530.928174   2818.881119   3661.890757
0.371875   719.550506   1682.774759   2702.898904   3684.304347
0.378125   844.793380   1716.196655   2797.380908   3821.721493
0.384375   905.262943   1939.335335   2990.345225   4504.584258
0.390625   554.028331   1951.423272   2914.059735   3673.643633
0.396875   627.813693   2106.840599   3008.407395   4565.389182
0.403125   799.498042   1916.249423   2825.002940   4111.769436
0.409375   681.030122   1813.901991   2794.335616   4102.440515
0.415625   600.711776   1751.295289   2895.848979   4182.087131
0.421875   783.601423   1951.854080   3200.652937   4591.316560
0.428125   575.905908   1811.009729   2954.264474   3993.409464
0.434375   510.709540   1771.590878   3209.972542   3531.212100
0.440625   552.115343   1987.403379   2895.075398   3515.632040
0.446875   675.018483   1923.869356   2761.031706   4021.848858
0.453125   1167.485563   2484.230393   3614.993623   4863.481987
0.459375   1024.217409   2314.190354   3496.557987   4789.994025
0.465625   721.509507   1955.726036   2823.955804   4176.493500
0.471875   778.698501   1921.715479   2886.210344   4470.113820
0.478125   894.674191   1938.584507   2755.884641   4508.302003
0.484375   1377.358185   2722.544219   3891.464428   4749.992648
0.490625   701.225494   1726.726419   2783.370851   3995.472541
0.496875   619.341477   1735.568714   2663.423440   4011.213716
0.503125   931.446696   2452.805988   3346.041216   4490.463786
0.509375   868.265783   2216.075005   3212.048546   4551.313902
0.515625   666.033217   2074.601287   3172.597385   4711.677792
0.521875   496.495356   1932.149223   2661.828378   3696.071878
0.528125   1123.136112   2623.176832   3813.178973   4892.377960
0.534375   1057.711329   1145.943060   2483.489766   3851.544506
0.540625   1263.716996   2361.593244   3634.623524   4844.470530
0.546875   1133.521372   2319.085088   3423.591792   4819.681927
0.553125   729.691463   1892.584382   2622.518219   3668.549294
0.559375   740.454154   1899.602191   2519.398070   3994.697060
0.565625   927.065325   2068.058545   2141.592470   3625.933638
0.571875   725.159719   1878.052968   2746.797129   3810.692223
0.578125   702.239476   1783.029011   2893.085050   3920.953474
0.584375   679.242553   1718.302482   2890.472657   3927.275860
0.590625   680.505801   1782.530928   2988.638215   4227.762351
0.596875   873.719429   1544.152620   2833.711625   4564.270387
0.603125   747.343838   1621.712630   2807.098414   4107.664532
0.609375   689.833876   2137.128511   2166.831265   3723.244768
0.615625   737.704216   2240.027847   2355.281426   3721.147134
0.621875   707.768536   1536.831152   2700.425188   3922.871397
0.628125   603.817223   1657.218873   2769.900431   3980.972176
0.634375   651.258169   1625.595808   2814.323311   3904.097671
0.640625   582.035902   1767.116353   2821.020557   3783.095127
0.646875   386.127263   1804.483844   2766.760547   3848.983779
0.653125   638.234692   2015.670412   3057.211453   4067.640323
0.659375   739.821062   2057.912797   3160.995528   4458.002812
0.665625   747.253397   2013.428621   3367.137910   4706.508421
0.671875   791.797191   2117.317030   3155.143419   4490.072924
0.678125   756.256648   2484.204552   3349.476647   4452.124761
0.684375   709.414853   1558.793934   2813.939193   4088.317286
0.690625   694.373725   1556.298873   2788.962114   3888.230584
0.696875   659.843695   1417.970380   2696.825668   3647.228825
0.703125   798.371322   1895.310178   2502.544036   3511.978387
0.709375   1206.177070   2220.417466   3570.710476   4811.940782
0.715625   1216.660056   1976.199923   3429.847324   4391.514666
0.721875   694.181538   1815.949115   3125.178257   4044.967881
0.728125   744.715519   1777.960780   3088.517679   3914.824190
0.734375   741.289869   1917.047572   3039.279928   3690.003491
0.740625   768.480159   1773.187112   2834.366279   3739.875546
0.746875   838.865940   1978.768014   3060.263651   4427.333162
0.753125   943.820310   2187.159412   3156.087703   4433.526061
0.759375   1208.502402   2280.292821   2945.102372   4403.480393
0.765625   812.908442   2054.768287   3231.138219   4189.835119
0.771875   637.725811   2142.629560   3006.976696   4241.999975
0.778125   603.398173   2022.670627   2937.352161   4457.266824
0.784375   664.293636   1970.063628   3253.674148   3584.549648
0.790625   869.977051   2286.296746   3459.383739   4599.090160
0.796875   558.486028   1643.223282   2591.636564   4043.153750
0.803125   473.555598   1844.128634   2663.715181   4050.890980
0.809375   558.049228   1744.214850   2780.614188   3972.962290
0.815625   648.845829   1700.834896   2715.595865   3889.648761
0.821875   532.210898   1526.701431   2633.179469   3844.408928
0.828125   1603.405585   1624.186515   3213.470982   4467.225156
0.834375   856.145682   2220.385312   3184.604345   4573.824724
0.840625   724.778311   1730.036282   2643.993732   4183.444556
0.846875   1168.615955   2724.074619   --undefined--   --undefined--
0.853125   1205.533841   2382.753445   3022.634884   4201.032557
0.859375   560.225842   1668.841887   2839.187865   4077.495618
0.865625   616.560326   1759.268414   3114.799679   3603.549881
0.871875   639.345197   1815.932153   3215.928301   4182.043153
0.878125   559.073594   1588.814176   2738.151268   3827.218546
0.884375   1296.357935   2412.936266   3369.566956   4247.757731
0.890625   1121.249706   2332.446015   3091.775530   4462.292112
0.896875   661.630609   1168.762881   2491.865786   3913.613473
0.903125   1149.605251   2473.116101   3944.461046   4747.909864
0.909375   1113.926588   2472.997050   3994.713083   4697.685858
0.915625   1690.101064   2602.978741   3959.069920   4665.724512
0.921875   1054.568245   2360.206433   3768.361525   4475.307917
0.928125   427.985983   1769.844808   2395.450881   3712.056719
0.934375   375.768573   1997.120379   2446.806948   3889.244698
0.940625   532.119919   1911.023462   2631.134248   4007.458068
0.946875   599.578512   1916.132952   2750.702273   3886.415849
0.953125   596.759627   1811.528139   2956.612946   3674.085400
0.959375   747.650531   1748.144154   3077.577484   3675.600251
0.965625   1091.300501   2660.803717   3134.113002   4622.018881
