Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   993.907193   1687.965935   3409.709969   4114.244005
0.034375   859.254249   1644.901960   3365.704055   4086.735680
0.040625   712.869873   1630.925119   3249.199301   3983.820889
0.046875   785.226083   1647.088914   3195.067088   3973.353805
0.053125   951.325993   1750.764624   3276.181833   3905.157278
0.059375   731.977547   1758.407041   3190.106492   3880.850650
0.065625   616.018697   1716.604862   3234.428103   3577.780948
0.071875   795.371522   1753.266918   2977.555140   3780.605361
0.078125   681.575322   1809.386527   2961.263075   3956.573499
0.084375   785.036700   1780.824658   2993.637314   3981.207436
0.090625   255.625918   1693.493636   3145.779095   3946.205794
0.096875   404.153326   1457.249091   2983.424021   4088.885182
0.103125   1014.493089   1913.376292   2920.887716   3918.505864
0.109375   845.225802   2131.662160   3458.289257   4465.804924
0.115625   940.688264   1966.808479   3387.600727   4433.663522
0.121875   853.649807   1905.669346   3268.542044   4287.561853
0.128125   880.686296   1927.153392   3062.463899   4347.599003
0.134375   812.635681   2023.235730   3333.948636   4527.084639
0.140625   717.192601   2063.227667   3310.789394   4402.231694
0.146875   646.139152   1904.590060   3162.725413   4051.544227
0.153125   687.111987   1639.543407   3228.912714   3921.981620
0.159375   985.515008   1744.376965   3400.727679   4284.737042
0.165625   1188.837466   2334.698162   3526.753374   4441.824509
0.171875   1001.942889   2354.950891   3431.814878   4409.657034
0.178125   1173.873136   2255.547373   3466.267810   4425.192040
0.184375   1326.619387   2199.307348   3575.591380   4377.057003
0.190625   1110.756697   2473.963858   3818.474514   4224.360188
0.196875   1095.655131   2460.965386   3757.663422   4322.539863
0.203125   1098.541942   2562.101761   3926.225145   3996.108513
0.209375   1117.776035   1224.994748   2808.342557   3770.093128
0.215625   1103.878323   1341.757067   2803.609821   3719.021735
0.221875   1102.758757   2529.400788   3722.773366   4735.810425
0.228125   1028.185131   2237.447605   3540.798559   4274.994768
0.234375   1030.464972   2002.019080   3566.373623   4052.217017
0.240625   1079.337111   2128.830468   3532.206173   4090.184606
0.246875   994.969539   1748.198718   3376.250370   3711.430721
0.253125   928.632862   1736.690063   3341.581051   3777.775678
0.259375   792.699953   1802.187647   3302.354726   3907.271933
0.265625   756.898503   1780.735619   3276.115051   3859.982021
0.271875   1741.622438   3390.994213   3658.052855   4945.020780
0.278125   377.011117   1762.900781   3253.223984   4098.427165
0.284375   363.346534   1712.475224   3163.189489   4310.435755
0.290625   351.022062   1810.337427   3197.842302   4787.078463
0.296875   361.783558   1866.195716   3359.874173   4807.079627
0.303125   386.844248   1919.219822   3362.798284   3419.551065
0.309375   423.817468   1975.395029   3385.353964   3503.837627
0.315625   409.104424   2086.786396   3300.836771   3784.176685
0.321875   388.102903   2090.232502   3277.607475   3867.138377
0.328125   410.827750   1962.243614   3323.407976   3814.156056
0.334375   448.348074   2004.040129   3356.262109   3804.510927
0.340625   499.791740   2130.734276   3335.465084   3868.098413
0.346875   546.165067   2180.287657   3308.743921   3931.364899
0.353125   517.274817   2226.024738   3297.631233   3893.228321
0.359375   437.265244   2180.701959   3296.213930   3852.871308
0.365625   424.896980   1977.662066   3282.802854   3751.793446
0.371875   423.136587   1718.261179   3302.763273   3687.397059
0.378125   421.753668   1794.497279   3285.882203   3716.222932
0.384375   452.813833   1975.980734   3281.020705   3719.436336
0.390625   490.400375   2161.598953   3324.152738   3748.499196
0.396875   474.822308   2172.855530   3325.485395   3857.479108
0.403125   442.748737   2193.130647   3279.743107   3905.481173
0.409375   447.055902   2117.948775   3255.783079   3912.583618
0.415625   454.084804   1978.551698   3236.473756   3918.836569
0.421875   492.429684   1735.449346   3200.033523   3914.841161
0.428125   507.335829   1517.298124   3169.201978   4016.220402
0.434375   511.040409   1573.820695   3178.236547   4234.341455
0.440625   507.164990   2650.046168   3306.972668   4631.100446
0.446875   479.722520   2636.147291   3296.797639   4647.821138
0.453125   448.545435   2379.231664   3279.492794   4632.337725
0.459375   436.125582   2058.126962   3346.481607   4560.001406
0.465625   442.605410   1991.501405   3483.794063   4702.123216
0.471875   417.290642   1729.040573   3261.088910   4029.862916
0.478125   366.608840   1963.512798   3076.320043   4053.862987
0.484375   409.403015   1993.224138   3093.018191   4215.920578
0.490625   388.215917   2207.598273   3138.821869   4596.089219
0.496875   368.797742   2224.138548   3400.100200   4435.128132
0.503125   363.332402   2195.994037   3544.058406   4347.421997
0.509375   378.890521   1990.272280   3409.961832   4642.395374
0.515625   334.053463   1913.452386   3522.593956   4517.260773
0.521875   239.785945   1993.407201   3362.144964   4551.114392
0.528125   381.741869   2180.799358   3321.787339   4622.812332
0.534375   431.386639   2081.539935   3301.253687   4458.089204
0.540625   457.743113   2028.377117   3308.620038   4285.518629
0.546875   1570.162762   3326.203426   4456.073237   5423.808781
0.553125   1513.334575   3369.123538   3826.931955   4959.682334
0.559375   1507.655072   3145.923498   3575.630802   4896.346054
0.565625   1536.099038   3308.044617   3407.315157   4919.693396
0.571875   1536.440815   3163.246987   3368.629709   5028.974832
0.578125   661.583395   1624.949218   3366.526916   4873.026579
0.584375   519.190621   1813.552909   3193.369658   4141.260964
0.590625   345.384363   1969.765651   3127.964909   4050.073176
0.596875   335.786176   1975.066833   3145.756696   4103.903070
0.603125   339.375413   2128.583152   3240.409937   4172.943567
0.609375   358.224579   2445.570384   3314.202576   4622.752115
0.615625   371.462865   1571.236381   3202.397571   4522.667993
0.621875   390.511212   2046.887621   3411.901159   4451.236763
0.628125   385.063052   2340.257423   3117.938848   4431.423494
0.634375   188.304754   1750.919530   3104.600303   4323.436326
0.640625   1749.845381   2973.311909   4064.828830   5113.145424
0.646875   1754.773633   3074.261985   4014.841067   5245.005869
0.653125   407.219936   1736.001183   3247.635070   4013.688216
0.659375   394.175154   1824.839914   3492.759226   3914.530077
0.665625   399.621650   1977.630392   3130.048510   3816.120710
0.671875   693.981513   2887.465437   3313.198135   4371.448246
0.678125   413.536046   1995.963807   3290.088951   4415.234042
0.684375   1043.456348   2322.822354   3394.351144   4424.954460
0.690625   977.292861   1299.100210   3386.982441   4102.526671
0.696875   919.976657   1291.270942   3359.102652   4089.406796
0.703125   775.310548   1327.464855   3313.093932   4031.229021
0.709375   653.817896   1288.098439   3291.984217   4030.231645
0.715625   786.404614   1317.062024   3324.716440   4069.060785
0.721875   924.053643   1256.074343   3354.681605   4116.743943
0.728125   754.125851   1200.958192   3431.203134   4031.821071
0.734375   619.713087   1274.724809   3428.705745   3999.936377
