Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   565.439339   1514.876009   2566.759769   4172.326755
0.034375   390.636833   1510.530489   2625.228425   4376.072236
0.040625   285.021152   1530.931729   2745.110457   4354.587407
0.046875   484.396531   1079.710617   2472.496845   3905.888815
0.053125   584.026665   1251.916395   2571.961490   3785.958391
0.059375   516.223175   1588.349366   2687.188943   3808.431912
0.065625   613.773889   1964.162821   2513.463890   4133.776584
0.071875   586.226451   2178.513847   2298.760076   4168.512101
0.078125   544.649664   2263.548764   2337.291275   4118.752444
0.084375   628.818854   2169.775342   2682.179036   4181.273098
0.090625   656.340893   2204.840360   2605.904182   4132.634650
0.096875   560.525548   2120.633406   2663.147324   4022.417798
0.103125   428.516600   1971.690837   2995.075152   4128.986885
0.109375   393.685375   1961.397023   3019.533311   4241.736497
0.115625   366.471125   1974.904478   2873.934152   4180.232731
0.121875   340.406718   1921.201539   2768.082695   4176.227384
0.128125   309.865889   1964.720993   2758.900675   4108.708209
0.134375   632.342083   2102.878266   3568.288184   4554.274841
0.140625   828.335864   2046.235362   3590.743158   4075.419592
0.146875   661.945265   1885.352422   3012.580685   4080.639122
0.153125   493.018575   1874.410872   2698.062107   3865.334125
0.159375   435.178245   1915.708593   3154.523709   4345.229431
0.165625   552.851961   1922.251587   3197.935809   4173.923509
0.171875   654.858410   1951.175330   3059.299494   4074.727484
0.178125   633.652468   1895.474583   2868.879056   3800.431469
0.184375   479.534134   1822.248728   2680.594107   3766.789901
0.190625   494.855157   1849.196848   2797.792870   3730.269189
0.196875   651.375296   1835.112974   3241.032549   4473.633582
0.203125   761.892029   1834.145075   3251.689702   4364.447695
0.209375   498.602403   1789.880741   3175.731612   4252.911921
0.215625   550.369612   1795.907538   2809.971313   3856.166040
0.221875   701.004714   1836.919094   2524.610644   3907.503912
0.228125   701.718026   1896.384521   2633.336154   4054.637906
0.234375   642.204752   1929.847208   3175.807735   4095.012873
0.240625   560.718400   1789.911530   2835.956194   3932.082175
0.246875   547.648985   1827.263988   2661.483317   3921.829336
0.253125   400.765169   1827.038575   2567.468658   3906.806908
0.259375   465.428290   1833.997691   2773.547594   4129.907976
0.265625   420.600474   1853.149429   2810.514396   4265.351277
0.271875   444.062914   1829.322097   3068.172844   4198.300953
0.278125   391.377640   1862.041842   3031.861216   4130.839539
0.284375   425.233382   1831.407997   3065.227156   4140.285399
0.290625   404.745458   1785.623901   2845.882063   4146.429842
0.296875   377.791139   1803.522526   2766.544261   4265.620834
0.303125   519.450153   1630.054846   2299.277950   4166.195810
0.309375   751.107243   1808.198227   2653.624048   4208.578199
0.315625   780.601588   1773.832815   2769.718452   4199.795273
0.321875   617.582290   1694.751996   2723.712081   4319.857146
0.328125   565.612172   1774.282722   2662.088003   4256.820527
0.334375   600.568635   1750.231828   3040.485063   4251.073452
0.340625   440.353961   1799.476663   3036.439823   4261.631012
0.346875   455.230096   1815.785780   2947.845476   4275.147368
0.353125   415.810385   1683.159163   2487.478886   3963.208068
0.359375   429.836991   1951.052847   2690.525948   4119.897355
0.365625   509.848120   1709.720964   2880.540031   4130.819409
0.371875   373.606151   1663.469317   2756.433511   3912.962473
0.378125   403.440564   1555.746405   2770.569870   3827.815059
0.384375   463.963675   1935.979788   2622.642580   3795.041405
0.390625   448.493629   2113.264843   2632.037582   4385.378117
0.396875   358.279409   1718.199667   3137.570735   4297.793187
0.403125   337.584620   1579.631592   2903.025675   3842.367544
0.409375   396.061428   1531.944004   2650.975104   3644.588940
0.415625   425.180027   1712.185552   2772.367563   3808.622973
0.421875   395.923019   1582.225445   2610.216506   3816.764578
0.428125   495.172475   1673.470159   2657.650965   3679.266600
0.434375   492.827311   1652.895040   3040.804909   4410.339956
0.440625   475.166695   1710.747129   3012.252019   4332.848857
0.446875   459.521678   1622.121875   2850.207620   4199.240031
0.453125   504.291915   1466.048176   2881.232751   3918.715239
0.459375   606.632359   1685.460307   2950.331510   4497.314446
0.465625   502.093858   1446.869384   2512.541396   3644.856099
0.471875   445.987650   1542.626974   2339.670255   3631.563023
0.478125   507.114896   2152.228864   3507.757560   4774.256691
0.484375   531.919380   1644.975663   3196.801550   3402.358830
0.490625   463.493882   1769.411692   3088.795189   4135.607893
0.496875   524.779723   1871.483666   2805.732910   4155.826649
0.503125   527.446715   1929.983479   2702.599722   4046.816069
0.509375   472.020894   1754.864875   2757.737154   3922.278837
0.515625   406.499548   1733.852684   2864.756516   3948.044934
0.521875   441.110751   1626.019488   2685.442846   4004.829897
0.528125   556.320794   1597.687981   2705.326523   4235.910878
0.534375   459.290049   1953.010343   3080.489263   4372.806281
0.540625   528.317917   1837.670642   2747.220660   4282.670874
0.546875   591.213480   1902.777653   2879.797515   4276.569884
0.553125   681.872898   1873.807614   2595.240875   3346.134066
0.559375   608.058441   1662.766609   2641.487345   3877.141982
0.565625   812.237974   2000.117297   2479.749086   4067.546600
0.571875   542.477382   1698.098735   2524.361261   4103.221000
0.578125   574.757073   1884.079157   3127.393731   4404.038755
0.584375   831.899584   2102.614465   3202.994650   4477.661852
0.590625   786.536572   2286.433534   3290.891534   4644.225408
0.596875   403.763469   1735.683683   2468.240006   3997.111220
0.603125   409.177673   1688.357659   2379.348185   3816.937030
0.609375   381.379086   1693.343968   2394.718630   3860.589727
0.615625   351.914020   1653.212492   2350.583716   4047.383990
