Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1910.284489   2587.502168   3564.569558   3754.028464
0.034375   1914.741762   3035.989229   --undefined--   --undefined--
0.040625   1942.114729   3127.744207   --undefined--   --undefined--
0.046875   537.477164   2047.177905   3204.693152   3831.085988
0.053125   645.262763   1986.802888   3436.998967   4349.601150
0.059375   1165.074403   2153.002201   3444.906242   4374.664551
0.065625   1107.298588   2201.709542   3402.852667   4314.633598
0.071875   1113.567428   2191.196034   3437.699416   4360.870004
0.078125   679.110073   2132.387419   3026.880273   3640.854510
0.084375   603.474202   2109.792141   3034.741547   3823.732958
0.090625   562.754705   1977.004963   3375.401475   4110.739604
0.096875   610.734532   2013.027245   3266.988146   3972.289580
0.103125   626.613635   2043.452257   3010.784521   4099.373756
0.109375   473.093031   1873.005333   3101.854973   4226.566255
0.115625   703.931631   1998.074365   3418.529582   4397.914981
0.121875   682.431756   1986.260943   3314.375023   4290.447431
0.128125   607.557744   1908.775859   3256.426938   4054.850308
0.134375   430.335914   1920.194762   3281.506445   4131.100308
0.140625   575.805716   1918.619765   3358.558948   4119.287731
0.146875   637.277109   1965.081128   3183.845495   4167.545518
0.153125   700.323392   2049.668734   3335.141884   4223.972709
0.159375   775.691310   2078.326850   3345.535940   4216.096087
0.165625   819.366690   2103.953593   3322.868426   4253.872826
0.171875   761.987256   2131.570684   3372.179074   4315.166592
0.178125   1053.302801   2187.045928   3304.250337   4338.525208
0.184375   399.090191   1957.864652   3042.651034   4254.182097
0.190625   1126.645204   2361.316243   3262.384172   4194.045910
0.196875   1301.673818   2242.833867   3043.360314   4166.929449
0.203125   1025.609010   2088.310115   3127.185036   4274.499836
0.209375   392.204117   2029.804199   3222.620923   4211.700235
0.215625   913.335927   2244.812265   3413.937046   4284.655435
0.221875   1014.860703   2223.592379   3428.873981   4258.469424
0.228125   762.888409   2123.369365   3345.225124   4362.901791
0.234375   281.652576   1984.922908   3161.926478   4375.279150
0.240625   981.734433   2113.977248   3282.276844   4352.072872
0.246875   1163.680723   2168.741634   3325.615258   4331.679360
0.253125   1145.470972   2361.059057   3314.170513   4311.928466
0.259375   1107.690723   2127.658682   3241.493462   4266.912358
0.265625   847.983062   2002.143114   3306.538164   4169.334188
0.271875   1053.713342   1892.879153   3371.192345   4216.382863
0.278125   1089.094227   2093.272702   3314.185408   4282.655330
0.284375   1191.431786   2091.294258   3376.928844   4306.147838
0.290625   1269.084430   2168.461709   3475.451131   4217.520495
0.296875   1184.573485   2069.014400   3316.860230   4275.431443
