Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1216.941741   2133.969187   3228.791101   4068.920781
0.034375   1191.890499   2230.040948   2975.395166   4065.685832
0.040625   1091.444132   2330.423282   3103.119532   4187.994198
0.046875   1016.647394   2384.309899   3149.070293   4364.538761
0.053125   1014.396630   2381.981263   3042.154479   4111.147382
0.059375   959.438817   2360.892336   2786.107935   4095.924569
0.065625   826.820161   2256.051873   3013.445347   4161.145198
0.071875   949.506551   2161.936805   3065.838420   4184.308299
0.078125   598.951424   1408.482577   2521.798525   3644.636061
0.084375   1202.000060   1208.469596   2427.518770   3959.395933
0.090625   1461.406681   1676.495925   2754.355643   4106.858625
0.096875   1095.282949   2232.347668   3103.248762   4269.150351
0.103125   1146.297396   1913.923322   2679.070566   4079.154142
0.109375   724.005798   1869.275057   2846.549848   4085.931106
0.115625   750.264394   2107.976164   2137.318419   3785.247338
0.121875   813.828237   1746.953497   2584.462167   4105.152545
0.128125   824.352737   1635.948111   2386.277106   3681.017886
0.134375   847.472652   1645.568418   2301.722289   3606.389082
0.140625   1147.333098   2223.916223   3417.885038   4278.894640
0.146875   755.012455   1385.272589   2600.124454   3948.885263
0.153125   783.833296   1411.941653   2618.741653   3985.150814
0.159375   950.076189   2348.875505   2679.121235   4178.654502
0.165625   929.618434   2249.156346   3095.050017   4213.101832
0.171875   1021.282869   2448.414929   2751.914234   3804.105497
0.178125   1119.812356   2473.340727   3285.649896   4205.450029
0.184375   1093.942969   2269.513641   3228.396473   4402.262192
0.190625   903.928121   2057.876279   2365.016004   3811.441450
0.196875   981.182930   2296.328735   3378.812059   3917.900780
0.203125   1051.695535   2164.779187   3248.631230   4088.480187
0.209375   945.927795   2068.739693   3277.312622   4109.171443
0.215625   921.144331   2097.320157   3264.066815   4137.700177
0.221875   1149.867845   2119.012288   3242.864045   4248.237511
0.228125   1250.626775   2102.485077   3291.260743   4293.594476
0.234375   935.266583   2065.050853   3222.660575   4319.184979
0.240625   781.477202   1925.362897   3097.420993   4126.156530
0.246875   866.955018   1846.423078   3090.543917   4119.584650
0.253125   1191.739337   2026.773874   3320.585367   4249.598539
0.259375   958.913200   2052.443419   3417.053488   4426.876148
0.265625   902.362042   2050.828379   3263.323155   3819.319710
0.271875   752.615587   1897.776956   2974.233934   3940.199943
0.278125   750.967259   1912.027109   3039.229785   4232.396649
0.284375   841.149616   1976.152454   3085.693519   4223.574908
0.290625   838.159010   1952.715069   3098.507314   4240.280706
0.296875   1164.505872   1996.049512   3286.994611   4243.784742
0.303125   689.332268   1978.897443   3139.142623   3944.107176
0.309375   736.284431   1960.923438   3163.072114   4016.897733
0.315625   827.314676   1956.929312   3284.393616   4115.737433
0.321875   922.953186   1937.617924   3255.531636   4049.500255
0.328125   822.443151   1945.688225   3073.646128   3908.554321
0.334375   790.916845   2007.452751   3053.219201   4096.178318
0.340625   849.768485   1945.095747   3161.897511   4081.405130
0.346875   790.243922   1868.478100   3065.534405   3908.340829
0.353125   818.037803   1916.284597   3171.105276   4068.357707
0.359375   1021.934567   1904.575645   3255.989555   4328.124460
0.365625   875.076811   1851.440459   3146.451564   4285.594033
