Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1183.030184   1752.031988   2834.629703   3672.758610
0.034375   1690.206124   2501.880328   3563.435432   4460.798052
0.040625   1670.707523   2487.193593   3543.415949   4356.727528
0.046875   1090.732013   2040.245532   3325.825296   4223.867889
0.053125   1111.663201   2181.076562   3252.090629   4312.930249
0.059375   1179.787851   2481.622974   3335.904083   4459.739206
0.065625   1137.661008   2389.372140   3137.191692   4404.786537
0.071875   1127.287231   2578.271163   3258.437129   4306.168557
0.078125   838.290339   1837.663154   3089.380640   4173.568766
0.084375   1062.457916   2009.505524   3194.662230   4907.515654
0.090625   865.959411   1138.297476   2046.062195   3298.972556
0.096875   693.534429   1463.168861   2114.260323   3458.136093
0.103125   328.997251   2064.917370   2681.837418   3485.195696
0.109375   297.607906   2077.522419   3052.112241   3868.971835
0.115625   403.848582   2077.646732   2135.005564   3693.374631
0.121875   435.129935   1734.491461   2422.152537   3685.166764
0.128125   445.762131   1732.578874   2452.544794   3621.911790
0.134375   425.128759   1829.117076   2514.868312   3718.363439
0.140625   378.115163   1912.738651   2579.130355   3697.316711
0.146875   436.880241   1975.322534   2743.274485   3528.559451
0.153125   550.273381   2062.284945   2855.880137   3527.641368
0.159375   529.029268   2066.550305   2750.286810   3494.738701
0.165625   364.117177   2280.483540   2877.015201   4747.445454
0.171875   458.613982   1867.551855   2663.829350   4045.827996
0.178125   537.376166   1742.459660   2560.270443   3655.687741
0.184375   639.288036   2108.617997   2465.812965   3523.540413
0.190625   600.720166   2235.522286   2634.984304   3721.687455
0.196875   474.321204   2070.388257   2587.875825   3725.910707
0.203125   451.590168   1961.471232   2475.334503   3772.666378
0.209375   437.542973   1880.376330   2584.003147   3872.710765
0.215625   1065.051743   2310.636225   2773.674274   4869.758424
0.221875   651.162715   2173.669059   2792.857512   4241.843274
0.228125   628.373209   2131.666260   2819.867953   4847.602775
0.234375   496.838990   2161.154338   2807.892725   4111.423450
0.240625   769.043568   2482.979224   2877.019502   2919.891504
0.246875   730.183483   2436.945524   2948.223329   3338.655392
0.253125   705.993451   2158.945963   2949.940429   4422.928124
0.259375   698.212182   2093.527974   2932.429000   4111.568361
0.265625   682.668201   2122.832479   2957.649630   4584.849061
0.271875   1472.406591   2279.268052   3127.277683   4625.017591
0.278125   493.603123   2140.535360   3053.001841   3403.830728
0.284375   538.144963   2179.028415   2948.882314   4128.254610
0.290625   547.513660   2111.815493   2746.211893   3765.955400
0.296875   561.277530   2059.237266   3099.811765   3179.382843
0.303125   520.238174   2085.629632   2968.021084   3456.658587
0.309375   476.945146   2109.846047   2896.833619   4202.981148
0.315625   302.674312   2136.525627   2967.144450   3766.717354
0.321875   505.429857   2071.586876   2942.373360   4376.867615
0.328125   569.615266   2116.559690   3022.095863   4340.224737
0.334375   369.876622   1971.956556   2828.631423   4350.999797
0.340625   370.459633   1894.301658   2730.203459   4220.179113
0.346875   404.294261   1932.390545   2843.730606   4307.387909
0.353125   521.363479   1968.203809   2825.497455   4142.810881
0.359375   498.362462   2003.525024   2868.873889   3889.679836
0.365625   412.283600   2081.124164   2900.194496   3964.717180
0.371875   449.171789   1995.661512   2718.594474   4091.870203
0.378125   218.630514   1890.573067   3007.490325   3784.168204
0.384375   372.411353   1865.401881   2860.603994   3997.895999
0.390625   427.283473   1815.154883   2779.126892   3849.791032
0.396875   368.069789   1940.534300   2761.095600   3811.995303
0.403125   435.494682   2028.788041   3019.410098   4374.472280
0.409375   534.847843   2017.890694   3008.941314   4336.745136
0.415625   432.484809   2022.754958   2949.593075   4209.309014
0.421875   467.137035   1966.169790   2940.922696   4228.659098
0.428125   470.924445   1946.309774   2996.941909   4203.135556
0.434375   419.364794   1894.014030   3120.697055   4338.568595
0.440625   324.277503   1920.711916   3012.140180   4151.149397
0.446875   1716.217488   2806.832558   3921.314339   4337.278428
0.453125   1725.413293   2862.011858   3998.447968   4230.671078
0.459375   1834.486665   2923.225026   4067.611337   4885.511068
0.465625   1850.095269   2918.401820   4059.588821   4941.054083
0.471875   386.767277   1921.871037   2990.360365   4022.185629
0.478125   360.350730   1895.141856   2955.534741   3985.605541
0.484375   380.003808   1783.957507   2840.636817   3995.946151
0.490625   394.446962   1785.869799   2815.220935   3919.148568
0.496875   534.055899   1839.101278   2766.631605   3851.379760
0.503125   479.423611   1881.620242   2858.307009   4121.054584
0.509375   440.359698   1819.593201   2826.217329   4229.363120
0.515625   452.768391   1797.230729   2874.400315   3983.388726
0.521875   427.206329   1748.488066   2761.062220   3741.203430
0.528125   371.917670   1799.962286   3038.459705   3474.188677
0.534375   471.665295   1827.912331   2864.696155   3610.664898
0.540625   505.227861   1818.066887   2772.394053   3777.112926
0.546875   494.025282   1808.294192   2804.913727   3786.464828
0.553125   366.632001   1871.278203   2967.955242   4091.068913
0.559375   321.239065   1756.750898   2812.406172   4045.139142
0.565625   366.889917   1716.229818   2779.601267   3966.249947
0.571875   467.901337   1695.873974   2757.307905   3925.262425
0.578125   464.879297   1692.503484   2744.194362   4267.898805
0.584375   327.404159   1712.140964   2821.673116   4387.611403
0.590625   967.294340   1863.370916   2954.110278   4467.429203
0.596875   360.830602   1933.600653   3060.554165   4296.646871
0.603125   763.215744   1833.165663   3131.651254   4203.934649
0.609375   405.578491   1827.122988   2938.853036   4215.193563
0.615625   447.847614   1877.121567   2882.703938   4093.281283
0.621875   466.645662   1837.100799   2921.315659   3968.324274
0.628125   471.655311   1797.868647   2821.007095   3985.403972
0.634375   378.386522   1779.255039   2904.658058   4151.037439
0.640625   419.538311   1791.343167   2954.723506   3806.824073
0.646875   399.636501   1725.479067   2809.608278   3610.577563
0.653125   1711.125705   2907.754377   3983.216376   4660.380819
0.659375   1513.886652   1841.536951   3133.299945   4412.815706
0.665625   290.467091   1772.614515   2982.129918   4044.761173
0.671875   419.368613   1857.511305   3285.432905   4249.703687
0.678125   520.445851   1864.968459   3331.595748   4310.396882
0.684375   474.658389   1846.994600   3242.373368   4115.546734
0.690625   470.751111   1840.853531   3063.115210   4175.128399
0.696875   407.066310   1779.265288   2821.505606   4218.483383
0.703125   360.750097   1723.077974   2965.819902   4003.505122
0.709375   335.258778   1732.529714   3062.211255   4371.539936
0.715625   401.688590   1827.789106   3062.752675   4510.552317
0.721875   618.666946   1876.041825   3042.573331   4226.709294
0.728125   401.808920   1814.993857   2995.419591   4216.010978
0.734375   439.827886   1873.707754   2880.408850   3921.710155
0.740625   392.395864   1846.757503   2440.632110   3655.324549
0.746875   438.464775   1922.928409   3173.355873   4481.687832
0.753125   494.931311   1917.619495   3281.760022   4603.123452
0.759375   400.971870   1909.260191   3284.820838   4511.066996
0.765625   309.341988   1980.132654   3523.051413   4486.657039
0.771875   430.672401   1972.446513   3411.120117   4306.750407
0.778125   409.387871   1792.301436   3129.206484   4288.267829
0.784375   503.386785   1983.051250   3435.801414   4630.765319
0.790625   493.348925   1966.006152   3612.031904   4666.888419
0.796875   448.653694   1958.231547   3725.972153   4395.070888
0.803125   450.447950   1857.407018   2611.126434   4044.346984
0.809375   429.798025   1658.053642   2557.316377   3915.015769
0.815625   382.472253   1632.280650   2808.148299   4326.913561
0.821875   329.441068   1663.531809   2795.344684   3810.227578
0.828125   388.421139   1777.579919   3154.780037   4645.278019
0.834375   431.178800   1661.821919   3269.144521   3938.216927
0.840625   374.351820   1655.978093   3027.351268   3844.104442
0.846875   321.736474   1842.530944   2529.180507   3796.478468
0.853125   346.062895   1708.747663   2794.221671   3668.914652
0.859375   359.198736   1578.696501   2920.733361   3944.468171
0.865625   388.588947   1591.764415   2780.794462   3959.088246
0.871875   515.518415   2073.519911   3078.675333   4490.333105
0.878125   477.107319   1969.387473   3023.738445   4285.002168
0.884375   449.712701   1735.158744   2687.509258   3944.231252
0.890625   424.025318   1775.371003   2579.031090   3990.360699
0.896875   377.644454   1736.911177   2951.387702   4084.156214
0.903125   374.573229   1527.969420   2858.418266   3803.196567
0.909375   378.236794   1487.294798   2843.975440   3606.813836
0.915625   373.329344   1563.795665   3265.988679   4437.204088
0.921875   795.377103   1889.773693   3264.624376   4336.849093
0.928125   252.753734   1987.358711   2911.464681   4238.747118
0.934375   271.271304   1438.697204   2380.517446   3640.796057
0.940625   459.895909   1793.795467   2606.158338   3704.227426
0.946875   362.748499   2018.373130   2934.952370   3740.582964
0.953125   400.926328   2158.270564   3239.858799   4641.452649
0.959375   408.555737   2011.709325   2181.605606   3699.938527
0.965625   573.293999   2179.355463   3406.822623   4511.597683
0.971875   317.878978   1285.888142   2274.544153   3710.876540
0.978125   296.178299   1826.355829   2383.751533   3647.168970
0.984375   466.860784   2027.460983   2221.572965   3512.362453
0.990625   353.720070   1663.900771   2370.770158   3659.938840
0.996875   213.201874   1493.709491   2520.518823   3847.235340
1.003125   347.644643   1835.619253   2929.123114   4167.980392
1.009375   404.474544   1883.262016   2977.781378   4126.746514
1.015625   353.507518   1928.603331   2652.095859   3476.029936
1.021875   323.707835   1909.512299   2486.157546   3682.852935
1.028125   361.201126   1942.584034   2282.698821   3737.087284
1.034375   323.864404   1686.776502   2333.086287   3630.464965
1.040625   996.096242   2276.292388   3420.896536   4642.091451
1.046875   723.406366   2167.446935   2874.933525   4161.522845
1.053125   676.737299   2190.307136   3145.250696   4155.257683
1.059375   490.576889   1590.802691   2492.563184   3675.725712
1.065625   365.789631   1534.933573   2667.858923   3909.007868
1.071875   463.859438   1582.251265   2637.701910   3924.428723
1.078125   548.164729   1425.144245   2625.444504   3907.321282
1.084375   518.697315   2127.022514   3696.113742   4778.116125
1.090625   370.572581   1994.389758   2062.691164   3595.683159
1.096875   545.503093   2173.996442   3331.155434   4576.094581
1.103125   482.583498   1896.600690   2307.483238   3837.743727
1.109375   479.979096   1583.017347   2733.561353   4110.420038
1.115625   486.454740   1548.162619   2730.390232   3967.605610
1.121875   531.747166   1887.925439   2975.340932   4326.144655
1.128125   495.056375   2123.342037   2757.551268   4177.381749
1.134375   535.142957   2063.334669   2805.664791   4124.374191
1.140625   561.199891   1985.142765   2833.202707   4074.083823
1.146875   395.025447   1923.951535   2862.726683   4137.640025
1.153125   316.652046   1975.522235   2866.896666   4192.295074
1.159375   324.918031   2024.273341   2858.833694   4186.149614
1.165625   370.225103   2110.669239   2924.529963   4096.635974
1.171875   370.476440   2147.451188   3003.240138   4079.100199
1.178125   362.533054   1981.410440   3073.883310   4133.163009
1.184375   368.585789   1999.006332   3145.448746   4234.703938
1.190625   354.676547   2193.160256   3134.943622   4452.922604
1.196875   347.946362   2280.743137   2769.368794   4454.508412
1.203125   369.300567   2179.253041   2824.405941   4471.817531
1.209375   403.156534   2067.074646   3142.602079   4430.654936
1.215625   407.917801   2053.073537   3097.661566   4425.629671
1.221875   424.128268   2034.011813   3092.280901   4450.551475
1.228125   428.760236   2032.730602   3107.925535   4470.712518
1.234375   415.704908   2105.129235   2952.240457   4443.662078
1.240625   441.410751   2184.598284   2914.825065   4477.560562
1.246875   465.077292   2257.275799   2961.772565   4523.637998
1.253125   455.796528   2327.161933   3018.240065   4582.644034
1.259375   451.129138   2363.263879   2971.953801   4525.422467
1.265625   447.899122   2406.321979   2880.654682   4499.171096
1.271875   441.532137   2460.787293   2895.013527   4500.805727
1.278125   414.205792   2517.810144   2954.038930   4535.359740
1.284375   386.552235   2557.292966   2968.812157   4562.064390
1.290625   386.606444   2587.630704   3055.242083   4545.828592
1.296875   364.746715   2608.505379   3062.965223   4550.115506
1.303125   332.151909   1369.698663   2605.258946   3042.475973
1.309375   336.460686   371.145966   2611.483113   3056.749143
1.315625   327.195775   791.593018   2579.324153   3054.975264
1.321875   307.953122   1851.624334   2555.880104   3066.579548
1.328125   305.441856   2053.124674   2537.037320   3038.360196
