Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   256.038865   1705.918936   2802.525897   3866.326963
0.034375   352.391569   1689.329767   2829.152500   3846.303527
0.040625   321.520526   1715.813982   2892.974188   3815.579963
0.046875   1359.872096   2069.194876   3109.273191   4697.048632
0.053125   1087.150050   2272.347288   3107.855569   4554.704146
0.059375   1345.500249   2316.585463   3442.776955   4490.962313
0.065625   1390.421047   2364.044769   3553.477721   4527.771370
0.071875   1207.328007   2057.534973   3510.233795   4997.475136
0.078125   1061.224620   2210.505395   3484.516609   4975.446733
0.084375   1041.161702   2269.079737   3380.742588   4794.452347
0.090625   1058.879610   2265.487411   3337.123655   4767.819416
0.096875   1255.368899   2136.372846   3434.751223   4756.467463
0.103125   1256.117612   2027.514751   3307.891662   4534.702489
0.109375   1412.466802   2480.607030   3507.484040   4930.669819
0.115625   312.271312   1609.796172   2767.575508   3695.325295
0.121875   464.284412   1725.435463   2819.154309   3863.789441
0.128125   435.734854   1743.049740   2602.923511   3995.953077
0.134375   1456.568931   2572.121859   4052.906547   4816.161165
0.140625   1208.545391   2421.249547   3652.711472   4738.709477
0.146875   1211.236927   2415.922270   3635.095061   4799.381170
0.153125   1328.488528   2414.760031   3586.789510   4806.496007
0.159375   1291.655354   2152.559932   3476.784468   4755.061968
0.165625   1628.156998   2402.825003   3558.573092   4817.768114
0.171875   1609.312079   2409.631132   3304.083362   4732.192731
0.178125   1433.378585   2379.358888   3379.794589   4428.856029
0.184375   1261.550270   2414.643964   3336.947759   4343.010650
0.190625   1291.629033   2300.878822   3254.508230   4149.841955
0.196875   1984.274672   3295.771892   --undefined--   --undefined--
0.203125   1721.199153   2770.336321   3850.233685   4806.784469
0.209375   1804.918258   2992.855557   3799.759663   4645.956541
0.215625   346.660162   2025.908043   3144.757184   4113.492396
0.221875   2064.387418   2830.744560   3365.358524   4689.593233
0.228125   1466.477181   2454.662642   3777.520506   4845.460989
0.234375   1843.776127   2838.615877   --undefined--   --undefined--
0.240625   402.299086   1678.756982   2960.273020   4264.103751
0.246875   719.235593   1857.708121   3116.901816   4680.058899
0.253125   897.904841   2176.699493   3082.435981   4532.135169
0.259375   289.711834   1620.619533   2553.357662   3760.632567
0.265625   1656.965703   2632.237782   3789.922211   4929.592920
0.271875   1778.510947   2700.808612   3792.735137   4924.218475
0.278125   1476.037909   2370.441587   3602.836454   4525.435647
0.284375   1295.084189   2336.781995   3501.834716   4511.175304
0.290625   1297.713661   2524.704571   3536.758781   4816.196848
0.296875   1265.720548   2303.468999   3367.183403   4600.713347
0.303125   1323.005627   2291.080377   3220.092470   4611.861601
0.309375   1196.585235   2283.896502   2994.502524   4619.542356
0.315625   1286.626079   2218.049941   3422.029174   4710.561767
0.321875   1359.891028   2275.037300   3370.179369   4749.264158
0.328125   1672.007714   2589.901399   3480.005796   4829.267910
0.334375   1223.517125   2054.177453   3373.101169   4712.247882
0.340625   1191.329445   2194.046018   3415.480653   4575.768746
0.346875   1249.198994   2144.285916   3313.642739   4508.831110
0.353125   1370.006694   2327.082586   3441.771303   4614.993519
0.359375   1412.312841   2575.110242   3519.479567   4589.106536
0.365625   1427.904250   2793.708892   3319.100709   4410.456603
0.371875   1516.896430   2654.824285   3167.902876   4280.098009
0.378125   1598.162082   2019.605908   3331.503481   4521.312046
0.384375   1547.480734   2503.572375   3437.931597   4596.129497
0.390625   1592.027206   2497.433792   3273.697222   4370.198349
