Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   962.990033   1914.866978   2837.093245   4009.493882
0.034375   972.078320   2169.417409   2995.398028   4034.051204
0.040625   988.711050   1896.388293   3092.616282   4249.524790
0.046875   877.873541   1752.041998   3152.550530   4299.578150
0.053125   1464.096014   2313.075328   3338.654690   4547.298766
0.059375   1300.701634   2429.236731   3479.716070   4545.889976
0.065625   1257.535349   2609.466529   3296.907599   4492.815479
0.071875   1225.000431   1982.159229   3161.436986   4309.983443
0.078125   1275.715594   2216.927276   3448.733102   4415.618146
0.084375   1287.574853   2076.699844   3197.793520   4255.852602
0.090625   1278.277887   2236.724443   3579.842782   3994.210330
0.096875   1425.026768   2361.993644   3673.801442   4591.147251
0.103125   1329.418247   2226.982967   3752.522672   3813.720540
0.109375   1178.187975   2286.376257   3660.321088   4373.340356
0.115625   1270.329132   2267.283865   3628.537469   4610.453753
0.121875   1278.696167   2451.458475   3598.841175   4555.993592
0.128125   1428.340816   2698.381932   3860.359183   4386.494400
0.134375   1454.121074   2336.103572   2658.811600   3964.180648
0.140625   1332.133273   2292.384514   3716.288423   4320.872501
0.146875   1275.720334   2190.289600   3629.340126   4163.458462
0.153125   1302.552082   2027.113720   2925.939841   4002.467017
0.159375   1438.999123   2384.817219   3460.817649   4509.559253
0.165625   1570.345017   2355.242722   3372.036650   4526.373788
0.171875   1266.945299   2340.794716   3308.716235   4386.875877
0.178125   1195.309043   2472.811963   3391.342811   4387.382817
0.184375   1171.375056   2527.733639   3078.575682   4346.908146
0.190625   1443.380920   1686.918222   3231.065038   4369.864153
0.196875   1418.559312   2053.347506   3089.122886   4291.096330
0.203125   1269.437717   2281.969514   3216.870661   4189.221483
0.209375   1284.917291   2414.482255   3505.792078   4212.288657
0.215625   1306.581327   2438.261435   3589.545635   4471.704659
0.221875   1253.618066   2106.353239   3001.997084   4140.479993
0.228125   1187.111204   2046.245491   3087.867029   4090.369454
0.234375   1400.650910   2401.565476   3483.859389   4487.050274
0.240625   1428.103434   2401.820564   2921.269012   4317.924661
0.246875   1315.937453   1801.322116   2892.797309   4238.039426
0.253125   1217.592975   2052.901659   3274.907525   4298.026557
0.259375   1157.861129   2225.976589   3481.746252   4526.571224
0.265625   1206.884538   2228.601276   3450.832717   4295.775009
0.271875   1365.752201   2290.934670   3522.174623   4524.870516
0.278125   1312.553582   2376.737758   3551.273284   4494.806322
0.284375   1301.020676   2479.412502   3695.849545   4544.332833
0.290625   1377.404793   2647.747127   3795.395781   4420.082199
0.296875   1048.953400   1910.934628   3426.814433   4106.513400
0.303125   1018.055688   2188.424255   3415.693235   4092.411432
0.309375   1211.592462   2306.746531   3410.087040   4275.516839
0.315625   1232.705148   2440.596909   3763.407771   4137.355002
0.321875   1447.070142   2382.915107   3608.139648   4595.467256
0.328125   1331.140709   2257.346241   3502.978975   4574.230389
0.334375   1286.459831   2273.088685   3515.247858   4577.387718
0.340625   1058.798142   2178.413310   3116.932029   4293.367418
0.346875   1073.737183   2222.438475   3201.835283   4480.380499
0.353125   1307.921276   2422.067694   3640.672039   4549.924945
0.359375   1315.451124   2566.504114   3638.982008   4750.099328
0.365625   1274.074278   2449.160412   3466.754756   4630.450106
0.371875   1192.471357   2164.897452   3305.712251   4345.137161
0.378125   1200.750196   2077.730232   3347.694169   4356.783757
0.384375   1168.636017   1931.171755   3281.140051   4328.590085
0.390625   1199.566435   1943.224804   3106.684375   4181.289042
0.396875   1441.042969   2031.039399   2972.073520   4145.468106
0.403125   1353.105902   2527.854107   3150.805834   4220.674320
0.409375   1289.354212   2325.247449   3477.765605   4418.175274
0.415625   1204.805372   2034.792548   3480.060625   4419.190868
0.421875   1345.755457   2105.748769   3609.490175   4429.365052
0.428125   1332.447307   2244.709638   3483.401112   4386.600905
0.434375   1171.042672   2241.732838   3208.946475   4346.068091
0.440625   1137.576147   2229.205330   3254.803038   4319.613757
0.446875   1269.955940   2183.015152   3154.483720   4277.924336
0.453125   1400.418776   2893.210430   3808.267613   4315.082018
0.459375   1163.894513   2188.834135   3204.012537   4075.182176
0.465625   1239.351212   2280.005242   3368.107134   4280.637754
0.471875   1146.297060   2155.384340   3126.416116   4410.975853
0.478125   1267.542966   2346.760447   3320.724168   4408.345759
0.484375   1165.002780   2383.412307   3376.091192   4484.555039
0.490625   1068.507216   2321.278746   3100.650527   4346.443810
0.496875   1251.537555   2157.261721   3381.787650   3944.946465
0.503125   1126.720845   1948.854401   2976.671320   3986.147191
0.509375   1053.009742   2158.285420   3065.316802   4073.171598
0.515625   1007.224820   2136.171810   3134.793986   4137.508198
0.521875   1151.338188   2131.184729   3224.713503   4184.657255
0.528125   1316.277824   2373.605294   3460.785614   4507.601101
0.534375   1265.823053   2299.157127   3247.401245   4451.102106
0.540625   1275.616575   1997.683427   2990.280356   4243.075753
0.546875   1181.186597   2360.976735   3131.864279   4364.400837
0.553125   1246.291272   2119.981258   3001.728671   4173.730142
0.559375   1508.951516   2286.578357   3215.187209   4454.279330
0.565625   1554.467511   2619.268041   3029.765576   4395.311180
0.571875   1291.708531   2163.599701   3108.128771   4357.569455
