Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026256   930.402613   1710.337006   3089.815932   4367.076418
0.032506   897.323599   1811.752856   3244.873358   4614.881539
0.038756   790.456540   1807.519026   3262.580568   4624.820696
0.045006   674.262899   1686.018722   2684.987560   3340.545584
0.051256   629.924489   1659.610932   2909.341807   3935.951126
0.057506   714.619321   1721.532922   2865.448083   4162.601882
0.063756   734.449367   1542.866217   2640.909067   4067.988755
0.070006   673.948235   1648.689013   2774.355271   4151.663402
0.076256   692.150631   1733.010956   2974.820705   4178.357831
0.082506   859.733556   1752.232421   2877.350523   4231.088557
0.088756   906.056721   1670.015281   2870.126873   4073.908128
0.095006   908.071214   1926.154164   3187.764184   3946.368551
0.101256   789.634140   1632.513789   2393.336119   3751.723228
0.107506   740.747488   1465.443952   2530.364612   3898.613182
0.113756   760.553383   1799.942802   2588.199377   4060.604382
0.120006   751.942938   1603.532389   2708.310398   4313.595313
0.126256   760.413595   1416.951166   2577.729986   3680.232989
0.132506   730.754173   1384.168927   2515.722680   3245.458864
0.138756   737.274130   1702.680468   3015.933450   4317.630536
0.145006   741.808917   1645.781609   2938.874976   3374.005620
0.151256   727.544186   1771.097433   2591.137276   3270.392778
0.157506   759.054164   1974.026624   2969.742724   4361.646536
0.163756   803.742261   1944.864607   2649.231423   4334.236097
0.170006   779.860436   1522.186226   2514.013820   3560.105563
0.176256   749.338658   1320.948496   2428.693409   3682.670065
0.182506   694.165271   1371.124667   2509.523296   3866.391067
0.188756   646.968405   1490.685892   2593.816191   3884.299828
0.195006   745.159485   1537.816510   2774.528827   4092.450701
0.201256   785.457562   2126.482062   2279.808386   3567.659559
0.207506   779.511071   1597.289570   2407.782110   3768.754434
0.213756   794.479500   1604.618142   2414.655275   4105.066506
0.220006   680.854927   1447.380206   2472.289235   3931.782355
0.226256   701.437701   1540.397806   2442.708048   3897.690470
0.232506   656.302917   1479.033967   2572.597183   4041.772221
0.238756   733.522415   1616.799897   2604.365486   4103.973203
0.245006   897.344690   2087.840299   3441.097213   4667.095780
0.251256   699.666174   1297.366096   2494.428828   3465.706275
0.257506   696.415315   1473.045238   2645.423550   3565.153687
0.263756   701.481130   1766.438617   2674.553984   4264.347978
0.270006   683.981137   1614.540347   2649.071130   4068.740576
0.276256   786.692354   1641.989483   2981.851402   3390.463391
0.282506   841.455421   1469.062914   2566.367363   4141.854935
0.288756   831.800920   1476.419445   2472.736169   3960.722433
0.295006   785.856718   1541.275290   2512.240185   3837.447857
0.301256   780.899662   1524.901108   2587.840661   4061.685847
0.307506   768.083787   1516.725276   2598.738843   4122.436317
0.313756   757.045530   1567.922502   2837.461490   4019.014783
0.320006   769.081671   1904.966620   3213.355672   4443.664759
0.326256   763.098571   1960.131376   3328.503293   4202.718490
0.332506   754.220321   1789.683826   2313.497766   3286.169789
0.338756   781.247050   2186.499890   2603.041424   4334.310392
0.345006   804.948190   1147.271152   2395.390006   3586.109692
0.351256   751.157763   1383.862288   2338.636171   3786.813045
0.357506   722.631430   1685.386868   2843.701659   4143.272621
