Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1659.426897   2186.123538   3286.477560   4278.305288
0.034375   1499.133039   2199.938842   3240.773692   4299.739331
0.040625   1118.383869   2189.203134   3170.130698   4255.205969
0.046875   753.894220   2138.606225   3076.085875   4178.989864
0.053125   610.726544   2114.936573   3097.887282   4195.455195
0.059375   671.026864   2147.373028   3104.389868   4193.478097
0.065625   833.912258   2145.496378   3182.681703   4150.477624
0.071875   858.116906   2081.905585   3131.162659   4033.305026
0.078125   1664.920368   1991.517532   2908.212502   4158.701992
0.084375   1195.266773   2105.076476   3014.184785   4158.889374
0.090625   993.397332   2120.011559   3121.167123   4116.006748
0.096875   1151.522937   2093.314401   3124.524332   4196.112560
0.103125   1098.754647   2050.313360   3040.860170   4186.007352
0.109375   723.138877   2053.862329   2908.524191   4201.325203
0.115625   762.579458   2042.772234   2940.481894   4142.066126
0.121875   674.902252   1952.856601   2949.100876   4123.475125
0.128125   601.325463   1918.928755   2856.473227   4034.750110
0.134375   530.494787   1974.997245   2527.478995   3769.161157
0.140625   1953.917534   2763.174375   --undefined--   --undefined--
0.146875   1331.616694   2032.184720   3383.150134   4258.937066
0.153125   52.394938   1784.609345   2860.963211   3563.117112
0.159375   1680.922804   2238.644724   3521.199484   4949.059024
0.165625   1450.599263   2040.718557   3357.733410   4497.099881
0.171875   1499.655936   1967.755270   3280.042980   4274.560297
0.178125   1905.633178   3167.101916   3560.899840   5031.383652
0.184375   265.397624   1937.482704   2938.943302   3391.992952
0.190625   270.420637   1802.607412   2713.611898   3817.231792
0.196875   1757.186430   2632.268569   4140.038750   4740.465483
0.203125   193.561780   1760.046602   2680.615029   4077.152041
0.209375   1753.245746   2583.861642   4070.165290   4989.373480
0.215625   1761.402268   2748.780513   3764.375814   4992.640136
0.221875   1427.305649   2187.562654   3398.515466   4681.544145
0.228125   349.543262   1833.907145   2991.123482   4571.467965
0.234375   815.663901   1925.349465   2732.182894   4577.520248
0.240625   1264.529103   2208.778473   2933.132165   4555.659518
0.246875   1263.813004   2080.051634   2901.461759   4615.418592
0.253125   1242.570870   2145.134266   2986.933294   4736.329953
0.259375   1245.141690   2090.380212   3471.699063   4965.227629
0.265625   1250.228164   2114.833648   3947.782525   5218.761428
0.271875   1123.878290   1871.638407   2268.866920   4015.410466
0.278125   1003.526640   1841.506075   2345.081269   3784.191593
0.284375   982.906705   1921.550403   3248.278601   4924.210473
0.290625   1111.282423   1931.684067   3257.441481   4889.559718
0.296875   1197.275135   1964.004707   3334.464666   4807.548610
0.303125   193.608091   1749.845534   2359.810277   3730.321166
0.309375   327.047293   1373.516752   1988.799501   3723.739530
0.315625   390.176958   1162.475977   2216.237211   3528.632585
0.321875   439.076567   1340.778967   2728.738593   3175.216239
0.328125   455.720536   1411.795364   3034.364528   4622.308086
0.334375   471.993463   1661.441777   2994.571782   4607.840017
