Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1162.550963   2163.613364   3273.458636   4160.134222
0.034375   869.926512   2095.067864   3060.335539   4052.904561
0.040625   805.750293   2452.248375   2989.190265   4144.040604
0.046875   812.852513   2338.732122   3046.387247   4199.103376
0.053125   847.487027   2304.167366   3029.607969   4205.817459
0.059375   920.467181   2306.021373   3118.727149   4129.160150
0.065625   870.884321   2254.005390   2982.842826   4000.812620
0.071875   789.203422   2307.277629   3010.053617   4064.610215
0.078125   867.099934   2386.976593   2974.658158   4033.909154
0.084375   864.331341   2298.348088   2713.686441   3915.988343
0.090625   736.090710   2391.142079   2806.548955   4015.691401
0.096875   790.839160   2266.485615   2995.600290   3962.061812
0.103125   709.405493   2267.958125   2963.052486   3990.456307
0.109375   624.314067   2262.231211   2840.925369   4114.475829
0.115625   712.469642   2227.102617   2852.139248   4268.968084
0.121875   620.771570   2169.745021   2849.818663   4222.767153
0.128125   504.536488   2355.013465   2962.104640   4135.485255
0.134375   519.135799   1875.611001   2617.045602   3837.265107
0.140625   128.335660   2087.858354   2746.920132   4159.792188
0.146875   573.963394   2000.370688   3016.355607   4348.998491
0.153125   673.142478   2098.702805   3053.186883   4314.715144
0.159375   631.522245   2149.656660   3176.473513   4199.870696
0.165625   520.916033   1814.852570   2790.607830   3908.607969
0.171875   501.940710   1792.820619   2957.782719   3845.812757
0.178125   465.689893   2099.386539   3368.948872   4519.459305
0.184375   733.771928   2241.565093   3254.823195   4473.742723
0.190625   585.543181   1945.469455   3096.846800   4384.803382
0.196875   532.806925   1916.554745   3105.257999   4290.115781
0.203125   537.220483   1884.834709   2738.884911   3813.382825
0.209375   546.130164   1653.611848   3068.997769   3785.509226
0.215625   545.985279   1953.479370   3421.014561   4510.834131
0.221875   467.060852   1896.590960   3585.559677   4217.968685
0.228125   496.120354   1893.074096   2962.491171   3938.155338
0.234375   553.079349   2002.204162   3164.020291   3964.060291
0.240625   492.858908   1784.209076   2693.837817   3923.163982
0.246875   541.635986   1927.117458   2485.158079   3771.509680
0.253125   579.089128   2183.244628   2224.040344   3744.149074
0.259375   532.784253   1871.445218   2445.149641   3849.905371
0.265625   854.137450   1635.031402   2563.524116   3849.507628
0.271875   816.854545   1668.733307   2583.836711   3900.710516
0.278125   658.611215   1684.667182   2756.838605   3801.718579
0.284375   1481.089241   2259.382090   3242.125539   4120.648848
0.290625   1358.016192   2223.513575   3354.808073   4198.623064
0.296875   666.893723   1930.946950   2887.548221   3957.887890
0.303125   762.440152   1857.099910   3376.477109   3617.349082
0.309375   861.441840   1835.705959   2703.017879   3679.073244
0.315625   783.444718   1844.399860   2713.450268   3754.013846
0.321875   926.885021   1932.759805   3462.209195   3649.772445
0.328125   878.267962   1911.596407   3306.994484   3810.692114
0.334375   816.899813   1799.290297   3193.750397   3867.003321
0.340625   826.935427   1783.193884   3219.876892   4308.027099
0.346875   697.040252   1767.609993   3086.681830   3573.214793
0.353125   1679.270713   2890.026054   3780.664719   5127.257090
0.359375   684.472609   2072.775002   3052.817093   3706.982849
0.365625   865.675847   2093.780565   3349.426299   4844.453974
0.371875   643.731771   2041.980938   3273.735844   4857.564824
0.378125   500.078125   1864.965469   2773.052999   3817.463544
0.384375   811.769439   2112.070064   2117.456348   3756.518684
0.390625   533.393066   1824.802375   2952.657313   3929.871975
0.396875   185.103606   1561.159756   2740.562099   3990.551747
0.403125   1278.980117   2531.132538   4299.935962   4856.179018
0.409375   1356.923696   2500.609220   --undefined--   --undefined--
0.415625   1396.089849   2650.276152   3970.841495   4549.007062
0.421875   1397.473118   2544.436124   3801.301990   4269.522852
0.428125   1275.755301   2342.870666   3413.074218   4469.132000
0.434375   1527.614181   2464.800546   3526.693858   4948.212048
0.440625   1444.300223   2237.148904   3484.062207   4568.097722
0.446875   1429.430367   2495.688556   4167.667781   4756.339978
0.453125   360.306239   1632.073642   2931.237909   4109.821309
0.459375   341.424646   1733.078365   3074.472941   3908.051064
