Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   826.266536   1604.512977   2513.619009   3687.678498
0.031250   817.765765   1463.791746   2605.801001   3691.972595
0.037500   926.282831   1478.274740   2541.074414   3616.273036
0.043750   1012.045445   1561.149674   2499.592185   3583.889248
0.050000   918.707088   1555.072606   2483.949230   3589.394138
0.056250   960.652876   1621.671962   2535.377206   3596.402169
0.062500   876.958068   1758.975430   2566.945265   3650.558197
0.068750   931.365038   1813.074924   2409.923753   3621.821025
0.075000   1074.809203   1681.427877   2351.924838   3614.910498
0.081250   1013.043311   1636.890330   2509.768286   3634.547507
0.087500   1029.936628   1636.080234   2537.053454   3654.009912
0.093750   954.810187   1604.431893   2485.612628   3598.591928
0.100000   1165.856684   1570.935916   2453.375413   3542.503489
0.106250   1179.589409   1685.091611   2540.728001   3604.194861
0.112500   1055.264235   1701.914346   2617.507422   3736.726124
0.118750   1066.287111   1834.261499   2548.443644   3636.162916
0.125000   873.942633   1706.789796   2567.924676   3521.026376
0.131250   839.719987   1880.692460   2495.366308   3497.324248
0.137500   843.564733   1749.209335   2500.015808   3641.113710
0.143750   793.706217   1737.663803   2627.136079   3648.242618
0.150000   911.840291   1774.387122   2660.257928   3714.128801
0.156250   937.618994   1655.029790   2663.740010   3647.923473
0.162500   947.318075   1505.463484   2479.011437   3572.989762
0.168750   926.131716   1635.918287   2422.304256   3550.238949
0.175000   752.588371   1800.885822   2606.165656   3735.351038
0.181250   669.516515   1817.406010   2530.587187   3841.294908
0.187500   649.756274   1779.796221   2493.300915   3832.157172
0.193750   906.073398   1810.468881   2657.781018   3698.510332
0.200000   1121.100606   1752.506353   2886.256063   4021.282654
0.206250   818.355861   1757.807121   2818.928411   4016.864161
0.212500   917.541645   1578.496083   2722.246605   3648.101920
0.218750   976.698371   1829.488057   2400.666872   3638.041932
0.225000   1031.404810   2147.744386   3378.401604   3922.121593
0.231250   821.461082   1828.273697   2631.891717   3523.986800
0.237500   794.476164   1725.143278   2711.065653   3463.227316
0.243750   682.493888   1594.781260   2616.322916   3558.894246
